date,open,high,low,close,volume,prev_closing_price
2008-03-06,614.0,616.0,600.25,602.5,17120,603.5
2008-03-09,600.0,606.0,580.25,587.0,19580,602.5
2008-03-09,600.0,606.0,580.25,587.0,19580,602.5
2008-03-10,585.0,618.0,585.0,607.0,22880,587.0
2008-03-11,605.0,658.0,605.0,650.25,62350,607.0
2008-03-12,656.0,679.0,637.0,644.25,47190,650.25
2008-03-13,650.0,675.0,635.25,0.0,43690,644.25
2008-03-16,669.0,750.0,669.0,745.25,91470,663.0
2008-03-17,750.0,759.0,710.0,716.75,54020,745.25
2008-03-18,725.5,799.75,715.0,775.75,69060,716.75
2008-03-19,800.0,846.0,800.0,810.75,61970,775.75
2008-03-20,834.0,845.0,785.0,794.25,41970,810.75
2008-03-23,791.0,801.0,728.0,740.75,50330,794.25
2008-03-24,765.0,817.75,757.0,807.75,49580,740.75
2008-03-25,819.0,839.0,802.25,0.0,47900,807.75
2008-03-30,814.0,845.5,811.0,832.0,47680,815.75
2008-03-31,839.0,839.0,793.0,805.25,40640,832.0
2008-04-01,810.0,824.0,791.25,794.5,29310,805.25
2008-04-02,801.0,855.0,801.0,823.0,57290,794.5
2008-04-03,825.0,840.0,807.0,811.5,24920,823.0
2008-04-06,840.0,849.0,802.5,809.25,34190,811.5
2008-04-07,801.0,802.0,763.0,767.0,58540,809.25
2008-04-08,770.0,794.5,765.0,768.5,21250,767.0
2008-04-09,770.0,790.0,768.5,775.25,25680,768.5
2008-04-10,780.0,812.0,775.5,779.0,25710,775.25
2008-04-13,798.0,798.0,773.0,789.25,24400,779.0
2008-04-15,799.75,849.75,799.75,831.5,56450,789.25
2008-04-16,845.0,845.0,811.0,813.25,27880,831.5
2008-04-17,816.0,839.75,802.0,817.0,42740,813.25
2008-04-20,829.75,829.75,810.0,817.25,30770,817.0
2008-04-21,826.0,857.0,820.0,825.75,64780,817.25
2008-04-22,830.0,925.0,830.0,914.0,84540,825.75
2008-04-23,920.0,950.0,869.75,879.75,47740,914.0
2008-04-24,871.0,894.0,860.5,876.75,32610,879.75
2008-04-27,909.0,914.0,875.0,879.5,36580,876.75
2008-04-28,889.0,889.0,847.0,851.5,29450,879.5
2008-04-29,855.0,873.0,853.0,855.75,17090,851.5
2008-04-30,862.0,868.0,840.0,843.75,20300,855.75
2008-05-04,860.0,860.0,821.0,825.0,21510,843.75
2008-05-05,840.0,875.0,833.0,857.0,32970,825.0
2008-05-06,870.0,886.0,860.0,868.5,31440,857.0
2008-05-07,865.0,871.0,845.25,848.25,23000,868.5
