date,open,high,low,close,volume,prev_closing_price
2008-03-06,165.0,165.0,159.0,160.0,71840,164.0
2008-03-09,164.0,164.0,160.0,161.25,44200,160.0
2008-03-09,164.0,164.0,160.0,161.25,44200,160.0
2008-03-10,160.5,163.5,160.0,162.5,38940,161.25
2008-03-11,161.25,165.0,161.25,163.25,43820,162.5
2008-03-12,165.0,166.0,163.0,163.5,27260,163.25
2008-03-13,162.25,174.0,162.25,0.0,76380,163.5
2008-03-16,168.5,174.5,166.0,167.5,70640,169.0
2008-03-17,169.75,172.5,165.5,168.5,54880,167.5
2008-03-18,170.0,173.0,165.0,166.0,29520,168.5
2008-03-19,169.0,169.0,164.0,165.25,46300,166.0
2008-03-20,167.0,169.0,165.0,167.25,33560,165.25
2008-03-23,169.75,189.75,169.75,181.25,122640,167.25
2008-03-24,180.0,182.5,176.25,177.75,57060,181.25
2008-03-25,175.0,185.0,175.0,184.25,90080,177.75
2008-03-30,188.0,195.0,185.0,189.75,103420,184.25
2008-03-31,194.0,198.75,186.0,189.0,96940,189.75
2008-04-01,189.75,190.5,185.0,186.25,65860,189.0
2008-04-02,186.75,192.0,185.25,189.0,54440,186.25
2008-04-03,189.0,191.75,184.75,185.25,50060,189.0
2008-04-06,182.25,187.0,182.25,184.5,51240,185.25
2008-04-07,185.0,186.0,181.0,181.5,25940,184.5
2008-04-08,183.0,185.0,181.0,182.25,36820,181.5
2008-04-09,183.5,193.0,183.5,188.0,62880,182.25
2008-04-10,191.25,207.0,190.0,204.75,151900,188.0
2008-04-13,209.75,240.0,209.75,238.5,161200,204.75
2008-04-15,259.0,259.0,225.25,238.75,137800,238.5
2008-04-16,240.0,240.0,227.0,234.25,103520,238.75
2008-04-17,238.0,247.0,230.5,238.25,97380,234.25
2008-04-20,244.0,260.0,236.0,257.0,154760,238.25
2008-04-21,260.0,279.5,260.0,271.0,119840,257.0
2008-04-22,261.0,297.5,261.0,292.5,130300,271.0
2008-04-23,298.75,318.0,280.0,288.75,114040,292.5
2008-04-24,290.0,290.0,261.25,263.25,133780,288.75
2008-04-27,265.0,265.0,239.0,241.75,97420,263.25
2008-04-28,249.0,256.75,236.0,238.0,63100,241.75
2008-04-29,238.0,245.0,227.0,230.5,39260,238.0
2008-04-30,229.0,233.5,215.0,220.75,57680,230.5
2008-05-04,216.25,225.75,211.0,217.0,51140,220.75
2008-05-05,214.25,226.0,214.25,219.5,26560,217.0
2008-05-06,223.0,224.0,217.0,219.75,37620,219.5
2008-05-07,220.0,238.75,220.0,234.25,70620,219.75
2008-05-08,239.0,243.0,233.0,234.0,42200,234.25
2008-05-11,240.0,240.0,228.0,229.75,36640,234.0
2008-05-12,228.25,233.25,220.5,222.0,36780,229.75
2008-05-13,223.0,229.5,222.0,222.5,43860,222.0
2008-05-14,221.5,224.0,217.5,219.25,34940,222.5
2008-05-15,224.0,233.0,218.5,225.25,56020,219.25
