date,open,high,low,close,volume,prev_closing_price
2012-12-09,67.0,70.0,57.5,61.9,8021800,30.0
2012-12-10,62.3,63.0,54.1,54.7,3699000,61.9
2012-12-11,50.0,55.0,50.0,53.9,1554400,54.7
2012-12-12,54.0,55.7,52.1,52.5,2556000,53.9
2012-12-13,52.0,52.8,50.4,51.7,2098400,52.5
2012-12-17,51.7,0.0,0.0,51.7,0,51.7
2012-12-18,50.1,54.1,50.1,54.1,3422800,51.7
2012-12-19,55.6,55.7,52.2,53.3,1958400,54.1
2012-12-20,53.8,54.4,52.2,52.5,1010400,53.3
2012-12-23,52.8,53.0,50.8,51.1,948000,52.5
2012-12-24,50.8,52.5,50.3,52.1,978000,51.1
2012-12-26,52.5,55.0,52.5,53.9,1625600,52.1
2012-12-27,54.2,54.5,52.8,53.0,1290000,53.9
2012-12-30,53.0,53.4,52.0,52.4,832400,53.0
2013-01-01,52.2,53.4,51.3,51.7,628000,52.4
2013-01-02,52.0,52.0,50.7,51.2,711400,51.7
2013-01-03,51.9,52.2,50.6,51.7,626000,51.2
2013-01-06,51.7,52.2,50.9,51.1,453000,51.7
2013-01-07,51.0,51.3,50.2,50.3,528800,51.1
2013-01-08,50.4,51.2,50.3,50.4,426000,50.3
2013-01-09,51.3,51.4,50.3,50.5,402200,50.4
2013-01-10,51.0,51.6,50.8,50.9,424000,50.5
2013-01-13,51.1,51.9,51.0,51.4,531600,50.9
2013-01-14,52.0,52.0,50.7,51.1,418200,51.4
2013-01-15,51.4,51.4,50.6,50.9,394000,51.1
2013-01-16,50.9,51.0,50.3,50.4,502800,50.9
2013-01-17,50.6,51.0,50.0,50.2,441600,50.4
2013-01-20,50.5,50.6,48.2,48.6,638800,50.2
2013-01-21,48.1,48.9,47.7,48.3,1003200,48.6
2013-01-22,48.8,48.8,47.8,47.9,555000,48.3
2013-01-23,48.0,49.4,48.0,48.9,595200,47.9
2013-01-24,49.1,50.4,49.0,50.0,895000,48.9
2013-01-27,50.0,50.3,48.9,49.1,856600,50.0
2013-01-28,49.3,49.7,48.2,48.5,1031200,49.1
2013-01-29,48.5,50.2,48.5,49.8,1074600,48.5
2013-01-30,50.8,51.4,50.1,50.5,872000,49.8
2013-01-31,48.2,51.0,48.2,50.3,705000,50.5
2013-02-03,47.5,50.5,47.5,49.1,800200,50.3
2013-02-04,49.0,49.6,47.9,48.1,1059400,49.1
2013-02-05,48.0,49.2,47.9,48.3,830800,48.1
2013-02-06,48.5,49.0,48.0,48.0,617600,48.3
2013-02-07,49.8,49.9,48.7,49.5,1589200,48.0
2013-02-10,50.0,50.2,48.8,49.4,1653200,49.5
2013-02-11,49.6,51.6,49.6,51.1,1490600,49.4
2013-02-12,51.3,54.3,51.2,53.2,3565200,51.1
2013-02-13,53.1,57.4,52.4,56.6,3107400,53.2
2013-02-14,56.8,57.9,56.1,56.5,1833600,56.6
2013-02-17,56.5,57.4,54.8,55.5,2106000,56.5
2013-02-18,56.0,59.4,56.0,57.4,2363400,55.5
2013-02-19,58.0,61.4,56.6,59.2,3339800,57.4
2013-02-20,60.2,61.0,56.6,57.7,2775400,59.2
2013-02-24,57.0,57.8,53.2,54.2,1344600,57.7
2013-02-25,56.0,56.0,52.5,52.8,1100400,54.2
