date,open,high,low,close,volume,prev_closing_price
2019-04-09,47.3,59.0,45.3,45.9,6783865,0.0
2019-04-10,46.0,47.0,42.8,43.3,1415081,45.9
2019-04-11,43.3,45.5,41.7,42.9,2103266,43.3
2019-04-15,42.9,45.2,42.9,43.6,1519810,42.9
2019-04-16,43.8,43.8,41.8,42.3,1570482,43.6
2019-04-17,42.7,43.5,41.2,42.0,1232198,42.3
2019-04-18,42.0,42.5,41.0,41.4,1424899,42.0
2019-04-21,42.0,43.8,42.0,43.3,1351580,41.4
2019-04-23,43.5,43.5,41.8,42.1,1210031,43.3
2019-04-24,42.1,42.3,40.6,41.0,1133312,42.1
2019-04-25,41.0,42.3,40.2,41.5,1185003,41.0
2019-04-28,41.5,45.5,41.2,44.2,2052767,41.5
2019-04-29,43.5,44.0,42.7,42.9,1222446,44.2
2019-04-30,43.2,45.0,42.9,43.2,1964855,42.9
2019-05-02,43.5,46.2,43.2,45.8,1572733,43.2
2019-05-05,46.6,46.8,45.0,45.2,2164940,45.8
2019-05-06,45.2,49.6,44.6,49.0,3667347,45.2
2019-05-07,49.4,50.6,47.4,48.0,2485518,49.0
2019-05-08,47.8,50.0,46.9,49.4,2854897,48.0
2019-05-09,50.4,52.4,49.9,51.1,2654782,49.4
2019-05-12,51.4,51.4,48.9,49.2,2050782,51.1
2019-05-13,49.3,49.9,46.8,47.0,1635161,49.2
2019-05-14,47.5,48.5,46.5,47.5,976422,47.0
2019-05-15,48.2,48.3,46.3,46.6,726444,47.5
2019-05-16,47.6,47.6,46.0,46.4,782356,46.6
2019-05-19,47.0,47.3,46.2,46.4,942066,46.4
2019-05-20,46.8,48.1,46.8,47.2,1001953,46.4
2019-05-21,47.2,47.5,45.5,45.8,1327043,47.2
2019-05-22,45.9,46.2,45.1,45.2,872343,45.8
2019-05-23,45.3,45.8,45.2,45.5,500184,45.2
2019-05-26,45.6,45.6,43.7,44.0,1027055,45.5
2019-05-27,43.9,44.7,43.3,43.6,721756,44.0
2019-05-28,43.9,45.2,43.9,44.5,529009,43.6
2019-05-29,44.8,46.2,44.8,45.4,807580,44.5
2019-05-30,45.6,46.1,44.8,45.0,674032,45.4
2019-06-09,45.6,45.6,44.1,44.3,578748,45.0
2019-06-10,44.4,45.6,44.4,45.0,650930,44.3
2019-06-11,45.2,46.9,45.1,46.3,1246992,45.0
2019-06-12,46.4,46.4,45.0,45.2,881233,46.3
2019-06-13,45.3,46.6,44.9,45.7,1133188,45.2
2019-06-16,46.4,47.0,45.1,45.3,1233509,45.7
2019-06-17,45.6,45.6,44.1,44.5,686170,45.3
2019-06-18,44.7,45.6,44.6,44.9,800592,44.5
2019-06-19,45.0,45.2,44.2,44.4,439511,44.9
2019-06-20,44.4,44.8,43.6,43.7,673868,44.4
2019-06-23,43.8,44.0,42.3,42.6,483903,43.7
2019-06-24,42.6,43.2,42.4,42.8,527791,42.6
2019-06-25,43.5,44.6,43.3,43.8,926956,42.8
2019-06-26,44.2,44.6,43.8,44.2,819202,43.8
2019-06-27,44.3,44.7,43.7,44.2,622643,44.2
2019-06-30,44.5,45.3,44.3,44.7,621251,44.2
2019-07-02,44.9,47.4,44.5,46.9,2229485,44.7
2019-07-03,47.3,47.8,45.6,46.0,1614944,46.9
2019-07-04,46.1,46.3,45.4,45.6,1332901,46.0
2019-07-07,45.4,45.7,44.7,44.9,651693,45.6
2019-07-08,44.9,45.2,44.6,44.8,570196,44.9
2019-07-09,44.8,44.8,43.0,43.2,620757,44.8
2019-07-10,43.2,43.6,42.6,42.8,407623,43.2
2019-07-11,42.9,43.7,42.6,42.8,276610,42.8
2019-07-14,42.9,43.0,41.5,41.7,259765,42.8
2019-07-15,42.0,42.0,40.7,40.8,287068,41.7
2019-07-16,41.2,42.0,40.5,41.5,340104,40.8
2019-07-17,41.7,42.7,41.4,42.3,218045,41.5
2019-07-18,42.4,42.9,41.8,42.2,460779,42.3
2019-07-21,41.6,42.1,40.4,40.6,420675,42.2
2019-07-22,40.9,41.0,39.2,40.2,568879,40.6
2019-07-23,40.4,41.8,40.4,41.3,178199,40.2
2019-07-24,41.2,41.9,40.6,41.5,453342,41.3
2019-07-25,41.5,42.0,41.5,41.7,231661,41.5
2019-07-28,41.8,42.2,40.5,40.7,348539,41.7
2019-07-29,41.0,42.3,40.4,42.0,532122,40.7
2019-07-30,42.0,42.7,41.2,41.3,313160,42.0
2019-07-31,41.6,41.6,40.5,40.8,425951,41.3
2019-08-01,41.1,41.9,40.8,41.7,296444,40.8
2019-08-04,41.6,42.4,41.6,42.0,364271,41.7
2019-08-05,41.7,42.0,41.3,41.4,453356,42.0
2019-08-06,41.5,42.5,41.5,41.8,395727,41.4
2019-08-07,41.7,41.9,41.2,41.3,395490,41.8
2019-08-08,41.2,41.7,41.1,41.3,181962,41.3
2019-08-18,41.6,41.6,40.8,41.0,204596,41.3
2019-08-19,41.0,41.5,40.5,40.7,754172,41.0
2019-08-20,40.7,41.6,40.6,40.8,389328,40.7
2019-08-21,40.9,41.5,40.3,40.5,422620,40.8
2019-08-22,40.9,41.3,40.3,40.5,300868,40.5
2019-08-25,40.6,40.9,40.2,40.3,221084,40.5
2019-08-26,40.4,40.4,39.6,39.7,367312,40.3
2019-08-27,39.6,39.9,39.1,39.4,357595,39.7
2019-08-28,39.5,39.6,38.5,38.7,218604,39.4
2019-08-29,38.8,38.8,37.6,37.6,285766,38.7
2019-09-01,37.9,38.0,37.0,37.1,211997,37.6
2019-09-02,36.9,37.2,35.2,35.5,356785,37.1
2019-09-03,35.5,37.0,34.5,36.0,331671,35.5
2019-09-04,36.4,37.6,36.4,36.8,363130,36.0
2019-09-05,36.9,37.6,36.7,36.8,167371,36.8
2019-09-08,37.0,37.3,35.1,35.3,220087,36.8
2019-09-09,35.3,35.4,34.5,34.6,260279,35.3
2019-09-11,34.8,34.9,33.0,33.2,265204,34.6
2019-09-12,33.5,34.6,33.0,34.2,212416,33.2
