date,open,high,low,close,volume,prev_closing_price
2013-07-16,10.6,11.5,10.4,11.0,172000,10.0
2013-07-17,11.0,11.3,10.0,10.1,83000,11.0
2013-07-18,9.9,10.2,9.9,10.0,4500,10.1
2013-07-21,10.0,10.0,9.1,9.3,14000,10.0
2013-07-22,11.0,11.0,9.1,9.3,14000,9.3
2013-07-23,9.6,9.6,8.8,9.0,7000,9.3
2013-07-24,9.0,9.9,8.6,9.8,48500,9.0
2013-07-25,9.9,9.9,9.0,9.3,20500,9.8
2013-07-28,9.0,9.0,8.9,8.9,7500,9.3
2013-07-29,8.9,8.9,8.7,8.8,13500,8.9
2013-07-30,8.1,9.0,8.1,8.2,29500,8.8
2013-07-31,8.3,8.4,7.7,8.2,12500,8.2
2013-08-01,8.3,8.3,7.8,7.9,7500,8.2
2013-08-04,7.7,7.7,7.7,7.7,500,7.9
2013-08-05,7.9,8.0,7.7,7.9,30500,7.7
2013-08-12,8.6,8.6,7.9,8.0,6000,7.9
2013-08-13,8.0,8.0,8.0,8.0,1000,8.0
2013-08-14,8.0,8.0,7.6,7.6,15500,8.0
2013-08-18,7.5,7.6,7.5,7.5,12000,7.6
2013-08-19,7.8,7.8,7.7,7.7,22000,7.5
2013-08-20,7.8,7.8,7.6,7.6,10000,7.7
2013-08-21,7.6,7.6,7.4,7.5,10500,7.6
2013-08-22,7.6,7.9,7.5,7.6,20500,7.5
2013-08-25,7.5,7.7,7.5,7.6,10500,7.6
2013-08-26,7.6,7.6,7.4,7.5,9000,7.6
2013-08-27,7.7,7.7,7.4,7.4,4500,7.5
2013-08-29,7.5,7.5,7.4,7.4,26500,7.4
2013-09-01,7.4,0.0,0.0,7.4,0,7.4
2013-09-02,7.4,7.4,7.3,7.3,3500,7.4
2013-09-03,7.3,0.0,0.0,7.3,0,7.3
2013-09-04,7.5,7.5,7.4,7.4,1000,7.3
2013-09-05,7.4,7.4,7.0,7.1,8000,7.4
2013-09-08,7.1,0.0,0.0,7.1,0,7.1
2013-09-09,7.1,0.0,0.0,7.1,0,7.1
2013-09-10,7.1,7.1,6.6,6.9,21500,7.1
2013-09-11,7.4,7.5,7.0,7.1,5500,6.9
2013-09-12,7.1,0.0,0.0,7.1,0,7.1
2013-09-15,6.8,6.8,6.8,6.8,500,7.1
2013-09-16,6.5,7.0,6.5,6.8,19000,6.8
2013-09-17,7.0,7.1,7.0,7.0,5500,6.8
2013-09-18,7.1,7.2,7.1,7.1,10000,7.0
2013-09-19,7.0,7.1,6.8,6.9,22000,7.1
2013-09-22,7.0,7.0,6.8,6.9,5000,6.9
2013-09-23,6.9,0.0,0.0,6.9,0,6.9
2013-09-24,6.8,6.9,6.8,6.8,6000,6.9
2013-09-25,6.9,7.0,6.9,6.9,15500,6.8
2013-09-26,7.0,7.1,7.0,7.0,23500,6.9
2013-09-29,7.1,7.3,7.1,7.2,10500,7.0
2013-09-30,7.2,7.2,7.0,7.1,11000,7.2
2013-10-01,7.1,7.6,7.1,7.3,16500,7.1
2013-10-02,7.7,8.0,7.3,7.8,36000,7.3
2013-10-03,7.4,7.8,7.4,7.5,8500,7.8
2013-10-06,7.5,0.0,0.0,7.5,0,7.5
2013-10-07,7.5,0.0,0.0,7.5,0,7.5
2013-10-08,7.1,7.6,6.9,7.2,26500,7.5
2013-10-09,7.2,0.0,0.0,7.2,0,7.2
2013-10-10,7.7,7.7,7.7,7.7,2000,7.2
2013-10-20,7.2,7.2,7.2,7.2,500,7.7
2013-10-21,6.9,6.9,6.9,6.9,4500,7.2
2013-10-22,7.4,7.4,7.4,7.4,2000,6.9
2013-10-23,7.4,7.4,7.4,7.4,2500,7.4
2013-10-24,7.3,7.3,7.0,7.0,3000,7.4
2013-10-27,7.7,7.7,7.3,7.3,6500,7.0
2013-10-28,7.4,7.4,7.4,7.4,500,7.3
2013-10-29,7.3,7.5,7.3,7.4,4500,7.4
2013-10-30,7.4,0.0,0.0,7.4,0,7.4
2013-10-31,7.4,7.4,7.3,7.3,3000,7.4
2013-11-03,7.8,7.8,7.4,7.4,4500,7.3
2013-11-04,7.4,0.0,0.0,7.4,0,7.4
2013-11-05,7.4,0.0,0.0,7.4,0,7.4
2013-11-06,7.4,0.0,0.0,7.4,0,7.4
2013-11-07,7.8,7.9,7.4,7.6,21000,7.4
2013-11-10,7.9,7.9,7.9,7.9,500,7.6
2013-11-11,8.0,8.0,8.0,8.0,15000,7.9
2013-11-12,8.4,8.4,8.0,8.0,8000,8.0
2013-11-13,8.1,8.1,7.9,8.0,24000,8.0
2013-11-14,7.9,8.0,7.9,7.9,8500,8.0
2013-11-17,7.9,0.0,0.0,7.9,0,7.9
2013-11-18,7.9,0.0,0.0,7.9,0,7.9
2013-11-19,8.0,8.4,8.0,8.2,21000,7.9
2013-11-20,8.2,8.2,8.1,8.1,11000,8.2
