date,open,high,low,close,volume,prev_closing_price
2012-03-19,13.0,14.0,10.0,10.1,54500,10.0
2012-03-20,9.9,10.9,9.0,9.9,18500,10.1
2012-03-21,10.0,10.1,9.4,9.7,10000,9.9
2012-03-22,9.9,9.9,9.6,9.6,11000,9.7
2012-03-25,8.7,9.8,8.7,9.0,12500,9.6
2012-03-27,9.2,9.2,8.9,9.0,19500,9.0
2012-03-28,9.8,9.8,9.1,9.2,7000,9.0
2012-03-29,9.7,9.7,9.0,9.3,6500,9.2
2012-04-01,9.8,9.8,9.6,9.7,4000,9.3
2012-04-02,9.2,9.9,9.2,9.7,5500,9.7
2012-04-03,9.3,9.9,9.3,9.6,9000,9.7
2012-04-04,9.9,9.9,9.1,9.5,13500,9.6
2012-04-05,9.9,9.9,9.3,9.5,9000,9.5
2012-04-08,9.5,9.7,9.5,9.6,2000,9.5
2012-04-09,9.7,9.7,9.1,9.5,4500,9.6
2012-04-10,9.7,9.7,9.5,9.5,8500,9.5
2012-04-11,9.5,9.8,9.4,9.5,15000,9.5
2012-04-12,9.2,9.8,9.2,9.6,8500,9.5
2012-04-15,9.7,9.7,9.5,9.6,5000,9.6
2012-04-16,9.5,9.7,9.4,9.5,8500,9.6
2012-04-17,9.5,9.9,9.5,9.7,12500,9.5
2012-04-18,9.8,9.9,9.5,9.7,7000,9.7
2012-04-19,9.7,0.0,0.0,9.7,0,9.7
2012-04-22,9.2,9.7,9.1,9.3,12000,9.7
2012-04-23,9.6,9.6,9.3,9.4,4500,9.3
2012-04-24,9.3,9.3,9.1,9.2,3000,9.4
2012-04-25,9.8,9.8,9.1,9.2,5500,9.2
2012-04-26,9.7,9.8,9.0,9.4,4500,9.2
2012-04-29,9.2,9.2,9.2,9.2,1000,9.4
2012-04-30,9.7,9.7,9.1,9.2,4500,9.2
2012-05-02,9.7,9.7,9.3,9.4,3000,9.2
2012-05-03,9.4,9.7,9.4,9.5,2000,9.4
2012-05-07,9.1,9.1,9.1,9.1,500,9.5
2012-05-08,9.2,9.2,9.1,9.1,2500,9.1
2012-05-09,9.2,9.5,9.1,9.2,2000,9.1
2012-05-10,9.7,9.7,9.1,9.3,7000,9.2
2012-05-13,9.2,9.3,9.2,9.2,2000,9.3
2012-05-14,9.5,9.5,9.3,9.3,3500,9.2
2012-05-15,9.7,9.7,9.4,9.5,1000,9.3
2012-05-16,9.1,9.4,9.1,9.2,1000,9.5
2012-05-17,9.0,9.4,9.0,9.1,5000,9.2
2012-05-20,9.5,9.5,9.5,9.5,500,9.1
2012-05-21,9.5,9.5,9.5,9.5,500,9.5
2012-05-22,9.2,9.4,8.9,9.2,4000,9.5
2012-05-23,9.7,9.7,8.7,9.1,5500,9.2
2012-05-24,10.0,10.0,9.0,9.2,2000,9.1
2012-05-27,8.6,9.2,8.6,8.9,2500,9.2
2012-05-28,9.5,9.5,8.8,9.1,1000,8.9
2012-05-29,9.5,9.5,8.6,9.0,3000,9.1
2012-05-30,9.4,9.5,9.0,9.3,5000,9.0
2012-05-31,9.9,9.9,9.9,9.9,500,9.3
2012-06-03,9.1,9.9,9.1,9.6,5500,9.9
2012-06-04,9.9,9.9,9.1,9.5,3500,9.6
2012-06-05,9.7,9.7,9.1,9.3,1500,9.5
2012-06-06,9.5,9.5,9.0,9.2,1500,9.3
2012-06-07,9.3,9.9,9.1,9.5,6500,9.2
2012-06-10,9.7,9.8,9.1,9.4,6000,9.5
2012-06-11,9.8,9.8,9.0,9.2,3000,9.4
2012-06-12,9.8,9.8,9.1,9.3,1500,9.2
2012-06-13,9.1,9.3,9.1,9.1,1500,9.3
2012-06-14,9.9,9.9,8.7,9.1,8500,9.1
2012-06-17,8.5,9.6,8.5,9.2,4500,9.1
2012-06-18,8.9,9.5,8.9,9.1,1500,9.2
2012-06-19,9.9,9.9,9.2,9.3,2000,9.1
2012-06-20,9.4,9.6,9.1,9.3,4000,9.3
2012-06-21,9.5,9.5,9.3,9.3,2000,9.3
2012-06-24,9.4,9.5,9.4,9.4,1000,9.3
2012-06-25,9.5,9.5,9.0,9.2,1000,9.4
2012-06-26,9.3,9.4,9.0,9.2,2000,9.2
2012-06-27,9.1,9.5,9.1,9.3,2500,9.2
2012-06-28,9.6,9.6,9.3,9.4,1000,9.3
2012-07-02,9.0,9.0,9.0,9.0,1000,9.4
2012-07-03,9.1,9.1,9.1,9.1,1000,9.0
2012-07-04,9.0,9.2,8.8,8.9,4500,9.1
2012-07-05,9.0,9.3,9.0,9.1,2000,8.9
2012-07-08,9.4,9.4,9.1,9.1,2000,9.1
2012-07-09,9.0,9.0,9.0,9.0,2500,9.1
2012-07-10,9.2,9.2,9.2,9.2,500,9.0
2012-07-11,8.9,9.2,8.9,9.1,1500,9.2
2012-07-12,9.9,9.9,9.9,9.9,500,9.1
2012-07-15,9.9,0.0,0.0,9.9,0,9.9
2012-07-16,9.1,9.1,9.1,9.1,3500,9.9
2012-07-17,9.5,9.5,9.0,9.2,3000,9.1
2012-07-18,9.9,9.9,9.1,9.2,5000,9.2
2012-07-19,9.9,9.9,9.2,9.3,3000,9.2
2012-07-22,9.1,9.4,9.1,9.2,1000,9.3
2012-07-23,9.1,9.1,9.1,9.1,5000,9.2
2012-07-24,9.6,9.6,9.6,9.6,1000,9.1
2012-07-25,9.2,9.2,9.2,9.2,1500,9.6
2012-07-26,9.8,9.8,9.2,9.4,3000,9.2
2012-07-29,9.2,9.2,9.2,9.2,1500,9.4
2012-07-30,9.2,0.0,0.0,9.2,0,9.2
2012-08-01,9.1,9.1,9.1,9.1,1000,9.2
2012-08-02,9.3,9.3,9.3,9.3,500,9.1
2012-08-05,9.3,0.0,0.0,9.3,0,9.3
2012-08-06,10.0,10.0,9.0,9.2,3000,9.3
2012-08-07,9.8,9.9,9.8,9.8,1000,9.2
2012-08-08,9.7,10.1,9.4,9.7,14500,9.8
2012-08-12,9.3,9.3,9.3,9.3,1000,9.7
2012-08-13,9.3,9.3,9.3,9.3,500,9.3
2012-08-14,9.3,9.9,9.3,9.6,1000,9.3
2012-08-26,9.2,9.4,9.1,9.1,3000,9.6
2012-08-27,9.9,9.9,9.9,9.9,500,9.1
2012-08-28,9.0,9.8,9.0,9.5,2500,9.9
2012-08-29,9.5,9.7,9.5,9.5,5000,9.5
2012-08-30,9.8,9.9,9.3,9.6,12500,9.5
2012-09-02,9.0,9.6,9.0,9.2,2000,9.6
2012-09-03,9.7,9.8,9.0,9.5,4500,9.2
2012-09-04,9.5,9.5,9.5,9.5,1000,9.5
2012-09-05,9.6,9.6,9.6,9.6,500,9.5
2012-09-06,9.8,9.9,9.2,9.6,4500,9.6
2012-09-09,9.7,9.7,9.1,9.2,4000,9.6
2012-09-10,9.9,9.9,9.0,9.3,9500,9.2
2012-09-11,9.9,10.1,9.2,9.6,3500,9.3
2012-09-12,9.9,9.9,9.3,9.5,2500,9.6
2012-09-13,9.9,9.9,9.2,9.3,3500,9.5
2012-09-16,9.3,9.3,9.3,9.3,1000,9.3
2012-09-17,9.2,9.4,9.1,9.2,6000,9.3
2012-09-18,9.2,9.8,9.1,9.2,11500,9.2
2012-09-19,9.8,9.9,9.3,9.5,6000,9.2
2012-09-20,9.3,9.8,9.3,9.5,5000,9.5
2012-09-23,9.1,10.0,9.1,9.5,7000,9.5
2012-09-24,9.1,10.0,9.1,9.6,4000,9.5
2012-09-25,9.8,9.9,9.6,9.7,6500,9.6
2012-09-26,9.3,9.9,9.3,9.6,5500,9.7
2012-09-27,9.6,9.9,9.6,9.7,4500,9.6
2012-09-30,10.0,10.5,9.7,10.0,2000,9.7
2012-10-01,9.5,10.0,9.5,9.7,1000,10.0
2012-10-02,9.1,10.0,9.1,9.9,9000,9.7
2012-10-03,10.0,10.6,9.6,9.8,100500,9.9
2012-10-04,10.0,10.2,9.9,10.0,6000,9.8
2012-10-07,9.9,9.9,9.9,9.9,3500,10.0
2012-10-08,9.1,9.1,9.1,9.1,500,9.9
2012-10-09,9.8,10.0,9.7,9.9,5000,9.1
2012-10-10,10.1,10.2,9.1,9.5,13000,9.9
2012-10-11,10.4,10.4,9.0,9.0,30500,9.5
2012-10-14,9.1,9.3,9.1,9.1,3000,9.0
2012-10-15,9.4,9.8,9.4,9.5,10500,9.1
2012-10-16,9.5,9.7,9.3,9.4,4000,9.5
2012-10-17,9.7,9.7,9.4,9.5,2000,9.4
2012-10-18,9.6,9.9,9.1,9.6,8500,9.5
2012-10-21,9.6,0.0,0.0,9.6,0,9.6
2012-10-22,9.8,9.8,9.5,9.5,4500,9.6
2012-10-23,9.6,9.6,9.2,9.4,4000,9.5
2012-10-30,9.4,9.4,9.4,9.4,5500,9.4
2012-10-31,9.5,9.5,9.3,9.4,8500,9.4
2012-11-01,9.3,9.5,9.0,9.1,11500,9.4
2012-11-04,9.2,9.2,9.0,9.1,4500,9.1
2012-11-05,9.3,9.3,9.3,9.3,500,9.1
2012-11-06,9.1,9.4,9.1,9.1,6500,9.3
2012-11-07,9.1,9.2,9.0,9.1,12000,9.1
2012-11-08,9.0,9.0,9.0,9.0,500,9.1
2012-11-11,9.7,9.7,8.9,9.3,1000,9.0
2012-11-12,8.9,9.0,8.9,8.9,1000,9.3
2012-11-13,9.0,9.0,9.0,9.0,500,8.9
2012-11-14,9.0,9.0,8.9,8.9,1000,9.0
2012-11-15,9.0,9.2,9.0,9.1,2000,8.9
2012-11-18,9.1,9.1,9.1,9.1,1000,9.1
2012-11-19,9.1,0.0,0.0,9.1,0,9.1
2012-11-20,9.1,9.1,8.9,8.9,5500,9.1
2012-11-21,8.9,0.0,0.0,8.9,0,8.9
2012-11-22,9.1,9.2,9.1,9.1,3000,8.9
2012-11-26,8.8,8.8,8.8,8.8,500,9.1
2012-11-27,8.8,0.0,0.0,8.8,0,8.8
2012-11-28,8.8,0.0,0.0,8.8,0,8.8
2012-11-29,9.1,9.1,9.1,9.1,1000,8.8
2012-12-02,9.2,9.2,9.2,9.2,500,9.1
2012-12-03,8.8,8.8,8.8,8.8,500,9.2
2012-12-04,9.1,9.3,9.1,9.2,1500,8.8
2012-12-05,9.2,9.3,9.2,9.2,1500,9.2
2012-12-06,9.3,9.5,9.0,9.2,4500,9.2
2012-12-09,9.2,0.0,0.0,9.2,0,9.2
2012-12-10,8.8,8.8,8.8,8.8,500,9.2
2012-12-11,8.6,9.2,8.6,8.8,1500,8.8
2012-12-12,9.1,9.1,9.1,9.1,500,8.8
2012-12-13,9.1,9.3,9.1,9.1,2500,9.1
2012-12-17,9.2,9.2,9.0,9.0,4000,9.1
2012-12-18,9.0,0.0,0.0,9.0,0,9.0
2012-12-19,9.0,0.0,0.0,9.0,0,9.0
2012-12-20,9.2,9.3,9.2,9.2,1500,9.0
2012-12-23,9.2,0.0,0.0,9.2,0,9.2
2012-12-24,8.5,9.3,8.5,9.0,6500,9.2
2012-12-26,9.2,9.5,9.2,9.3,5000,9.0
2012-12-27,9.4,10.0,9.2,9.7,8500,9.3
2012-12-30,10.5,10.5,9.7,10.1,21500,9.7
2013-01-01,10.1,0.0,0.0,10.1,0,10.1
2013-01-02,10.1,0.0,0.0,10.1,0,10.1
