date,open,high,low,close,volume,prev_closing_price
2008-03-06,4.5,4.6,4.4,4.4,48000,4.5
2008-03-09,4.5,4.5,4.5,4.5,6500,4.4
2008-03-09,4.5,4.5,4.5,4.5,6500,4.4
2008-03-10,4.5,4.7,4.5,4.6,53000,4.5
2008-03-11,4.8,5.0,4.6,4.8,90500,4.6
2008-03-12,5.0,5.6,5.0,5.2,167500,4.8
2008-03-13,4.7,5.6,4.7,5.4,67000,5.2
2008-03-16,5.6,5.8,5.5,5.6,106000,5.4
2008-03-17,5.9,6.1,5.9,5.9,215500,5.6
2008-03-18,5.8,5.9,5.5,5.6,138500,5.9
2008-03-19,5.6,5.9,5.6,5.8,128000,5.6
2008-03-20,5.8,6.8,5.8,6.2,362500,5.8
2008-03-23,6.3,7.1,6.3,6.7,334000,6.2
2008-03-24,6.6,6.9,6.3,6.5,129000,6.7
2008-03-25,6.6,6.9,6.5,0.0,143500,6.5
2008-03-30,6.7,6.8,6.6,6.6,112500,6.7
2008-03-31,6.6,6.7,6.4,6.4,124500,6.6
2008-04-01,6.3,6.4,6.2,6.2,42500,6.4
2008-04-02,6.1,6.4,6.0,6.2,33000,6.2
2008-04-03,6.2,6.3,6.1,6.1,35000,6.2
2008-04-06,6.0,6.1,5.9,5.9,33500,6.1
2008-04-07,6.0,6.0,5.9,5.9,29000,5.9
2008-04-08,5.9,6.2,5.9,6.0,56000,5.9
2008-04-09,6.3,6.5,6.2,6.3,27000,6.0
2008-04-10,6.5,6.5,6.0,6.2,32000,6.3
2008-04-13,6.5,6.5,6.0,6.0,49500,6.2
2008-04-15,6.1,6.3,6.0,6.0,29000,6.0
2008-04-16,6.3,6.6,6.2,6.3,75000,6.0
2008-04-17,6.5,7.2,6.3,7.0,373500,6.3
2008-04-20,7.2,7.8,7.1,7.5,202000,7.0
2008-04-21,7.9,8.6,7.5,8.2,273000,7.5
2008-04-22,8.4,9.0,8.0,8.2,140500,8.2
2008-04-23,8.5,8.5,7.6,7.9,183000,8.2
2008-04-24,7.4,7.7,7.0,7.3,61000,7.9
2008-04-27,7.3,7.5,6.8,6.8,43500,7.3
2008-04-28,6.4,6.8,6.4,6.5,48000,6.8
2008-04-29,6.5,7.1,6.5,6.8,49500,6.5
2008-04-30,6.7,6.8,6.5,6.6,13000,6.8
2008-05-04,6.5,6.5,6.3,6.3,18000,6.6
2008-05-05,6.5,6.5,6.2,6.3,54500,6.3
2008-05-06,6.3,6.5,6.3,6.3,30000,6.3
2008-05-07,6.5,7.0,6.5,6.8,38500,6.3
2008-05-08,7.2,7.2,6.8,6.9,16000,6.8
2008-05-11,6.8,7.0,6.7,6.8,16000,6.9
2008-05-12,6.9,7.0,6.3,6.4,76500,6.8
2008-05-13,6.4,6.5,6.3,6.3,25500,6.4
2008-05-14,6.3,6.3,6.0,6.1,108500,6.3
2008-05-15,6.2,6.3,6.1,6.2,35500,6.1
2008-05-18,6.2,6.4,6.2,6.2,11000,6.2
2008-05-20,6.3,6.5,6.3,6.4,48000,6.2
2008-05-21,6.5,7.0,6.4,7.0,97000,6.4
2008-05-22,7.0,7.9,7.0,7.7,203500,7.0
2008-05-25,8.4,9.1,8.0,8.7,393000,7.7
2008-05-26,8.8,8.8,8.2,8.4,173000,8.7
2008-05-27,8.2,9.0,8.2,8.7,168500,8.4
2008-05-28,8.8,8.8,8.3,8.3,106500,8.7
2008-05-29,8.2,8.3,7.9,8.0,95000,8.3
2008-06-01,8.7,9.4,8.6,9.0,200000,8.0
2008-06-02,9.2,9.9,9.1,9.8,160000,9.0
2008-06-03,9.7,9.8,9.0,9.0,211500,9.8
2008-06-04,8.7,9.6,8.7,9.5,115000,9.0
2008-06-05,9.3,9.6,9.0,9.0,124000,9.5
2008-06-08,9.0,9.4,8.7,9.2,98500,9.0
2008-06-09,9.0,9.0,8.5,8.7,78500,9.2
2008-06-10,8.8,8.9,8.4,8.5,81500,8.7
2008-06-11,8.5,8.5,8.0,8.1,49000,8.5
2008-06-12,8.3,8.4,8.0,8.0,54500,8.1
2008-06-15,8.2,8.2,7.8,0.0,58000,8.0
2008-06-16,8.0,8.3,7.8,0.0,22000,7.9
2008-06-17,8.5,8.6,8.0,8.1,15500,7.9
2008-06-18,8.1,8.2,7.9,0.0,20500,8.1
2008-06-19,8.0,8.2,7.9,7.9,31000,8.0
2008-06-22,7.7,8.0,7.6,0.0,17000,7.9
2008-06-23,7.5,7.7,7.5,0.0,17500,7.7
2008-06-24,7.8,8.1,7.8,7.9,31000,7.5
2008-06-25,8.0,8.0,7.9,7.9,25500,7.9
2008-06-26,7.8,7.8,7.6,7.6,24000,7.9
2008-06-29,7.7,7.7,6.9,7.2,42000,7.6
2008-06-30,7.1,7.1,6.8,6.9,17000,7.2
2008-07-02,7.0,7.3,6.8,6.8,13000,6.9
2008-07-03,6.8,7.1,6.8,6.9,13000,6.8
2008-07-06,7.0,7.0,6.9,6.9,10500,6.9
2008-07-07,6.8,6.8,6.6,6.7,7500,6.9
2008-07-08,6.9,6.9,6.8,6.8,4500,6.7
2008-07-08,6.9,6.9,6.8,6.8,4500,6.7
2008-07-09,6.8,6.9,6.8,6.8,2500,6.8
2008-07-10,6.9,7.1,6.9,6.9,15500,6.8
2008-07-13,7.0,7.5,7.0,7.3,21500,6.9
2008-07-14,7.6,8.0,7.6,7.8,25500,7.3
2008-07-15,7.9,7.9,7.6,7.8,25500,7.8
2008-07-16,7.6,7.6,7.5,7.5,5500,7.8
2008-07-17,7.5,7.5,7.4,7.4,14500,7.5
2008-07-20,7.7,7.7,7.3,7.4,11000,7.4
2008-07-21,7.2,7.3,7.2,7.2,16500,7.4
2008-07-22,7.3,7.3,7.2,7.2,26500,7.2
2008-07-23,7.2,7.4,7.2,7.2,16500,7.2
2008-07-24,7.4,7.8,7.4,7.5,32500,7.2
2008-07-27,7.5,7.6,7.4,7.5,8500,7.5
2008-07-28,7.5,7.5,7.4,7.4,17000,7.5
2008-07-29,7.4,7.6,7.4,7.4,16500,7.4
2008-07-30,7.5,7.6,7.4,7.5,15500,7.4
2008-07-31,7.4,7.4,7.4,7.4,3000,7.5
2008-08-03,7.4,7.4,7.3,7.3,4000,7.4
2008-08-04,7.2,7.2,7.1,7.1,4500,7.3
2008-08-05,7.2,7.3,7.2,7.2,4000,7.1
2008-08-06,7.3,7.4,7.3,7.3,17500,7.2
2008-08-07,7.2,7.3,6.9,7.1,33000,7.3
2008-08-10,6.7,7.0,6.7,6.8,2500,7.1
2008-08-11,6.8,6.8,6.8,6.8,1000,6.8
2008-08-12,7.0,7.0,7.0,7.0,500,6.8
2008-08-13,6.8,7.0,6.8,6.8,11500,7.0
2008-08-14,7.1,7.1,6.9,6.9,11500,6.8
2008-08-18,6.9,6.9,6.7,6.7,29000,6.9
2008-08-19,6.7,6.7,6.5,6.5,21000,6.7
2008-08-20,6.7,6.9,6.7,6.7,12500,6.5
2008-08-21,6.9,6.9,6.7,6.7,11500,6.7
2008-08-25,6.7,6.7,6.7,6.7,6000,6.7
2008-08-26,6.6,7.0,6.6,6.7,18000,6.7
2008-08-27,7.0,7.1,6.9,6.9,12000,6.7
2008-08-28,6.8,7.0,6.8,6.9,5500,6.9
2008-08-31,6.9,7.0,6.8,6.8,5500,6.9
2008-09-01,6.9,7.0,6.9,6.9,25000,6.8
2008-09-02,6.9,6.9,6.9,6.9,12500,6.9
2008-09-03,6.9,6.9,6.9,6.9,2000,6.9
2008-09-04,6.9,6.9,6.8,6.8,7500,6.9
2008-09-07,6.8,7.0,6.8,6.9,24500,6.8
2008-09-08,6.9,7.0,6.7,6.8,12000,6.9
2008-09-09,6.8,7.0,6.8,6.8,18000,6.8
2008-09-10,6.8,6.8,6.8,6.8,8000,6.8
2008-09-11,6.8,6.9,6.7,6.8,15000,6.8
2008-09-14,6.9,6.9,6.8,6.8,5500,6.8
2008-09-15,6.8,6.9,6.7,6.7,14500,6.8
2008-09-16,6.7,6.7,6.5,6.6,22500,6.7
2008-09-17,6.6,6.6,6.3,6.4,10500,6.6
2008-09-18,6.4,6.5,6.4,6.4,9000,6.4
2008-09-21,6.3,6.3,5.9,6.0,19500,6.4
2008-09-22,6.0,6.0,5.8,5.9,5000,6.0
2008-09-23,6.0,6.3,6.0,6.1,3000,5.9
2008-09-24,6.5,6.5,5.9,5.9,30000,6.1
2008-09-25,6.3,6.5,6.2,6.3,16000,5.9
2008-10-05,6.7,7.1,6.6,6.8,20500,6.3
2008-10-06,7.1,7.1,6.9,6.9,40000,6.8
2008-10-07,6.9,7.1,6.9,6.9,16500,6.9
2008-10-08,7.0,7.5,6.9,7.2,82000,6.9
2008-10-12,7.5,7.5,7.0,7.0,34500,7.2
2008-10-13,7.2,7.3,7.0,7.1,3500,7.0
2008-10-14,7.3,7.3,6.9,6.9,25500,7.1
2008-10-15,6.9,7.0,6.9,6.9,35000,6.9
2008-10-16,7.0,7.0,6.7,6.8,7500,6.9
2008-10-19,6.7,8.0,6.7,7.8,71500,6.8
2008-10-20,7.8,7.8,7.2,7.2,29500,7.8
2008-10-21,7.0,7.5,7.0,7.4,65000,7.2
2008-10-22,7.4,8.0,7.4,7.5,106000,7.4
2008-10-23,7.7,8.5,7.7,8.3,152000,7.5
2008-10-26,8.5,9.4,8.5,9.1,238000,8.3
2008-10-27,9.4,9.8,8.4,8.6,243000,9.1
2008-10-28,8.2,8.7,7.9,8.3,65000,8.6
2008-10-29,8.3,8.3,8.2,8.2,19500,8.3
2008-10-30,8.3,8.7,8.3,8.4,58500,8.2
2008-11-02,8.1,8.2,8.1,8.1,65500,8.4
2008-11-03,8.0,8.4,8.0,8.0,166000,8.1
2008-11-04,8.1,8.3,7.9,8.0,60000,8.0
2008-11-05,8.0,8.5,8.0,8.3,102500,8.0
2008-11-06,8.4,8.7,8.4,8.5,70500,8.3
2008-11-09,8.5,8.8,8.4,8.4,131500,8.5
2008-11-10,8.4,8.8,8.4,8.6,46000,8.4
2008-11-11,8.7,9.1,8.6,9.0,135000,8.6
2008-11-12,9.3,10.4,9.2,10.0,331500,9.0
2008-11-13,10.1,12.0,10.1,11.5,707000,10.0
2008-11-16,11.9,13.8,11.8,13.8,980000,11.5
2008-11-17,15.0,18.0,15.0,15.2,533500,13.8
2008-11-18,14.2,17.4,14.2,15.8,284500,15.2
2008-11-19,15.3,16.0,14.4,14.7,146500,15.8
2008-11-20,14.2,14.2,13.2,13.9,133000,14.7
2008-11-23,13.6,13.8,12.6,12.8,74000,13.9
2008-11-24,12.2,12.5,11.9,12.0,99500,12.8
2008-11-25,11.2,12.2,11.2,11.5,90500,12.0
2008-11-26,11.7,13.8,11.5,13.1,244000,11.5
2008-11-27,12.4,13.0,12.3,12.5,163000,13.1
2008-11-30,13.0,14.0,12.7,13.1,212000,12.5
2008-12-01,13.5,14.5,13.5,13.7,157500,13.1
2008-12-02,14.0,15.7,14.0,15.0,261000,13.7
2008-12-03,14.9,16.0,14.7,15.0,178500,15.0
2008-12-04,15.1,15.1,14.0,14.2,100500,15.0
2008-12-14,14.2,14.5,13.1,13.1,142500,14.2
2008-12-15,13.0,13.5,12.6,13.3,75500,13.1
2008-12-17,13.5,13.5,12.5,12.7,111500,13.3
2008-12-18,13.2,13.3,13.0,13.1,80500,12.7
2008-12-21,13.5,14.1,13.2,13.6,128500,13.1
2008-12-22,13.6,13.9,13.4,13.4,91000,13.6
2008-12-23,13.7,16.0,13.7,15.9,452000,13.4
2008-12-24,16.3,16.6,14.5,14.6,134500,15.9
2008-12-28,15.3,16.0,15.2,15.3,91000,14.6
2008-12-30,16.5,17.0,14.9,15.3,127500,15.3
2009-01-01,15.3,15.6,14.5,14.8,236000,15.3
2009-01-04,14.4,16.0,14.4,15.9,267500,14.8
2009-01-05,15.8,17.3,15.8,16.8,428500,15.9
2009-01-06,16.8,19.6,16.8,18.1,463000,16.8
2009-01-07,18.0,19.4,17.6,18.7,234000,18.1
2009-01-11,18.9,21.0,18.8,20.6,407000,18.7
2009-01-12,20.4,22.9,20.4,22.7,309000,20.6
2009-01-13,22.3,22.5,20.4,20.9,353000,22.7
2009-01-14,20.5,21.0,19.7,20.6,229000,20.9
2009-01-15,20.9,21.0,20.0,20.2,164000,20.6
2009-01-18,20.2,20.4,19.7,20.0,297500,20.2
2009-01-19,20.1,22.2,20.1,21.4,184000,20.0
2009-01-20,22.0,24.8,22.0,24.4,429000,21.4
2009-01-21,24.0,25.0,22.9,23.2,301000,24.4
2009-01-22,22.9,24.0,22.9,23.3,342000,23.2
2009-01-25,23.2,24.1,23.2,23.6,136000,23.3
2009-01-26,23.5,23.7,22.5,22.6,206500,23.6
2009-01-27,22.2,23.0,21.8,22.1,183500,22.6
2009-01-28,22.4,24.0,22.4,23.8,269500,22.1
2009-01-29,23.9,25.5,23.9,25.0,410000,23.8
2009-02-01,24.7,24.9,23.9,24.0,181500,25.0
2009-02-02,24.4,24.6,23.5,23.6,159500,24.0
2009-02-03,23.6,25.8,23.6,25.2,253000,23.6
2009-02-04,25.1,28.5,25.1,27.8,388000,25.2
2009-02-05,28.0,28.4,26.0,26.1,186500,27.8
2009-02-08,25.5,25.8,24.3,24.4,124000,26.1
2009-02-09,24.3,25.4,24.2,24.8,111000,24.4
2009-02-10,25.0,25.9,24.8,25.5,199500,24.8
2009-02-11,25.0,26.4,24.0,24.3,257000,25.5
2009-02-12,25.5,25.5,24.6,25.2,173500,24.3
2009-02-15,25.0,25.9,24.8,24.9,86500,25.2
2009-02-16,25.0,27.4,24.9,26.8,313500,24.9
2009-02-17,27.6,28.0,26.5,26.9,187000,26.8
2009-02-18,27.0,27.4,26.2,26.4,133000,26.9
2009-02-19,27.3,28.0,26.9,27.9,268000,26.4
2009-02-22,28.6,33.0,28.1,32.3,522500,27.9
2009-02-23,32.4,33.5,30.0,32.0,362500,32.3
2009-02-24,32.4,34.2,31.8,34.0,295000,32.0
2009-02-25,34.4,34.4,31.6,33.3,220500,34.0
2009-02-26,33.2,35.9,33.2,34.7,248500,33.3
2009-03-01,36.0,39.8,35.4,39.1,200000,34.7
2009-03-02,41.0,45.0,40.0,40.3,833000,39.1
2009-03-03,40.5,40.5,36.6,37.6,337000,40.3
2009-03-04,37.8,38.0,35.4,36.7,421000,37.6
2009-03-05,36.0,36.6,34.6,35.1,339000,36.7
2009-03-08,37.0,37.0,33.6,35.9,381000,35.1
2009-03-09,36.0,36.0,34.6,34.9,227500,35.9
2009-03-11,35.0,35.9,34.9,35.0,331500,34.9
2009-03-12,35.5,36.0,34.9,35.4,246000,35.0
2009-03-15,36.0,36.9,35.0,35.2,275500,35.4
2009-03-16,36.5,36.5,34.1,34.2,372000,35.2
2009-03-17,35.5,35.5,33.3,34.2,249000,34.2
2009-03-18,34.5,34.5,33.3,33.5,209500,34.2
2009-03-19,33.5,33.9,30.1,31.2,323000,33.5
2009-03-22,31.0,32.0,30.3,30.5,223000,31.2
2009-03-23,30.6,30.7,29.3,30.0,171000,30.5
2009-03-24,30.5,31.0,29.5,29.5,152500,30.0
2009-03-25,29.7,29.9,28.5,28.7,126500,29.5
2009-03-29,28.2,28.5,26.7,27.0,104500,28.7
2009-03-30,28.5,31.0,27.5,30.5,179500,27.0
2009-03-31,31.8,33.4,31.2,32.0,209500,30.5
2009-04-01,32.1,32.8,30.8,31.1,177500,32.0
2009-04-02,32.0,32.0,30.5,30.9,143500,31.1
2009-04-05,30.6,31.3,29.0,29.1,146500,30.9
2009-04-06,29.6,29.9,27.5,28.0,135500,29.1
2009-04-07,28.9,29.0,27.2,28.0,126000,28.0
2009-04-08,28.7,28.9,28.1,28.3,110500,28.0
2009-04-09,29.0,29.0,28.0,28.0,94000,28.3
2009-04-12,28.5,28.5,27.5,27.6,98500,28.0
2009-04-13,27.2,28.2,26.8,27.0,109000,27.6
2009-04-15,27.9,27.9,26.0,26.6,128500,27.0
2009-04-16,26.5,28.3,26.5,27.7,74000,26.6
2009-04-19,28.0,28.0,26.8,26.8,61000,27.7
2009-04-20,26.7,27.1,25.1,25.5,173000,26.8
2009-04-21,25.0,26.6,25.0,26.0,86000,25.5
2009-04-22,26.1,26.5,25.3,25.7,64500,26.0
2009-04-23,25.0,26.0,24.5,24.7,80000,25.7
2009-04-26,25.0,25.7,24.4,25.3,64500,24.7
2009-04-27,25.9,26.0,25.2,25.5,52500,25.3
2009-04-28,24.4,26.0,24.4,24.6,64000,25.5
2009-04-29,24.7,25.0,24.5,24.6,27000,24.6
2009-04-30,24.8,25.0,24.3,24.4,69500,24.6
2009-05-03,24.2,24.4,23.3,23.6,111500,24.4
2009-05-04,23.5,23.5,22.7,22.9,99500,23.6
2009-05-05,22.5,23.1,22.5,22.6,43000,22.9
2009-05-06,22.5,26.5,22.5,25.4,154500,22.6
2009-05-07,26.0,27.9,26.0,27.1,272000,25.4
2009-05-10,27.0,28.0,27.0,27.7,175000,27.1
2009-05-11,27.1,27.4,26.4,26.7,130000,27.7
2009-05-12,26.4,26.8,25.9,26.1,115500,26.7
2009-05-13,26.0,27.7,25.6,27.2,145000,26.1
2009-05-14,27.5,27.5,26.2,26.5,118000,27.2
2009-05-17,26.6,26.6,25.4,25.6,87000,26.5
2009-05-18,25.3,25.8,25.0,25.5,75500,25.6
2009-05-19,25.4,25.9,25.4,25.7,44500,25.5
2009-05-20,26.5,26.5,25.7,25.8,76000,25.7
2009-05-21,26.0,26.2,25.7,26.0,103500,25.8
2009-05-24,26.3,27.3,26.0,26.9,217000,26.0
2009-05-25,27.3,27.9,27.3,27.7,230500,26.9
2009-05-26,28.2,28.5,27.3,28.1,328000,27.7
2009-05-27,28.5,31.7,28.5,30.0,459500,28.1
2009-05-28,31.4,31.5,28.1,28.3,253000,30.0
2009-05-31,27.5,28.6,27.2,27.4,133500,28.3
2009-06-01,28.0,28.5,27.7,27.8,153500,27.4
2009-06-02,27.8,28.3,27.6,27.7,101500,27.8
2009-06-03,27.7,28.5,27.7,27.8,120500,27.7
2009-06-04,28.4,28.4,27.5,27.5,112500,27.8
2009-06-07,28.0,28.0,27.1,27.3,155500,27.5
2009-06-08,27.9,28.0,27.1,27.2,93000,27.3
2009-06-09,27.9,27.9,27.0,27.0,120000,27.2
2009-06-10,27.8,27.8,27.0,27.0,88000,27.0
2009-06-11,27.2,27.7,27.0,27.1,126500,27.0
2009-06-14,27.8,29.7,27.3,29.0,346000,27.1
2009-06-15,29.9,31.0,29.1,29.7,440500,29.0
2009-06-16,30.0,32.2,30.0,31.9,752500,29.7
2009-06-17,32.4,33.8,32.0,33.4,616000,31.9
2009-06-18,33.9,35.0,33.0,33.7,456000,33.4
2009-06-21,34.0,34.5,31.1,31.5,354500,33.7
2009-06-22,32.0,32.0,30.1,30.8,338500,31.5
2009-06-23,31.5,31.5,30.2,30.2,215500,30.8
2009-06-24,30.9,33.4,30.2,32.1,325500,30.2
2009-06-25,33.8,34.1,32.8,33.4,553000,32.1
2009-06-28,33.0,33.5,32.0,32.3,227500,33.4
2009-06-29,32.1,32.1,31.5,31.8,215000,32.3
2009-06-30,31.9,33.7,31.9,33.2,347000,31.8
2009-07-02,32.8,34.0,32.5,32.7,302500,33.2
2009-07-05,32.0,32.2,31.1,31.4,203500,32.7
2009-07-06,31.1,31.9,30.8,30.9,189000,31.4
2009-07-07,30.3,31.6,30.3,31.2,143000,30.9
2009-07-08,31.0,31.5,30.8,30.9,88500,31.2
2009-07-09,31.4,31.4,30.7,30.8,105500,30.9
2009-07-12,30.6,31.6,30.6,31.1,84000,30.8
2009-07-13,30.8,31.3,30.8,30.9,91500,31.1
2009-07-14,31.0,31.0,30.5,30.5,51500,30.9
2009-07-15,30.8,30.9,30.1,30.4,92500,30.5
2009-07-16,30.6,31.2,30.6,30.9,91500,30.4
2009-07-19,30.6,31.0,30.1,30.3,76000,30.9
2009-07-20,30.1,30.2,28.7,29.0,221500,30.3
2009-07-21,28.1,29.6,28.1,29.0,114000,29.0
2009-07-22,30.7,30.8,29.6,30.5,78500,29.0
2009-07-23,30.7,31.2,30.4,30.4,172000,30.5
