date,open,high,low,close,volume,prev_closing_price
2016-10-20,45.0,62.1,40.1,60.1,9496308,0.0
2016-10-23,61.0,65.0,55.3,56.3,1480056,60.1
2016-10-24,55.0,59.0,50.7,51.3,6716192,56.3
2016-10-25,51.6,53.0,47.7,48.1,3012380,51.3
2016-10-26,47.9,48.8,43.5,43.9,3971158,48.1
2016-10-27,44.1,46.8,43.2,43.7,2080179,43.9
2016-10-30,44.5,48.0,44.1,47.7,2745827,43.7
2016-10-31,47.2,48.3,43.6,44.0,2001989,47.7
2016-11-01,44.0,44.6,40.0,41.2,2583417,44.0
2016-11-02,41.6,42.5,40.5,41.6,1471542,41.2
2016-11-03,41.5,42.1,40.6,40.8,1331650,41.6
2016-11-06,41.2,42.8,40.6,41.4,1718854,40.8
2016-11-07,41.9,42.5,40.4,40.6,1620242,41.4
2016-11-08,41.4,42.5,40.6,42.2,2506542,40.6
2016-11-09,42.6,44.9,42.6,43.9,3020562,42.2
2016-11-10,43.9,44.2,42.7,42.9,1847897,43.9
2016-11-13,43.3,45.4,42.8,43.6,2231770,42.9
2016-11-14,44.5,45.5,43.6,44.1,2701107,43.6
2016-11-15,44.4,44.5,42.7,42.8,1379166,44.1
2016-11-16,43.2,43.8,42.9,43.3,1137439,42.8
2016-11-17,43.8,46.9,43.8,46.2,3337560,43.3
2016-11-20,46.5,48.6,46.0,46.9,2288890,46.2
2016-11-21,47.3,47.6,45.0,45.4,2058626,46.9
2016-11-22,45.7,48.2,45.4,47.0,2239802,45.4
2016-11-23,47.5,48.6,46.3,46.6,1768739,47.0
2016-11-24,47.0,47.3,46.0,46.3,1294681,46.6
2016-11-27,46.6,50.9,46.3,50.7,2916149,46.3
2016-11-28,51.9,52.5,50.2,50.9,2403980,50.7
2016-11-29,51.0,52.5,49.7,50.1,2273624,50.9
2016-11-30,50.7,54.8,49.9,53.4,2979337,50.1
2016-12-01,53.5,55.7,53.1,54.3,2926039,53.4
2016-12-04,54.1,54.7,52.1,52.4,2489995,54.3
2016-12-05,53.0,53.4,51.1,51.4,1736788,52.4
2016-12-06,52.4,53.6,51.6,52.5,1706139,51.4
2016-12-07,53.3,56.4,53.3,55.4,3392405,52.5
2016-12-08,56.0,57.9,54.4,57.3,2955513,55.4
2016-12-11,57.7,58.4,53.8,54.4,2221106,57.3
2016-12-12,54.9,57.5,53.7,56.4,2047774,54.4
2016-12-14,56.9,57.8,54.5,54.9,2015431,56.4
2016-12-15,55.5,56.2,53.3,53.7,1850861,54.9
2016-12-18,54.5,55.2,52.5,52.9,1728404,53.7
2016-12-19,53.0,54.4,52.5,52.8,1409790,52.9
2016-12-20,53.6,54.7,52.6,52.8,1550173,52.8
2016-12-21,53.0,53.4,51.0,51.6,1240082,52.8
2016-12-22,52.0,52.7,50.6,51.2,1533816,51.6
2016-12-26,52.0,54.2,51.6,53.9,1518233,51.2
2016-12-27,54.1,54.7,51.3,51.6,1266669,53.9
2016-12-28,51.7,52.6,51.1,51.4,1045963,51.6
2016-12-29,52.2,52.4,50.5,50.8,802052,51.4
2017-01-01,51.9,52.7,51.0,52.2,885913,50.8
2017-01-02,52.7,53.7,51.9,52.3,1234534,52.2
2017-01-03,52.8,54.9,52.1,54.3,1856182,52.3
2017-01-04,54.8,55.2,52.9,53.1,1238506,54.3
2017-01-05,53.5,54.2,52.9,53.4,1322961,53.1
2017-01-08,53.8,53.9,51.6,51.9,928344,53.4
2017-01-09,51.7,52.7,51.5,52.0,811625,51.9
2017-01-10,52.8,53.3,52.4,52.8,940694,52.0
2017-01-11,53.2,53.3,51.9,52.1,1031431,52.8
2017-01-12,52.2,52.5,51.3,51.6,686468,52.1
