date,open,high,low,close,volume,prev_closing_price
2008-03-06,650.0,710.25,631.0,701.25,815,618.25
2008-03-09,711.0,711.0,615.0,682.0,140,701.25
2008-03-09,711.0,711.0,615.0,682.0,140,701.25
2008-03-10,620.0,710.0,590.0,698.75,430,682.0
2008-03-11,709.0,709.0,650.0,654.5,305,698.75
2008-03-12,688.0,689.0,615.0,632.0,80,654.5
2008-03-13,592.0,600.0,590.25,0.0,125,632.0
2008-03-16,615.0,651.0,615.0,628.75,290,595.0
2008-03-17,640.0,660.0,630.0,647.75,180,628.75
2008-03-18,700.0,700.0,600.0,637.0,140,647.75
2008-03-19,648.0,648.0,606.0,614.25,105,637.0
2008-03-20,649.0,670.0,622.0,643.25,305,614.25
2008-03-23,658.0,660.0,615.0,647.75,305,643.25
2008-03-24,647.75,0.0,0.0,647.75,0,647.75
2008-03-25,648.0,743.25,648.0,741.0,795,647.75
2008-03-30,751.0,851.0,751.0,829.75,690,741.0
2008-03-31,850.0,850.0,751.0,774.5,50,829.75
2008-04-01,750.0,750.0,733.0,743.0,25,774.5
2008-04-02,750.0,787.0,750.0,763.0,200,743.0
2008-04-03,750.0,779.0,700.0,744.0,205,763.0
2008-04-06,780.0,800.0,770.0,787.0,215,744.0
2008-04-07,770.0,770.0,740.0,758.25,15,787.0
2008-04-08,720.25,720.25,720.0,720.0,25,758.25
2008-04-09,750.0,800.0,715.0,758.75,145,720.0
2008-04-10,769.0,769.0,710.0,742.75,45,758.75
2008-04-13,720.0,720.0,700.0,706.25,65,742.75
2008-04-15,720.0,720.0,681.0,695.25,40,706.25
2008-04-16,720.0,735.0,700.0,704.75,220,695.25
2008-04-17,750.0,760.0,715.0,723.75,115,704.75
2008-04-20,701.0,701.0,690.0,695.25,315,723.75
2008-04-21,710.0,710.0,700.0,708.0,50,695.25
2008-04-22,748.0,770.0,705.0,733.75,395,708.0
2008-04-23,730.0,750.0,700.0,710.0,135,733.75
2008-04-24,716.0,716.0,705.0,710.75,125,710.0
2008-04-27,710.0,710.0,700.0,704.0,50,710.75
2008-04-28,701.0,701.0,690.0,693.25,40,704.0
2008-04-29,700.0,700.0,682.0,683.75,70,693.25
2008-04-30,700.0,700.0,660.0,686.5,90,683.75
2008-05-04,689.0,690.0,689.0,689.25,70,686.5
2008-05-05,655.0,655.0,650.0,652.5,85,689.25
2008-05-06,690.0,690.0,660.5,672.0,30,652.5
2008-05-07,690.0,690.0,690.0,690.0,5,672.0
2008-05-08,718.0,720.0,680.0,714.5,255,690.0
2008-05-11,748.0,750.0,708.0,722.5,315,714.5
2008-05-12,758.0,758.0,700.0,732.75,20,722.5
2008-05-13,758.0,758.0,705.0,745.0,70,732.75
2008-05-14,754.0,754.0,701.0,740.75,40,745.0
2008-05-15,702.0,702.0,702.0,702.0,65,740.75
2008-05-18,700.0,700.0,691.0,691.5,65,702.0
2008-05-20,652.0,652.0,620.0,639.0,80,691.5
2008-05-21,650.0,650.0,650.0,650.0,500,639.0
2008-05-22,650.0,0.0,0.0,650.0,0,650.0
2008-05-25,650.0,0.0,0.0,650.0,0,650.0
2008-05-26,640.0,650.0,631.25,633.75,205,650.0
2008-05-27,616.0,616.0,616.0,616.0,10,633.75
2008-05-28,616.0,626.0,600.0,619.5,265,616.0
2008-05-29,611.0,647.0,610.0,623.0,195,619.5
2008-06-01,605.0,605.0,601.0,603.0,55,623.0
2008-06-02,606.0,606.0,575.0,597.75,200,603.0
2008-06-03,556.0,570.25,556.0,565.0,350,597.75
2008-06-04,571.0,575.0,570.0,572.0,220,565.0
2008-06-05,582.0,614.0,581.0,597.5,60,572.0
2008-06-08,609.0,610.0,609.0,609.5,30,597.5
2008-06-09,620.0,630.0,600.0,616.75,190,609.5
2008-06-10,571.0,571.0,570.25,570.5,20,616.75
2008-06-11,580.0,580.0,580.0,580.0,50,570.5
2008-06-12,580.0,0.0,0.0,580.0,0,580.0
2008-06-15,580.0,0.0,0.0,580.0,0,580.0
2008-06-16,570.0,599.75,570.0,0.0,210,580.0
2008-06-17,585.0,0.0,0.0,585.0,0,585.0
2008-06-18,600.0,602.0,600.0,0.0,535,585.0
2008-06-19,620.0,620.0,605.0,616.5,130,600.0
2008-06-22,620.0,636.0,620.0,0.0,210,616.5
2008-06-23,620.0,620.0,620.0,0.0,30,625.25
2008-06-24,608.0,608.0,608.0,608.0,10,620.0
2008-06-25,608.0,0.0,0.0,608.0,0,608.0
2008-06-26,608.0,0.0,0.0,608.0,0,608.0
2008-06-29,600.0,600.25,600.0,600.0,75,608.0
2008-06-30,590.25,590.25,585.0,585.75,35,600.0
2008-07-02,585.75,0.0,0.0,585.75,0,585.75
2008-07-03,585.75,0.0,0.0,585.75,0,585.75
2008-07-06,585.75,0.0,0.0,585.75,0,585.75
2008-07-07,585.75,0.0,0.0,585.75,0,585.75
2008-07-08,585.75,0.0,0.0,585.75,0,585.75
2008-07-08,585.75,0.0,0.0,585.75,0,585.75
2008-07-09,585.75,0.0,0.0,585.75,0,585.75
2008-07-10,580.0,580.0,580.0,580.0,10,585.75
2008-07-13,580.0,0.0,0.0,580.0,0,580.0
2008-07-14,580.0,0.0,0.0,580.0,0,580.0
