date,open,high,low,close,volume,prev_closing_price
2013-03-06,80.0,101.0,75.0,99.4,5544500,20.0
2013-03-07,96.1,100.6,89.1,90.7,965250,99.4
2013-03-10,90.0,94.0,76.2,78.3,553000,90.7
2013-03-11,82.5,82.5,66.2,73.9,1781250,78.3
2013-03-12,72.0,74.9,68.8,70.0,491500,73.9
2013-03-13,72.0,73.5,66.2,67.3,650750,70.0
2013-03-14,68.0,68.8,62.0,62.8,889250,67.3
2013-03-18,62.6,68.0,61.5,66.1,532750,62.8
2013-03-19,67.0,67.0,64.2,64.7,447500,66.1
2013-03-20,63.0,64.0,60.1,60.4,533000,64.7
2013-03-24,61.7,61.7,55.0,56.2,748250,60.4
2013-03-25,55.0,58.5,55.0,55.9,472250,56.2
2013-03-27,56.0,56.0,52.5,53.2,497750,55.9
2013-03-28,53.0,58.5,53.0,58.3,605750,53.2
2013-03-31,58.6,63.8,56.6,59.7,695000,58.3
2013-04-01,58.4,59.0,56.9,57.8,416000,59.7
2013-04-02,58.0,62.2,57.6,61.4,466250,57.8
2013-04-03,62.0,63.8,60.3,61.6,601750,61.4
2013-04-04,59.8,61.0,58.5,59.6,433500,61.6
2013-04-07,59.4,63.8,59.4,62.0,491000,59.6
2013-04-08,61.1,62.8,60.8,61.3,421000,62.0
2013-04-09,61.3,63.4,61.3,62.7,544750,61.3
2013-04-10,63.5,64.9,60.9,61.6,716750,62.7
2013-04-11,62.0,63.3,61.2,62.8,531750,61.6
2013-04-15,63.4,68.0,63.4,66.5,672750,62.8
2013-04-16,66.5,66.5,61.6,62.2,721750,66.5
2013-04-17,62.7,63.5,61.5,61.8,373000,62.2
2013-04-18,62.1,62.8,60.7,61.0,433750,61.8
2013-04-21,61.4,61.7,56.3,56.7,722750,61.0
2013-04-22,56.0,57.3,54.7,55.9,311250,56.7
2013-04-23,56.7,56.7,54.0,54.3,355500,55.9
2013-04-24,55.0,55.0,52.5,52.6,327250,54.3
2013-04-25,52.5,53.5,50.5,50.8,245750,52.6
2013-04-28,45.2,45.9,43.3,43.8,616500,50.8
2013-04-29,42.1,45.9,42.0,45.5,339500,43.8
2013-04-30,45.2,45.4,43.5,44.4,236500,45.5
2013-05-02,43.2,46.0,43.2,45.6,398250,44.4
2013-05-05,44.6,46.0,44.5,45.0,300000,45.6
2013-05-06,44.9,45.2,43.7,44.1,134750,45.0
2013-05-07,44.5,46.0,44.5,45.2,272250,44.1
2013-05-08,45.9,46.8,45.3,45.5,292500,45.2
2013-05-09,45.8,46.6,45.0,46.2,218500,45.5
2013-05-12,47.0,50.8,47.0,50.7,434000,46.2
2013-05-13,52.5,52.5,49.5,51.6,335750,50.7
2013-05-14,51.7,53.7,50.5,53.0,742500,51.6
2013-05-15,52.1,53.4,50.6,50.9,692500,53.0
2013-05-16,50.9,0.0,0.0,50.9,0,50.9
2013-05-19,53.5,54.8,52.0,52.5,1002500,50.9
2013-05-20,52.7,52.9,49.5,50.0,530500,52.5
2013-05-21,50.1,51.7,48.5,48.8,332750,50.0
2013-05-22,48.8,50.5,47.7,48.1,203250,48.8
2013-05-26,49.7,49.8,46.2,46.3,140750,48.1
2013-05-27,46.1,48.8,46.1,47.1,181500,46.3
2013-05-28,47.9,48.4,46.8,47.2,208250,47.1
2013-05-29,48.4,49.2,47.6,47.9,327500,47.2
2013-05-30,49.8,49.8,46.9,47.2,298500,47.9
2013-06-02,48.0,50.0,47.7,49.3,279250,47.2
2013-06-03,49.6,49.6,47.9,48.5,289500,49.3
2013-06-04,48.5,51.5,48.5,49.9,548750,48.5
2013-06-05,51.0,54.4,50.5,52.8,830000,49.9
2013-06-06,53.3,53.3,49.1,49.9,426000,52.8
2013-06-09,49.5,51.9,48.1,48.6,528000,49.9
2013-06-10,49.0,51.3,49.0,50.7,282750,48.6
2013-06-11,52.0,52.9,51.3,51.5,495250,50.7
2013-06-12,52.5,55.4,52.0,52.9,828500,51.5
2013-06-13,53.0,54.1,52.0,52.2,511000,52.9
2013-06-16,52.9,55.6,52.7,54.9,710750,52.2
2013-06-17,55.6,56.4,51.3,51.8,602250,54.9
2013-06-18,52.5,54.3,52.2,54.0,627000,51.8
2013-06-19,54.9,57.0,53.6,54.9,1071500,54.0
2013-06-20,54.9,55.6,51.9,52.1,445500,54.9
2013-06-23,53.7,53.7,49.5,49.7,398250,52.1
2013-06-24,50.4,50.7,49.1,49.7,257500,49.7
2013-06-26,51.9,52.3,49.7,50.2,307750,49.7
2013-06-27,51.8,51.8,48.1,48.3,459250,50.2
2013-06-30,49.0,49.0,47.1,48.1,321250,48.3
2013-07-02,49.6,50.9,49.0,49.7,424500,48.1
2013-07-03,50.9,53.1,50.9,51.8,628250,49.7
2013-07-04,52.5,53.2,52.0,52.3,629750,51.8
2013-07-07,53.5,54.7,53.2,54.1,743250,52.3
2013-07-08,55.0,55.0,52.5,52.8,469500,54.1
2013-07-09,53.0,54.3,51.2,52.1,645250,52.8
2013-07-10,52.2,52.5,50.1,50.3,358250,52.1
2013-07-11,50.8,51.2,49.0,49.1,192500,50.3
2013-07-14,50.0,51.0,47.5,47.9,157500,49.1
2013-07-15,49.0,49.1,46.5,47.0,321250,47.9
2013-07-16,48.4,50.3,47.3,47.6,231750,47.0
2013-07-17,47.6,48.0,46.3,46.5,290000,47.6
2013-07-18,46.4,48.0,46.2,46.7,106000,46.5
2013-07-21,45.3,47.9,43.6,44.7,156500,46.7
2013-07-22,44.5,45.4,44.4,44.7,190500,44.7
2013-07-23,45.0,45.0,43.1,43.2,103250,44.7
2013-07-24,43.1,46.0,43.1,45.3,88000,43.2
2013-07-25,45.9,45.9,44.0,44.7,166750,45.3
2013-07-28,43.8,44.0,43.2,43.7,46000,44.7
2013-07-29,44.0,44.5,43.8,44.2,35500,43.7
2013-07-30,44.0,44.2,43.4,43.6,49000,44.2
2013-07-31,44.9,44.9,42.3,42.5,69000,43.6
2013-08-01,42.9,43.3,42.1,42.4,33750,42.5
2013-08-04,42.1,42.3,41.1,41.4,63500,42.4
2013-08-05,41.9,42.3,41.7,42.0,17500,41.4
2013-08-12,42.1,43.3,41.8,42.9,33750,42.0
2013-08-13,43.0,43.8,43.0,43.5,50250,42.9
2013-08-14,43.8,43.9,43.2,43.4,61500,43.5
2013-08-18,44.0,44.5,43.7,44.3,96500,43.4
2013-08-19,44.2,46.1,44.1,45.4,110750,44.3
2013-08-20,44.7,48.9,44.7,47.5,434750,45.4
2013-08-21,47.5,48.7,46.9,47.5,305250,47.5
2013-08-22,47.5,52.2,47.3,52.0,932500,47.5
2013-08-25,53.5,54.0,51.9,52.6,697250,52.0
2013-08-26,51.7,54.0,50.9,51.1,421500,52.6
2013-08-27,51.5,53.3,50.0,51.6,398750,51.1
2013-08-29,52.0,52.0,50.5,50.9,395250,51.6
2013-09-01,50.3,51.8,49.7,49.9,146750,50.9
2013-09-02,53.8,54.0,49.7,49.9,347750,49.9
2013-09-03,50.0,51.5,49.6,50.8,196500,49.9
2013-09-04,51.8,52.2,49.9,50.1,174750,50.8
2013-09-05,51.5,51.5,49.6,50.0,113000,50.1
