date,open,high,low,close,volume,prev_closing_price
2008-03-06,241.0,288.3,232.0,256.6,14650,245.4
2008-03-09,256.0,256.0,235.2,239.5,7000,256.6
2008-03-09,256.0,256.0,235.2,239.5,7000,256.6
2008-03-10,250.0,268.9,242.0,260.8,15600,239.5
2008-03-11,265.0,265.0,243.5,246.1,9400,260.8
2008-03-12,242.0,242.0,234.0,237.3,1650,246.1
2008-03-13,240.0,258.0,239.9,0.0,4450,237.3
2008-03-16,231.0,255.0,231.0,239.8,4200,240.9
2008-03-17,252.5,253.0,227.0,228.1,8500,239.8
2008-03-18,215.1,229.0,215.0,227.8,13950,228.1
2008-03-19,239.0,260.0,239.0,252.5,17850,227.8
2008-03-20,260.0,289.0,260.0,267.3,30100,252.5
2008-03-23,280.0,287.0,242.0,245.6,8100,267.3
2008-03-24,250.0,255.0,240.0,241.1,5550,245.6
2008-03-25,259.0,259.0,239.0,240.2,7250,241.1
2008-03-30,236.5,240.0,234.0,236.9,2750,240.2
2008-03-31,230.0,234.0,222.0,223.6,3550,236.9
2008-04-01,220.0,232.0,220.0,229.1,4050,223.6
2008-04-02,240.0,240.0,222.0,226.1,5900,229.1
2008-04-03,236.0,236.0,210.1,217.3,3650,226.1
2008-04-06,220.0,220.0,210.0,213.2,3050,217.3
2008-04-07,216.0,218.9,211.0,214.9,3550,213.2
2008-04-08,218.0,218.0,211.0,212.6,3450,214.9
2008-04-09,220.0,224.0,215.0,220.3,4000,212.6
2008-04-10,229.9,229.9,221.1,226.0,5400,220.3
2008-04-13,237.6,237.7,220.0,222.0,2500,226.0
2008-04-15,230.0,231.0,225.0,228.9,5650,222.0
2008-04-16,221.5,230.0,221.5,224.0,3600,228.9
2008-04-17,224.9,225.0,220.1,222.9,3750,224.0
2008-04-20,212.0,212.3,210.0,210.3,800,222.9
2008-04-21,220.0,224.0,216.0,221.7,1600,210.3
2008-04-22,221.7,0.0,0.0,221.7,0,221.7
2008-04-23,215.0,251.0,215.0,246.5,15050,221.7
2008-04-24,240.0,247.9,239.0,241.3,8900,246.5
2008-04-27,250.0,250.0,230.0,237.5,5950,241.3
2008-04-28,225.0,227.0,222.0,225.2,1950,237.5
2008-04-29,235.0,235.0,216.3,223.3,4050,225.2
2008-04-30,220.0,220.0,207.0,209.3,6550,223.3
2008-05-04,206.1,215.0,206.1,208.5,4900,209.3
2008-05-05,212.0,212.0,201.0,203.1,4000,208.5
2008-05-06,210.0,220.0,209.9,218.5,16150,203.1
2008-05-07,220.0,220.0,210.0,211.7,12350,218.5
2008-05-08,215.0,215.0,206.1,209.8,13800,211.7
2008-05-11,204.0,215.0,200.0,205.0,20900,209.8
2008-05-12,210.0,210.0,198.8,202.4,11800,205.0
2008-05-13,206.8,206.8,198.0,198.6,10450,202.4
2008-05-14,198.0,199.0,190.0,197.7,5500,198.6
2008-05-15,202.0,214.9,199.0,200.0,22050,197.7
2008-05-18,200.0,204.0,196.1,199.1,6950,200.0
2008-05-20,200.0,224.0,200.0,213.0,40950,199.1
2008-05-21,217.0,245.0,217.0,232.5,54400,213.0
