date,open,high,low,close,volume,prev_closing_price
2009-11-16,160.0,195.0,160.0,177.3,7430400,10.0
2009-11-17,176.1,186.0,170.1,171.1,2832800,177.3
2009-11-18,170.1,170.2,158.0,158.2,2732000,171.1
2009-11-19,158.1,167.9,152.0,164.0,1627200,158.2
2009-11-22,167.0,168.9,163.0,165.7,872400,164.0
2009-11-23,164.1,170.0,164.1,168.5,1091600,165.7
2009-11-24,170.0,177.0,168.8,174.8,1321800,168.5
2009-11-25,175.9,180.0,175.9,179.3,1232000,174.8
2009-11-26,180.0,182.0,178.0,180.0,1126800,179.3
2009-12-01,182.0,182.9,177.0,177.3,1112600,180.0
2009-12-02,177.1,177.5,174.2,174.7,921600,177.3
2009-12-03,174.4,175.4,172.4,173.6,773200,174.7
2009-12-06,175.0,176.0,171.5,171.8,796200,173.6
2009-12-07,172.0,173.8,170.0,170.1,752800,171.8
2009-12-08,170.0,171.2,168.6,169.4,555000,170.1
2009-12-09,171.9,173.9,169.0,170.7,718200,169.4
2009-12-10,170.6,172.0,167.8,169.2,924400,170.7
2009-12-13,170.0,173.0,168.0,171.6,813600,169.2
2009-12-14,172.0,178.2,172.0,176.0,1002600,171.6
2009-12-15,175.5,179.0,172.3,172.8,745000,176.0
2009-12-17,174.0,174.0,170.5,171.1,424400,172.8
2009-12-20,171.0,171.9,170.0,170.1,626400,171.1
2009-12-21,171.9,171.9,169.7,170.8,550000,170.1
2009-12-22,171.0,178.0,171.0,176.7,1074600,170.8
2009-12-23,178.3,181.4,177.0,180.2,1776600,176.7
2009-12-24,181.0,183.8,179.4,182.5,1584200,180.2
2009-12-27,183.9,190.0,183.5,189.7,1863600,182.5
2009-12-29,190.0,194.9,188.2,188.6,1420400,189.7
2009-12-30,189.5,190.0,186.4,187.5,1442400,188.6
2010-01-03,187.0,192.3,187.0,189.3,962200,187.5
2010-01-04,190.0,198.9,190.0,197.9,2749600,189.3
2010-01-05,199.0,202.0,195.2,196.5,2061800,197.9
2010-01-06,196.0,197.8,195.0,196.4,1436200,196.5
2010-01-07,197.0,197.0,193.5,193.8,1259600,196.4
2010-01-10,193.9,194.4,190.2,192.3,1605400,193.8
2010-01-11,193.9,197.4,192.8,196.8,1784800,192.3
2010-01-12,197.4,207.0,197.4,206.0,5308600,196.8
2010-01-13,206.5,209.0,197.6,201.2,2952200,206.0
2010-01-14,203.0,213.9,203.0,211.7,3507000,201.2
2010-01-17,214.0,215.0,210.2,211.0,3133200,211.7
2010-01-18,212.5,219.9,209.2,219.5,3351800,211.0
2010-01-19,220.0,225.8,219.5,224.4,3606800,219.5
2010-01-20,226.9,227.9,222.5,226.9,2603800,224.4
2010-01-21,227.7,244.9,227.5,244.4,5070200,226.9
2010-01-24,244.9,254.9,236.0,252.6,3997200,244.4
2010-01-25,255.0,288.0,251.0,278.4,4675000,252.6
2010-01-26,275.0,275.0,238.5,255.0,4564600,278.4
2010-01-27,259.9,264.0,250.0,259.0,2219400,255.0
2010-01-28,262.0,275.0,259.0,272.1,2761600,259.0
2010-01-31,273.0,274.9,265.0,266.9,2327600,272.1
2010-02-01,265.2,280.0,265.2,279.4,3569600,266.9
2010-02-02,275.5,290.0,270.0,286.8,2825600,279.4
2010-02-03,290.0,300.0,285.1,287.3,4040200,286.8
2010-02-04,285.0,296.0,282.5,290.9,3093600,287.3
2010-02-07,291.0,296.9,290.0,292.6,1584200,290.9
2010-02-08,294.5,312.0,294.1,310.6,5377000,292.6
2010-02-09,303.0,324.9,297.0,319.6,5672800,310.6
2010-02-10,323.0,323.0,310.0,314.0,1622400,319.6
2010-02-11,312.0,316.1,300.1,312.0,1972400,314.0
