date,open,high,low,close,volume,prev_closing_price
2012-04-19,63.0,80.0,63.0,72.9,7425000,30.0
2012-04-22,73.1,80.0,73.1,79.8,1644000,72.9
2012-04-23,82.0,83.5,77.1,79.1,660500,79.8
2012-04-24,77.3,80.9,76.0,80.1,3604500,79.1
2012-04-25,82.0,86.7,82.0,84.6,3001500,80.1
2012-04-26,84.0,86.0,82.6,84.4,1222000,84.6
2012-04-29,82.5,83.5,78.2,79.9,1499500,84.4
2012-04-30,82.0,84.9,79.7,82.7,1310500,79.9
2012-05-02,84.9,86.9,84.0,84.9,1347500,82.7
2012-05-03,85.0,85.5,82.5,83.0,878500,84.9
2012-05-07,82.3,83.7,81.6,82.9,922500,83.0
2012-05-08,82.1,83.8,80.5,80.8,778000,82.9
2012-05-09,80.8,82.2,78.1,78.2,1078000,80.8
2012-05-10,78.9,83.5,78.5,82.7,724500,78.2
2012-05-13,83.8,84.5,79.6,80.1,579000,82.7
2012-05-14,80.0,81.2,79.7,80.6,535500,80.1
2012-05-15,80.1,81.1,79.2,79.3,384500,80.6
2012-05-16,77.7,80.5,77.7,78.6,360500,79.3
2012-05-17,77.2,79.0,77.2,78.0,270000,78.6
2012-05-20,79.8,80.0,78.2,78.5,214000,78.0
2012-05-21,78.5,82.4,78.5,80.0,718000,78.5
2012-05-22,80.8,80.9,77.5,77.8,361500,80.0
2012-05-23,77.3,77.8,74.9,77.0,534000,77.8
2012-05-24,78.0,78.6,76.0,76.1,324000,77.0
2012-05-27,76.3,77.0,75.3,75.4,206500,76.1
2012-05-28,75.1,76.2,73.6,74.0,332000,75.4
2012-05-29,74.0,74.9,72.7,74.6,388000,74.0
2012-05-30,75.6,76.3,75.1,76.1,240000,74.6
2012-05-31,76.9,79.9,76.3,78.9,482500,76.1
2012-06-03,80.5,83.0,79.9,82.7,856500,78.9
2012-06-04,83.9,84.0,78.8,79.2,1484000,82.7
2012-06-05,78.7,81.9,78.7,81.6,637500,79.2
2012-06-06,82.3,83.1,81.5,82.4,767500,81.6
2012-06-07,82.4,83.1,80.8,81.3,730000,82.4
2012-06-10,81.1,81.9,79.5,79.7,241500,81.3
2012-06-11,79.1,80.0,78.2,79.0,297500,79.7
2012-06-12,77.5,79.5,77.5,78.7,204000,79.0
2012-06-13,80.0,80.4,78.2,78.8,314000,78.7
2012-06-14,79.8,79.8,76.5,76.8,388500,78.8
2012-06-17,76.9,76.9,73.1,73.5,563500,76.8
2012-06-18,72.0,73.6,71.9,72.7,390500,73.5
2012-06-19,73.0,74.2,69.7,70.2,545500,72.7
2012-06-20,70.4,71.0,68.5,68.7,253000,70.2
2012-06-21,70.8,70.8,68.2,68.4,162500,68.7
2012-06-24,72.0,72.0,66.1,66.6,328500,68.4
2012-06-25,65.8,67.7,64.3,66.5,321500,66.6
2012-06-26,67.5,73.1,66.8,72.6,535000,66.5
2012-06-27,73.0,74.8,70.4,74.4,419500,72.6
2012-06-28,74.5,75.0,73.0,73.2,463500,74.4
2012-07-02,73.0,73.0,68.0,68.3,493000,73.2
2012-07-03,67.3,69.8,67.3,68.6,184000,68.3
2012-07-04,68.4,69.9,66.6,66.7,393500,68.6
