date,open,high,low,close,volume,prev_closing_price
2008-03-06,111.0,115.0,110.0,112.2,45950,111.8
2008-03-09,110.5,117.5,110.4,114.2,36400,112.2
2008-03-09,110.5,117.5,110.4,114.2,36400,112.2
2008-03-10,114.0,115.8,111.0,112.8,22250,114.2
2008-03-11,114.0,114.0,110.0,111.3,23950,112.8
2008-03-12,113.4,113.4,109.0,109.2,16800,111.3
2008-03-13,104.2,111.0,104.1,0.0,7150,109.2
2008-03-16,109.0,113.2,109.0,112.0,37150,108.1
2008-03-17,113.0,117.9,113.0,115.5,51050,112.0
2008-03-18,117.5,134.0,117.0,129.6,237350,115.5
2008-03-19,126.2,135.0,126.2,132.7,125000,129.6
2008-03-20,130.5,136.0,129.0,130.6,106900,132.7
2008-03-23,131.1,138.0,130.0,130.3,74850,130.6
2008-03-24,130.0,138.5,130.0,131.7,79750,130.3
2008-03-25,135.9,140.4,134.0,137.8,132450,131.7
2008-03-30,141.0,147.5,135.0,137.3,55300,137.8
2008-03-31,135.0,135.7,129.0,130.2,62300,137.3
2008-04-01,128.0,131.1,124.7,125.2,84500,130.2
2008-04-02,127.0,131.9,125.6,126.5,48850,125.2
2008-04-03,126.1,127.0,117.0,121.5,46000,126.5
2008-04-06,126.0,128.6,123.3,124.9,43500,121.5
2008-04-07,126.0,127.5,125.0,126.1,29850,124.9
2008-04-08,126.0,138.9,125.2,137.8,98550,126.1
2008-04-09,136.9,138.5,130.0,132.9,57950,137.8
2008-04-10,135.5,137.9,133.2,134.3,45450,132.9
2008-04-13,136.0,137.1,134.9,136.4,55100,134.3
2008-04-15,139.9,148.6,139.1,143.9,85050,136.4
2008-04-16,145.0,147.5,141.5,142.9,66450,143.9
2008-04-17,147.0,155.0,141.6,152.5,110300,142.9
2008-04-20,156.0,168.0,152.1,166.4,100650,152.5
2008-04-21,169.7,179.0,161.0,165.4,96400,166.4
2008-04-22,170.0,178.0,162.0,175.6,104600,165.4
2008-04-23,178.9,188.0,166.0,179.4,105000,175.6
2008-04-24,179.0,179.0,171.2,173.2,56700,179.4
2008-04-27,175.0,175.0,165.0,166.5,50900,173.2
2008-04-28,163.8,167.0,157.0,159.2,64900,166.5
2008-04-29,155.0,155.0,121.0,132.4,100850,159.2
2008-04-30,137.9,137.9,124.0,126.6,54450,132.4
2008-05-04,126.2,131.0,122.5,123.8,51650,126.6
2008-05-05,125.1,126.5,123.3,123.8,25200,123.8
2008-05-06,125.9,134.9,125.9,131.4,39900,123.8
2008-05-07,130.4,139.8,130.4,137.9,58250,131.4
2008-05-08,139.5,139.8,133.0,137.1,27850,137.9
2008-05-11,134.0,136.0,132.0,132.7,34250,137.1
2008-05-12,136.0,136.0,130.0,131.1,25150,132.7
2008-05-13,130.2,133.5,130.0,131.3,28700,131.1
2008-05-14,133.0,145.0,129.0,138.0,71350,131.3
2008-05-15,139.0,140.0,133.0,133.8,57400,138.0
2008-05-18,135.0,135.0,129.1,130.0,30850,133.8
2008-05-20,130.0,135.0,126.5,131.3,52100,130.0
2008-05-21,134.0,135.7,130.9,131.2,32650,131.3
2008-05-22,131.2,137.0,131.2,134.1,72450,131.2
2008-05-25,138.0,138.8,132.2,135.1,38300,134.1
2008-05-26,134.0,155.1,134.0,151.0,124900,135.1
2008-05-27,154.9,157.9,143.0,144.7,51850,151.0
2008-05-28,148.0,148.0,141.1,141.6,39850,144.7
2008-05-29,146.0,148.0,141.5,142.3,55200,141.6
2008-06-01,149.0,153.0,143.0,145.0,37150,142.3
2008-06-02,143.0,149.4,143.0,147.2,67900,145.0
2008-06-03,145.0,170.0,145.0,160.6,115550,147.2
2008-06-04,167.0,172.0,157.0,163.8,107500,160.6
2008-06-05,167.0,172.0,163.0,169.0,130150,163.8
2008-06-08,168.1,181.0,168.0,174.2,81500,169.0
2008-06-09,170.0,174.0,158.0,159.6,46850,174.2
2008-06-10,165.8,166.0,154.0,158.1,15350,159.6
2008-06-11,157.0,157.2,150.0,150.5,32050,158.1
2008-06-12,156.5,156.5,148.2,151.3,23750,150.5
2008-06-15,155.0,156.0,146.2,148.0,20150,151.3
2008-06-16,148.0,152.8,142.0,0.0,12800,148.0
2008-06-17,148.0,148.5,144.0,145.1,24750,149.8
2008-06-18,148.0,148.0,144.0,0.0,16200,145.1
2008-06-19,145.9,146.0,142.1,142.6,14250,144.7
2008-06-22,143.5,143.8,135.1,0.0,8100,142.6
2008-06-23,136.0,137.6,133.6,0.0,6800,138.5
2008-06-24,138.0,142.8,137.0,142.5,14650,136.7
2008-06-25,143.0,143.0,138.0,138.2,16150,142.5
2008-06-26,138.2,138.3,137.0,137.3,4750,138.2
2008-06-29,136.0,137.7,134.0,134.9,4850,137.3
2008-06-30,135.1,136.5,130.0,131.1,10950,134.9
2008-07-02,131.2,133.0,125.0,126.4,10600,131.1
2008-07-03,125.2,131.1,123.0,125.3,15850,126.4
2008-07-06,126.3,137.0,126.3,134.0,23050,125.3
2008-07-07,135.1,148.0,134.4,145.8,51600,134.0
2008-07-08,142.0,149.8,138.5,143.7,27050,145.8
2008-07-08,142.0,149.8,138.5,143.7,27050,145.8
2008-07-09,147.0,148.0,141.0,143.5,12150,143.7
2008-07-10,145.0,147.0,144.0,145.1,28350,143.5
2008-07-13,145.1,145.1,141.0,141.8,28000,145.1
2008-07-14,139.2,151.0,139.2,149.8,72600,141.8
2008-07-15,150.0,161.5,150.0,152.0,66050,149.8
2008-07-16,151.0,152.0,143.0,146.7,28900,152.0
2008-07-17,149.0,152.0,145.4,147.0,38600,146.7
2008-07-20,143.5,147.0,143.0,143.4,18500,147.0
2008-07-21,141.0,149.0,141.0,144.1,42500,143.4
2008-07-22,145.0,153.9,144.6,146.0,35000,144.1
2008-07-23,142.0,150.0,140.0,145.8,44850,146.0
2008-07-24,149.5,153.5,146.0,152.4,58950,145.8
2008-07-27,152.0,164.8,152.0,163.5,137000,152.4
2008-07-28,166.0,169.0,160.5,164.4,89200,163.5
2008-07-29,165.0,165.0,154.1,156.0,84750,164.4
2008-07-30,152.0,152.0,125.0,143.7,145400,156.0
2008-07-31,141.0,141.0,134.6,135.7,42900,143.7
2008-08-03,135.0,135.0,126.2,128.4,48950,135.7
2008-08-04,130.0,134.0,126.1,128.8,27650,128.4
2008-08-05,128.5,132.9,128.1,130.4,24850,128.8
2008-08-06,131.9,132.8,129.2,129.5,21550,130.4
2008-08-07,129.1,131.1,127.0,127.8,13500,129.5
2008-08-10,127.0,128.0,118.6,119.8,35000,127.8
2008-08-11,119.1,123.0,116.0,121.3,20950,119.8
2008-08-12,129.9,129.9,120.8,122.2,20350,121.3
2008-08-13,121.0,123.0,119.0,119.3,20100,122.2
2008-08-14,120.0,121.0,118.7,119.2,14100,119.3
2008-08-18,117.5,120.0,116.0,116.8,9800,119.2
2008-08-19,115.3,116.0,103.0,105.4,31500,116.8
2008-08-20,110.0,112.4,106.2,109.5,22900,105.4
2008-08-21,113.0,120.0,112.9,117.9,28500,109.5
2008-08-25,122.5,122.5,115.2,117.5,21300,117.9
2008-08-26,118.0,121.4,117.4,119.8,23450,117.5
2008-08-27,119.5,123.9,119.5,121.5,30700,119.8
2008-08-28,120.0,121.5,118.2,119.1,18600,121.5
2008-08-31,119.1,121.0,119.1,119.9,15050,119.1
2008-09-01,118.6,121.0,118.5,120.0,15700,119.9
2008-09-02,121.5,124.5,120.6,121.2,18950,120.0
2008-09-03,122.0,123.0,119.5,119.6,13550,121.2
2008-09-04,119.4,120.2,118.7,118.9,11050,119.6
2008-09-07,119.5,119.8,118.5,118.8,6950,118.9
2008-09-08,119.5,119.8,117.9,118.2,13750,118.8
2008-09-09,120.5,122.6,119.0,120.0,23400,118.2
2008-09-10,122.0,123.0,121.0,121.7,18250,120.0
2008-09-11,120.2,122.7,119.7,119.9,18200,121.7
2008-09-14,120.2,120.7,118.1,118.1,12600,119.9
2008-09-15,118.3,118.4,117.3,117.5,12250,118.1
2008-09-16,118.0,119.0,117.8,117.9,15850,117.5
2008-09-17,120.9,120.9,117.9,118.1,17700,117.9
2008-09-18,120.7,120.7,117.5,117.9,11800,118.1
2008-09-21,118.0,119.0,115.5,115.9,23700,117.9
2008-09-22,115.0,118.0,114.4,114.6,25500,115.9
2008-09-23,114.0,117.0,114.0,115.1,21450,114.6
2008-09-24,116.0,118.3,116.0,117.0,28550,115.1
2008-09-25,118.7,125.0,116.6,124.5,69950,117.0
2008-10-05,127.2,129.9,125.0,129.1,44850,124.5
2008-10-06,131.0,134.9,125.5,127.0,68500,129.1
2008-10-07,127.9,130.0,125.0,127.7,33450,127.0
2008-10-08,128.0,134.0,128.0,131.7,51400,127.7
