date,open,high,low,close,volume,prev_closing_price
2010-09-28,12.2,12.3,11.0,11.4,4375000,10.0
2010-09-29,11.5,11.9,11.4,11.5,2620500,11.4
2010-09-30,11.5,11.9,11.4,11.5,1585500,11.5
2010-10-03,11.5,11.8,11.3,11.4,1038500,11.5
2010-10-04,11.3,11.5,11.2,11.3,974500,11.4
2010-10-05,11.2,11.9,11.1,11.5,1793000,11.3
2010-10-06,12.0,12.7,11.8,11.9,2924000,11.5
2010-10-07,12.0,12.1,11.1,11.5,837000,11.9
2010-10-10,11.2,11.7,11.2,11.3,1003500,11.5
2010-10-11,11.1,11.5,11.1,11.2,715000,11.3
2010-10-12,11.1,11.4,11.1,11.2,943500,11.2
2010-10-13,11.1,11.6,11.1,11.2,1447500,11.2
2010-10-14,11.3,11.9,11.3,11.7,2885000,11.2
2010-10-18,11.4,11.9,11.4,11.4,1678500,11.7
2010-10-19,11.3,11.4,11.1,11.2,1405500,11.4
2010-10-20,11.5,11.6,11.1,11.1,1162000,11.2
2010-10-21,11.2,11.5,11.0,11.2,1245500,11.1
2010-10-24,11.1,11.3,11.0,11.0,929500,11.2
2010-10-25,11.0,11.2,10.8,10.8,804000,11.0
2010-10-26,10.9,11.1,10.7,10.8,859500,10.8
2010-10-27,10.7,11.0,10.6,10.6,651500,10.8
2010-10-28,10.5,10.8,10.5,10.5,376000,10.6
2010-10-31,10.4,10.7,10.1,10.5,787500,10.5
2010-10-31,10.4,10.7,10.1,10.5,787500,10.5
2010-11-01,10.7,10.7,10.3,10.3,572000,10.5
2010-11-01,10.7,10.7,10.3,10.3,572000,10.5
2010-11-02,10.3,10.5,10.3,10.4,745000,10.3
2010-11-03,10.4,10.5,10.3,10.3,718500,10.4
2010-11-04,10.5,11.9,10.5,11.0,1627500,10.3
2010-11-07,10.5,11.1,10.4,10.5,1031000,11.0
2010-11-08,10.4,10.5,10.2,10.3,396500,10.5
2010-11-09,10.2,10.5,10.2,10.2,448500,10.3
2010-11-10,10.2,10.5,10.2,10.2,629500,10.2
2010-11-11,10.2,10.3,10.1,10.1,324000,10.2
2010-11-14,10.2,10.3,10.1,10.1,477000,10.1
2010-11-15,10.2,10.3,10.1,10.1,393500,10.1
2010-11-21,10.0,10.4,10.0,10.2,362000,10.1
2010-11-22,10.1,10.3,10.1,10.2,631000,10.2
2010-11-23,10.2,10.3,10.1,10.1,407000,10.2
2010-11-24,10.1,10.3,10.0,10.1,514000,10.1
2010-11-25,10.1,11.0,10.1,10.7,1737500,10.1
2010-11-28,11.0,11.2,10.4,10.6,1089500,10.7
2010-11-29,10.5,10.8,10.4,10.4,1142500,10.6
2010-11-30,10.8,10.8,10.2,10.5,798500,10.4
2010-12-01,10.3,10.5,10.2,10.3,488000,10.5
2010-12-02,10.3,10.7,10.2,10.2,834000,10.3
2010-12-05,10.1,10.3,10.0,10.1,816500,10.2
2010-12-06,10.1,10.5,10.1,10.3,721000,10.1
2010-12-07,10.0,10.5,10.0,10.3,870500,10.3
2010-12-08,10.3,10.5,9.9,10.2,1236000,10.3
2010-12-09,10.0,11.6,10.0,11.4,3707500,10.2
2010-12-12,11.4,13.1,11.1,11.9,6720500,11.4
2010-12-13,12.0,12.5,11.2,11.4,2135000,11.9
2010-12-14,11.1,12.5,10.9,12.2,3363500,11.4
2010-12-15,12.2,13.0,11.8,12.0,5684500,12.2
2010-12-19,11.6,12.1,11.0,11.1,1636000,12.0
2010-12-20,11.9,11.9,10.9,11.0,1185000,11.1
2010-12-21,11.0,11.6,10.7,11.2,1997500,11.0
2010-12-22,11.7,12.9,11.4,12.4,4588500,11.2
2010-12-23,12.5,13.1,12.2,12.3,4661500,12.4
2010-12-26,13.0,13.0,12.0,12.1,3008500,12.3
