date,open,high,low,close,volume,prev_closing_price
2008-03-06,1480.0,1500.0,1432.0,1444.0,20960,1455.25
2008-03-09,1480.0,1538.75,1445.0,1529.5,18020,1444.0
2008-03-09,1480.0,1538.75,1445.0,1529.5,18020,1444.0
2008-03-10,1537.0,1629.0,1476.0,1605.0,10580,1529.5
2008-03-11,1649.0,1670.0,1590.0,1622.75,14840,1605.0
2008-03-12,1610.0,1650.0,1580.0,1611.25,10710,1622.75
2008-03-13,1603.25,1639.0,1590.25,1620.75,10390,1611.25
2008-03-16,1629.5,1649.0,1585.0,1595.5,7300,1620.75
2008-03-17,1618.0,1619.0,1570.0,1580.5,4590,1595.5
2008-03-18,1620.0,1620.0,1530.0,1550.25,4620,1580.5
2008-03-19,1555.0,1555.0,1502.0,1519.5,4340,1550.25
2008-03-20,1506.0,1549.0,1505.0,1535.75,7470,1519.5
2008-03-23,1599.0,1648.0,1552.0,1588.5,7810,1535.75
2008-03-24,1586.0,1613.0,1567.0,1577.0,3880,1588.5
2008-03-25,1590.0,1600.0,1552.0,1557.25,3090,1577.0
2008-03-30,1620.0,1725.0,1620.0,1701.5,18690,1557.25
2008-03-31,1700.0,1750.0,1651.0,1746.25,15990,1701.5
2008-04-01,1759.0,1919.0,1700.0,1882.5,20260,1746.25
2008-04-02,1866.0,1899.75,1820.0,1842.25,9000,1882.5
2008-04-03,1860.25,1880.0,1801.0,1837.75,5640,1842.25
2008-04-06,1900.0,1998.0,1900.0,1982.0,19810,1837.75
2008-04-07,1999.0,2080.0,1961.0,2071.75,19640,1982.0
2008-04-08,2098.0,2265.0,2085.0,2244.5,18310,2071.75
2008-04-09,2370.0,2370.0,2050.0,2111.75,14080,2244.5
2008-04-10,2126.0,2255.0,2120.0,2224.25,13550,2111.75
2008-04-13,2289.0,2446.5,2263.25,2432.75,13370,2224.25
2008-04-15,2430.0,2596.0,2430.0,2478.5,19720,2432.75
2008-04-16,2550.0,2550.0,2450.0,2484.75,10040,2478.5
2008-04-17,2500.0,2500.0,2300.0,2360.25,18490,2484.75
2008-04-20,2301.0,2590.0,2300.0,2554.0,14160,2360.25
2008-04-21,2575.0,2700.0,2575.0,2635.5,11730,2554.0
2008-04-22,2610.0,2790.0,2610.0,2673.75,17010,2635.5
2008-04-23,2750.0,2780.0,2612.0,2670.5,19670,2673.75
2008-04-24,2720.0,2720.0,2512.0,2532.75,13590,2670.5
2008-04-27,2594.0,2750.0,2400.0,2414.5,19490,2532.75
