date,open,high,low,close,volume,prev_closing_price
2008-03-06,17.2,17.2,17.2,17.2,1000,18.0
2008-03-09,18.0,18.4,18.0,18.2,1500,17.2
2008-03-09,18.0,18.4,18.0,18.2,1500,17.2
2008-03-10,18.2,18.2,18.2,18.2,500,18.2
2008-03-11,17.5,18.7,17.5,18.1,1000,18.2
2008-03-12,19.0,19.5,19.0,19.2,3500,18.1
2008-03-13,20.0,21.0,20.0,20.3,3500,19.2
2008-03-16,20.5,21.0,20.0,20.5,3000,20.3
2008-03-17,20.5,0.0,0.0,20.5,0,20.5
2008-03-18,20.5,21.0,20.5,0.0,3500,20.5
2008-03-19,21.0,21.0,21.0,21.0,3500,20.7
2008-03-20,21.0,23.1,21.0,21.4,6500,21.0
2008-03-23,22.5,22.7,22.5,22.6,2000,21.4
2008-03-24,23.0,23.0,23.0,23.0,500,22.6
2008-03-25,23.2,23.2,23.0,0.0,2000,23.0
2008-03-30,23.1,0.0,0.0,23.1,0,23.1
2008-03-31,23.1,0.0,0.0,23.1,0,23.1
2008-04-01,23.5,23.5,23.1,23.3,2000,23.1
2008-04-02,22.8,22.8,22.8,22.8,500,23.3
2008-04-03,23.8,23.8,23.8,23.8,500,22.8
2008-04-06,23.8,0.0,0.0,23.8,0,23.8
2008-04-07,23.8,0.0,0.0,23.8,0,23.8
2008-04-08,23.8,0.0,0.0,23.8,0,23.8
2008-04-09,23.8,0.0,0.0,23.8,0,23.8
2008-04-10,23.8,0.0,0.0,23.8,0,23.8
2008-04-13,23.8,0.0,0.0,23.8,0,23.8
2008-04-15,23.8,0.0,0.0,23.8,0,23.8
2008-04-16,23.8,0.0,0.0,23.8,0,23.8
2008-04-17,23.8,23.8,23.8,23.8,500,23.8
2008-04-20,21.5,21.5,21.5,21.5,500,23.8
2008-04-21,19.5,19.5,19.5,19.5,500,21.5
2008-04-22,18.2,19.9,18.0,18.6,7500,19.5
2008-04-23,19.0,20.5,19.0,19.7,8500,18.6
2008-04-24,18.1,23.5,18.1,22.2,11000,19.7
2008-04-27,22.0,22.0,20.6,21.0,4500,22.2
2008-04-28,20.0,21.0,20.0,20.6,1500,21.0
2008-04-29,20.6,0.0,0.0,20.6,0,20.6
2008-04-30,19.2,19.2,19.2,19.2,3000,20.6
2008-05-04,18.0,18.1,18.0,18.0,1500,19.2
2008-05-05,18.0,0.0,0.0,18.0,0,18.0
2008-05-06,18.0,0.0,0.0,18.0,0,18.0
2008-05-07,18.0,0.0,0.0,18.0,0,18.0
2008-05-08,18.0,0.0,0.0,18.0,0,18.0
2008-05-11,18.0,0.0,0.0,18.0,0,18.0
2008-05-12,18.0,0.0,0.0,18.0,0,18.0
2008-05-13,18.0,0.0,0.0,18.0,0,18.0
2008-05-14,18.0,0.0,0.0,18.0,0,18.0
2008-05-15,18.0,0.0,0.0,18.0,0,18.0
2008-05-18,18.0,0.0,0.0,18.0,0,18.0
2008-05-20,18.0,0.0,0.0,18.0,0,18.0
2008-05-21,18.0,0.0,0.0,18.0,0,18.0
2008-05-22,18.0,0.0,0.0,18.0,0,18.0
2008-05-25,18.0,0.0,0.0,18.0,0,18.0
2008-05-26,18.0,0.0,0.0,18.0,0,18.0
2008-05-27,18.0,0.0,0.0,18.0,0,18.0
2008-05-28,18.0,0.0,0.0,18.0,0,18.0
2008-05-29,19.8,19.8,19.8,19.8,1500,18.0
2008-06-01,19.8,0.0,0.0,19.8,0,19.8
2008-06-02,19.8,0.0,0.0,19.8,0,19.8
2008-06-03,19.8,0.0,0.0,19.8,0,19.8
2008-06-04,19.8,0.0,0.0,19.8,0,19.8
2008-06-05,19.8,0.0,0.0,19.8,0,19.8
2008-06-08,19.8,0.0,0.0,19.8,0,19.8
2008-06-09,19.8,0.0,0.0,19.8,0,19.8
2008-06-10,19.8,0.0,0.0,19.8,0,19.8
2008-06-11,19.8,0.0,0.0,19.8,0,19.8
2008-06-12,19.8,0.0,0.0,19.8,0,19.8
2008-06-15,19.8,0.0,0.0,19.8,0,19.8
2008-06-16,19.8,0.0,0.0,0.0,0,19.8
2008-06-17,19.8,0.0,0.0,19.8,0,19.8
2008-06-18,19.8,0.0,0.0,0.0,0,19.8
2008-06-19,19.8,0.0,0.0,19.8,0,19.8
2008-06-22,19.8,0.0,0.0,0.0,0,19.8
2008-06-23,19.2,19.2,19.2,0.0,500,19.8
2008-06-24,19.2,0.0,0.0,19.2,0,19.2
2008-06-25,19.2,0.0,0.0,19.2,0,19.2
2008-06-26,19.2,0.0,0.0,19.2,0,19.2
2008-06-29,19.2,0.0,0.0,19.2,0,19.2
2008-06-30,19.2,0.0,0.0,19.2,0,19.2
2008-07-02,19.2,0.0,0.0,19.2,0,19.2
2008-07-03,19.2,0.0,0.0,19.2,0,19.2
2008-07-06,19.2,0.0,0.0,19.2,0,19.2
2008-07-07,19.2,0.0,0.0,19.2,0,19.2
2008-07-08,19.2,0.0,0.0,19.2,0,19.2
2008-07-08,19.2,0.0,0.0,19.2,0,19.2
2008-07-09,19.2,0.0,0.0,19.2,0,19.2
2008-07-10,19.2,0.0,0.0,19.2,0,19.2
2008-07-13,19.2,0.0,0.0,19.2,0,19.2
2008-07-14,19.2,0.0,0.0,19.2,0,19.2
2008-07-15,19.2,0.0,0.0,19.2,0,19.2
2008-07-16,19.2,0.0,0.0,19.2,0,19.2
2008-07-17,19.2,0.0,0.0,19.2,0,19.2
2008-07-20,19.2,0.0,0.0,19.2,0,19.2
2008-07-21,19.0,19.0,18.0,18.6,1500,19.2
2008-07-22,18.0,18.0,18.0,18.0,500,18.6
2008-07-23,18.0,0.0,0.0,18.0,0,18.0
2008-07-24,18.0,0.0,0.0,18.0,0,18.0
2008-07-27,16.5,16.5,16.5,16.5,1000,18.0
2008-07-28,16.5,0.0,0.0,16.5,0,16.5
2008-07-29,16.5,0.0,0.0,16.5,0,16.5
2008-07-30,16.5,16.5,16.5,16.5,1000,16.5
2008-07-31,16.5,0.0,0.0,16.5,0,16.5
2008-08-03,16.5,0.0,0.0,16.5,0,16.5
2008-08-04,16.5,0.0,0.0,16.5,0,16.5
2008-08-05,16.5,0.0,0.0,16.5,0,16.5
2008-08-06,16.5,0.0,0.0,16.5,0,16.5
2008-08-07,16.5,0.0,0.0,16.5,0,16.5
2008-08-10,16.5,0.0,0.0,16.5,0,16.5
2008-08-11,16.5,0.0,0.0,16.5,0,16.5
2008-08-12,16.5,0.0,0.0,16.5,0,16.5
2008-08-13,16.5,0.0,0.0,16.5,0,16.5
2008-08-14,16.5,0.0,0.0,16.5,0,16.5
2008-08-18,16.5,0.0,0.0,16.5,0,16.5
2008-08-19,16.5,0.0,0.0,16.5,0,16.5
2008-08-20,16.5,0.0,0.0,16.5,0,16.5
2008-08-21,16.0,16.0,16.0,16.0,1000,16.5
2008-08-25,16.0,16.0,16.0,16.0,500,16.0
2008-08-26,16.0,0.0,0.0,16.0,0,16.0
2008-08-27,16.0,0.0,0.0,16.0,0,16.0
2008-08-28,16.0,0.0,0.0,16.0,0,16.0
2008-08-31,17.5,17.5,17.5,17.5,500,16.0
2008-09-01,18.0,18.0,18.0,18.0,3000,17.5
2008-09-02,17.0,17.0,17.0,17.0,1000,18.0
2008-09-03,17.0,17.0,17.0,17.0,500,17.0
2008-09-04,17.0,0.0,0.0,17.0,0,17.0
2008-09-07,17.0,0.0,0.0,17.0,0,17.0
2008-09-08,17.0,0.0,0.0,17.0,0,17.0
2008-09-09,17.0,0.0,0.0,17.0,0,17.0
2008-09-10,17.0,0.0,0.0,17.0,0,17.0
2008-09-11,16.1,16.1,16.1,16.1,500,17.0
2008-09-14,16.1,0.0,0.0,16.1,0,16.1
2008-09-15,16.1,0.0,0.0,16.1,0,16.1
2008-09-16,16.1,0.0,0.0,16.1,0,16.1
2008-09-17,16.1,0.0,0.0,16.1,0,16.1
2008-09-18,17.0,17.0,17.0,17.0,5000,16.1
2008-09-21,16.0,16.0,16.0,16.0,10000,17.0
2008-09-22,17.0,17.0,16.5,16.9,6000,16.0
2008-09-23,16.9,0.0,0.0,16.9,0,16.9
2008-09-24,16.9,0.0,0.0,16.9,0,16.9
2008-09-25,16.9,0.0,0.0,16.9,0,16.9
2008-10-05,16.9,0.0,0.0,16.9,0,16.9
2008-10-06,18.5,18.5,18.5,18.5,500,16.9
2008-10-07,18.5,0.0,0.0,18.5,0,18.5
2008-10-08,19.5,19.8,19.5,19.7,1500,18.5
2008-10-12,19.3,20.0,19.3,19.7,3000,19.7
2008-10-13,19.6,19.6,19.0,19.1,3000,19.7
2008-10-14,19.1,0.0,0.0,19.1,0,19.1
2008-10-15,19.1,0.0,0.0,19.1,0,19.1
2008-10-16,19.1,0.0,0.0,19.1,0,19.1
2008-10-19,19.5,19.5,19.5,19.5,2000,19.1
2008-10-20,18.6,18.9,18.5,18.7,2500,19.5
2008-10-21,19.0,19.5,18.6,19.0,3000,18.7
2008-10-22,19.9,19.9,19.0,19.3,2500,19.0
2008-10-23,19.5,20.0,19.5,19.7,4000,19.3
2008-10-26,20.0,23.6,20.0,22.1,9000,19.7
2008-10-27,23.5,25.0,23.5,24.3,8500,22.1
2008-10-28,24.9,25.0,23.1,24.1,4500,24.3
2008-10-29,23.5,23.5,22.0,22.3,2500,24.1
2008-10-30,22.0,22.0,20.0,20.9,2500,22.3
2008-11-02,19.2,19.2,19.1,19.1,1000,20.9
