date,open,high,low,close,volume,prev_closing_price
2008-03-06,80.0,83.75,80.0,81.75,1300,79.5
2008-03-09,84.0,85.0,81.25,82.5,1300,81.75
2008-03-09,84.0,85.0,81.25,82.5,1300,81.75
2008-03-10,80.0,84.75,80.0,83.0,2250,82.5
2008-03-11,83.0,84.0,83.0,83.75,600,83.0
2008-03-12,80.0,82.75,80.0,81.25,400,83.75
2008-03-13,80.0,82.0,80.0,81.0,1950,81.25
2008-03-16,80.0,80.0,80.0,80.0,50,81.0
2008-03-17,81.75,95.0,81.75,88.75,6150,80.0
2008-03-18,90.0,90.0,84.75,88.0,1400,88.75
2008-03-19,90.0,105.5,90.0,98.5,6150,88.0
2008-03-20,105.0,115.0,104.0,110.75,5050,98.5
2008-03-23,118.0,132.25,115.25,123.75,5200,110.75
2008-03-24,120.0,120.0,100.0,107.25,2150,123.75
2008-03-25,105.5,125.0,102.0,0.0,3800,107.25
2008-03-30,121.0,121.0,110.0,111.25,3600,121.0
2008-03-31,105.5,109.75,105.0,106.5,2750,111.25
2008-04-01,106.0,108.0,104.0,105.25,1500,106.5
2008-04-02,101.0,108.5,101.0,105.5,1600,105.25
2008-04-03,103.0,112.5,103.0,108.5,1700,105.5
2008-04-06,101.25,104.0,101.25,103.25,600,108.5
2008-04-07,100.0,107.0,100.0,103.0,1000,103.25
2008-04-08,100.5,102.0,99.0,100.0,750,103.0
2008-04-09,100.5,109.0,100.25,106.0,2650,100.0
2008-04-10,104.0,105.0,102.0,103.0,1250,106.0
2008-04-13,107.0,108.75,103.25,106.75,1850,103.0
2008-04-15,103.25,105.0,103.0,103.75,650,106.75
2008-04-16,101.25,110.0,101.25,106.75,3250,103.75
2008-04-17,106.0,106.0,105.0,105.0,1650,106.75
2008-04-20,99.0,107.0,99.0,104.5,250,105.0
2008-04-21,100.0,103.5,99.0,101.25,1550,104.5
2008-04-22,96.0,105.0,96.0,100.75,700,101.25
2008-04-23,105.5,117.0,105.5,111.5,5600,100.75
2008-04-24,110.0,115.5,110.0,113.25,7800,111.5
2008-04-27,115.0,125.0,115.0,120.25,6300,113.25
2008-04-28,113.5,116.0,113.5,115.5,3300,120.25
2008-04-29,111.25,112.0,108.0,110.25,1500,115.5
2008-04-30,119.0,123.0,112.5,114.5,4900,110.25
2008-05-04,111.5,111.5,108.0,109.25,1200,114.5
2008-05-05,108.0,109.0,105.0,107.75,1750,109.25
2008-05-06,103.0,105.0,103.0,103.75,1650,107.75
2008-05-07,105.0,105.0,103.0,104.0,1200,103.75
2008-05-08,104.0,110.0,104.0,106.5,1600,104.0
2008-05-11,107.0,111.75,107.0,110.0,4500,106.5
2008-05-12,114.0,116.5,110.25,111.0,5600,110.0
2008-05-13,115.5,116.0,112.0,112.25,4500,111.0
2008-05-14,112.25,116.0,112.25,115.25,3200,112.25
2008-05-15,114.0,116.75,114.0,116.0,6950,115.25
2008-05-18,119.0,120.0,117.75,118.25,7350,116.0
2008-05-20,122.75,122.75,120.0,121.25,3550,118.25
2008-05-21,120.0,129.0,120.0,125.5,8000,121.25
2008-05-22,121.0,123.0,121.0,121.75,1250,125.5
2008-05-25,125.0,128.0,122.0,125.75,17100,121.75
2008-05-26,125.75,128.5,125.5,126.0,2500,125.75
2008-05-27,124.5,126.5,124.5,125.25,1750,126.0
2008-05-28,126.0,141.0,126.0,138.25,4700,125.25
2008-05-29,141.0,149.75,130.25,145.5,10500,138.25
2008-06-01,140.0,154.0,140.0,147.5,6450,145.5
2008-06-02,146.5,146.5,141.0,145.25,1100,147.5
2008-06-03,141.0,141.75,137.0,140.25,5350,145.25
2008-06-04,135.0,145.0,135.0,141.25,4450,140.25
2008-06-05,140.0,140.0,140.0,140.0,100,141.25
2008-06-08,145.0,145.0,133.0,142.75,11500,140.0
2008-06-09,136.0,146.0,134.0,141.5,3350,142.75
2008-06-10,147.0,149.0,142.0,145.0,4550,141.5
2008-06-11,141.25,143.5,137.25,139.5,2400,145.0
2008-06-12,140.0,145.0,139.0,140.5,950,139.5
2008-06-15,141.0,141.0,139.25,140.5,2150,140.5
2008-06-16,139.75,141.0,139.75,140.25,650,140.5
2008-06-17,137.25,137.5,135.0,136.0,1300,140.25
2008-06-18,135.0,136.0,135.0,135.25,400,136.0
2008-06-19,134.25,136.0,134.0,134.5,800,135.25
2008-06-22,132.5,135.0,132.5,133.25,1100,134.5
2008-06-23,132.25,132.25,128.0,129.5,650,133.25
2008-06-24,136.0,136.0,128.0,129.5,1200,129.5
2008-06-25,140.0,140.0,129.0,130.5,850,129.5
2008-06-26,126.25,128.0,126.25,127.25,150,130.5
2008-06-29,125.0,125.0,125.0,125.0,100,127.25
2008-06-30,124.0,124.0,123.5,123.75,700,125.0
2008-07-02,124.0,124.0,121.75,122.75,100,123.75
2008-07-03,123.0,124.0,123.0,123.0,650,122.75
2008-07-06,122.75,122.75,121.0,122.0,450,123.0
2008-07-07,118.0,119.5,118.0,118.0,1000,122.0
2008-07-08,119.0,119.0,117.0,118.25,300,118.0
2008-07-08,119.0,119.0,117.0,118.25,300,118.0
2008-07-09,110.0,110.0,110.0,110.0,50,118.25
