date,open,high,low,close,volume,prev_closing_price
2008-03-06,1105.25,1114.0,1100.0,1104.0,12155,1106.75
2008-03-09,1112.0,1118.0,1100.25,1110.25,11995,1104.0
2008-03-09,1112.0,1118.0,1100.25,1110.25,11995,1104.0
2008-03-10,1116.0,1190.0,1116.0,1165.75,28460,1110.25
2008-03-11,1142.0,1165.0,1120.0,1122.0,12025,1165.75
2008-03-12,1129.0,1129.0,1112.0,1122.0,12870,1122.0
2008-03-13,1115.25,1128.0,1115.0,1116.0,14325,1122.0
2008-03-16,1115.0,1121.0,1105.0,0.0,11425,1116.0
2008-03-17,1109.0,1114.25,1100.0,1102.5,13865,1106.25
2008-03-18,1110.0,1110.0,1100.25,1102.0,14760,1102.5
2008-03-19,1100.0,1109.0,1100.0,1101.0,10635,1102.0
2008-03-20,1100.0,1110.0,1093.0,1100.75,13500,1101.0
2008-03-23,1095.0,1105.0,1085.0,1092.5,14010,1100.75
2008-03-24,1082.0,1118.0,1082.0,1093.75,10455,1092.5
2008-03-25,1105.0,1108.75,1093.0,1100.0,9055,1093.75
2008-03-30,1093.0,1110.0,1090.0,1097.5,14515,1100.0
2008-03-31,1090.0,1099.0,1086.0,1087.5,12715,1097.5
2008-04-01,1085.0,1097.0,1081.5,1086.75,11290,1087.5
2008-04-02,1095.0,1199.0,1095.0,1105.0,15730,1086.75
2008-04-03,1110.0,1134.0,1100.0,1103.75,15250,1105.0
2008-04-06,1105.0,1110.0,1096.5,1099.25,19590,1103.75
2008-04-07,1095.0,1103.0,1090.0,1090.5,12405,1099.25
2008-04-08,1086.0,1096.0,1080.25,1084.75,14320,1090.5
2008-04-09,1080.0,1099.0,1080.0,1080.5,11575,1084.75
2008-04-10,1080.0,1088.0,1079.0,1082.25,10650,1080.5
2008-04-13,1080.25,1090.0,1080.0,1082.75,17210,1082.25
2008-04-15,1081.0,1090.0,1074.0,1079.75,16090,1082.75
2008-04-16,1080.25,1098.75,1075.5,1078.0,11405,1079.75
2008-04-17,1080.0,1080.0,1071.0,1072.75,11900,1078.0
2008-04-20,1090.0,1090.0,1000.0,1019.5,35060,1072.75
2008-04-21,1029.0,1029.0,1000.25,1001.75,29725,1019.5
2008-04-22,1000.25,1005.0,998.0,999.5,24595,1001.75
2008-04-23,1004.0,1004.0,988.0,993.25,16235,999.5
2008-04-24,990.5,998.75,982.0,990.25,14620,993.25
