date,open,high,low,close,volume,prev_closing_price
2008-03-06,1440.0,1440.0,1252.5,1276.75,7320,1359.5
2008-03-09,1275.0,1280.0,1152.0,1200.25,5350,1276.75
2008-03-09,1275.0,1280.0,1152.0,1200.25,5350,1276.75
2008-03-10,1190.0,1349.0,1190.0,1295.75,8370,1200.25
2008-03-11,1285.0,1320.0,1190.0,1219.5,2670,1295.75
2008-03-12,1223.0,1240.0,1181.25,1190.0,1750,1219.5
2008-03-13,1200.0,1258.0,1191.0,0.0,3580,1190.0
2008-03-16,1220.0,1220.0,1170.0,1184.25,2670,1201.0
2008-03-17,1200.0,1330.0,1200.0,1301.5,9170,1184.25
2008-03-18,1300.0,1335.0,1280.0,1294.5,5980,1301.5
2008-03-19,1290.0,1359.0,1281.5,1297.75,5620,1294.5
2008-03-20,1335.0,1358.0,1300.0,1307.75,4030,1297.75
2008-03-23,1310.0,1310.0,1235.0,1245.0,2590,1307.75
2008-03-24,1231.0,1259.0,1215.0,1241.0,2750,1245.0
2008-03-25,1202.0,1277.5,1202.0,1256.0,2390,1241.0
2008-03-30,1300.0,1315.0,1227.0,1252.75,2890,1256.0
2008-03-31,1244.0,1285.0,1227.0,1233.25,2160,1252.75
2008-04-01,1232.0,1251.0,1219.0,1243.75,2290,1233.25
2008-04-02,1260.0,1286.0,1230.0,1233.5,4640,1243.75
2008-04-03,1249.5,1255.0,1210.0,1216.0,1900,1233.5
2008-04-06,1225.0,1248.0,1171.0,1191.75,1460,1216.0
2008-04-07,1200.0,1238.0,1182.0,1190.0,900,1191.75
2008-04-08,1240.0,1240.0,1194.0,1197.75,1240,1190.0
2008-04-09,1195.0,1226.0,1193.25,1200.5,2830,1197.75
2008-04-10,1195.0,1200.0,1176.0,1182.75,1130,1200.5
2008-04-13,1178.25,1190.0,1162.0,1177.25,2340,1182.75
2008-04-15,1161.0,1180.0,1139.0,1168.0,2390,1177.25
2008-04-16,1165.25,1220.0,1165.0,1191.75,2140,1168.0
2008-04-17,1235.0,1280.0,1210.0,1238.75,3960,1191.75
2008-04-20,1224.0,1290.0,1207.0,1261.75,3320,1238.75
2008-04-21,1245.0,1418.0,1245.0,1376.75,13180,1261.75
2008-04-22,1362.0,1548.75,1362.0,1548.75,13670,1376.75
2008-04-23,1580.0,1600.0,1462.0,1469.25,7710,1548.75
2008-04-24,1550.0,1560.0,1330.0,1378.25,10290,1469.25
2008-04-27,1325.0,1325.0,1100.0,1191.75,7020,1378.25
2008-04-28,1197.0,1270.0,1156.0,1178.25,4010,1191.75
2008-04-29,1150.0,1200.0,1150.0,1157.0,1950,1178.25
2008-04-30,1150.0,1180.0,1080.0,1091.5,3380,1157.0
2008-05-04,1061.0,1080.0,1018.0,1032.0,4160,1091.5
2008-05-05,1058.0,1100.0,1043.0,1072.25,2950,1032.0
2008-05-06,1090.0,1197.0,1080.0,1159.5,6610,1072.25
2008-05-07,1180.0,1234.0,1153.0,1178.0,4610,1159.5
2008-05-08,1180.0,1260.0,1160.0,1236.0,5000,1178.0
2008-05-11,1235.0,1312.0,1202.25,1299.5,6840,1236.0
2008-05-12,1329.0,1399.0,1329.0,1361.0,8630,1299.5
2008-05-13,1399.0,1400.0,1299.0,1312.25,5140,1361.0
2008-05-14,1335.0,1340.0,1260.0,1265.0,2960,1312.25
2008-05-15,1290.0,1332.0,1290.0,1319.0,4890,1265.0
2008-05-18,1350.0,1350.0,1290.0,1304.25,3710,1319.0
2008-05-20,1329.0,1369.75,1315.0,1332.0,5100,1304.25
2008-05-21,1359.0,1378.0,1319.25,1325.0,2540,1332.0
2008-05-22,1344.0,1398.0,1320.0,1374.75,2680,1325.0
2008-05-25,1400.0,1400.0,1325.0,1332.5,1470,1374.75
2008-05-26,1370.0,1370.25,1322.0,1323.25,2420,1332.5
2008-05-27,1345.0,1345.0,1266.0,1289.75,1890,1323.25
2008-05-28,1300.0,1328.0,1277.0,1283.75,1230,1289.75
2008-05-29,1290.0,1310.0,1260.0,1269.75,1290,1283.75
2008-06-01,1298.0,1298.0,1230.0,1260.25,840,1269.75
2008-06-02,1261.0,1278.75,1240.0,1241.5,920,1260.25
2008-06-03,1252.0,1252.0,1210.0,1217.75,2290,1241.5
2008-06-04,1270.0,1270.0,1200.0,1214.0,1560,1217.75
2008-06-05,1208.0,1280.0,1201.0,1227.25,1890,1214.0
2008-06-08,1220.0,1265.0,1220.0,1247.5,1290,1227.25
2008-06-09,1260.0,1260.0,1200.0,1218.25,1770,1247.5
2008-06-10,1245.0,1259.0,1218.0,1227.0,1950,1218.25
2008-06-11,1212.0,1239.0,1185.0,1202.5,2090,1227.0
2008-06-12,1247.0,1247.0,1182.25,1217.75,1020,1202.5
2008-06-15,1217.0,1217.0,1185.0,1196.75,760,1217.75
2008-06-16,1183.0,1200.0,1182.0,0.0,490,1196.75
2008-06-17,1195.0,1195.0,1182.0,1185.75,590,1194.0
2008-06-18,1180.0,1200.0,1160.0,0.0,2330,1185.75
2008-06-19,1181.5,1185.0,1170.0,1179.5,700,1163.75
2008-06-22,1196.0,1197.0,1166.0,0.0,540,1179.5
