date,open,high,low,close,volume,prev_closing_price
2018-10-18,33.0,44.9,32.0,44.3,8559274,0.0
2018-10-21,45.1,47.5,38.2,38.8,1694262,44.3
2018-10-22,36.8,38.9,35.0,35.0,4037529,38.8
2018-10-23,34.7,35.9,32.6,33.0,1970279,35.0
2018-10-24,33.2,33.6,30.7,31.1,2115868,33.0
2018-10-25,31.5,34.0,31.1,33.0,1786755,31.1
2018-10-28,33.0,33.0,28.8,29.1,1866198,33.0
2018-10-29,29.2,29.8,28.1,29.6,1549696,29.1
2018-10-30,29.9,32.5,29.8,32.4,1930457,29.6
2018-10-31,32.5,33.5,31.4,33.0,2078242,32.4
2018-11-01,33.1,34.4,32.0,32.4,1739773,33.0
2018-11-04,32.5,35.4,32.5,35.0,2216277,32.4
2018-11-05,35.4,35.9,31.5,32.0,1787459,35.0
2018-11-06,32.0,32.7,31.2,31.9,1189568,32.0
2018-11-07,32.2,33.8,32.2,33.2,1773261,31.9
2018-11-08,33.4,35.4,33.0,33.8,2578291,33.2
2018-11-11,34.0,34.9,32.0,32.5,1639496,33.8
2018-11-12,32.5,32.8,29.9,30.1,1464045,32.5
2018-11-13,30.5,31.7,30.5,30.6,676814,30.1
2018-11-14,31.5,33.6,31.0,33.6,2677097,30.6
2018-11-15,0.0,0.0,0.0,33.6,0,33.6
2018-11-18,33.0,33.5,32.1,33.5,771112,33.6
2018-11-19,36.8,36.8,34.9,36.8,4727017,33.5
2018-11-20,40.4,40.4,36.6,39.0,3057347,36.8
2018-11-22,38.8,39.8,37.5,37.8,2399977,39.0
2018-11-25,38.0,38.5,35.4,35.8,2146706,37.8
2018-11-26,36.0,37.7,35.9,36.1,1610347,35.8
2018-11-27,36.1,37.2,34.4,35.0,1780789,36.1
2018-11-28,35.0,37.5,35.0,36.7,1806547,35.0
2018-11-29,37.0,40.3,37.0,40.3,3843180,36.7
2018-12-02,42.0,43.0,39.8,40.2,2715739,40.3
2018-12-03,40.2,44.2,38.8,44.0,3448428,40.2
2018-12-04,45.1,45.8,42.2,42.9,2805313,44.0
2018-12-05,43.0,43.7,40.6,41.1,2746894,42.9
2018-12-06,41.6,43.5,40.8,41.6,2106997,41.1
2018-12-09,42.0,43.2,40.8,41.0,2241659,41.6
2018-12-10,41.5,41.7,36.9,37.3,2635067,41.0
2018-12-11,36.2,38.3,35.7,36.3,1679539,37.3
2018-12-12,37.1,37.8,36.4,36.9,1359468,36.3
2018-12-13,37.0,37.0,33.5,33.8,1985159,36.9
2018-12-17,33.8,33.9,30.9,31.2,1180139,33.8
2018-12-18,31.2,33.1,31.2,32.6,756105,31.2
2018-12-19,32.9,33.8,31.6,31.8,995968,32.6
2018-12-20,32.0,33.3,31.5,33.0,1565171,31.8
