date,open,high,low,close,volume,prev_closing_price
2017-10-08,10.5,11.5,8.6,8.9,1682040,0.0
2017-10-09,8.9,8.9,8.1,8.6,390800,8.9
2017-10-10,8.6,8.6,8.0,8.0,747036,8.6
2017-10-11,8.3,8.3,7.9,8.0,214192,8.0
2017-10-12,8.0,8.0,7.7,7.8,391250,8.0
2017-10-15,7.8,7.8,7.6,7.6,265953,7.8
2017-10-16,7.7,7.9,7.7,7.8,142239,7.6
2017-10-17,7.8,8.1,7.8,8.0,165302,7.8
2017-10-18,8.1,8.1,7.9,7.9,178520,8.0
2017-10-19,7.9,8.2,7.9,8.1,188495,7.9
2017-10-22,8.2,8.4,8.1,8.2,575557,8.1
2017-10-23,8.2,8.2,8.1,8.1,52460,8.2
2017-10-24,8.1,8.2,8.0,8.2,76630,8.1
2017-10-25,8.1,8.2,8.1,8.1,33200,8.2
2017-10-26,8.0,8.1,8.0,8.1,36878,8.1
2017-10-29,8.0,8.1,8.0,8.1,39270,8.1
2017-10-30,8.0,8.0,8.0,8.0,20300,8.1
2017-10-31,8.0,8.1,8.0,8.0,54395,8.0
2017-11-01,8.0,8.0,8.0,8.0,81750,8.0
2017-11-02,8.1,8.1,8.0,8.0,38201,8.0
2017-11-05,8.1,8.1,7.9,8.0,42050,8.0
2017-11-06,8.0,8.0,7.9,7.9,104400,8.0
2017-11-07,8.0,8.0,7.9,7.9,129090,7.9
2017-11-08,7.9,8.0,7.9,7.9,15290,7.9
2017-11-09,7.9,8.0,7.9,7.9,16830,7.9
2017-11-12,7.9,8.0,7.9,7.9,43700,7.9
2017-11-13,7.9,7.9,7.9,7.9,36150,7.9
2017-11-14,7.9,8.0,7.9,8.0,86360,7.9
2017-11-15,8.0,8.0,7.9,7.9,70840,8.0
2017-11-16,7.9,7.9,7.9,7.9,50800,7.9
2017-11-19,7.9,7.9,7.9,7.9,11200,7.9
2017-11-20,7.9,7.9,7.8,7.9,18100,7.9
2017-11-21,7.9,7.9,7.8,7.9,19790,7.9
2017-11-22,7.9,8.0,7.9,7.9,3150,7.9
2017-11-23,7.9,7.9,7.9,7.9,400,7.9
2017-11-26,7.9,7.9,7.8,7.8,53274,7.9
2017-11-27,7.8,7.8,7.7,7.8,106231,7.8
2017-11-28,7.8,7.8,7.7,7.8,15650,7.8
2017-11-29,7.7,7.8,7.7,7.7,18250,7.8
2017-11-30,7.8,7.8,7.7,7.7,63600,7.7
2017-12-03,7.8,7.8,7.7,7.7,9000,7.7
2017-12-04,7.8,7.8,7.7,7.8,15581,7.7
2017-12-05,7.8,7.8,7.7,7.8,39000,7.8
2017-12-06,7.8,7.9,7.8,7.9,253891,7.8
2017-12-07,7.9,8.1,7.9,8.0,100350,7.9
2017-12-10,8.0,8.0,8.0,8.0,84100,8.0
2017-12-11,7.9,7.9,7.9,7.9,56600,8.0
2017-12-12,7.9,8.0,7.9,7.9,34750,7.9
2017-12-13,7.9,7.9,7.9,7.9,10000,7.9
2017-12-14,8.0,8.0,8.0,8.0,1180,7.9
2017-12-17,8.0,8.0,7.7,7.7,72960,8.0
2017-12-18,7.8,7.9,7.8,7.9,26469,7.7
2017-12-19,7.8,7.8,7.8,7.8,2740,7.9
2017-12-20,7.8,7.8,7.7,7.7,17000,7.8
2017-12-21,7.9,7.9,7.7,7.7,48720,7.7
2017-12-24,7.7,7.8,7.7,7.7,14100,7.7
2017-12-26,7.8,7.8,7.7,7.7,26600,7.7
2017-12-27,7.7,7.7,7.7,7.7,12581,7.7
2017-12-28,7.7,8.3,7.7,8.1,231430,7.7
2018-01-01,7.9,7.9,7.9,7.9,31500,8.1
2018-01-02,7.9,7.9,7.9,7.9,6000,7.9
2018-01-03,7.9,7.9,7.9,7.9,95350,7.9
2018-01-04,7.9,8.0,7.8,7.9,8315,7.9
2018-01-07,7.9,8.0,7.9,7.9,30330,7.9
2018-01-08,7.9,7.9,7.9,7.9,140451,7.9
2018-01-09,7.9,7.9,7.8,7.8,84800,7.9
2018-01-10,7.8,7.9,7.7,7.7,95801,7.8
2018-01-11,7.8,7.8,7.8,7.8,38194,7.7
2018-01-14,7.8,7.8,7.7,7.7,126100,7.8
2018-01-15,7.7,7.8,7.7,7.7,20641,7.7
2018-01-16,7.7,7.8,7.6,7.7,118016,7.7
2018-01-17,0.0,0.0,0.0,7.7,0,7.7
2018-01-18,7.8,7.9,7.7,7.8,14370,7.7
2018-01-21,7.8,7.8,7.7,7.8,45060,7.8
2018-01-22,7.8,7.8,7.7,7.7,111800,7.8
2018-01-23,7.7,7.8,7.7,7.8,9500,7.7
2018-01-24,7.8,7.8,7.8,7.8,27750,7.8
2018-01-25,7.8,7.8,7.7,7.8,5550,7.8
2018-01-28,7.7,7.8,7.7,7.8,8090,7.8
2018-01-29,7.9,7.9,7.8,7.9,17000,7.8
2018-01-30,7.9,8.0,7.8,7.9,20011,7.9
2018-01-31,7.8,7.8,7.8,7.8,16731,7.9
2018-02-01,7.7,7.8,7.7,7.7,7800,7.8
2018-02-04,7.7,7.7,7.6,7.7,15819,7.7
2018-02-05,7.7,7.7,7.5,7.6,27265,7.7
2018-02-06,7.7,7.7,7.7,7.7,45000,7.6
2018-02-07,7.7,7.7,7.7,7.7,32800,7.7
2018-02-08,7.7,7.7,7.6,7.6,54700,7.7
2018-02-11,7.7,7.7,7.7,7.7,45989,7.6
2018-02-12,7.9,7.9,7.7,7.8,14790,7.7
2018-02-13,7.7,7.8,7.7,7.7,16116,7.8
2018-02-14,7.7,7.8,7.7,7.7,21887,7.7
2018-02-15,7.7,7.7,7.6,7.7,12250,7.7
2018-02-18,7.7,7.8,7.6,7.6,40160,7.7
2018-02-19,7.7,7.7,7.7,7.7,7000,7.6
2018-02-20,7.7,7.7,7.6,7.7,10000,7.7
2018-02-22,7.7,7.7,7.6,7.6,3000,7.7
2018-02-25,7.7,7.7,7.6,7.6,24501,7.6
2018-02-26,7.6,7.6,7.6,7.6,18490,7.6
2018-02-27,7.6,7.6,7.6,7.6,2000,7.6
2018-02-28,7.6,7.7,7.5,7.5,24010,7.6
2018-03-01,7.6,7.6,7.5,7.6,4035,7.5
2018-03-04,7.6,7.6,7.6,7.6,2150,7.6
2018-03-05,7.6,7.6,7.6,7.6,5050,7.6
2018-03-06,0.0,0.0,0.0,7.6,0,7.6
2018-03-07,7.6,7.6,7.5,7.6,9050,7.6
2018-03-08,7.6,7.6,7.5,7.6,2600,7.6
2018-03-11,7.6,7.6,7.6,7.6,2900,7.6
2018-03-12,7.6,7.6,7.6,7.6,1000,7.6
2018-03-13,7.6,7.6,7.6,7.6,1500,7.6
2018-03-14,7.6,7.7,7.6,7.6,5100,7.6
2018-03-15,7.6,7.8,7.6,7.8,11925,7.6
2018-03-18,7.9,7.9,7.8,7.9,40300,7.8
2018-03-19,7.9,8.1,7.9,8.0,144161,7.9
2018-03-20,8.1,8.8,8.1,8.8,2895071,8.0
2018-03-21,9.0,9.0,8.2,8.2,135650,8.8
2018-03-22,8.1,8.2,7.7,7.9,514749,8.2
2018-03-25,7.8,8.0,7.6,7.7,452386,7.9
2018-03-27,7.6,7.8,7.5,7.5,282288,7.7
2018-03-28,7.6,7.6,7.2,7.4,194595,7.5
2018-03-29,7.4,7.7,7.3,7.6,550797,7.4
2018-04-01,7.6,7.8,7.6,7.7,203446,7.6
