date,open,high,low,close,volume,prev_closing_price
2009-10-28,305.0,320.0,250.0,266.0,359700,100.0
2009-10-29,263.0,275.0,250.0,256.75,116250,266.0
2009-11-01,250.0,260.0,213.0,229.75,79600,256.75
2009-11-02,228.0,237.0,226.0,228.0,69150,229.75
2009-11-03,220.0,231.5,220.0,224.5,62000,228.0
2009-11-04,222.0,228.25,212.0,214.0,82450,224.5
2009-11-05,215.0,222.0,208.0,208.75,77800,214.0
2009-11-08,205.0,210.0,197.0,198.5,84700,208.75
2009-11-09,210.75,225.0,201.0,202.0,92200,198.5
2009-11-10,199.0,200.0,195.0,196.25,42000,202.0
2009-11-11,192.0,195.0,180.0,183.25,40350,196.25
2009-11-12,177.0,180.0,170.0,175.5,50100,183.25
2009-11-15,185.0,185.0,171.5,173.75,75400,175.5
2009-11-16,175.0,177.0,174.0,175.0,40350,173.75
2009-11-17,171.0,177.25,171.0,176.25,55600,175.0
2009-11-18,173.25,176.5,171.5,172.0,61850,176.25
2009-11-19,171.25,176.75,171.0,175.0,29950,172.0
2009-11-22,178.0,179.75,176.25,177.75,32800,175.0
2009-11-23,178.25,180.0,176.0,176.75,25950,177.75
2009-11-24,176.25,184.0,176.25,181.75,56100,176.75
2009-11-25,183.75,187.5,173.25,181.25,85150,181.75
2009-11-26,178.5,183.0,178.25,181.5,19550,181.25
2009-12-01,180.0,183.75,178.25,179.0,25800,181.5
2009-12-02,178.5,180.5,176.25,177.0,50050,179.0
2009-12-03,175.5,179.0,175.5,178.25,39600,177.0
2009-12-06,177.0,177.5,173.0,175.5,58900,178.25
2009-12-07,178.75,178.75,174.0,174.25,49500,175.5
2009-12-08,174.0,175.0,170.0,171.0,67050,174.25
2009-12-09,170.25,174.0,170.25,171.25,28850,171.0
2009-12-10,170.0,174.75,168.0,169.75,45050,171.25
2009-12-13,169.0,173.0,167.25,168.25,37200,169.75
2009-12-14,168.0,171.75,165.0,165.75,51150,168.25
2009-12-15,166.0,169.0,166.0,166.75,44400,165.75
2009-12-17,166.0,168.0,165.0,165.5,33100,166.75
2009-12-20,164.25,168.75,158.0,158.5,38450,165.5
2009-12-21,156.0,162.0,156.0,158.25,14500,158.5
2009-12-22,157.25,164.5,157.25,162.25,52650,158.25
2009-12-23,162.25,164.5,160.5,161.25,18000,162.25
2009-12-24,160.0,162.25,156.25,157.0,29100,161.25
2009-12-27,156.5,156.5,151.0,151.75,55300,157.0
2009-12-29,151.5,154.5,150.0,152.0,64550,151.75
2009-12-30,154.0,154.0,151.0,152.25,16450,152.0
2010-01-03,150.25,153.0,149.5,149.75,22400,152.25
2010-01-04,155.0,155.0,147.0,148.0,24100,149.75
2010-01-05,148.5,149.0,145.25,146.75,24850,148.0
2010-01-06,150.0,154.5,146.25,153.5,29700,146.75
2010-01-07,154.0,154.75,152.0,154.0,22400,153.5
2010-01-10,149.25,154.0,149.25,151.75,11250,154.0
2010-01-11,150.0,154.25,149.5,153.5,22200,151.75
2010-01-12,153.0,155.25,151.0,154.5,25150,153.5
2010-01-13,154.75,159.0,151.25,152.5,41500,154.5
2010-01-14,156.0,159.0,155.25,158.25,23550,152.5
2010-01-17,155.0,165.0,153.0,163.75,44400,158.25
2010-01-18,165.0,166.75,160.0,164.5,51300,163.75
2010-01-19,167.0,171.75,165.0,170.5,74150,164.5
2010-01-20,172.0,172.0,165.5,167.5,45200,170.5
2010-01-21,166.5,169.75,165.0,168.0,32100,167.5
2010-01-24,169.0,172.0,165.75,170.5,45750,168.0
2010-01-25,173.0,204.5,173.0,204.5,342950,170.5
2010-01-26,220.0,220.0,186.25,196.75,166850,204.5
2010-01-27,195.0,195.0,186.0,187.0,51350,196.75
2010-01-28,183.25,189.0,181.5,183.5,78050,187.0
2010-01-31,180.0,182.75,175.75,177.0,57700,183.5
2010-02-01,174.0,179.5,174.0,177.5,35550,177.0
2010-02-02,175.0,177.0,163.0,168.5,72200,177.5
2010-02-03,164.25,179.75,164.25,174.25,35850,168.5
