date,open,high,low,close,volume,prev_closing_price
2008-06-24,1856.0,1856.0,1856.0,1856.0,13050,928.0
2008-06-25,1995.0,2056.0,1995.0,2056.0,2445,1856.0
2008-06-26,2210.0,2261.5,2210.0,2261.5,6880,2056.0
2008-06-29,2431.0,2487.5,2431.0,2487.5,24900,2261.5
2008-06-30,2674.0,2736.25,2674.0,2698.25,47870,2487.5
2008-07-02,2731.0,2750.0,2428.5,2428.5,11985,2698.25
2008-07-03,2428.5,2428.5,2185.75,2185.75,3735,2428.5
2008-07-06,2100.0,2100.0,1967.25,1967.25,4505,2185.75
2008-07-07,1885.0,1920.0,1820.0,1852.0,20485,1967.25
2008-07-08,1865.25,1900.0,1865.25,1877.5,14670,1852.0
2008-07-08,1865.25,1900.0,1865.25,1877.5,14670,1852.0
2008-07-09,1900.0,1940.0,1899.0,1928.25,4655,1877.5
2008-07-10,1940.0,2120.0,1930.0,2002.5,17660,1928.25
2008-07-13,2006.0,2100.0,2006.0,2043.0,12290,2002.5
2008-07-14,2005.0,2005.0,1900.0,1907.75,6120,2043.0
2008-07-15,1920.0,1925.0,1857.0,1866.75,10645,1907.75
2008-07-16,1900.0,1900.0,1850.0,1865.0,4235,1866.75
2008-07-17,1870.0,1928.0,1850.0,1854.25,3900,1865.0
2008-07-20,1890.0,1890.0,1822.0,1837.0,5015,1854.25
2008-07-21,1822.0,1840.0,1752.0,1766.0,4925,1837.0
2008-07-22,1751.0,1800.0,1683.0,1700.25,6055,1766.0
2008-07-23,1661.0,1697.0,1636.0,1659.25,3755,1700.25
2008-07-24,1694.0,1795.0,1678.0,1785.5,9810,1659.25
2008-07-27,1848.0,1848.0,1726.25,1739.5,4350,1785.5
2008-07-28,1699.0,1738.0,1699.0,1700.75,3650,1739.5
2008-07-29,1700.5,1710.0,1670.0,1684.0,5885,1700.75
2008-07-30,1700.0,1700.0,1663.0,1668.75,3345,1684.0
2008-07-31,1715.0,1715.0,1645.0,1659.5,5635,1668.75
2008-08-03,1680.0,1680.0,1600.0,1602.75,3895,1659.5
2008-08-04,1608.0,1635.0,1561.0,1566.25,4185,1602.75
2008-08-05,1562.0,1645.0,1552.0,1604.25,4960,1566.25
2008-08-06,1608.0,1630.0,1560.0,1577.0,3215,1604.25
2008-08-07,1625.0,1625.0,1550.0,1556.0,3960,1577.0
2008-08-10,1600.0,1600.0,1548.0,1551.75,3150,1556.0
2008-08-11,1545.0,1546.0,1481.0,1508.5,9475,1551.75
2008-08-12,1491.0,1546.0,1491.0,1516.25,5850,1508.5
2008-08-13,1525.0,1560.0,1518.0,1519.75,7510,1516.25
