date,open,high,low,close,volume,prev_closing_price
2008-03-06,1513.25,0.0,0.0,1513.25,0,1513.25
2008-03-09,1205.0,1245.0,1168.0,1186.75,11260,1513.25
2008-03-09,1205.0,1245.0,1168.0,1186.75,11260,1513.25
2008-03-10,1170.0,1331.0,1170.0,1307.5,11520,1186.75
2008-03-11,1386.25,1404.0,1332.0,1386.0,17980,1307.5
2008-03-12,1350.0,1377.0,1302.0,1323.0,7520,1386.0
2008-03-13,1311.0,1350.0,1270.0,1282.75,11540,1323.0
2008-03-16,1299.75,1309.0,1250.0,1269.25,5460,1282.75
2008-03-17,1290.0,1290.0,1220.0,1236.0,5100,1269.25
2008-03-18,1221.25,1300.0,1221.0,1279.0,6640,1236.0
2008-03-19,1300.0,1408.0,1291.0,1389.25,24880,1279.0
2008-03-20,1408.0,1480.0,1370.0,1460.5,18720,1389.25
2008-03-23,1460.0,1548.75,1460.0,1492.5,16520,1460.5
2008-03-24,1490.0,1495.0,1440.0,1444.5,10040,1492.5
2008-03-25,1500.0,1500.0,1435.0,1444.75,7460,1444.5
2008-03-30,1500.0,1500.0,1432.0,1438.5,6120,1444.75
2008-03-31,1489.75,1490.0,1420.25,1432.0,6080,1438.5
2008-04-01,1475.0,1480.0,1412.0,1418.5,7560,1432.0
2008-04-02,1420.0,1432.0,1410.0,1411.25,7300,1418.5
2008-04-03,1423.0,1440.0,1395.0,1398.25,10760,1411.25
2008-04-06,1396.0,1445.0,1395.0,1432.0,12760,1398.25
2008-04-07,1442.0,1470.0,1435.0,1451.25,9140,1432.0
2008-04-08,1467.0,1620.0,1455.25,1574.75,27600,1451.25
2008-04-09,1548.0,1690.0,1548.0,1593.0,26980,1574.75
2008-04-10,1600.0,1628.0,1570.0,1596.75,19820,1593.0
2008-04-13,1627.5,1675.0,1601.0,1663.25,31320,1596.75
2008-04-15,1680.0,1820.0,1680.0,1761.25,29160,1663.25
2008-04-16,1798.0,1798.0,1735.0,1755.25,15260,1761.25
2008-04-17,1740.0,1740.0,1670.0,1685.0,15120,1755.25
2008-04-20,1676.0,1750.0,1671.0,1716.25,9880,1685.0
2008-04-21,1740.0,1758.0,1680.0,1698.5,10980,1716.25
2008-04-22,1755.0,1755.0,1685.0,1696.0,9360,1698.5
2008-04-23,1685.0,1775.0,1685.0,1722.0,10060,1696.0
2008-04-24,1757.0,1800.0,1712.0,1720.75,15240,1722.0
2008-04-27,1750.0,1778.0,1707.25,1718.0,8340,1720.75
2008-04-28,1700.0,1720.0,1665.0,1669.0,12520,1718.0
2008-04-29,1660.0,1713.0,1643.25,1652.5,15880,1669.0
2008-04-30,1653.0,1690.0,1640.0,1657.75,11040,1652.5
2008-05-04,1680.0,1710.0,1646.0,1683.25,18080,1657.75
2008-05-05,1685.0,1724.0,1670.0,1683.5,16800,1683.25
2008-05-06,1709.0,1793.75,1690.25,1780.0,28320,1683.5
2008-05-07,1798.75,1850.0,1798.75,1810.0,26200,1780.0
2008-05-08,1805.0,1915.0,1805.0,1898.5,36160,1810.0
2008-05-11,1925.0,1989.75,1905.0,1939.0,33280,1898.5
2008-05-12,1950.0,1980.0,1924.0,1941.5,27760,1939.0
2008-05-13,1955.0,1955.0,1902.0,1914.5,26340,1941.5
2008-05-14,1964.25,2114.5,1964.25,2114.5,43540,1914.5
2008-05-15,2199.0,2325.75,2160.0,2325.75,44940,2114.5
2008-05-18,2400.0,2499.0,2351.0,2409.5,41060,2325.75
2008-05-20,2400.0,2650.25,2400.0,2650.0,36320,2409.5
2008-05-21,2750.0,2915.0,2715.0,2755.75,27240,2650.0
2008-05-22,2731.0,2731.0,2550.0,2640.75,26140,2755.75
2008-05-25,2700.0,2850.0,2685.0,2798.75,24660,2640.75
2008-05-26,2870.0,2900.0,2700.0,2782.25,16920,2798.75
2008-05-27,2782.0,2800.0,2650.0,2670.5,18220,2782.25
2008-05-28,2630.0,2778.0,2628.0,2704.75,12280,2670.5
2008-05-29,2720.0,2799.0,2665.0,2676.25,15140,2704.75
2008-06-01,2700.0,2742.0,2625.0,2635.0,11240,2676.25
2008-06-02,2689.0,2738.0,2660.0,2726.25,15120,2635.0
2008-06-03,2726.25,2758.0,2650.0,2656.75,9520,2726.25
2008-06-04,2697.0,2699.0,2601.0,2623.75,13040,2656.75
2008-06-05,2580.0,2726.75,2580.0,2660.75,9780,2623.75
2008-06-08,2700.0,2765.0,2693.0,2716.0,25340,2660.75
2008-06-09,2623.0,2710.0,2550.0,2566.75,9480,2716.0
2008-06-10,2690.0,2690.0,2551.0,2577.0,5620,2566.75
2008-06-11,2570.0,2570.0,2320.0,2388.5,8960,2577.0
2008-06-12,2540.0,2560.0,2385.0,2395.0,8080,2388.5
2008-06-15,2420.0,2424.0,2270.0,2287.5,5040,2395.0
2008-06-16,2220.0,2509.0,2204.0,0.0,9480,2287.5
2008-06-17,2500.0,2500.0,2410.0,2427.5,3980,2466.75
2008-06-18,2500.0,2575.0,2488.0,0.0,10020,2427.5
2008-06-19,2515.0,2515.0,2459.0,2466.5,2680,2532.25
2008-06-22,2450.0,2450.0,2350.0,0.0,3980,2466.5
2008-06-23,2350.0,2440.0,2337.0,0.0,4780,2372.5
2008-06-24,2490.0,2620.0,2470.0,2574.75,14700,2421.75
2008-06-25,2551.25,2594.0,2505.0,2548.75,6640,2574.75
2008-06-26,2576.5,2576.5,2530.0,2548.25,6860,2548.75
2008-06-29,2590.0,2620.0,2524.0,2586.5,9560,2548.25
2008-06-30,2640.0,2738.75,2583.0,2641.75,12000,2586.5
2008-07-02,2694.0,2800.0,2681.0,2760.5,19020,2641.75
2008-07-03,2794.0,2810.0,2680.0,2720.0,13900,2760.5
2008-07-06,2689.0,2750.0,2650.0,2687.75,12280,2720.0
2008-07-07,2700.0,2700.0,2635.0,2647.75,6040,2687.75
2008-07-08,2660.0,2749.0,2640.0,2687.0,19480,2647.75
2008-07-08,2660.0,2749.0,2640.0,2687.0,19480,2647.75
2008-07-09,2749.75,2798.0,2700.0,2725.75,7480,2687.0
2008-07-10,2768.0,2768.75,2660.0,2673.25,10180,2725.75
2008-07-13,2715.0,2715.0,2600.0,2631.25,10300,2673.25
2008-07-14,2640.25,2699.0,2626.25,2668.5,7340,2631.25
2008-07-15,2670.0,2725.0,2630.0,2640.0,8100,2668.5
2008-07-16,2640.0,2640.0,2580.0,2596.75,5360,2640.0
2008-07-17,2655.0,2660.0,2540.0,2551.0,7360,2596.75
2008-07-20,2540.0,2560.0,2485.0,2515.5,8180,2551.0
2008-07-21,2550.0,2570.0,2385.0,2417.5,6460,2515.5
2008-07-22,2440.0,2494.75,2350.0,2386.0,4700,2417.5
2008-07-23,2300.0,2420.0,2250.0,2305.0,11760,2386.0
2008-07-24,2379.75,2500.0,2335.25,2422.75,5080,2305.0
2008-07-27,2423.0,2464.0,2381.5,2396.0,3640,2422.75
2008-07-28,2350.0,2388.0,2317.0,2340.25,4000,2396.0
2008-07-29,2342.0,2364.0,2312.0,2327.5,3920,2340.25
2008-07-30,2349.0,2363.0,2307.5,2319.25,3420,2327.5
2008-07-31,2310.0,2320.0,2301.0,2307.5,2600,2319.25
2008-08-03,2280.0,2300.0,2172.0,2192.75,6660,2307.5
2008-08-04,2190.0,2242.5,2122.0,2157.0,4900,2192.75
2008-08-05,2229.75,2295.0,2151.25,2234.75,5940,2157.0
2008-08-06,2284.0,2349.0,2250.0,2297.75,6680,2234.75
2008-08-07,2335.0,2335.0,2250.5,2272.25,5320,2297.75
2008-08-10,2300.0,2300.0,2195.0,2202.75,6120,2272.25
2008-08-11,2130.25,2240.0,2130.0,2208.5,5680,2202.75
2008-08-12,2249.0,2250.0,2100.0,2151.0,7820,2208.5
2008-08-13,2200.0,2200.0,2150.0,2154.0,3300,2151.0
2008-08-14,2216.0,2216.0,2130.0,2165.75,1360,2154.0
2008-08-18,2155.0,2155.0,2082.0,2092.75,2540,2165.75
2008-08-19,2125.0,2125.0,1995.0,1996.75,6620,2092.75
2008-08-20,2051.0,2165.0,2050.0,2103.5,5180,1996.75
2008-08-21,2121.5,2299.0,2121.25,2287.0,13760,2103.5
2008-08-25,2338.0,2339.0,2222.0,2282.75,6060,2287.0
2008-08-26,2235.0,2351.0,2235.0,2323.0,5820,2282.75
2008-08-27,2302.0,2364.0,2302.0,2339.5,4860,2323.0
2008-08-28,2302.0,2347.5,2250.0,2286.5,5920,2339.5
2008-08-31,2398.0,2398.0,2270.0,2321.75,2400,2286.5
2008-09-01,2368.0,2395.0,2345.0,2362.0,5160,2321.75
2008-09-02,2396.0,2396.0,2330.0,2349.5,2380,2362.0
2008-09-03,2321.0,2350.0,2293.0,2299.0,2880,2349.5
2008-09-04,2290.0,2300.0,2265.0,2275.25,2640,2299.0
2008-09-07,2256.0,2256.0,2227.0,2232.5,6320,2275.25
2008-09-08,2248.0,2305.0,2233.25,2293.5,6060,2232.5
2008-09-09,2348.0,2390.0,2290.0,2313.5,7580,2293.5
2008-09-10,2360.0,2360.0,2295.25,2305.0,3820,2313.5
2008-09-11,2349.75,2349.75,2284.0,2293.5,4040,2305.0
2008-09-14,2238.0,2289.0,2235.0,2266.5,2580,2293.5
2008-09-15,2266.0,2275.0,2233.0,2259.0,2680,2266.5
2008-09-16,2245.0,2290.0,2226.25,2232.75,2900,2259.0
2008-09-17,2249.0,2249.0,2203.0,2208.5,3800,2232.75
2008-09-18,2215.0,2264.0,2215.0,2241.75,1520,2208.5
2008-09-21,2255.0,2350.0,2253.0,2307.5,9560,2241.75
2008-09-22,2380.0,2380.0,2300.0,2316.0,6540,2307.5
2008-09-23,2280.0,2324.0,2276.0,2296.0,2660,2316.0
2008-09-24,2340.0,2340.0,2282.0,2296.25,6600,2296.0
2008-09-25,2340.0,2376.75,2308.0,2342.75,11640,2296.25
2008-10-05,2376.0,2470.0,2374.0,2436.75,13440,2342.75
2008-10-06,2490.0,2520.0,2410.0,2419.25,7120,2436.75
2008-10-07,2363.0,2495.0,2362.5,2468.75,8120,2419.25
2008-10-08,2520.0,2520.0,2419.0,2487.5,10640,2468.75
2008-10-12,2525.0,2646.0,2500.0,2516.0,24080,2487.5
2008-10-13,2599.0,2767.5,2570.0,2704.75,31060,2516.0
2008-10-14,2749.0,2800.0,2640.0,2654.25,14500,2704.75
2008-10-15,2616.0,2620.0,2565.5,2577.25,5700,2654.25
2008-10-16,2620.0,2620.0,2460.0,2477.25,7380,2577.25
2008-10-19,2645.0,2645.0,2450.0,2468.75,11760,2477.25
2008-10-20,2465.0,2539.0,2425.25,2464.5,7720,2468.75
2008-10-21,2520.0,2520.0,2430.0,2442.0,6600,2464.5
2008-10-22,2460.0,2499.0,2420.0,2465.0,7420,2442.0
2008-10-23,2519.0,2519.0,2432.0,2436.75,5160,2465.0
2008-10-26,2400.5,2435.0,2367.0,2394.5,2260,2436.75
2008-10-27,2415.0,2415.0,2281.0,2296.25,5180,2394.5
2008-10-28,2378.75,2400.0,2300.0,2305.75,7040,2296.25
2008-10-29,2350.0,2350.0,2312.0,2337.5,1900,2305.75
2008-10-30,2350.0,2410.0,2330.0,2337.0,3220,2337.5
2008-11-02,2329.0,2340.0,2250.0,2259.0,2680,2337.0
2008-11-03,2320.0,2320.0,2200.0,2209.5,3860,2259.0
2008-11-04,2280.0,2328.5,2268.5,2293.0,1540,2209.5
2008-11-05,2271.0,2271.0,2211.0,2222.25,1500,2293.0
2008-11-06,2250.0,2250.0,2215.0,2220.25,2160,2222.25
2008-11-09,2210.0,2211.0,2115.0,2128.25,8700,2220.25
2008-11-10,2151.25,2250.0,2125.25,2234.25,4380,2128.25
