date,open,high,low,close,volume,prev_closing_price
2015-02-05,40.0,69.0,40.0,67.7,11697078,0.0
2015-02-08,68.0,75.9,67.7,70.0,1954578,67.7
2015-02-09,65.0,67.5,58.0,60.1,4445935,70.0
2015-02-10,59.5,64.0,55.0,62.5,2288080,60.1
2015-02-11,63.4,65.1,60.4,61.5,2416923,62.5
2015-02-12,61.5,64.6,60.1,63.1,1988370,61.5
2015-02-15,63.3,64.0,61.7,62.4,1533934,63.1
2015-02-16,61.2,62.9,58.1,59.1,1543747,62.4
2015-02-17,59.4,60.0,56.6,57.0,1402471,59.1
2015-02-18,57.0,57.9,55.8,56.1,1475123,57.0
2015-02-19,55.9,57.8,55.8,56.8,882469,56.1
2015-02-22,57.0,58.6,56.7,56.9,807451,56.8
2015-02-23,57.0,57.5,54.6,54.8,1449770,56.9
2015-02-24,55.3,55.4,53.5,53.6,1451076,54.8
2015-02-25,53.2,54.4,51.2,52.0,1247199,53.6
2015-02-26,52.1,52.9,50.8,51.1,1043306,52.0
2015-03-01,51.6,53.4,50.1,52.1,859661,51.1
2015-03-02,53.0,55.6,52.7,54.0,1849278,52.1
2015-03-03,54.2,54.2,51.7,52.2,623581,54.0
2015-03-04,52.1,53.4,51.8,52.8,677966,52.2
2015-03-05,53.3,55.4,53.2,54.6,948639,52.8
2015-03-08,55.0,60.0,55.0,60.0,2670315,54.6
2015-03-09,61.1,64.1,59.0,61.4,2214572,60.0
2015-03-10,61.4,66.4,60.6,65.5,2012689,61.4
2015-03-11,65.6,66.5,61.4,62.2,2572362,65.5
2015-03-12,62.0,63.5,60.4,62.1,1699789,62.2
2015-03-15,62.9,66.5,62.9,66.1,2025493,62.1
2015-03-16,66.3,68.3,63.1,64.6,2516448,66.1
2015-03-18,64.0,65.5,62.2,64.6,1508200,64.6
2015-03-19,65.4,66.6,64.5,64.9,1189479,64.6
2015-03-22,67.0,67.0,62.8,63.4,1721914,64.9
2015-03-23,63.9,64.3,61.7,62.6,1588746,63.4
2015-03-24,62.7,63.4,62.0,62.2,869045,62.6
2015-03-25,61.7,62.9,60.1,60.8,1165488,62.2
2015-03-29,61.0,63.8,60.2,62.5,1415197,60.8
2015-03-30,63.0,64.9,62.6,64.5,1976748,62.5
2015-03-31,64.8,66.2,64.3,65.3,2169899,64.5
2015-04-01,65.8,65.8,63.0,63.6,1390952,65.3
2015-04-02,63.5,66.0,63.3,65.7,1643235,63.6
2015-04-05,65.5,67.8,64.3,66.7,1846914,65.7
2015-04-06,67.0,71.5,66.9,69.2,1918237,66.7
2015-04-07,68.9,71.9,68.3,70.4,2842437,69.2
2015-04-08,71.4,74.8,70.8,74.4,2955452,70.4
2015-04-09,74.8,75.4,69.2,70.6,2190450,74.4
2015-04-12,71.0,74.9,70.9,74.2,2139418,70.6
2015-04-13,75.0,76.9,72.8,74.0,2602346,74.2
2015-04-15,74.0,78.9,73.4,77.5,2280514,74.0
2015-04-16,76.9,78.7,74.2,75.5,2018371,77.5
2015-04-19,76.0,83.0,75.6,80.1,2090994,75.5
2015-04-20,81.0,82.0,76.8,77.5,1946818,80.1
2015-04-21,78.0,81.6,77.5,78.9,1773021,77.5
2015-04-22,78.6,84.8,78.6,83.8,1451475,78.9
2015-04-23,83.3,83.7,78.6,79.5,1224488,83.8
2015-04-26,79.8,80.3,77.5,78.5,1044893,79.5
2015-04-27,78.8,79.3,77.5,78.6,527199,78.5
2015-04-29,80.0,82.1,77.1,79.0,1155586,78.6
2015-04-30,78.6,80.7,77.6,78.4,1089208,79.0
2015-05-04,76.4,78.4,76.1,76.8,1287972,78.4
2015-05-05,78.5,82.1,77.1,81.2,1416586,76.8
2015-05-06,81.0,83.4,80.0,81.1,1293368,81.2
2015-05-07,81.3,82.5,77.0,78.8,1560352,81.1
2015-05-10,78.1,85.6,78.1,82.8,1892962,78.8
2015-05-11,83.9,87.9,83.3,86.8,2024567,82.8
2015-05-12,87.2,94.5,87.0,93.8,1966379,86.8
2015-05-13,94.5,99.7,93.3,98.2,2056283,93.8
2015-05-14,98.6,101.7,95.0,96.4,1508874,98.2
2015-05-17,97.5,101.2,96.5,99.5,989927,96.4
2015-05-18,102.9,109.4,101.0,108.0,1234268,99.5
2015-05-19,114.0,115.0,102.0,105.3,591750,108.0
2015-05-20,105.7,109.8,100.0,102.9,1179874,105.3
2015-05-21,107.6,113.1,102.4,113.1,1323322,102.9
2015-05-24,121.0,124.2,117.6,119.3,1010472,113.1
2015-05-25,123.0,123.0,113.1,114.6,929016,119.3
2015-05-26,118.0,121.0,110.1,110.8,1084604,114.6
2015-05-27,115.0,121.8,114.1,119.6,1423638,110.8
2015-05-28,121.0,124.5,112.7,114.3,1249075,119.6
2015-05-31,117.7,117.7,110.0,111.0,977715,114.3
2015-06-01,115.0,118.2,110.6,111.8,957412,111.0
2015-06-02,112.9,114.9,106.0,107.2,783146,111.8
2015-06-04,109.0,109.7,104.8,105.7,516394,107.2
2015-06-07,110.0,111.9,101.5,103.9,1170119,105.7
2015-06-08,105.1,107.5,95.5,97.3,627100,103.9
2015-06-09,96.1,105.9,93.0,103.9,945492,97.3
2015-06-10,104.8,106.6,97.1,98.1,511040,103.9
2015-06-11,98.9,103.0,96.5,98.6,551396,98.1
2015-06-14,97.0,99.0,91.7,92.7,408366,98.6
2015-06-15,93.0,96.1,91.7,92.8,391234,92.7
2015-06-16,94.6,102.0,93.5,100.5,509972,92.8
2015-06-17,102.2,107.0,100.0,103.5,774437,100.5
2015-06-18,103.0,111.3,102.8,108.8,1083591,103.5
2015-06-21,111.0,114.6,107.6,108.8,586768,108.8
2015-06-22,109.0,111.0,103.2,104.0,421848,108.8
2015-06-23,105.2,106.0,102.0,104.4,561421,104.0
2015-06-24,106.0,113.1,104.8,112.8,1308455,104.4
2015-06-25,110.7,114.7,109.5,112.2,681445,112.8
2015-06-28,113.0,117.0,110.5,111.9,692112,112.2
2015-06-29,112.2,114.0,109.0,110.9,524806,111.9
2015-06-30,112.9,113.0,109.5,110.6,442521,110.9
2015-07-02,110.4,115.7,110.4,112.3,1099937,110.6
2015-07-05,114.8,116.9,104.7,105.4,1177619,112.3
2015-07-06,105.9,107.9,103.5,106.5,1393885,105.4
2015-07-07,107.0,110.7,104.0,104.7,1334049,106.5
2015-07-08,106.8,106.8,100.3,102.5,1864949,104.7
2015-07-09,103.0,104.9,100.1,101.2,2047412,102.5
2015-07-12,102.0,103.0,98.4,100.0,1352191,101.2
2015-07-13,101.3,101.3,97.7,99.5,945149,100.0
2015-07-14,100.9,106.2,100.0,104.8,1535098,99.5
2015-07-21,105.0,106.9,102.6,103.2,999747,104.8
2015-07-22,103.9,104.7,100.0,101.1,1437609,103.2
2015-07-23,101.0,105.5,100.3,104.5,1115868,101.1
2015-07-26,105.5,106.0,101.5,101.7,916197,104.5
2015-07-27,102.5,103.0,100.2,101.2,953789,101.7
2015-07-28,102.8,104.1,101.5,102.4,692922,101.2
2015-07-29,103.0,105.0,102.7,104.6,1253638,102.4
2015-07-30,105.0,107.0,104.5,106.6,1153480,104.6
2015-08-02,107.0,108.9,106.0,106.9,1138255,106.6
2015-08-03,107.7,107.8,103.8,104.1,1197404,106.9
2015-08-04,104.4,105.4,102.4,102.7,847922,104.1
2015-08-05,102.7,104.4,102.2,102.9,788341,102.7
2015-08-06,104.8,105.3,103.0,104.1,488091,102.9
2015-08-09,105.9,109.0,105.0,108.2,1263412,104.1
2015-08-10,111.0,112.8,105.5,106.9,1449593,108.2
2015-08-11,106.8,107.5,105.1,105.6,420746,106.9
2015-08-12,105.0,107.2,103.8,104.7,744384,105.6
2015-08-13,105.8,107.7,104.0,104.4,421203,104.7
2015-08-16,104.5,105.5,103.1,103.6,360691,104.4
2015-08-17,104.5,105.9,103.3,103.6,574958,103.6
2015-08-18,103.2,108.9,103.2,107.8,928426,103.6
2015-08-19,108.0,108.6,105.1,105.6,582936,107.8
2015-08-20,106.8,106.8,103.8,104.0,483898,105.6
2015-08-23,104.3,104.8,102.6,103.2,793811,104.0
2015-08-24,105.0,105.8,101.2,102.6,509221,103.2
2015-08-25,102.1,104.1,101.9,103.1,512270,102.6
2015-08-26,103.2,106.8,103.2,105.9,989673,103.1
2015-08-27,106.5,107.8,104.0,104.3,360072,105.9
2015-08-30,104.5,104.9,102.4,102.8,591251,104.3
2015-08-31,103.0,104.5,102.5,103.3,241107,102.8
2015-09-01,102.6,103.1,101.8,102.3,308109,103.3
2015-09-02,102.8,104.0,102.1,102.4,261813,102.3
2015-09-03,102.8,102.8,101.3,101.7,387988,102.4
2015-09-06,102.0,102.7,99.6,100.2,436257,101.7
2015-09-07,101.9,102.1,100.1,101.4,309673,100.2
2015-09-08,101.1,102.9,99.8,100.3,289952,101.4
2015-09-09,101.6,101.6,98.5,99.9,373659,100.3
2015-09-10,98.6,100.4,97.9,98.2,339566,99.9
2015-09-13,97.5,103.9,97.5,102.6,463865,98.2
2015-09-14,103.5,104.8,102.1,103.4,579907,102.6
2015-09-15,104.0,105.8,103.0,104.0,695584,103.4
2015-09-16,104.5,107.0,104.5,106.3,955281,104.0
2015-09-17,107.0,109.6,106.8,107.8,1067302,106.3
2015-09-20,107.0,113.0,107.0,111.2,1656805,107.8
2015-09-21,111.0,112.9,107.0,108.0,606102,111.2
2015-09-22,108.0,108.6,106.6,107.0,553494,108.0
2015-09-28,107.0,110.3,107.0,108.4,684395,107.0
2015-09-29,108.3,111.5,107.9,110.6,572105,108.4
2015-09-30,112.0,113.7,110.2,111.1,796442,110.6
2015-10-01,110.1,111.0,108.6,109.3,541177,111.1
2015-10-04,108.7,110.5,105.9,106.5,565962,109.3
2015-10-05,106.2,107.4,104.6,106.6,336972,106.5
2015-10-06,107.3,107.7,104.8,105.0,263194,106.6
2015-10-07,104.1,107.3,104.0,106.2,261972,105.0
2015-10-08,105.0,106.6,103.8,104.2,180557,106.2
2015-10-11,103.6,104.4,103.1,103.7,352089,104.2
2015-10-12,104.2,104.7,103.4,103.7,282080,103.7
2015-10-13,105.5,106.0,103.1,104.0,245775,103.7
2015-10-14,103.3,104.7,103.3,104.1,163312,104.0
