date,open,high,low,close,volume,prev_closing_price
2010-11-22,9.1,9.9,8.3,9.3,626000,10.0
2010-11-23,9.1,10.1,9.1,9.7,416000,9.3
2010-11-24,10.0,10.1,9.5,9.9,419000,9.7
2010-11-25,9.7,10.3,9.6,9.9,892500,9.9
2010-11-28,10.0,10.4,9.6,9.9,524500,9.9
2010-11-29,9.6,10.0,9.5,9.6,422000,9.9
2010-11-30,9.5,9.8,9.4,9.5,331000,9.6
2010-12-01,9.5,9.7,9.3,9.4,241500,9.5
2010-12-02,9.3,9.4,9.2,9.3,527000,9.4
2010-12-05,9.1,9.4,9.1,9.2,319000,9.3
2010-12-06,9.1,9.5,9.1,9.3,259500,9.2
2010-12-07,9.4,9.4,9.2,9.3,410000,9.3
2010-12-08,9.4,9.9,9.1,9.1,293500,9.3
2010-12-09,9.1,10.5,9.1,10.3,1939500,9.1
2010-12-12,10.7,11.4,9.9,10.4,3636500,10.3
2010-12-13,10.5,10.7,9.9,9.9,756000,10.4
2010-12-14,9.9,10.7,9.9,10.5,1510000,9.9
2010-12-15,10.6,10.8,10.1,10.2,2473000,10.5
2010-12-19,10.3,10.5,9.8,9.8,920000,10.2
2010-12-20,10.1,10.1,9.6,9.7,661000,9.8
2010-12-21,9.7,10.0,9.6,9.8,618000,9.7
2010-12-22,10.0,10.3,9.9,10.2,1251000,9.8
2010-12-23,10.2,10.4,10.0,10.1,1064500,10.2
2010-12-26,10.0,10.2,9.8,9.8,864000,10.1
2010-12-27,9.8,10.0,9.7,9.8,801500,9.8
2010-12-28,9.7,10.0,9.7,9.9,1113500,9.8
2010-12-29,9.8,10.8,9.8,10.5,2070500,9.9
2010-12-30,10.9,11.9,10.8,11.4,4287000,10.5
2011-01-02,11.8,11.8,10.8,10.9,1622000,11.4
2011-01-03,10.7,11.1,10.5,10.9,1354500,10.9
2011-01-04,10.8,11.2,10.7,10.9,1133500,10.9
2011-01-05,10.9,11.0,10.5,10.6,1131500,10.9
2011-01-06,10.7,10.9,10.3,10.4,1030500,10.6
2011-01-09,10.5,10.6,9.1,9.6,1071000,10.4
2011-01-10,9.5,9.7,9.2,9.2,261000,9.6
2011-01-11,10.0,11.0,10.0,10.9,2486500,9.2
2011-01-12,11.0,11.1,10.3,10.4,1022000,10.9
2011-01-13,10.3,10.7,10.3,10.4,578000,10.4
2011-01-16,10.4,10.4,10.0,10.0,870000,10.4
2011-01-17,10.1,10.2,9.9,10.0,618500,10.0
2011-01-18,9.9,10.1,9.8,9.8,279000,10.0
2011-01-19,10.1,10.1,9.7,9.7,286000,9.8
2011-01-20,9.7,9.7,9.5,9.5,37000,9.7
2011-01-25,10.2,10.4,10.1,10.3,1627000,9.5
2011-01-26,10.2,10.9,10.1,10.4,1886500,10.3
2011-01-27,10.2,10.8,10.2,10.2,1026500,10.4
2011-01-30,10.2,10.6,10.0,10.3,826000,10.2
2011-01-31,10.2,10.5,10.0,10.0,768000,10.3
2011-02-01,10.0,10.7,10.0,10.0,1878000,10.0
2011-02-02,10.0,10.2,10.0,10.0,273000,10.0
2011-02-03,9.9,10.1,9.8,10.0,614500,10.0
2011-02-06,10.0,10.0,9.5,9.5,519500,10.0
2011-02-07,9.5,9.7,9.1,9.1,467500,9.5
2011-02-08,9.3,9.6,9.0,9.3,2443000,9.1
2011-02-09,9.7,9.7,9.1,9.2,588000,9.3
2011-02-10,9.1,9.4,9.0,9.0,729500,9.2
2011-02-13,9.0,9.1,8.7,8.9,797000,9.0
2011-02-14,8.6,8.7,8.1,8.2,940000,8.9
2011-02-15,8.3,9.0,8.2,8.9,740500,8.2
2011-02-20,9.3,9.5,9.2,9.4,446000,8.9
2011-02-22,9.1,9.3,8.5,8.6,955000,9.4
2011-02-27,8.0,8.4,7.7,7.9,568500,8.3
2011-02-28,7.9,8.1,7.3,7.4,301000,7.9
2011-03-01,7.9,8.1,7.9,8.1,167500,7.4
2011-03-02,8.4,8.5,7.6,7.6,282000,8.1
2011-03-03,7.8,8.3,7.6,8.0,465500,7.6
2011-03-06,8.0,8.2,7.9,8.1,198000,8.0
2011-03-07,8.4,8.7,8.1,8.4,374000,8.1
2011-03-08,8.6,9.0,8.6,8.8,614000,8.4
2011-03-09,8.8,9.2,8.7,9.1,675500,8.8
2011-03-10,9.0,9.4,9.0,9.2,663000,9.1
2011-03-13,9.2,9.3,8.5,8.5,568000,9.2
2011-03-14,8.7,8.9,8.5,8.8,153000,8.5
2011-03-15,9.0,9.0,8.6,8.6,161000,8.8
2011-03-16,8.7,8.7,8.5,8.5,509500,8.6
2011-03-20,8.5,8.6,8.3,8.3,344000,8.5
2011-03-21,8.4,8.6,8.0,8.0,579000,8.3
2011-03-22,8.3,8.5,8.0,8.3,433000,8.0
2011-03-23,8.2,8.3,8.0,8.0,642000,8.3
2011-03-24,8.0,8.0,7.8,7.8,180000,8.0
2011-03-27,8.0,8.3,7.9,8.1,296000,7.8
2011-03-28,8.0,8.5,8.0,8.2,305500,8.1
2011-03-29,8.3,8.5,8.1,8.1,812500,8.2
2011-03-30,8.1,8.4,8.1,8.3,287000,8.1
2011-03-31,8.2,8.4,8.2,8.2,140500,8.3
2011-04-03,8.3,8.4,8.1,8.1,187000,8.2
2011-04-04,8.2,8.3,8.1,8.1,180000,8.1
2011-04-05,8.1,8.2,7.9,7.9,358000,8.1
2011-04-06,8.2,8.2,7.9,7.9,204500,7.9
2011-04-07,8.0,8.1,7.9,8.0,294000,7.9
2011-04-10,7.9,8.4,7.9,8.2,257000,8.0
2011-04-11,8.1,8.7,8.1,8.2,618500,8.2
