date,open,high,low,close,volume,prev_closing_price
2008-03-06,123.0,135.0,123.0,126.25,7500,123.0
2008-03-09,134.75,149.75,132.0,146.5,8350,126.25
2008-03-09,134.75,149.75,132.0,146.5,8350,126.25
2008-03-10,150.0,150.0,127.0,130.25,3150,146.5
2008-03-11,131.5,132.5,130.0,131.0,1850,130.25
2008-03-12,133.0,138.0,133.0,133.75,3200,131.0
2008-03-13,140.0,146.75,138.5,144.75,8600,133.75
2008-03-16,147.0,173.25,147.0,170.0,6800,144.75
2008-03-17,154.0,154.0,150.0,152.0,1900,170.0
2008-03-18,154.0,166.0,152.0,156.75,2650,152.0
2008-03-19,154.0,168.5,154.0,165.0,4100,156.75
2008-03-20,169.5,196.0,169.5,193.25,12300,165.0
2008-03-23,200.0,220.0,185.0,198.5,10050,193.25
2008-03-24,195.0,195.0,180.0,180.75,4850,198.5
2008-03-25,182.0,200.0,182.0,187.25,4200,180.75
2008-03-30,187.0,195.0,182.0,184.0,2250,187.25
2008-03-31,180.0,191.0,176.0,179.25,1900,184.0
2008-04-01,183.0,183.0,168.75,171.75,2200,179.25
2008-04-02,170.0,179.75,170.0,177.5,2800,171.75
2008-04-03,179.5,187.0,175.25,181.0,1300,177.5
2008-04-06,174.0,174.25,160.0,166.75,3050,181.0
2008-04-07,161.25,165.0,161.25,164.5,600,166.75
2008-04-08,165.0,165.0,161.5,163.0,1600,164.5
2008-04-09,163.0,181.75,163.0,175.5,4500,163.0
2008-04-10,175.25,175.25,165.25,173.5,1300,175.5
2008-04-13,171.0,178.0,168.25,175.0,1000,173.5
2008-04-15,182.0,182.0,172.0,176.0,1200,175.0
2008-04-16,175.0,175.0,170.0,172.75,1300,176.0
2008-04-17,168.5,174.0,167.0,169.25,1750,172.75
2008-04-20,170.0,170.0,167.0,169.0,1850,169.25
2008-04-21,166.0,166.25,165.0,165.75,900,169.0
2008-04-22,174.0,174.0,166.0,171.0,400,165.75
2008-04-23,171.0,188.0,171.0,185.5,9000,171.0
2008-04-24,193.0,195.0,173.5,183.0,1750,185.5
2008-04-27,185.0,185.0,170.5,171.75,1550,183.0
2008-04-28,167.5,167.5,166.0,166.75,1600,171.75
2008-04-29,167.25,167.25,165.0,166.25,1350,166.75
2008-04-30,160.25,164.5,160.25,160.75,450,166.25
2008-05-04,160.25,165.0,155.0,160.75,1450,160.75
2008-05-05,155.5,160.0,153.0,155.0,1150,160.75
2008-05-06,155.0,155.0,154.0,154.25,150,155.0
2008-05-07,150.0,152.5,148.0,150.0,1450,154.25
2008-05-08,160.75,167.0,150.0,154.5,3150,150.0
2008-05-11,155.25,166.0,155.25,161.0,1250,154.5
2008-05-12,154.25,155.0,154.25,154.5,200,161.0
2008-05-13,155.0,155.25,154.75,155.0,900,154.5
2008-05-14,155.0,0.0,0.0,155.0,0,155.0
2008-05-15,155.0,155.0,141.0,142.5,1200,155.0
2008-05-18,142.0,145.0,135.0,138.5,2400,142.5
2008-05-20,146.75,146.75,135.0,139.75,900,138.5
2008-05-21,147.0,151.0,142.75,147.0,1650,139.75
2008-05-22,150.75,151.75,148.0,150.25,1300,147.0
2008-05-25,151.5,151.5,141.0,146.5,800,150.25
2008-05-26,150.75,151.0,145.0,148.5,1800,146.5
2008-05-27,155.0,155.0,148.0,150.0,2900,148.5
2008-05-28,149.5,152.5,146.0,148.75,300,150.0
2008-05-29,145.0,149.5,145.0,146.5,900,148.75
2008-06-01,145.0,145.0,142.0,142.75,1050,146.5
2008-06-02,143.0,144.0,142.0,143.0,1250,142.75
2008-06-03,148.0,158.0,148.0,156.25,2150,143.0
2008-06-04,159.75,187.0,159.75,185.75,9400,156.25
2008-06-05,188.0,188.0,167.0,174.5,2300,185.75
2008-06-08,166.0,168.0,163.0,165.25,300,174.5
2008-06-09,160.0,165.0,157.0,162.5,1500,165.25
2008-06-10,162.0,165.0,162.0,162.75,500,162.5
2008-06-11,165.0,170.0,160.25,165.0,3050,162.75
2008-06-12,158.25,161.0,158.0,159.0,600,165.0
2008-06-15,162.0,162.0,149.5,154.75,2000,159.0
2008-06-16,150.0,150.0,149.0,149.5,150,154.75
2008-06-17,147.0,157.0,146.5,153.75,650,149.5
2008-06-18,165.0,169.0,157.0,166.25,2500,153.75
2008-06-19,158.75,165.0,158.75,160.25,850,166.25
2008-06-22,157.0,157.25,157.0,157.0,200,160.25
2008-06-23,151.0,151.0,151.0,151.0,150,157.0
2008-06-24,154.75,156.5,154.75,156.0,600,151.0
2008-06-25,153.5,158.25,153.5,156.25,350,156.0
2008-06-26,156.0,157.75,156.0,156.75,200,156.25
2008-06-29,154.0,154.0,154.0,154.0,50,156.75
2008-06-30,155.0,155.0,151.5,153.5,1900,154.0
2008-07-02,153.5,0.0,0.0,153.5,0,153.5
2008-07-03,153.5,160.0,153.5,156.5,1250,153.5
2008-07-06,157.0,158.0,153.25,155.25,900,156.5
2008-07-07,153.0,154.0,152.0,152.75,750,155.25
2008-07-08,150.5,153.75,150.0,150.75,350,152.75
2008-07-08,150.5,153.75,150.0,150.75,350,152.75
2008-07-09,147.25,147.25,147.25,147.25,50,150.75
2008-07-10,148.75,164.0,148.0,157.5,1050,147.25
2008-07-13,150.25,150.25,150.25,150.25,100,157.5
2008-07-14,155.0,160.0,155.0,158.25,1350,150.25
2008-07-15,157.0,162.0,157.0,159.25,1650,158.25
