date,open,high,low,close,volume,prev_closing_price
2008-03-06,311.0,315.5,309.0,314.25,10400,311.75
2008-03-09,310.0,320.0,310.0,312.0,28000,314.25
2008-03-09,310.0,320.0,310.0,312.0,28000,314.25
2008-03-10,315.0,315.25,311.25,311.5,24650,312.0
2008-03-11,310.5,313.0,301.25,309.25,24700,311.5
2008-03-12,310.0,310.0,306.5,308.25,21600,309.25
2008-03-13,308.5,310.0,305.0,307.25,21900,308.25
2008-03-16,304.0,307.0,302.25,303.25,21200,307.25
2008-03-17,302.0,306.5,300.0,301.5,23750,303.25
2008-03-18,302.0,309.0,302.0,304.5,10550,301.5
2008-03-19,300.5,306.75,300.0,303.5,11500,304.5
2008-03-20,303.0,306.0,301.25,305.25,9300,303.5
2008-03-23,302.0,306.0,300.0,305.0,13200,305.25
2008-03-24,303.0,307.0,303.0,305.5,9050,305.0
2008-03-25,305.0,315.0,305.0,0.0,10250,305.5
2008-03-30,312.0,319.25,312.0,318.25,11950,314.0
2008-03-31,320.0,320.0,315.0,316.0,7400,318.25
2008-04-01,319.0,319.75,313.25,318.5,11050,316.0
2008-04-02,319.0,319.0,312.0,315.25,8700,318.5
2008-04-03,318.0,319.25,311.25,313.25,8050,315.25
2008-04-06,311.25,316.5,311.0,311.5,8000,313.25
2008-04-07,310.0,314.5,302.0,304.5,14850,311.5
2008-04-08,306.25,314.75,306.25,312.5,8500,304.5
2008-04-09,317.75,329.75,316.5,324.5,33150,312.5
2008-04-10,328.0,330.0,320.0,320.75,17900,324.5
2008-04-13,329.0,329.0,315.5,325.25,13550,320.75
2008-04-15,329.5,350.0,329.5,346.5,84850,325.25
2008-04-16,350.0,350.0,330.0,339.25,20650,346.5
2008-04-17,338.0,341.75,332.0,335.5,27700,339.25
2008-04-20,325.25,335.75,325.25,331.0,29000,335.5
2008-04-21,333.75,333.75,320.0,326.5,13900,331.0
2008-04-22,325.0,330.0,321.5,328.5,13150,326.5
2008-04-23,329.0,335.0,325.0,332.75,17000,328.5
2008-04-24,332.75,0.0,0.0,332.75,0,332.75
2008-04-27,334.0,345.0,315.0,335.0,118150,332.75
2008-04-28,338.0,354.0,338.0,350.25,124350,335.0
2008-04-29,354.75,362.0,342.5,345.0,58600,350.25
2008-04-30,342.25,345.0,326.5,329.75,49400,345.0
2008-05-04,331.0,339.25,325.0,326.5,24300,329.75
2008-05-05,318.0,333.0,318.0,322.25,6350,326.5
2008-05-06,326.5,329.0,324.5,327.75,7500,322.25
2008-05-07,335.0,337.0,330.5,331.5,11950,327.75
2008-05-08,331.5,0.0,0.0,331.5,0,331.5
2008-05-11,357.0,357.0,336.25,338.5,48700,331.5
2008-05-12,343.5,343.5,330.0,332.0,20650,338.5
2008-05-13,339.0,339.0,326.0,332.75,23500,332.0
2008-05-14,338.0,355.0,334.0,352.5,93750,332.75
2008-05-15,360.0,379.75,358.0,372.5,109000,352.5
2008-05-18,380.0,389.0,375.0,377.0,71150,372.5
