date,open,high,low,close,volume,prev_closing_price
2008-03-06,5599.0,5643.0,5560.0,5620.5,3654,5551.0
2008-03-09,5680.0,6020.0,5680.0,5856.5,6537,5620.5
2008-03-09,5680.0,6020.0,5680.0,5856.5,6537,5620.5
2008-03-10,6042.0,6295.5,6040.0,6256.75,13664,5856.5
2008-03-11,6256.75,6400.0,5900.0,5943.5,6833,6256.75
2008-03-12,5900.0,6000.0,5850.0,5917.5,5080,5943.5
2008-03-13,5905.0,5960.0,5871.0,5890.0,3262,5917.5
2008-03-16,5880.0,5898.75,5760.0,5778.25,3609,5890.0
2008-03-17,5800.0,5800.0,5732.0,5765.0,2135,5778.25
2008-03-18,5790.0,5800.0,5750.25,5760.0,2962,5765.0
2008-03-19,5750.0,5819.0,5750.0,5757.5,2183,5760.0
2008-03-20,5765.0,5780.0,5701.0,5719.25,3217,5757.5
2008-03-23,5775.0,5775.0,5700.0,5709.75,3075,5719.25
2008-03-24,5701.0,5900.0,5695.0,5751.25,3997,5709.75
2008-03-25,5770.0,5870.0,5770.0,5858.25,3195,5751.25
2008-03-30,5800.0,5979.0,5800.0,5905.25,2832,5858.25
2008-03-31,5989.0,5989.0,5804.0,5840.25,3788,5905.25
2008-04-01,5810.0,5930.0,5810.0,5874.25,3228,5840.25
2008-04-02,5950.0,5974.0,5875.0,5962.0,4240,5874.25
2008-04-03,5970.0,6200.0,5970.0,6097.25,6901,5962.0
2008-04-06,6100.25,6178.0,6000.0,6017.25,2808,6097.25
2008-04-07,6000.0,6000.0,5891.0,5901.25,3013,6017.25
2008-04-08,5915.0,5998.0,5915.0,5977.25,2405,5901.25
2008-04-09,6000.0,6070.0,5950.0,5961.75,2761,5977.25
2008-04-10,5999.0,6039.0,5960.0,5977.0,3319,5961.75
2008-04-13,5980.0,5989.0,5861.0,5876.25,4014,5977.0
2008-04-15,5896.75,6029.0,5811.0,5840.5,8945,5876.25
2008-04-16,5950.0,5960.0,5840.0,5881.5,2476,5840.5
2008-04-17,5853.0,5980.0,5853.0,5918.75,3038,5881.5
2008-04-20,6000.0,6150.0,5750.0,5852.5,9354,5918.75
2008-04-21,5748.0,5899.0,5700.0,5788.5,5144,5852.5
2008-04-22,5749.0,5790.0,5660.0,5680.25,4411,5788.5
2008-04-23,5700.0,5700.0,5560.0,5597.0,4141,5680.25
2008-04-24,5590.0,5620.0,5580.0,5605.75,3394,5597.0
2008-04-27,5601.0,5784.75,5600.0,5744.25,3663,5605.75
2008-04-28,5799.0,5850.0,5735.0,5779.75,2984,5744.25
2008-04-29,5834.0,5834.0,5750.0,5758.25,3085,5779.75
2008-04-30,5736.0,5829.75,5736.0,5776.5,2511,5758.25
2008-05-04,5840.0,5860.0,5776.0,5839.0,3927,5776.5
2008-05-05,5838.0,5838.0,5787.0,5799.0,3315,5839.0
2008-05-06,5830.0,5830.0,5790.0,5795.5,2091,5799.0
2008-05-07,5782.0,5825.0,5782.0,5798.75,2443,5795.5
2008-05-08,5819.0,5820.0,5791.0,5800.0,2077,5798.75
2008-05-11,5819.0,5819.0,5775.0,5786.5,3227,5800.0
2008-05-12,5780.0,5800.5,5750.0,5761.0,2627,5786.5
2008-05-13,5800.0,5800.0,5762.0,5766.75,2104,5761.0
2008-05-14,5757.0,5798.0,5757.0,5788.75,2973,5766.75
2008-05-15,5762.0,5794.5,5745.0,5779.25,3026,5788.75
2008-05-18,5819.0,5819.0,5731.0,5757.25,3611,5779.25
2008-05-20,5750.0,5788.0,5732.0,5766.0,4337,5757.25
2008-05-21,5732.0,5784.0,5732.0,5776.75,2929,5766.0
2008-05-22,5799.0,5899.0,5780.0,5888.0,4844,5776.75
2008-05-25,5898.0,6000.0,5820.0,5983.25,4570,5888.0
2008-05-26,5978.0,6098.0,5852.0,5891.5,4301,5983.25
2008-05-27,5860.0,6000.0,5810.0,5887.75,2081,5891.5
2008-05-28,5860.0,5970.0,5858.0,5907.0,2618,5887.75
2008-05-29,5900.0,5980.0,5861.0,5941.0,3503,5907.0
2008-06-01,5991.0,6110.0,5991.0,6097.0,5258,5941.0
2008-06-02,6115.0,6141.0,5990.0,5994.5,3176,6097.0
2008-06-03,6000.0,6050.0,5955.0,6027.75,1640,5994.5
2008-06-04,6002.0,6120.0,5999.0,6080.5,3689,6027.75
2008-06-05,6130.0,6148.0,6055.0,6103.0,2708,6080.5
2008-06-08,6149.0,6299.0,6100.0,6244.25,3723,6103.0
2008-06-09,6150.0,6264.0,6103.0,6183.25,4612,6244.25
2008-06-10,6190.0,6230.0,6140.0,6193.0,3734,6183.25
2008-06-11,6190.0,6199.0,6100.0,6136.0,4645,6193.0
2008-06-12,6179.0,6220.0,6120.0,6189.0,3156,6136.0
