date,open,high,low,close,volume,prev_closing_price
2009-10-28,399.0,550.0,397.0,462.0,71350,100.0
2009-10-29,433.0,460.0,425.0,438.75,30300,462.0
2009-11-01,426.0,436.0,403.25,407.0,26050,438.75
2009-11-02,402.0,404.75,390.0,398.0,16850,407.0
2009-11-03,401.0,402.25,395.0,399.75,13750,398.0
2009-11-04,400.0,402.0,396.0,396.25,14250,399.75
2009-11-05,396.0,398.0,390.25,392.0,14800,396.25
2009-11-08,391.25,395.0,381.25,382.75,19950,392.0
2009-11-09,383.0,383.5,375.0,375.25,13900,382.75
2009-11-10,375.0,378.75,370.0,374.25,12000,375.25
2009-11-11,376.0,380.0,373.75,375.25,9300,374.25
2009-11-12,375.0,387.0,372.5,381.0,7100,375.25
2009-11-15,380.25,390.0,377.0,385.5,9000,381.0
2009-11-16,378.0,410.0,373.0,401.25,24600,385.5
2009-11-17,391.0,415.0,391.0,407.5,34500,401.25
2009-11-18,415.25,423.0,407.0,414.25,27800,407.5
2009-11-19,415.5,449.75,414.5,438.5,33050,414.25
2009-11-22,440.0,470.0,440.0,462.25,42950,438.5
2009-11-23,460.0,479.75,450.0,451.5,35300,462.25
2009-11-24,449.0,456.0,435.0,446.25,25900,451.5
2009-11-25,443.25,463.0,443.25,460.25,37200,446.25
2009-11-26,465.0,489.0,461.0,485.75,63150,460.25
2009-12-01,495.0,510.0,482.0,501.25,37550,485.75
2009-12-02,514.75,542.0,501.5,537.5,71550,501.25
2009-12-03,547.0,549.0,530.0,536.25,59100,537.5
2009-12-06,518.0,539.0,518.0,528.5,50900,536.25
2009-12-07,521.0,565.0,521.0,540.75,46600,528.5
2009-12-08,533.0,552.0,533.0,543.75,34700,540.75
2009-12-09,543.25,579.5,543.25,575.75,48250,543.75
2009-12-10,555.0,555.0,490.0,511.5,50750,575.75
2009-12-13,512.0,512.25,480.5,495.0,26200,511.5
2009-12-14,500.0,537.0,495.5,532.25,29950,495.0
2009-12-15,521.0,533.75,518.0,522.75,38900,532.25
2009-12-17,515.25,533.0,515.25,522.0,21600,522.75
2009-12-20,520.0,520.0,490.0,494.0,11250,522.0
2009-12-21,486.0,503.75,485.25,496.5,13050,494.0
2009-12-22,501.0,522.0,500.0,515.25,14400,496.5
2009-12-23,523.5,529.0,505.5,517.5,15800,515.25
2009-12-24,515.0,526.0,515.0,519.25,11450,517.5
2009-12-27,530.0,532.0,515.5,518.25,14050,519.25
2009-12-29,510.0,520.0,508.0,510.5,15200,518.25
2009-12-30,500.25,509.5,497.0,499.5,17250,510.5
2010-01-03,498.25,508.0,489.0,491.75,12650,499.5
2010-01-04,497.0,512.25,497.0,502.75,10700,491.75
2010-01-05,508.0,508.0,496.0,496.25,13950,502.75
2010-01-06,505.0,509.75,497.0,504.75,6400,496.25
2010-01-07,510.75,519.0,508.0,516.5,16250,504.75
2010-01-10,520.0,524.0,502.0,511.25,16200,516.5
2010-01-11,507.5,509.75,505.5,508.0,10250,511.25
2010-01-12,501.5,510.0,500.0,508.25,18000,508.0
2010-01-13,517.0,518.0,492.0,498.75,19250,508.25
2010-01-14,507.0,514.0,505.0,511.75,9100,498.75
2010-01-17,516.75,516.75,499.0,501.25,10250,511.75
2010-01-18,503.0,508.0,498.0,504.25,8750,501.25
2010-01-19,497.0,515.0,497.0,514.0,13350,504.25
2010-01-20,511.0,517.0,511.0,514.75,21500,514.0
2010-01-21,519.0,524.0,513.0,516.0,20700,514.75
2010-01-24,528.0,539.0,498.0,535.75,66450,516.0
2010-01-25,540.0,575.0,528.25,569.0,102950,535.75
2010-01-26,560.0,570.0,541.0,551.25,27000,569.0
2010-01-27,526.0,559.75,526.0,550.5,21500,551.25
2010-01-28,557.0,560.0,540.0,549.25,26100,550.5
2010-01-31,544.0,553.0,540.5,542.5,15700,549.25
2010-02-01,535.5,568.75,535.5,555.5,21500,542.5
2010-02-02,530.0,550.0,530.0,542.25,37050,555.5
2010-02-03,532.0,543.0,525.0,529.0,10600,542.25
2010-02-04,515.25,529.0,515.25,523.5,8400,529.0
2010-02-07,518.0,539.5,518.0,522.75,3500,523.5
2010-02-08,525.0,529.0,514.75,524.0,8950,522.75
2010-02-09,535.0,540.0,525.0,530.0,11050,524.0
2010-02-10,540.0,540.0,518.0,522.0,6750,530.0
2010-02-11,534.0,534.0,515.0,519.5,14150,522.0
2010-02-14,510.0,518.0,500.0,503.5,23000,519.5
2010-02-15,503.0,519.0,495.0,499.0,11300,503.5
2010-02-16,516.0,516.0,493.5,496.25,6200,499.0
2010-02-17,506.0,508.0,480.0,485.75,27950,496.25
2010-02-18,495.0,500.0,470.0,488.75,6550,485.75
2010-02-22,482.0,492.0,470.0,475.5,10900,488.75
2010-02-23,490.0,492.0,470.0,485.75,16050,475.5
2010-02-24,508.0,512.0,500.0,502.5,15100,485.75
2010-02-25,495.0,507.0,491.0,491.5,5500,502.5
2010-02-28,492.0,492.0,482.0,484.25,1800,491.5
2010-03-01,499.0,512.0,489.0,508.75,10850,484.25
2010-03-02,514.0,530.0,496.0,500.5,7500,508.75
2010-03-03,509.75,509.75,492.25,499.0,2600,500.5
2010-03-04,515.0,520.0,486.0,489.0,20850,499.0
2010-03-07,490.5,503.0,484.0,489.0,7250,489.0
2010-03-08,485.0,490.0,482.0,483.25,3350,489.0
2010-03-09,480.0,485.0,477.25,478.75,4350,483.25
2010-03-10,489.75,490.0,472.5,488.0,3450,478.75
2010-03-11,490.0,492.0,480.0,482.75,3350,488.0
2010-03-14,477.0,477.25,471.0,474.0,2950,482.75
2010-03-15,470.0,470.0,453.25,458.5,3800,474.0
2010-03-16,480.0,483.0,472.0,479.75,3200,458.5
2010-03-18,478.0,487.75,476.0,480.25,2150,479.75
2010-03-21,480.0,484.0,475.25,481.5,3800,480.25
2010-03-22,490.0,490.0,480.0,481.25,4150,481.5
2010-03-23,477.0,481.5,477.0,478.0,4250,481.25
2010-03-24,476.25,479.0,471.0,473.75,2450,478.0
2010-03-25,475.0,476.0,473.0,473.75,3200,473.75
2010-03-28,450.25,472.0,450.25,468.5,2800,473.75
2010-03-29,453.75,465.0,453.75,461.0,2600,468.5
2010-03-30,475.0,480.0,461.0,468.5,3150,461.0
2010-03-31,464.5,470.0,464.5,466.25,2650,468.5
2010-04-01,441.0,469.0,441.0,464.5,1650,466.25
2010-04-04,460.0,470.0,459.0,465.5,3050,464.5
2010-04-05,462.5,468.0,458.0,459.5,5300,465.5
2010-04-06,451.0,459.5,449.0,450.5,2850,459.5
2010-04-07,445.25,453.0,440.0,444.75,2550,450.5
2010-04-08,453.0,459.0,453.0,455.25,3000,444.75
