date,open,high,low,close,volume,prev_closing_price
2008-03-06,23.0,24.4,23.0,23.6,237000,23.0
2008-03-09,24.9,24.9,24.2,24.5,196000,23.6
2008-03-09,24.9,24.9,24.2,24.5,196000,23.6
2008-03-10,24.7,24.7,23.7,24.2,180000,24.5
2008-03-11,24.0,24.1,23.1,23.2,137000,24.2
2008-03-12,24.0,24.0,23.1,23.5,69000,23.2
2008-03-13,23.8,24.1,23.5,23.7,97000,23.5
2008-03-16,24.0,25.5,23.9,24.1,433500,23.7
2008-03-17,25.0,25.0,24.1,24.1,171500,24.1
2008-03-18,24.8,24.8,23.9,23.9,146500,24.1
2008-03-19,24.0,24.1,23.6,23.7,213000,23.9
2008-03-20,24.2,24.3,24.0,24.2,197000,23.7
2008-03-23,24.0,24.5,23.6,23.8,193000,24.2
2008-03-24,23.8,0.0,0.0,23.8,0,23.8
2008-03-25,23.8,0.0,0.0,0.0,0,23.8
2008-03-30,26.1,28.5,26.1,28.5,28500,23.8
2008-03-31,29.0,30.9,28.4,29.6,125000,28.5
2008-04-01,29.0,29.1,26.9,28.1,119000,29.6
2008-04-02,28.2,28.3,27.1,27.8,45000,28.1
2008-04-03,28.0,29.0,26.3,26.5,90000,27.8
2008-04-06,28.6,28.6,26.5,28.0,137000,26.5
2008-04-07,28.5,32.2,28.5,31.5,239000,28.0
2008-04-08,31.4,31.5,29.5,31.1,124000,31.5
2008-04-09,32.3,34.0,31.3,32.7,313500,31.1
2008-04-10,32.0,33.5,31.5,32.0,138500,32.7
2008-04-13,32.2,34.0,32.0,33.0,240000,32.0
2008-04-15,33.7,38.1,33.7,37.5,444500,33.0
2008-04-16,38.4,38.4,35.6,36.1,164000,37.5
2008-04-17,36.7,36.7,35.0,35.3,237000,36.1
2008-04-20,33.6,34.5,33.6,34.0,192500,35.3
2008-04-21,34.1,34.1,31.5,32.1,217500,34.0
2008-04-22,32.4,33.0,32.0,32.3,100000,32.1
2008-04-23,32.5,32.5,30.1,30.9,121500,32.3
2008-04-24,30.5,31.9,30.5,31.5,97000,30.9
2008-04-27,32.9,36.0,32.9,34.6,597500,31.5
2008-04-28,35.2,36.4,33.9,33.9,299000,34.6
2008-04-29,33.0,35.2,33.0,33.9,187500,33.9
2008-04-30,34.1,34.5,33.1,33.2,188500,33.9
2008-05-04,34.0,34.0,31.1,32.4,219000,33.2
2008-05-05,32.5,32.5,30.0,31.4,157000,32.4
2008-05-06,31.0,31.6,31.0,31.2,225000,31.4
2008-05-07,31.5,32.1,31.5,31.7,242000,31.2
2008-05-08,31.7,0.0,0.0,31.7,0,31.7
2008-05-11,30.5,30.5,28.0,28.5,404000,31.7
2008-05-12,28.2,29.0,26.3,27.0,355500,28.5
2008-05-13,27.4,27.4,26.3,26.4,126000,27.0
2008-05-14,26.5,26.9,25.2,26.3,169000,26.4
2008-05-15,25.4,26.7,25.4,25.9,123000,26.3
2008-05-18,26.1,27.0,26.0,26.4,147000,25.9
2008-05-20,26.9,29.5,26.7,28.8,464000,26.4
2008-05-21,29.4,29.5,27.7,27.9,103000,28.8
2008-05-22,28.1,28.7,27.5,27.7,106500,27.9
2008-05-25,27.8,28.1,26.9,27.0,142500,27.7
2008-05-26,27.0,27.5,26.9,27.0,62000,27.0
2008-05-27,27.5,28.4,27.5,27.8,111000,27.0
2008-05-28,28.3,28.7,27.6,27.9,215500,27.8
2008-05-29,28.0,28.4,27.6,28.0,145500,27.9
2008-06-01,28.9,28.9,28.0,28.4,168000,28.0
2008-06-02,28.3,28.6,27.6,27.7,84000,28.4
2008-06-03,28.2,28.2,27.1,27.6,144000,27.7
2008-06-04,28.6,33.1,28.2,32.9,757500,27.6
2008-06-05,34.8,34.8,31.6,33.2,408500,32.9
2008-06-08,30.0,34.0,30.0,33.7,390500,33.2
2008-06-09,33.0,33.0,30.2,30.4,359000,33.7
2008-06-10,31.6,33.9,31.5,32.2,319500,30.4
2008-06-11,32.5,33.0,30.3,30.6,192500,32.2
2008-06-12,32.0,32.0,30.7,31.4,160000,30.6
2008-06-15,32.0,32.3,31.0,0.0,140500,31.4
2008-06-16,31.0,31.4,30.5,0.0,109500,31.2
2008-06-17,31.5,32.7,31.4,32.3,267500,31.3
2008-06-18,33.4,34.5,32.5,0.0,386500,32.3
2008-06-19,34.3,34.3,32.4,32.4,134000,33.8
2008-06-22,31.7,31.9,31.1,0.0,117500,32.4
2008-06-23,31.9,32.0,30.6,0.0,112500,31.4
2008-06-24,32.0,32.0,31.2,31.5,81500,31.0
2008-06-25,31.5,31.5,30.6,30.7,106000,31.5
2008-06-26,31.5,31.6,30.5,30.6,61000,30.7
2008-06-29,31.5,31.5,29.7,29.8,76000,30.6
2008-06-30,29.6,30.0,29.2,29.4,102500,29.8
2008-07-02,29.6,29.6,28.5,28.6,71500,29.4
2008-07-03,28.7,29.5,28.0,29.3,72000,28.6
2008-07-06,29.7,29.8,28.1,28.7,78500,29.3
2008-07-07,28.7,28.9,28.1,28.4,40500,28.7
2008-07-08,28.4,29.4,28.3,28.6,41500,28.4
2008-07-08,28.4,29.4,28.3,28.6,41500,28.4
2008-07-09,29.0,29.0,28.3,28.6,29500,28.6
2008-07-10,29.4,30.0,29.0,29.9,159500,28.6
2008-07-13,30.0,30.5,29.8,30.2,112000,29.9
2008-07-14,29.7,30.0,29.2,29.4,45000,30.2
2008-07-15,29.4,29.8,28.9,29.3,64000,29.4
2008-07-16,30.0,30.0,29.0,29.6,108000,29.3
2008-07-17,29.9,30.9,29.9,30.3,184500,29.6
2008-07-20,29.9,30.1,28.7,29.9,166500,30.3
2008-07-21,30.2,31.6,29.3,29.4,210500,29.9
2008-07-22,29.5,29.6,28.3,28.5,119000,29.4
2008-07-23,29.0,29.3,28.1,28.3,68000,28.5
2008-07-24,28.4,29.2,28.4,28.9,82000,28.3
2008-07-27,28.8,29.8,28.8,29.5,237000,28.9
2008-07-28,29.3,31.0,29.3,30.6,379500,29.5
2008-07-29,31.2,31.9,30.9,31.5,400500,30.6
2008-07-30,31.5,31.9,30.5,30.8,280000,31.5
2008-07-31,31.0,31.0,29.5,29.8,194500,30.8
2008-08-03,29.2,29.6,28.5,28.6,139000,29.8
2008-08-04,28.5,28.7,28.0,28.4,86000,28.6
2008-08-05,28.6,29.4,28.5,28.6,87500,28.4
2008-08-06,29.3,29.8,29.1,29.2,106000,28.6
2008-08-07,29.1,29.6,28.2,28.4,51500,29.2
2008-08-10,29.4,29.4,28.2,28.5,108000,28.4
2008-08-11,28.0,28.7,27.8,28.5,142000,28.5
2008-08-12,29.0,29.0,28.0,28.0,56000,28.5
2008-08-13,28.1,28.4,27.5,27.5,89500,28.0
2008-08-14,27.5,27.9,27.1,27.7,104000,27.5
2008-08-18,27.7,27.7,26.8,26.9,93500,27.7
2008-08-19,27.2,28.0,26.7,26.9,210000,26.9
2008-08-20,27.1,27.4,26.8,26.9,63000,26.9
2008-08-21,27.4,27.7,27.0,27.3,57000,26.9
2008-08-25,27.4,27.4,26.9,27.0,57000,27.3
2008-08-26,27.9,28.7,27.9,28.5,218500,27.0
2008-08-27,28.5,29.3,28.5,28.6,131500,28.5
2008-08-28,27.4,28.2,27.4,27.9,126000,28.6
2008-08-31,28.1,29.5,28.1,29.2,264000,27.9
2008-09-01,30.1,31.4,30.0,30.5,461000,29.2
2008-09-02,30.4,30.4,29.4,29.5,79500,30.5
2008-09-03,29.3,29.4,28.5,28.6,77000,29.5
2008-09-04,28.5,28.7,28.0,28.5,143500,28.6
2008-09-07,28.8,29.9,28.8,29.0,107000,28.5
2008-09-08,29.1,29.3,28.5,28.6,74500,29.0
2008-09-09,28.9,29.0,28.2,28.3,105500,28.6
2008-09-10,28.9,29.2,28.2,28.4,159000,28.3
2008-09-11,28.5,29.5,28.4,28.7,116000,28.4
2008-09-14,29.0,30.3,28.9,29.0,241500,28.7
2008-09-15,29.1,29.1,28.0,28.2,114000,29.0
2008-09-16,28.5,28.5,28.0,28.0,104000,28.2
2008-09-17,28.5,29.7,28.5,28.5,217000,28.0
2008-09-18,28.6,29.0,28.0,28.1,102500,28.5
2008-09-21,28.5,28.7,27.7,27.8,173000,28.1
2008-09-22,27.8,28.0,27.6,27.8,104000,27.8
2008-09-23,28.2,29.0,28.0,28.8,234500,27.8
2008-09-24,28.9,28.9,27.8,27.9,142000,28.8
2008-09-25,27.7,28.6,27.0,28.1,220500,27.9
2008-10-05,28.2,29.2,28.2,28.4,264500,28.1
2008-10-06,28.9,30.8,28.8,29.4,557500,28.4
2008-10-07,28.3,32.3,28.2,31.8,717000,29.4
2008-10-08,32.8,35.4,32.8,35.2,898000,31.8
2008-10-12,34.0,34.8,31.0,31.2,468500,35.2
2008-10-13,33.0,33.3,31.8,32.2,313500,31.2
2008-10-14,33.5,34.4,31.4,31.6,412500,32.2
2008-10-15,32.6,32.6,30.9,31.8,295500,31.6
2008-10-16,32.1,34.5,32.0,32.7,483500,31.8
2008-10-19,34.0,36.3,33.5,35.2,766000,32.7
2008-10-20,35.0,37.5,35.0,37.1,686000,35.2
2008-10-21,38.0,38.9,35.2,35.8,589500,37.1
2008-10-22,35.3,36.3,34.0,34.8,305000,35.8
2008-10-23,35.5,36.5,34.5,36.0,331000,34.8
2008-10-26,37.9,37.9,34.6,34.7,254500,36.0
2008-10-27,34.8,34.8,32.6,33.0,138000,34.7
2008-10-28,33.5,34.0,32.0,32.8,215000,33.0
2008-10-29,33.1,33.2,31.9,32.0,78000,32.8
2008-10-30,32.5,32.5,29.8,30.1,115000,32.0
2008-11-02,31.1,31.5,29.0,29.1,144000,30.1
2008-11-03,30.7,31.0,28.1,28.4,98500,29.1
2008-11-04,30.3,30.6,28.7,28.9,128000,28.4
2008-11-05,29.2,29.2,28.0,28.1,121500,28.9
2008-11-06,28.0,28.8,27.8,28.0,114000,28.1
2008-11-09,28.0,28.0,26.2,26.5,128000,28.0
2008-11-10,26.0,27.8,25.7,27.4,138500,26.5
2008-11-11,27.2,29.3,27.0,28.3,74000,27.4
2008-11-12,29.2,30.7,28.5,29.7,213500,28.3
2008-11-13,29.8,31.0,29.0,29.2,166500,29.7
2008-11-16,28.7,29.0,28.2,28.5,99500,29.2
2008-11-17,28.5,29.8,28.3,29.3,124000,28.5
2008-11-18,30.0,30.7,28.8,29.0,187500,29.3
2008-11-19,30.0,30.0,27.5,28.0,109000,29.0
2008-11-20,27.5,28.2,26.6,27.9,105500,28.0
2008-11-23,29.1,29.2,27.9,28.0,106000,27.9
2008-11-24,28.0,28.8,27.6,27.9,65500,28.0
2008-11-25,28.0,28.0,27.4,27.4,80500,27.9
2008-11-26,27.6,27.6,26.7,26.8,88500,27.4
2008-11-27,26.5,27.0,25.5,25.5,149500,26.8
2008-11-30,25.6,26.0,23.8,25.1,60500,25.5
2008-12-01,26.0,26.8,25.5,25.7,129000,25.1
2008-12-02,25.7,26.5,25.3,25.6,36500,25.7
2008-12-03,25.3,27.5,25.3,26.5,66000,25.6
