date,open,high,low,close,volume,prev_closing_price
2016-01-10,36.9,58.0,35.1,47.7,5006913,0.0
2016-01-11,46.6,53.0,42.9,51.7,1890172,47.7
2016-01-12,50.2,56.8,50.2,56.8,1855624,51.7
2016-01-13,61.9,62.4,60.0,62.4,2722588,56.8
2016-01-14,63.3,67.8,62.0,64.5,2334906,62.4
2016-01-17,66.0,70.9,64.5,70.9,1962514,64.5
2016-01-18,72.5,77.9,72.5,77.9,1719495,70.9
2016-01-19,79.8,83.4,75.0,78.1,2211475,77.9
2016-01-20,76.1,77.9,70.3,70.3,2133759,78.1
2016-01-21,67.8,75.0,65.0,72.1,1829892,70.3
2016-01-24,72.9,77.5,72.9,75.2,1271481,72.1
2016-01-25,76.0,79.0,69.5,71.2,1991676,75.2
2016-01-26,71.5,73.8,69.0,71.5,1381305,71.2
2016-01-27,71.7,76.0,71.7,75.5,1156983,71.5
2016-01-28,76.9,79.5,76.1,78.5,1615429,75.5
2016-01-31,77.7,77.7,70.7,71.2,1938829,78.5
2016-02-01,72.8,74.9,71.2,72.3,1100366,71.2
2016-02-02,73.8,73.9,65.6,67.5,1794582,72.3
2016-02-03,67.5,67.7,60.8,62.1,1684456,67.5
2016-02-04,62.9,63.5,60.4,61.0,910299,62.1
2016-02-07,61.8,62.8,60.5,61.1,720841,61.0
2016-02-08,61.4,61.8,55.0,55.1,1920642,61.1
2016-02-09,55.1,60.6,51.5,59.2,1361032,55.1
2016-02-10,61.0,62.0,56.8,57.6,1328908,59.2
2016-02-11,56.1,58.4,55.6,57.2,896446,57.6
2016-02-14,57.5,58.5,53.6,54.0,913200,57.2
2016-02-15,54.0,54.8,51.8,51.9,788696,54.0
2016-02-16,52.0,56.0,51.5,54.9,852725,51.9
2016-02-17,55.8,56.5,53.1,53.8,805456,54.9
2016-02-18,53.5,53.9,52.2,52.5,629431,53.8
2016-02-22,53.5,55.0,52.3,53.2,618673,52.5
2016-02-23,53.4,54.1,52.1,52.3,580538,53.2
2016-02-24,52.6,54.4,52.0,52.6,955057,52.3
2016-02-25,53.2,53.9,52.2,52.6,643321,52.6
2016-02-28,53.0,53.0,51.5,51.7,471894,52.6
2016-02-29,52.0,52.6,48.1,48.9,888046,51.7
2016-03-01,49.7,50.3,47.5,47.9,492562,48.9
2016-03-02,48.2,48.6,44.3,45.0,1155134,47.9
2016-03-03,46.5,48.4,46.1,47.8,748981,45.0
2016-03-06,48.2,51.7,47.2,50.2,1170055,47.8
2016-03-07,50.8,50.9,48.3,48.6,691011,50.2
2016-03-08,48.8,51.8,48.7,51.1,987568,48.6
2016-03-09,51.4,52.7,50.4,50.7,735732,51.1
2016-03-10,50.9,53.7,50.9,52.9,1060220,50.7
2016-03-13,53.3,57.6,53.3,55.6,1516496,52.9
2016-03-14,55.9,56.8,53.6,54.0,967499,55.6
2016-03-15,54.1,55.8,52.8,53.6,791277,54.0
2016-03-16,54.0,54.4,51.7,52.1,704148,53.6
2016-03-20,53.5,53.5,51.3,51.6,549817,52.1
2016-03-21,52.3,53.8,52.0,52.3,450882,51.6
2016-03-22,53.2,53.8,52.2,52.5,453824,52.3
2016-03-23,52.5,52.9,50.2,50.6,704359,52.5
2016-03-24,51.0,52.3,50.7,51.3,442875,50.6
2016-03-27,51.8,52.9,51.4,51.9,463756,51.3
2016-03-28,52.1,54.5,52.1,53.5,1072400,51.9
2016-03-29,54.0,57.6,53.3,56.5,1324723,53.5
2016-03-30,57.5,59.0,55.6,56.7,1457409,56.5
2016-03-31,56.8,58.8,56.1,57.0,1208092,56.7
2016-04-03,58.0,61.3,57.0,59.7,1345049,57.0
2016-04-04,60.6,62.0,58.1,58.6,1132894,59.7
2016-04-05,58.9,59.5,57.2,57.9,773641,58.6
2016-04-06,58.4,63.2,58.0,62.1,1618132,57.9
2016-04-07,62.9,63.7,61.6,62.0,1210203,62.1
2016-04-10,62.8,62.9,59.1,59.6,997077,62.0
2016-04-11,60.3,61.3,58.0,58.4,712098,59.6
2016-04-12,58.2,59.3,55.9,56.2,842330,58.4
2016-04-13,57.5,57.7,55.3,55.6,478924,56.2
2016-04-17,55.5,56.6,53.9,54.3,525573,55.6
2016-04-18,54.5,55.9,54.1,54.4,438326,54.3
2016-04-19,55.2,55.3,51.1,52.3,569912,54.4
2016-04-20,52.2,53.5,51.3,51.8,681270,52.3
2016-04-21,52.1,52.4,50.7,51.0,638041,51.8
2016-04-24,51.3,53.4,50.4,53.0,722238,51.0
2016-04-25,53.4,56.4,53.4,55.9,978348,53.0
2016-04-26,56.5,56.9,52.4,52.8,683935,55.9
2016-04-27,53.0,53.7,51.8,52.3,289849,52.8
2016-04-28,53.0,55.0,52.6,53.6,531321,52.3
2016-05-02,54.5,55.0,52.3,52.6,496034,53.6
2016-05-03,53.6,54.4,53.0,53.4,454979,52.6
2016-05-04,54.0,54.2,51.5,52.0,629423,53.4
2016-05-05,52.2,54.0,52.0,53.2,709903,52.0
2016-05-08,53.9,54.6,53.1,53.4,517777,53.2
2016-05-09,54.0,54.0,52.2,52.4,457272,53.4
2016-05-10,52.6,52.9,51.6,51.8,367836,52.4
2016-05-11,52.3,52.8,51.7,52.0,324508,51.8
2016-05-12,52.5,52.8,51.8,52.0,231902,52.0
2016-05-15,51.9,52.0,51.2,51.3,275757,52.0
2016-05-16,51.5,54.9,51.5,54.6,1151095,51.3
2016-05-17,55.0,56.2,54.8,55.9,969937,54.6
2016-05-18,56.0,56.0,54.1,54.4,741964,55.9
2016-05-19,54.6,56.4,54.6,55.2,740180,54.4
2016-05-22,55.9,58.3,55.8,57.1,1283855,55.2
2016-05-24,57.7,58.7,56.5,56.7,986927,57.1
2016-05-25,57.1,57.4,54.6,54.8,951295,56.7
2016-05-26,55.1,55.8,54.2,55.2,529374,54.8
2016-05-29,55.7,56.2,54.5,54.7,1052823,55.2
2016-05-30,55.1,55.6,53.7,54.0,623457,54.7
2016-05-31,54.0,54.9,53.2,53.5,595397,54.0
2016-06-01,54.0,54.8,53.8,54.1,526834,53.5
2016-06-02,54.6,56.3,54.4,56.0,1049548,54.1
2016-06-05,56.0,56.8,53.9,54.2,601778,56.0
2016-06-06,54.2,54.2,53.0,53.3,366377,54.2
2016-06-07,52.9,53.2,51.6,52.0,874167,53.3
2016-06-08,52.2,52.7,52.1,52.2,341102,52.0
2016-06-09,52.3,53.0,52.3,52.7,252228,52.2
2016-06-12,52.5,53.4,52.5,52.7,401798,52.7
2016-06-13,53.0,53.8,52.8,53.3,536811,52.7
2016-06-14,53.3,53.5,52.5,52.7,514517,53.3
2016-06-15,53.1,53.5,52.7,52.9,387076,52.7
2016-06-16,53.0,53.3,52.2,52.4,459419,52.9
2016-06-19,52.7,52.8,52.0,52.1,356426,52.4
2016-06-20,52.4,52.5,51.3,51.5,304540,52.1
2016-06-21,51.6,52.1,51.3,51.4,248648,51.5
2016-06-22,51.8,51.9,51.4,51.7,185345,51.4
2016-06-23,51.8,52.8,51.6,52.5,334076,51.7
2016-06-26,52.2,52.3,51.5,51.6,183435,52.5
2016-06-27,52.0,52.2,51.6,51.7,181184,51.6
2016-06-28,52.0,52.4,51.8,51.9,159937,51.7
2016-06-29,52.1,52.1,51.8,51.9,209826,51.9
2016-06-30,52.0,52.7,52.0,52.1,175281,51.9
2016-07-10,51.9,51.9,51.2,51.4,194559,52.1
2016-07-11,51.8,52.3,51.6,52.1,216685,51.4
2016-07-12,52.3,52.4,51.9,52.0,217693,52.1
2016-07-13,52.2,53.1,52.2,52.4,339204,52.0
2016-07-14,52.5,52.7,51.9,52.1,200744,52.4
2016-07-16,52.1,52.3,51.8,51.9,216472,52.1
2016-07-17,51.9,51.9,51.5,51.5,294507,51.9
2016-07-18,51.5,51.8,51.1,51.2,301393,51.5
2016-07-19,51.2,51.2,50.6,50.6,234105,51.2
2016-07-20,50.7,50.9,50.2,50.4,188218,50.6
2016-07-21,50.4,50.8,48.7,49.1,408682,50.4
2016-07-24,49.4,49.9,48.0,48.2,336715,49.1
2016-07-25,48.5,50.2,48.3,49.5,274643,48.2
2016-07-26,49.5,50.4,49.0,49.4,206808,49.5
2016-07-27,49.4,49.4,48.5,48.6,131444,49.4
2016-07-28,48.6,49.3,48.0,48.1,188735,48.6
2016-07-31,48.2,48.2,46.2,46.3,343038,48.1
2016-08-01,47.0,47.3,45.7,46.7,216761,46.3
2016-08-02,47.0,47.9,47.0,47.3,130730,46.7
2016-08-03,47.5,47.5,46.4,46.6,248853,47.3
2016-08-04,47.0,47.0,46.1,46.2,172610,46.6
2016-08-07,46.3,46.5,44.9,45.2,231632,46.2
2016-08-08,45.4,46.7,45.2,46.0,323091,45.2
2016-08-09,46.3,47.3,46.1,46.4,182909,46.0
2016-08-10,47.0,47.0,45.5,45.7,201063,46.4
