date,open,high,low,close,volume,prev_closing_price
2008-03-06,284.0,286.9,278.1,280.3,186600,285.5
2008-03-09,281.0,297.0,280.5,288.2,149600,280.3
2008-03-09,281.0,297.0,280.5,288.2,149600,280.3
2008-03-10,295.0,296.0,283.0,285.0,138800,288.2
2008-03-11,283.0,288.9,278.0,284.1,195300,285.0
2008-03-12,281.0,310.6,281.0,303.3,370000,284.1
2008-03-13,305.8,313.7,299.0,301.7,362600,303.3
2008-03-16,301.0,304.9,290.4,0.0,169300,301.7
2008-03-17,293.0,297.0,286.6,287.6,113800,293.1
2008-03-18,289.9,292.0,282.0,284.1,145700,287.6
2008-03-19,284.0,288.0,282.5,283.2,156100,284.1
2008-03-20,287.8,294.0,282.6,283.6,142600,283.2
2008-03-23,290.0,290.0,272.0,272.6,105500,283.6
2008-03-24,274.0,282.0,271.0,276.9,73900,272.6
2008-03-25,275.6,286.8,275.6,284.7,68400,276.9
2008-03-30,284.7,0.0,0.0,284.7,0,284.7
2008-03-31,288.0,292.0,278.5,279.3,204500,284.7
2008-04-01,278.5,280.0,273.0,274.4,157600,279.3
2008-04-02,273.5,274.9,270.0,270.6,173600,274.4
2008-04-03,270.1,278.4,266.5,275.9,183800,270.6
2008-04-06,280.0,284.4,272.1,273.4,148400,275.9
2008-04-07,271.2,274.8,268.8,269.4,134600,273.4
2008-04-08,273.5,273.5,265.0,266.6,164500,269.4
2008-04-09,265.0,269.7,261.0,262.2,188100,266.6
2008-04-10,261.0,268.7,261.0,262.3,124400,262.2
2008-04-13,264.0,264.5,255.0,255.8,194800,262.3
2008-04-15,259.6,285.0,256.1,280.2,860200,255.8
2008-04-16,284.9,297.0,280.0,282.1,488000,280.2
2008-04-17,284.2,285.0,272.2,273.3,160100,282.1
2008-04-20,272.0,288.2,268.3,286.4,884700,273.3
2008-04-21,290.0,310.0,290.0,307.4,1399200,286.4
2008-04-22,314.7,323.9,290.0,293.2,532700,307.4
2008-04-23,291.0,291.0,276.0,279.7,351500,293.2
2008-04-24,276.6,282.0,273.2,274.3,297500,279.7
2008-04-27,279.0,279.5,270.0,271.1,243100,274.3
2008-04-28,272.0,274.0,265.0,266.6,251500,271.1
2008-04-29,269.0,272.0,265.5,266.4,150800,266.6
2008-04-30,267.1,269.5,264.0,265.5,183400,266.4
2008-05-04,270.0,272.0,262.0,263.3,210100,265.5
2008-05-05,266.0,267.8,262.6,264.4,207400,263.3
2008-05-06,264.0,266.8,262.4,263.2,131600,264.4
2008-05-07,265.0,265.0,260.5,261.0,166900,263.2
2008-05-08,261.0,265.0,258.1,260.6,188500,261.0
2008-05-11,264.0,264.0,256.0,256.6,201500,260.6
2008-05-12,255.9,258.0,246.8,247.4,466900,256.6
2008-05-13,252.5,252.5,235.0,237.1,372500,247.4
2008-05-14,233.1,236.8,229.5,230.2,254000,237.1
2008-05-15,233.0,254.0,229.0,247.6,379300,230.2
2008-05-18,254.9,255.0,231.0,232.0,203900,247.6
2008-05-20,231.0,231.3,212.0,215.4,344600,232.0
2008-05-21,216.0,223.0,204.0,213.9,269200,215.4
2008-05-22,218.0,221.9,214.5,216.1,135200,213.9
2008-05-25,215.0,218.0,204.2,205.8,246800,216.1
2008-05-26,205.1,207.9,193.0,196.5,290700,205.8
2008-05-27,192.0,211.8,192.0,209.0,214300,196.5
2008-05-28,209.0,219.0,209.0,211.7,190100,209.0
2008-05-29,210.0,215.0,207.0,207.9,149800,211.7
2008-06-01,211.2,215.0,208.1,210.0,147500,207.9
2008-06-02,210.0,214.7,206.1,206.9,144800,210.0
2008-06-03,210.0,210.0,203.0,204.3,142800,206.9
2008-06-04,202.1,204.0,199.1,201.3,192900,204.3
2008-06-05,201.0,212.0,201.0,204.9,161100,201.3
2008-06-08,204.0,210.0,201.0,201.5,174600,204.9
2008-06-09,202.2,236.0,201.0,230.3,545600,201.5
2008-06-10,236.0,240.0,219.5,221.8,283600,230.3
2008-06-11,221.0,225.1,210.0,211.3,157600,221.8
2008-06-12,213.0,219.8,207.0,208.6,162000,211.3
2008-06-15,213.0,214.9,207.0,209.1,125100,208.6
2008-06-16,208.2,212.0,206.1,0.0,88300,209.1
2008-06-17,209.0,217.7,209.0,215.3,177000,208.6
2008-06-18,218.9,225.9,214.5,0.0,298000,215.3
2008-06-19,228.3,233.9,222.2,224.0,239200,223.5
2008-06-22,225.0,225.0,215.0,0.0,130000,224.0
2008-06-23,217.0,217.9,211.6,0.0,122000,216.3
2008-06-24,215.8,218.0,213.3,214.0,129800,213.1
2008-06-25,215.0,216.8,211.0,211.5,97700,214.0
2008-06-26,214.0,214.4,208.2,209.2,107600,211.5
2008-06-29,209.5,209.5,204.6,205.3,108500,209.2
2008-06-30,203.0,206.9,200.1,202.3,152500,205.3
2008-07-02,208.8,214.8,202.0,202.7,151400,202.3
2008-07-03,203.0,203.1,193.1,194.8,264900,202.7
2008-07-06,194.0,195.0,182.0,183.3,318300,194.8
2008-07-07,181.0,189.5,176.1,180.8,136600,183.3
2008-07-08,180.2,180.2,169.0,170.4,221100,180.8
2008-07-08,180.2,180.2,169.0,170.4,221100,180.8
2008-07-09,170.1,171.0,164.0,165.7,66100,170.4
2008-07-10,167.0,175.8,162.0,174.8,196600,165.7
2008-07-13,177.9,177.9,171.0,172.7,106100,174.8
2008-07-14,172.0,172.9,167.1,168.2,101400,172.7
2008-07-15,169.0,169.0,161.2,163.7,125500,168.2
2008-07-16,162.5,165.0,151.0,152.7,177700,163.7
2008-07-17,159.5,159.9,153.0,154.3,122900,152.7
2008-07-20,150.6,155.0,146.5,149.6,130800,154.3
2008-07-21,149.0,150.0,137.6,138.4,199700,149.6
2008-07-22,140.0,140.0,130.0,132.0,211300,138.4
2008-07-23,130.1,145.0,130.0,141.9,159000,132.0
2008-07-24,147.9,165.0,144.0,164.1,249600,141.9
2008-07-27,170.0,170.0,154.0,155.7,174800,164.1
2008-07-28,152.3,154.0,148.0,150.0,97300,155.7
2008-07-29,145.0,159.0,145.0,155.8,158900,150.0
2008-07-30,158.5,165.0,155.0,160.4,200200,155.8
2008-07-31,159.0,162.0,152.0,152.7,104100,160.4
2008-08-03,153.0,154.9,145.0,145.4,140300,152.7
2008-08-04,147.0,149.0,142.0,143.9,82200,145.4
2008-08-05,143.0,152.0,143.0,145.0,162800,143.9
2008-08-06,145.0,149.4,144.5,145.0,93900,145.0
2008-08-07,146.8,146.8,142.8,143.1,67900,145.0
2008-08-10,145.0,145.0,136.5,137.3,113600,143.1
2008-08-11,136.0,143.8,136.0,142.5,117600,137.3
2008-08-12,145.0,146.0,141.0,141.6,55600,142.5
2008-08-13,142.8,143.8,139.0,139.3,56600,141.6
2008-08-14,140.1,141.0,135.5,137.2,129800,139.3
2008-08-18,141.0,141.0,135.2,135.8,78800,137.2
2008-08-19,135.0,137.5,131.9,132.4,107300,135.8
2008-08-20,134.0,136.0,133.0,133.3,81900,132.4
2008-08-21,135.9,137.5,134.1,135.3,93300,133.3
2008-08-25,139.1,139.9,135.0,137.5,109600,135.3
2008-08-26,138.0,143.2,136.0,142.4,144400,137.5
2008-08-27,144.9,148.9,143.4,144.5,134800,142.4
2008-08-28,143.1,143.1,140.0,140.6,71900,144.5
2008-08-31,142.0,152.0,140.0,148.5,273400,140.6
2008-09-01,152.0,154.8,150.5,152.0,194900,148.5
2008-09-02,151.1,152.0,146.3,146.8,108700,152.0
2008-09-03,146.5,147.3,143.0,143.4,86100,146.8
2008-09-04,144.0,148.0,144.0,145.1,62500,143.4
2008-09-07,147.8,147.9,143.2,143.9,109500,145.1
2008-09-08,143.4,145.5,141.2,141.6,80200,143.9
2008-09-09,143.7,144.9,141.1,142.0,99500,141.6
2008-09-10,142.0,146.3,141.9,145.1,147700,142.0
2008-09-11,147.0,147.5,143.1,143.8,123600,145.1
2008-09-14,143.8,143.9,141.0,141.2,121700,143.8
