date,open,high,low,close,volume,prev_closing_price
2013-06-19,35.5,35.5,35.5,35.5,8500,32.3
2013-06-20,39.0,39.0,39.0,39.0,4000,35.5
2013-06-23,42.9,42.9,42.9,42.9,5000,39.0
2013-06-24,47.1,47.1,47.1,47.1,23000,42.9
2013-06-26,51.8,51.8,51.8,51.8,12500,47.1
2013-06-27,56.9,56.9,56.9,56.9,7500,51.8
2013-06-30,62.5,62.5,56.0,62.5,228000,56.9
2013-07-02,68.7,68.7,65.3,68.7,83500,62.5
2013-07-03,75.5,75.5,75.5,75.5,15000,68.7
2013-07-04,83.0,83.0,83.0,83.0,10000,75.5
2013-07-07,91.3,91.3,91.3,91.3,58000,83.0
2013-07-08,100.4,100.4,100.4,100.4,124000,91.3
2013-07-09,110.4,110.4,110.4,110.4,63500,100.4
2013-07-10,121.4,121.4,121.4,121.4,75000,110.4
2013-07-11,133.5,133.5,133.5,133.5,33000,121.4
2013-07-14,146.8,146.8,120.2,122.5,477000,133.5
2013-07-15,114.0,122.0,110.3,110.3,73000,122.5
2013-07-16,100.0,100.0,99.3,99.3,38000,110.3
2013-07-17,89.4,89.4,89.4,89.4,4000,99.3
2013-07-18,80.5,80.5,80.5,80.5,1500,89.4
2013-07-21,72.5,88.5,72.5,88.5,370000,80.5
2013-07-22,97.3,97.3,93.0,97.2,138500,88.5
2013-07-23,106.9,106.9,95.0,96.6,176000,97.2
2013-07-24,89.9,95.6,87.0,89.3,244000,96.6
2013-07-25,83.4,85.0,80.4,80.7,112500,89.3
2013-07-28,74.0,82.0,72.8,74.6,102000,80.7
2013-07-29,75.0,82.0,75.0,81.9,50500,74.6
2013-07-30,90.0,90.0,85.0,90.0,204500,81.9
2013-07-31,92.0,93.0,87.0,88.8,168000,90.0
2013-08-01,87.6,88.2,85.0,85.6,76000,88.8
2013-08-04,82.0,84.5,77.9,81.0,54000,85.6
2013-08-05,83.0,85.5,81.2,83.3,39500,81.0
2013-08-12,84.3,89.2,84.0,86.7,72000,83.3
2013-08-13,88.0,92.0,88.0,89.6,98000,86.7
2013-08-14,89.9,91.0,87.6,88.3,104000,89.6
2013-08-18,90.9,91.0,87.1,88.0,124500,88.3
2013-08-19,86.2,88.9,85.6,86.3,70500,88.0
2013-08-20,87.0,94.9,85.5,94.6,255000,86.3
2013-08-21,97.9,104.0,97.9,103.9,286500,94.6
2013-08-22,105.0,114.2,105.0,114.2,167000,103.9
2013-08-25,123.4,125.6,119.3,125.2,290000,114.2
2013-08-26,129.7,137.7,118.1,137.4,337500,125.2
2013-08-27,140.0,147.5,128.1,131.1,233500,137.4
2013-08-29,121.0,138.0,121.0,134.0,175500,131.1
2013-09-01,137.9,147.4,137.9,147.4,272000,134.0
2013-09-02,157.3,162.0,150.0,160.2,272000,147.4
2013-09-03,165.0,176.2,165.0,175.6,246000,160.2
2013-09-04,183.0,188.9,175.1,179.6,278500,175.6
2013-09-05,179.0,180.0,168.0,169.7,256500,179.6
2013-09-08,162.1,186.6,162.1,186.6,308000,169.7
2013-09-09,194.0,204.1,193.0,204.1,332500,186.6
2013-09-10,209.5,221.9,208.0,221.9,256000,204.1
2013-09-11,234.0,241.3,205.0,222.1,385000,221.9
2013-09-12,208.0,241.5,205.3,238.4,402500,222.1
2013-09-15,241.0,259.2,241.0,259.1,145000,238.4
2013-09-16,280.5,281.7,266.0,281.7,383000,259.1
2013-09-17,280.0,306.3,280.0,306.2,349500,281.7
2013-09-18,300.0,330.0,280.0,282.2,301000,306.2
2013-09-19,282.2,284.9,257.6,272.4,437000,282.2
2013-09-22,289.0,296.2,275.0,296.2,179500,272.4
2013-09-23,322.0,322.1,305.0,322.1,260500,296.2
2013-09-24,330.0,330.0,294.0,294.0,255500,322.1
2013-09-25,269.0,270.0,268.3,268.3,99500,294.0
2013-09-26,244.9,291.7,244.9,291.7,484500,268.3
2013-09-29,305.0,307.0,266.2,267.0,283500,291.7
2013-09-30,257.0,280.0,254.1,259.3,164000,267.0
2013-10-01,260.0,264.0,237.0,240.7,261000,259.3
2013-10-02,232.0,245.0,222.0,235.5,244000,240.7
2013-10-03,246.0,256.1,243.0,256.0,134000,235.5
2013-10-06,268.0,268.0,243.5,246.0,145000,256.0
2013-10-07,245.0,253.8,236.0,251.0,132500,246.0
2013-10-08,253.0,262.8,232.3,238.1,192000,251.0
2013-10-09,245.0,245.0,219.3,223.5,263500,238.1
2013-10-10,226.0,227.0,204.7,206.4,226500,223.5
2013-10-20,197.5,197.5,188.4,188.4,146000,206.4
2013-10-21,176.0,203.0,170.9,201.7,283000,188.4
2013-10-22,200.0,219.3,200.0,219.0,219000,201.7
2013-10-23,220.0,235.9,211.0,214.3,175000,219.0
2013-10-24,205.0,207.0,196.1,202.3,233500,214.3
2013-10-27,205.0,218.7,203.0,212.7,118500,202.3
2013-10-28,215.5,222.0,198.1,200.3,210500,212.7
2013-10-29,195.0,198.0,183.0,183.6,195500,200.3
2013-10-30,183.0,189.9,172.1,179.1,136500,183.6
2013-10-31,186.0,187.0,176.7,179.7,88000,179.1
2013-11-03,185.5,197.0,181.1,195.7,142000,179.7
2013-11-04,203.0,209.7,192.1,193.7,157000,195.7
2013-11-05,194.9,199.6,186.1,189.8,104000,193.7
2013-11-06,192.0,192.0,184.0,185.3,114000,189.8
2013-11-07,185.5,188.9,179.0,179.7,113500,185.3
2013-11-10,178.0,180.0,167.0,168.8,153500,179.7
2013-11-11,170.2,182.8,170.0,180.4,117000,168.8
2013-11-12,184.9,188.0,176.6,179.9,98500,180.4
2013-11-13,178.9,197.1,176.6,196.8,339000,179.9
2013-11-14,203.0,206.9,187.0,190.1,181000,196.8
2013-11-17,195.9,203.8,193.2,201.1,157500,190.1
2013-11-18,205.2,218.0,203.1,209.0,275500,201.1
2013-11-19,212.1,220.0,202.1,204.6,212500,209.0
2013-11-20,205.0,210.0,195.2,195.9,204500,204.6
2013-11-21,200.0,200.0,190.0,193.0,141000,195.9
2013-11-24,194.0,204.6,194.0,195.6,97000,193.0
2013-11-25,197.0,203.8,190.1,192.3,103000,195.6
2013-11-26,194.0,199.0,186.2,187.9,99000,192.3
2013-11-27,192.0,192.5,183.0,184.5,117000,187.9
2013-11-28,189.9,198.0,188.0,189.7,92000,184.5
2013-12-01,196.0,202.0,190.0,196.1,180500,189.7
2013-12-02,200.0,204.9,197.0,198.1,167500,196.1
2013-12-03,200.1,206.8,197.6,198.9,133500,198.1
2013-12-04,203.5,216.4,200.2,216.4,370500,198.9
2013-12-05,220.0,232.0,220.0,225.8,257000,216.4
2013-12-08,230.0,233.0,216.2,218.3,192000,225.8
2013-12-09,218.0,228.9,211.6,212.5,258000,218.3
2013-12-10,216.0,217.9,202.3,204.5,223500,212.5
