date,open,high,low,close,volume,prev_closing_price
2008-03-06,448.25,0.0,0.0,448.25,0,448.25
2008-03-09,490.0,490.0,490.0,490.0,5,448.25
2008-03-09,490.0,490.0,490.0,490.0,5,448.25
2008-03-10,537.0,545.0,530.0,532.75,40,490.0
2008-03-11,530.0,590.0,530.0,545.5,180,532.75
2008-03-12,580.0,580.0,570.0,575.0,20,545.5
2008-03-13,580.0,600.0,580.0,595.5,35,575.0
2008-03-16,620.0,620.0,620.0,620.0,15,595.5
2008-03-17,650.0,655.0,600.0,635.75,65,620.0
2008-03-18,650.0,680.0,650.0,667.0,25,635.75
2008-03-19,703.0,750.0,703.0,731.25,55,667.0
2008-03-20,800.0,800.0,800.0,800.0,30,731.25
2008-03-23,850.0,850.0,850.0,850.0,100,800.0
2008-03-24,900.0,975.0,900.0,934.5,80,850.0
2008-03-25,975.0,1059.5,975.0,1034.5,35,934.5
2008-03-30,1100.0,1112.0,1100.0,1104.0,15,1034.5
2008-03-31,1050.0,1050.0,1000.0,1046.0,65,1104.0
2008-04-01,1001.0,1001.0,996.0,997.0,25,1046.0
2008-04-02,1000.0,1010.0,995.0,1001.0,45,997.0
2008-04-03,1001.0,0.0,0.0,1001.0,0,1001.0
2008-04-06,1001.0,0.0,0.0,1001.0,0,1001.0
2008-04-07,1001.0,0.0,0.0,1001.0,0,1001.0
2008-04-08,1001.0,0.0,0.0,1001.0,0,1001.0
2008-04-09,1001.0,0.0,0.0,1001.0,0,1001.0
2008-04-10,1001.0,0.0,0.0,1001.0,0,1001.0
2008-04-13,1001.0,0.0,0.0,1001.0,0,1001.0
2008-04-15,1010.0,1080.0,1010.0,1039.0,30,1001.0
2008-04-16,1039.0,0.0,0.0,1039.0,0,1039.0
2008-04-17,970.0,980.0,970.0,975.0,20,1039.0
2008-04-20,975.0,0.0,0.0,975.0,0,975.0
2008-04-21,1030.0,1030.0,970.0,998.75,80,975.0
2008-04-22,1000.0,1099.0,1000.0,1027.0,190,998.75
2008-04-23,1000.0,1000.0,900.0,930.0,200,1027.0
2008-04-24,930.0,930.0,930.0,930.0,5,930.0
2008-04-27,950.0,950.0,851.0,878.0,145,930.0
2008-04-28,878.0,0.0,0.0,878.0,0,878.0
2008-04-29,860.0,860.0,860.0,860.0,10,878.0
2008-04-30,860.0,0.0,0.0,860.0,0,860.0
2008-05-04,860.0,0.0,0.0,860.0,0,860.0
2008-05-05,860.0,0.0,0.0,860.0,0,860.0
2008-05-06,860.0,0.0,0.0,860.0,0,860.0
2008-05-07,860.0,0.0,0.0,860.0,0,860.0
2008-05-08,860.0,0.0,0.0,860.0,0,860.0
2008-05-11,860.0,0.0,0.0,860.0,0,860.0
2008-05-12,860.0,0.0,0.0,860.0,0,860.0
2008-05-13,860.0,0.0,0.0,860.0,0,860.0
2008-05-14,860.0,0.0,0.0,860.0,0,860.0
