date,open,high,low,close,volume,prev_closing_price
2008-03-06,200.5,220.0,186.25,213.5,4250,200.0
2008-03-09,201.0,215.0,200.0,205.5,1050,213.5
2008-03-09,201.0,215.0,200.0,205.5,1050,213.5
2008-03-10,200.0,200.0,200.0,200.0,300,205.5
2008-03-11,187.0,190.0,180.0,186.25,1250,200.0
2008-03-12,171.0,171.0,170.0,170.25,300,186.25
2008-03-13,180.0,185.0,172.0,0.0,450,170.25
2008-03-16,190.0,212.5,190.0,199.0,850,177.75
2008-03-17,205.0,230.0,201.0,216.0,3150,199.0
2008-03-18,215.0,227.0,211.0,219.25,1650,216.0
2008-03-19,239.0,257.5,239.0,256.5,2900,219.25
2008-03-20,250.0,264.0,245.0,248.25,2600,256.5
2008-03-23,240.0,242.0,230.0,237.0,350,248.25
2008-03-24,220.0,237.0,220.0,226.25,400,237.0
2008-03-25,230.0,250.75,230.0,246.5,2550,226.25
2008-03-30,260.0,260.0,237.25,242.0,1500,246.5
2008-03-31,242.0,0.0,0.0,242.0,0,242.0
2008-04-01,245.0,245.0,223.0,230.75,1350,242.0
2008-04-02,230.0,230.0,227.0,228.5,200,230.75
2008-04-03,227.0,227.0,220.0,223.5,550,228.5
2008-04-06,213.25,215.0,210.5,212.75,450,223.5
2008-04-07,202.5,202.5,202.0,202.25,350,212.75
2008-04-08,202.0,220.0,199.0,204.25,350,202.25
2008-04-09,205.0,215.0,201.0,209.0,1050,204.25
2008-04-10,202.0,205.0,202.0,204.0,150,209.0
2008-04-13,219.0,235.0,219.0,230.5,700,204.0
2008-04-15,220.0,220.0,220.0,220.0,100,230.5
2008-04-16,210.5,210.5,210.5,210.5,100,220.0
2008-04-17,207.0,209.0,207.0,208.0,300,210.5
2008-04-20,210.0,224.0,210.0,217.5,1500,208.0
2008-04-21,225.0,225.0,204.0,213.25,700,217.5
2008-04-22,222.0,243.0,210.5,234.75,2050,213.25
2008-04-23,243.0,264.0,240.0,252.0,1950,234.75
2008-04-24,275.0,275.0,250.0,256.75,1200,252.0
2008-04-27,240.0,240.0,231.0,236.0,400,256.75
2008-04-28,232.0,232.0,232.0,232.0,100,236.0
2008-04-29,214.5,214.5,214.5,214.5,50,232.0
2008-04-30,220.0,220.0,220.0,220.0,50,214.5
2008-05-04,205.0,205.0,201.25,202.25,450,220.0
2008-05-05,202.0,202.0,200.0,200.5,500,202.25
2008-05-06,200.25,204.25,200.25,202.0,250,200.5
2008-05-07,201.0,237.25,201.0,231.5,800,202.0
2008-05-08,350.0,390.0,240.0,286.0,14550,231.5
2008-05-11,310.0,328.0,280.0,297.25,8550,286.0
2008-05-12,325.0,325.0,292.25,296.75,5900,297.25
2008-05-13,297.25,297.25,272.0,275.5,5950,296.75
2008-05-14,273.0,277.0,245.0,252.0,8200,275.5
2008-05-15,248.0,294.0,246.0,290.25,7400,252.0
2008-05-18,318.75,318.75,290.25,301.75,7500,290.25
2008-05-20,291.0,345.0,291.0,329.25,16750,301.75
2008-05-21,322.0,385.0,322.0,378.75,13200,329.25
2008-05-22,385.0,390.0,355.5,367.75,8950,378.75
2008-05-25,380.0,415.0,379.75,401.5,18700,367.75
2008-05-26,418.0,451.0,400.0,404.5,21350,401.5
2008-05-27,407.0,407.0,365.0,384.5,4250,404.5
2008-05-28,387.0,387.0,370.0,373.75,2100,384.5
2008-05-29,372.0,410.0,366.0,384.5,5550,373.75
2008-06-01,384.5,0.0,0.0,384.5,0,384.5
2008-06-02,374.0,428.0,374.0,411.5,13550,384.5
2008-06-03,440.0,480.0,421.0,466.75,18850,411.5
2008-06-04,500.0,540.25,490.0,503.0,15100,466.75
2008-06-05,535.0,535.0,477.0,489.75,9750,503.0
2008-06-08,501.25,510.0,450.0,454.75,8400,489.75
2008-06-09,420.0,488.75,420.0,438.75,8650,454.75
2008-06-10,460.0,464.0,435.0,441.0,5750,438.75
2008-06-11,431.25,450.0,401.0,412.0,6350,441.0
2008-06-12,445.0,470.0,425.0,431.75,5900,412.0
2008-06-15,426.0,426.0,391.0,396.5,2900,431.75
2008-06-16,395.25,403.0,370.0,0.0,3850,396.5
2008-06-17,402.0,402.0,388.0,392.25,3400,396.0
2008-06-18,396.0,396.0,375.0,0.0,3050,392.25
2008-06-19,380.25,380.25,350.0,357.25,6400,382.0
2008-06-22,357.0,357.0,321.0,0.0,3550,357.25
2008-06-23,344.0,345.0,323.0,0.0,4850,325.75
2008-06-24,339.0,360.0,339.0,351.5,7200,338.0
2008-06-25,358.0,360.0,343.0,345.5,6700,351.5
2008-06-26,339.0,340.0,330.0,332.5,4300,345.5
2008-06-29,326.25,326.75,319.0,321.75,2450,332.5
2008-06-30,320.25,320.25,301.0,308.5,2500,321.75
2008-07-02,309.0,315.0,280.75,289.25,4750,308.5
2008-07-03,281.5,303.75,281.5,291.5,6050,289.25
2008-07-06,304.0,318.0,300.0,309.75,7050,291.5
2008-07-07,316.0,317.0,300.0,303.0,5150,309.75
2008-07-08,306.0,310.5,300.0,306.75,8300,303.0
2008-07-08,306.0,310.5,300.0,306.75,8300,303.0
2008-07-09,305.25,312.0,305.25,310.0,1550,306.75
2008-07-10,317.5,352.0,310.0,342.25,10250,310.0
2008-07-13,365.0,395.0,347.0,387.5,17700,342.25
2008-07-14,390.0,391.5,358.0,361.0,6550,387.5
2008-07-15,355.0,367.0,341.0,352.5,6850,361.0
2008-07-16,345.0,345.0,334.5,336.25,3350,352.5
2008-07-17,351.75,356.75,333.0,336.5,5600,336.25
2008-07-20,325.0,332.0,320.0,323.25,5200,336.5
2008-07-21,320.5,332.0,311.0,315.0,4300,323.25
2008-07-22,310.25,324.0,310.25,316.25,2000,315.0
2008-07-23,322.0,340.0,315.0,325.0,8500,316.25
2008-07-24,335.0,361.0,333.0,357.5,8100,325.0
2008-07-27,357.25,369.0,352.0,356.5,6900,357.5
2008-07-28,356.0,358.0,338.5,339.5,3750,356.5
2008-07-29,332.0,341.0,326.0,330.75,6600,339.5
2008-07-30,331.0,331.0,315.0,315.75,5400,330.75
2008-07-31,322.0,323.5,304.0,310.25,4250,315.75
2008-08-03,309.75,311.5,306.0,308.75,1350,310.25
2008-08-04,310.0,315.0,292.25,300.75,5400,308.75
2008-08-05,313.0,315.0,306.0,309.25,3850,300.75
2008-08-06,310.5,312.75,296.25,302.25,2200,309.25
2008-08-07,302.0,302.0,293.0,298.5,1900,302.25
2008-08-10,290.0,290.0,278.0,284.25,1200,298.5
2008-08-11,280.0,297.0,280.0,289.0,1100,284.25
2008-08-12,293.0,293.0,286.25,289.75,1450,289.0
2008-08-13,286.0,286.0,271.0,275.75,1850,289.75
2008-08-14,268.0,279.75,267.0,270.0,3250,275.75
2008-08-18,262.25,265.0,240.25,242.25,1900,270.0
2008-08-19,231.0,240.0,201.0,205.0,6300,242.25
2008-08-20,215.5,235.0,215.5,225.0,2850,205.0
2008-08-21,236.5,259.0,236.5,248.75,4100,225.0
2008-08-25,255.0,265.0,250.0,258.75,4400,248.75
2008-08-26,268.0,290.0,268.0,285.5,12350,258.75
2008-08-27,298.0,298.75,271.0,281.5,2600,285.5
2008-08-28,269.0,272.0,265.0,269.5,4700,281.5
2008-08-31,270.0,290.0,270.0,283.5,17250,269.5
2008-09-01,281.0,288.0,281.0,283.75,5800,283.5
2008-09-02,280.0,282.0,278.5,279.0,2550,283.75
2008-09-03,273.0,280.0,270.0,272.5,4550,279.0
2008-09-04,270.0,276.0,266.0,269.5,2600,272.5
2008-09-07,268.0,270.0,266.0,268.25,2150,269.5
2008-09-08,280.0,289.5,270.25,283.25,7950,268.25
2008-09-09,286.0,293.0,281.0,281.5,6950,283.25
2008-09-10,281.5,286.75,275.5,281.75,8250,281.5
2008-09-11,290.0,290.0,280.0,280.75,7750,281.75
2008-09-14,284.5,284.5,268.25,269.5,4250,280.75
2008-09-15,277.75,279.75,268.0,274.0,5950,269.5
2008-09-16,280.0,281.0,270.0,272.5,3700,274.0
2008-09-17,271.0,271.25,265.0,266.25,4000,272.5
2008-09-18,268.0,268.75,262.0,263.0,1900,266.25
2008-09-21,269.75,277.0,257.0,260.0,5750,263.0
2008-09-22,250.25,266.0,250.25,258.5,900,260.0
2008-09-23,260.0,268.5,260.0,267.0,7850,258.5
2008-09-24,261.25,275.0,261.25,272.25,10350,267.0
2008-09-25,272.5,299.0,272.0,291.0,22400,272.25
2008-10-05,294.0,300.0,290.0,293.0,8300,291.0
2008-10-06,287.5,324.0,287.25,314.5,32200,293.0
2008-10-07,319.0,319.0,292.0,295.75,7200,314.5
2008-10-08,304.0,313.75,290.0,292.75,10100,295.75
2008-10-12,294.25,299.75,271.25,287.75,9050,292.75
2008-10-13,290.0,291.0,281.0,283.25,6250,287.75
2008-10-14,280.0,305.0,280.0,288.5,10350,283.25
2008-10-15,284.0,310.0,284.0,301.0,19250,288.5
2008-10-16,294.0,298.75,285.0,291.5,7350,301.0
2008-10-19,298.5,300.0,280.5,283.0,6600,291.5
2008-10-20,280.5,282.0,278.0,279.75,3000,283.0
2008-10-21,278.75,289.0,275.0,276.0,3600,279.75
2008-10-22,280.0,280.0,264.0,270.25,10300,276.0
2008-10-23,275.0,291.0,275.0,286.5,11900,270.25
2008-10-26,287.0,318.0,287.0,305.25,38050,286.5
2008-10-27,307.0,354.0,307.0,346.5,60800,305.25
2008-10-28,369.75,407.0,361.0,407.0,63050,346.5
2008-10-29,438.0,446.0,391.0,399.5,43150,407.0
2008-10-30,390.0,412.0,370.0,386.0,44800,399.5
2008-11-02,391.75,410.0,366.0,373.25,22350,386.0
2008-11-03,388.0,390.0,320.0,323.25,20500,373.25
2008-11-04,349.0,365.0,340.0,344.25,10650,323.25
2008-11-05,360.0,360.0,327.0,330.0,6500,344.25
2008-11-06,345.0,365.0,316.0,336.25,13400,330.0
2008-11-09,347.0,350.0,303.0,309.5,14900,336.25
2008-11-10,312.0,334.0,301.0,319.25,17700,309.5
2008-11-11,323.0,330.0,308.5,312.5,7600,319.25
2008-11-12,324.0,340.0,324.0,335.75,10950,312.5
2008-11-13,347.0,359.0,325.0,329.75,20950,335.75
2008-11-16,326.0,326.0,312.5,315.75,6800,329.75
2008-11-17,310.0,323.0,307.5,319.0,8550,315.75
2008-11-18,332.0,333.0,317.5,318.0,8050,319.0
2008-11-19,313.75,314.0,300.0,302.75,7400,318.0
2008-11-20,291.0,305.0,289.0,300.0,7550,302.75
2008-11-23,300.0,352.0,300.0,331.75,25650,300.0
2008-11-24,339.5,339.5,311.25,314.25,6250,331.75
2008-11-25,311.5,324.5,309.0,314.0,7150,314.25
2008-11-26,312.25,312.25,303.25,308.0,5200,314.0
2008-11-27,301.5,303.0,268.0,270.75,16350,308.0
2008-11-30,297.0,297.0,256.0,289.5,5950,270.75
2008-12-01,292.5,307.5,290.0,294.25,9900,289.5
2008-12-02,300.0,300.0,283.25,286.0,3050,294.25
2008-12-03,290.5,308.0,290.5,300.75,7950,286.0
2008-12-04,300.0,302.5,287.0,289.75,5950,300.75
2008-12-14,299.75,299.75,280.5,283.75,700,289.75
2008-12-15,274.0,280.0,265.0,271.5,3500,283.75
2008-12-17,272.0,275.0,268.5,271.75,1850,271.5
2008-12-18,271.0,288.0,269.0,275.5,3650,271.75
2008-12-21,287.0,310.0,287.0,302.0,12450,275.5
2008-12-22,306.0,306.0,293.75,297.25,3300,302.0
2008-12-23,289.0,305.0,289.0,295.75,3950,297.25
2008-12-24,305.75,307.0,296.0,297.5,10550,295.75
2008-12-28,295.5,316.0,295.5,304.25,7250,297.5
2008-12-30,317.0,323.0,308.0,311.5,7350,304.25
2009-01-01,316.0,317.0,300.5,306.0,5850,311.5
2009-01-04,306.0,330.0,301.5,325.25,23300,306.0
2009-01-05,338.5,347.0,325.0,329.75,18450,325.25
2009-01-06,343.0,343.0,315.0,318.25,5900,329.75
2009-01-07,323.0,331.0,311.5,314.75,10900,318.25
2009-01-11,310.25,315.0,297.25,302.25,10900,314.75
2009-01-12,323.0,323.0,305.0,313.0,8150,302.25
2009-01-13,314.25,323.75,310.75,313.25,7750,313.0
