date,open,high,low,close,volume,prev_closing_price
2014-11-18,47.0,80.0,47.0,76.6,9620000,10.0
2014-11-19,78.1,86.0,62.0,63.8,2416500,76.6
2014-11-20,56.2,63.5,56.0,58.8,4083000,63.8
2014-11-23,59.0,60.0,52.1,52.8,2019000,58.8
2014-11-24,51.5,55.9,51.1,53.5,1892500,52.8
2014-11-25,54.9,58.8,54.5,57.0,2003000,53.5
2014-11-26,57.1,57.2,51.7,52.0,1719000,57.0
2014-11-27,52.6,53.2,48.3,48.7,1648500,52.0
2014-11-30,50.9,50.9,46.5,46.9,1372000,48.7
2014-12-01,47.0,48.4,45.2,45.8,1254000,46.9
2014-12-02,46.0,47.3,44.6,45.0,1303500,45.8
2014-12-03,45.7,47.9,44.5,45.9,2128000,45.0
2014-12-04,46.1,46.1,42.0,42.3,1468500,45.9
2014-12-07,41.6,41.9,39.8,40.0,1755000,42.3
2014-12-08,40.0,0.0,0.0,40.0,0,40.0
2014-12-09,37.0,37.9,36.3,36.6,1553000,40.0
2014-12-10,37.0,37.3,34.0,34.5,1149000,36.6
2014-12-11,32.2,34.4,32.2,34.0,318217,34.5
2014-12-14,32.3,37.3,32.3,37.2,808584,34.0
2014-12-15,37.8,37.8,35.1,35.3,671214,37.2
2014-12-17,35.9,36.5,34.9,35.6,557690,35.3
2014-12-18,35.7,36.4,34.7,35.0,337392,35.6
2014-12-21,32.6,35.9,32.6,34.9,469262,35.0
2014-12-22,35.7,36.4,34.8,35.2,535991,34.9
2014-12-23,35.3,35.5,34.7,34.8,215422,35.2
2014-12-24,35.0,35.0,33.9,34.1,282795,34.8
2014-12-28,33.9,34.1,32.7,32.9,230769,34.1
2014-12-29,33.0,36.1,32.9,33.4,189061,32.9
2014-12-30,33.6,34.5,33.5,34.3,341432,33.4
2015-01-01,34.2,35.0,34.2,34.6,244391,34.3
2015-01-05,34.7,35.1,34.3,35.0,341252,34.6
2015-01-06,35.3,36.0,35.0,35.6,499790,35.0
2015-01-07,35.5,37.0,35.3,36.5,1110777,35.6
2015-01-08,36.8,36.8,35.2,35.4,956394,36.5
2015-01-11,35.2,36.2,34.9,35.1,924567,35.4
2015-01-12,35.2,37.6,35.1,37.2,1537012,35.1
2015-01-13,37.5,37.9,36.0,36.3,971577,37.2
2015-01-14,36.2,36.5,35.2,35.4,785580,36.3
2015-01-15,35.4,35.9,34.8,35.1,614655,35.4
2015-01-18,35.0,35.3,33.9,34.1,731505,35.1
2015-01-19,34.0,34.4,32.9,33.0,514609,34.1
2015-01-20,33.7,33.8,32.1,32.2,458065,33.0
