date,open,high,low,close,volume,prev_closing_price
2018-03-01,60.5,61.9,60.1,60.2,766655,0.0
2018-03-04,60.2,60.6,58.4,58.7,937874,60.2
2018-03-05,58.7,58.7,57.3,57.5,609231,58.7
2018-03-06,57.2,58.5,57.0,58.2,426456,57.5
2018-03-07,58.2,58.5,57.5,57.7,234821,58.2
2018-03-08,58.5,58.5,57.2,57.6,201152,57.7
2018-03-11,57.7,58.2,57.2,57.3,207401,57.6
2018-03-12,57.3,57.8,56.7,57.7,627982,57.3
2018-03-13,57.7,57.9,57.0,57.1,291451,57.7
2018-03-14,57.0,57.2,56.0,56.1,481972,57.1
2018-03-15,56.1,57.0,55.7,56.7,310292,56.1
2018-03-18,56.9,56.9,56.2,56.4,181549,56.7
2018-03-19,56.1,56.4,56.0,56.0,323384,56.4
2018-03-20,56.3,56.3,56.0,56.1,253434,56.0
2018-03-21,56.1,56.2,56.0,56.0,366959,56.1
2018-03-22,56.0,56.4,56.0,56.2,922527,56.0
2018-03-25,56.2,57.0,56.2,56.4,438509,56.2
2018-03-27,56.4,56.5,56.0,56.1,630889,56.4
2018-03-28,56.1,56.4,56.0,56.1,491748,56.1
2018-03-29,56.1,57.0,56.1,56.9,357800,56.1
2018-04-01,57.4,58.0,56.6,57.8,520325,56.9
2018-04-02,58.1,59.2,57.8,58.9,815965,57.8
2018-04-03,58.9,62.6,58.5,60.5,2137708,58.9
2018-04-04,60.8,60.8,58.9,59.1,662758,60.5
2018-04-05,58.8,60.6,58.6,60.1,1043376,59.1
2018-04-08,0.0,0.0,0.0,60.1,0,60.1
2018-04-09,60.1,61.6,59.9,60.8,1638927,60.1
2018-04-10,61.1,61.3,60.0,60.1,836051,60.8
2018-04-11,60.2,60.4,60.0,60.2,608197,60.1
2018-04-12,60.5,62.6,60.2,62.2,2098881,60.2
2018-04-15,62.3,68.1,62.3,64.9,3903475,62.2
2018-04-16,65.1,65.4,63.6,65.2,1874620,64.9
2018-04-17,65.9,67.0,65.4,65.9,2442658,65.2
2018-04-18,66.1,66.6,64.5,65.0,1491149,65.9
2018-04-19,65.2,65.5,64.3,64.6,865287,65.0
2018-04-22,64.3,64.9,62.6,62.9,1046699,64.6
2018-04-23,63.0,63.0,61.8,62.0,620644,62.9
2018-04-24,61.8,62.3,61.4,61.6,417651,62.0
2018-04-25,61.9,64.1,61.6,63.1,935806,61.6
2018-04-26,63.4,63.7,62.0,62.4,834567,63.1
2018-04-30,61.6,61.6,58.4,59.0,2185380,62.4
2018-05-03,59.8,60.0,58.5,58.7,978465,59.0
2018-05-06,59.0,59.6,58.0,58.3,738301,58.7
2018-05-07,58.3,59.3,58.1,58.6,381775,58.3
2018-05-08,58.6,59.0,58.0,58.1,586015,58.6
2018-05-09,59.0,60.6,58.6,58.8,1403912,58.1
2018-05-10,59.0,59.4,58.6,58.8,610745,58.8
2018-05-13,58.8,58.9,58.0,58.1,500138,58.8
2018-05-14,58.2,58.6,57.5,58.0,381693,58.1
2018-05-15,58.4,58.5,57.2,57.4,306216,58.0
2018-05-16,57.3,57.7,56.2,56.4,583309,57.4
2018-05-17,56.8,56.8,55.8,56.0,428604,56.4
2018-05-20,56.1,56.1,54.7,55.1,296653,56.0
2018-05-21,55.0,56.4,54.9,55.2,303668,55.1
