date,open,high,low,close,volume,prev_closing_price
2008-03-06,262.0,269.7,262.0,266.3,55800,264.1
2008-03-09,264.0,264.0,230.0,238.4,100850,266.3
2008-03-09,264.0,264.0,230.0,238.4,100850,266.3
2008-03-10,242.0,242.0,233.0,235.6,51600,238.4
2008-03-11,231.6,232.0,220.2,222.7,80500,235.6
2008-03-12,216.5,239.0,216.5,231.0,46100,222.7
2008-03-13,232.0,238.9,227.1,228.0,32900,231.0
2008-03-16,230.0,240.0,228.0,237.3,73150,228.0
2008-03-17,240.9,245.0,238.0,238.9,57500,237.3
2008-03-18,237.2,240.0,235.0,235.8,19500,238.9
2008-03-19,237.0,237.8,233.0,234.5,24100,235.8
2008-03-20,239.0,248.0,235.5,241.1,66000,234.5
2008-03-23,244.9,253.0,244.9,246.3,81550,241.1
2008-03-24,248.0,251.8,241.2,245.3,40400,246.3
2008-03-25,243.4,250.0,243.4,247.6,43750,245.3
2008-03-30,246.0,252.0,243.1,244.2,52650,247.6
2008-03-31,234.0,243.0,234.0,241.0,16800,244.2
2008-04-01,240.0,243.5,239.0,240.9,27250,241.0
2008-04-02,239.0,248.0,239.0,244.5,39700,240.9
2008-04-03,244.5,0.0,0.0,244.5,0,244.5
2008-04-06,244.0,244.0,237.5,242.0,48100,244.5
2008-04-07,243.7,243.9,238.1,239.6,37100,242.0
2008-04-08,240.0,243.0,238.5,240.3,33700,239.6
2008-04-09,238.5,248.5,238.5,244.5,46050,240.3
2008-04-10,245.1,246.9,243.0,244.2,34000,244.5
2008-04-13,241.0,248.5,241.0,244.8,65350,244.2
2008-04-15,244.0,274.7,244.0,264.5,107700,244.8
2008-04-16,270.0,275.0,259.1,262.7,55950,264.5
2008-04-17,265.0,268.0,260.0,263.4,70150,262.7
2008-04-20,264.0,264.0,254.0,256.2,73000,263.4
2008-04-21,260.0,263.0,255.0,255.5,62950,256.2
2008-04-22,260.5,261.0,254.0,254.5,43850,255.5
2008-04-23,255.0,263.0,255.0,255.7,55300,254.5
2008-04-24,254.1,268.0,254.0,263.8,98200,255.7
2008-04-27,270.0,273.6,263.0,264.3,90050,263.8
2008-04-28,265.0,268.9,260.1,260.7,37400,264.3
2008-04-29,261.0,261.0,253.0,254.5,43650,260.7
2008-04-30,259.0,259.0,249.5,251.9,43050,254.5
2008-05-04,248.0,256.0,244.4,249.4,28950,251.9
2008-05-05,253.0,253.0,245.0,248.2,23050,249.4
2008-05-06,246.5,250.9,245.3,247.9,26650,248.2
2008-05-07,248.1,250.0,245.2,245.8,25350,247.9
2008-05-08,249.7,249.8,245.9,247.0,12400,245.8
2008-05-11,248.0,252.4,245.1,246.1,26050,247.0
2008-05-12,247.0,250.0,245.0,245.5,39550,246.1
2008-05-13,246.0,250.0,244.1,245.3,37200,245.5
2008-05-14,249.0,249.0,242.0,243.7,35250,245.3
2008-05-15,245.0,247.0,239.6,242.3,51350,243.7
2008-05-18,248.0,248.0,242.0,242.8,29250,242.3
2008-05-20,243.6,260.0,241.1,255.7,118950,242.8
2008-05-21,260.0,264.0,252.0,253.9,74250,255.7
2008-05-22,252.0,261.0,252.0,255.9,88550,253.9
2008-05-25,259.7,275.0,259.6,272.2,234100,255.9
2008-05-26,274.0,282.0,272.5,278.5,121450,272.2
2008-05-27,282.5,294.0,277.0,281.1,207550,278.5
2008-05-28,283.0,285.0,270.0,276.3,123200,281.1
