date,open,high,low,close,volume,prev_closing_price
2010-08-02,70.1,92.9,70.1,89.2,4094500,25.0
2010-08-03,90.1,93.0,87.0,88.1,1634000,89.2
2010-08-04,89.0,89.0,85.0,85.1,844000,88.1
2010-08-05,85.2,85.3,83.0,84.1,931500,85.1
2010-08-08,85.0,85.0,81.5,81.8,730000,84.1
2010-08-09,82.0,83.9,81.6,81.8,785500,81.8
2010-08-10,82.0,88.7,82.0,86.7,1257000,81.8
2010-08-11,86.0,86.9,84.2,84.5,653000,86.7
2010-08-12,84.0,84.5,83.5,84.0,412000,84.5
2010-08-16,83.6,85.0,82.3,82.6,465500,84.0
2010-08-17,82.3,83.0,81.9,82.2,564000,82.6
2010-08-18,83.0,83.7,82.2,82.6,636000,82.2
2010-08-19,83.4,84.8,82.6,82.9,634500,82.6
2010-08-22,85.0,86.6,83.6,85.1,1036500,82.9
2010-08-23,86.0,88.0,86.0,86.9,1208500,85.1
2010-08-24,88.0,89.0,87.3,88.0,1009000,86.9
2010-08-25,87.0,87.9,82.0,86.4,961500,88.0
2010-08-26,87.0,87.5,85.1,85.5,678000,86.4
2010-08-29,83.3,87.0,83.3,85.7,449500,85.5
2010-08-30,86.8,86.9,85.5,85.7,504500,85.7
2010-08-31,84.5,86.5,84.5,85.1,523000,85.7
2010-09-02,86.3,86.3,85.0,85.2,766500,85.1
2010-09-05,87.9,87.9,85.7,86.6,867000,85.2
2010-09-06,85.0,85.9,82.7,85.0,467500,86.6
2010-09-08,84.1,85.9,83.7,84.4,469500,85.0
2010-09-13,83.5,84.4,80.5,84.2,192000,84.4
2010-09-14,85.0,85.9,84.6,85.3,306500,84.2
2010-09-15,86.0,90.0,86.0,89.2,1649500,85.3
2010-09-16,89.7,90.7,88.2,88.7,1025000,89.2
2010-09-19,89.0,89.9,88.5,89.3,1256500,88.7
2010-09-20,90.0,95.2,90.0,94.4,2051500,89.3
2010-09-21,95.0,96.5,92.6,95.3,1968000,94.4
2010-09-22,95.0,95.0,90.0,93.5,1467500,95.3
2010-09-23,92.0,93.2,91.6,91.9,1044500,93.5
2010-09-26,93.0,93.9,90.6,91.9,907500,91.9
2010-09-27,91.0,94.9,91.0,93.7,1032500,91.9
2010-09-28,95.0,95.0,90.7,90.8,964500,93.7
2010-09-29,92.0,92.0,89.1,90.4,656500,90.8
2010-09-30,90.0,91.5,88.2,89.1,976500,90.4
2010-10-03,92.0,92.0,89.2,89.7,745000,89.1
2010-10-04,90.0,90.4,88.2,88.9,607500,89.7
2010-10-05,89.0,90.0,87.0,87.3,441500,88.9
2010-10-06,86.2,90.8,86.2,89.9,659000,87.3
2010-10-07,90.9,91.4,90.1,91.1,1057000,89.9
2010-10-10,87.0,90.0,86.5,88.8,629000,91.1
2010-10-11,86.5,92.7,86.5,92.0,760000,88.8
2010-10-12,90.0,93.4,90.0,91.1,1051500,92.0
2010-10-13,93.0,93.0,89.5,92.2,740000,91.1
2010-10-14,90.3,92.0,90.3,91.6,723500,92.2
2010-10-18,91.9,92.0,90.2,90.9,567000,91.6
2010-10-19,90.0,92.5,90.0,90.2,760000,90.9
2010-10-20,91.9,92.6,89.3,91.4,1105500,90.2
2010-10-21,92.0,93.5,91.0,92.2,975000,91.4
2010-10-24,94.0,94.0,92.0,92.5,732500,92.2
2010-10-25,93.0,100.0,92.7,97.8,1728000,92.5
2010-10-26,99.9,104.0,98.0,98.9,1641000,97.8
2010-10-27,101.0,102.4,95.4,96.9,956500,98.9
2010-10-28,94.1,94.1,81.0,85.0,1219000,96.9
2010-10-31,82.0,86.0,78.0,78.9,1006500,85.0
2010-10-31,82.0,86.0,78.0,78.9,1006500,85.0
2010-11-01,80.0,80.0,75.1,76.0,562000,78.9
2010-11-01,80.0,80.0,75.1,76.0,562000,78.9
2010-11-02,75.5,77.5,75.0,75.2,518500,76.0
