date,open,high,low,close,volume,prev_closing_price
2009-09-16,275.0,368.0,270.0,351.5,1002350,10.0
2009-09-17,350.0,387.0,350.0,364.0,257200,351.5
2009-09-27,375.0,380.0,350.0,372.6,98350,364.0
2009-09-29,361.1,427.0,360.0,418.0,599250,372.6
2009-09-30,420.0,422.0,400.1,414.2,255900,418.0
2009-10-01,410.0,459.0,410.0,450.2,323700,414.2
2009-10-04,441.0,441.0,400.2,410.2,494700,450.2
2009-10-05,410.0,424.8,401.0,418.4,212750,410.2
2009-10-06,428.5,455.0,420.1,450.2,151550,418.4
2009-10-07,451.0,456.0,433.7,442.3,184300,450.2
2009-10-08,446.0,450.0,435.0,437.0,149250,442.3
2009-10-11,449.0,449.0,420.3,424.7,219900,437.0
2009-10-12,422.0,435.0,422.0,424.6,99150,424.7
2009-10-13,424.0,449.0,424.0,444.5,184300,424.6
2009-10-14,448.5,479.5,445.0,466.1,226100,444.5
2009-10-18,445.5,464.7,445.5,451.0,98550,448.1
2009-10-18,445.5,464.7,445.5,451.0,98550,448.1
2009-10-19,459.0,476.0,450.0,468.6,220050,451.0
2009-10-20,464.0,494.0,464.0,489.1,213250,468.6
2009-10-21,494.9,523.0,480.0,493.7,318700,489.1
2009-10-22,475.0,488.0,461.3,484.3,122650,493.7
2009-10-25,495.0,495.0,452.0,462.1,130800,484.3
2009-10-26,459.0,460.0,431.0,437.4,152700,462.1
2009-10-27,434.0,440.0,413.0,420.0,97200,437.4
2009-10-28,430.0,450.0,421.1,437.4,60700,420.0
2009-10-29,448.0,450.0,423.7,429.1,106400,437.4
2009-11-01,433.1,444.0,433.1,437.1,103100,429.1
2009-11-02,432.0,444.9,425.0,428.5,164700,437.1
2009-11-03,430.0,441.9,430.0,432.8,55750,428.5
2009-11-04,433.0,440.0,430.1,431.8,61650,432.8
2009-11-05,431.0,438.0,431.0,433.9,54700,431.8
2009-11-08,431.2,434.0,419.1,420.5,62700,433.9
2009-11-09,427.0,427.0,405.0,413.6,52150,420.5
2009-11-10,412.0,414.0,407.0,411.1,35900,413.6
2009-11-11,407.1,407.1,371.9,377.9,125450,411.1
2009-11-12,380.0,380.0,330.0,339.6,132050,377.9
2009-11-15,340.0,399.0,340.0,396.2,115350,339.6
2009-11-16,382.2,424.8,382.2,407.0,104700,396.2
2009-11-17,414.0,414.0,391.0,399.7,72650,407.0
2009-11-18,405.0,407.9,385.0,386.6,63500,399.7
2009-11-19,384.1,395.0,384.1,394.2,41050,386.6
2009-11-22,388.2,399.0,386.5,389.3,36650,394.2
