date,open,high,low,close,volume,prev_closing_price
2011-02-08,9.5,11.0,9.4,10.9,14500,10.0
2011-02-09,10.7,10.9,10.7,10.8,28500,10.9
2011-02-10,10.8,0.0,0.0,10.8,0,10.8
2011-02-13,10.0,10.1,8.8,9.4,16000,10.8
2011-02-14,9.0,9.0,9.0,9.0,500,9.4
2011-02-15,9.0,0.0,0.0,9.0,0,9.0
2011-02-20,9.0,9.9,9.0,9.6,3500,9.0
2011-02-22,9.4,9.4,9.1,9.3,7000,9.6
2011-02-27,9.0,9.4,8.8,8.9,4500,9.5
2011-02-28,9.0,9.0,9.0,9.0,500,8.9
2011-03-01,9.5,9.5,9.2,9.3,9000,9.0
2011-03-02,9.3,9.3,9.3,9.3,500,9.3
2011-03-03,9.3,9.3,9.3,9.3,2000,9.3
2011-03-06,9.5,9.5,9.5,9.5,1000,9.3
2011-03-07,9.4,10.0,9.4,9.6,4000,9.5
2011-03-08,9.6,10.3,9.6,9.9,2500,9.6
2011-03-09,10.8,10.8,9.5,10.4,10500,9.9
2011-03-10,10.4,10.4,10.0,10.1,9500,10.4
2011-03-13,9.5,9.5,9.5,9.5,4000,10.1
2011-03-14,9.5,10.4,9.5,9.7,8000,9.5
2011-03-15,9.5,9.5,9.5,9.5,5000,9.7
2011-03-16,9.5,0.0,0.0,9.5,0,9.5
2011-03-20,9.5,0.0,0.0,9.5,0,9.5
2011-03-21,10.0,10.0,9.4,9.9,201500,9.5
2011-03-22,9.9,9.9,9.3,9.7,4000,9.9
2011-03-23,10.0,10.0,9.3,9.9,200500,9.7
2011-03-24,9.5,9.5,9.5,9.5,1000,9.9
2011-03-27,10.0,10.0,9.9,9.9,302500,9.5
2011-03-28,9.5,9.5,9.3,9.4,76000,9.9
2011-03-29,9.5,9.6,9.5,9.5,17500,9.4
2011-03-30,9.5,0.0,0.0,9.5,0,9.5
2011-03-31,10.4,10.4,9.5,10.3,74500,9.5
2011-04-03,9.5,10.0,9.5,9.9,71000,10.3
2011-04-04,9.7,10.0,9.7,9.9,30000,9.9
2011-04-05,10.0,10.0,9.7,9.9,16000,9.9
2011-04-06,9.7,10.0,9.5,9.8,3500,9.9
2011-04-07,9.5,10.0,9.5,9.9,6000,9.8
2011-04-10,9.5,10.0,9.5,9.9,24500,9.9
2011-04-11,10.0,10.0,9.7,9.9,11000,9.9
2011-04-12,9.2,10.0,9.2,9.5,1500,9.9
2011-04-13,9.3,9.9,9.3,9.6,2500,9.5
2011-04-17,9.3,9.3,9.2,9.2,1000,9.6
2011-04-18,9.7,9.7,9.7,9.7,1000,9.2
2011-04-19,9.7,9.7,9.7,9.7,500,9.7
2011-04-20,9.5,9.5,9.5,9.5,500,9.7
2011-04-21,9.5,10.0,9.4,9.6,16000,9.5
2011-04-24,9.5,9.9,9.5,9.7,2000,9.6
2011-04-25,9.4,9.5,9.4,9.4,3000,9.7
2011-04-26,8.8,9.5,8.8,9.3,2000,9.4
2011-04-27,9.1,9.3,9.1,9.1,4000,9.3
2011-05-03,9.0,9.2,9.0,9.1,2000,9.2
2011-05-04,9.1,0.0,0.0,9.1,0,9.1
2011-05-05,8.8,9.0,8.8,8.9,4000,9.1
2011-05-08,8.9,0.0,0.0,8.9,0,8.9
2011-05-09,8.3,8.3,8.3,8.3,1000,8.9
2011-05-10,8.7,8.7,8.7,8.7,1500,8.3
2011-05-11,8.7,8.7,8.7,8.7,500,8.7
2011-05-12,8.7,0.0,0.0,8.7,0,8.7
2011-05-15,8.4,9.2,8.4,8.8,1000,8.7
2011-05-16,8.8,8.8,8.1,8.3,3000,8.8
2011-05-18,9.1,9.1,9.1,9.1,1500,8.3
2011-05-19,9.1,0.0,0.0,9.1,0,9.1
2011-05-22,9.2,9.2,9.1,9.1,5500,9.1
2011-05-23,9.1,9.1,9.0,9.0,2000,9.1
2011-05-24,9.0,9.2,9.0,9.1,1000,9.0
2011-05-25,9.0,9.1,8.9,8.9,8500,9.1
2011-05-26,9.0,9.1,9.0,9.0,3000,8.9
