date,open,high,low,close,volume,prev_closing_price
2008-03-06,7.7,7.7,7.4,7.6,19000,7.4
2008-03-09,7.0,7.3,6.9,7.1,17000,7.6
2008-03-09,7.0,7.3,6.9,7.1,17000,7.6
2008-03-10,7.5,7.5,7.2,7.3,3500,7.1
2008-03-11,7.8,7.8,7.2,7.4,9000,7.3
2008-03-12,7.7,8.0,7.5,7.6,50500,7.4
2008-03-13,7.6,8.0,7.5,7.8,60000,7.6
2008-03-16,7.8,8.0,7.7,7.9,75500,7.8
2008-03-17,8.1,8.4,8.0,8.0,55000,7.9
2008-03-18,8.0,8.0,7.9,0.0,14000,8.0
2008-03-19,8.2,8.2,7.9,8.0,21500,7.9
2008-03-20,8.2,8.2,8.0,8.1,63500,8.0
2008-03-23,8.4,8.5,8.0,8.1,72500,8.1
2008-03-24,8.2,8.2,8.0,8.0,34000,8.1
2008-03-25,7.8,8.1,7.7,0.0,25500,8.0
2008-03-30,8.2,8.2,8.0,8.0,6000,7.8
2008-03-31,7.8,7.8,7.7,7.7,21000,8.0
2008-04-01,7.6,7.7,7.4,7.5,11500,7.7
2008-04-02,7.4,7.7,7.4,7.4,21500,7.5
2008-04-03,7.6,8.0,7.6,7.8,9500,7.4
2008-04-06,7.9,8.0,7.8,7.8,27000,7.8
2008-04-07,7.4,7.7,7.4,7.6,5000,7.8
2008-04-08,7.4,7.8,7.3,7.6,5500,7.6
2008-04-09,7.8,8.0,7.6,7.8,21500,7.6
2008-04-10,7.6,7.7,7.6,7.6,9500,7.8
2008-04-13,7.8,8.1,7.8,7.9,29000,7.6
2008-04-15,8.2,8.4,8.0,8.1,32000,7.9
2008-04-16,8.2,8.2,8.0,8.0,67000,8.1
2008-04-17,8.3,8.3,8.0,8.1,24500,8.0
2008-04-20,8.0,8.1,8.0,8.0,30000,8.1
2008-04-21,8.0,8.0,7.9,7.9,37000,8.0
2008-04-22,8.2,9.1,8.1,9.1,226500,7.9
2008-04-23,9.5,10.8,9.3,10.2,216500,9.1
2008-04-24,10.1,10.1,9.2,9.4,104500,10.2
2008-04-27,9.8,9.8,9.0,9.3,33000,9.4
2008-04-28,8.5,8.8,8.4,8.5,26000,9.3
2008-04-29,8.5,8.6,8.5,8.5,9000,8.5
2008-04-30,8.5,8.6,8.0,8.4,24500,8.5
2008-05-04,8.1,8.2,8.0,8.0,33000,8.4
2008-05-05,8.1,8.7,8.1,8.3,23500,8.0
2008-05-06,8.7,8.9,8.7,8.8,47500,8.3
2008-05-07,8.6,8.7,8.3,8.5,19500,8.8
2008-05-08,8.8,10.2,8.8,10.0,416000,8.5
2008-05-11,10.5,10.5,9.7,10.2,197000,10.0
2008-05-12,10.5,12.2,10.5,12.2,383500,10.2
