date,open,high,low,close,volume,prev_closing_price
2008-03-06,363.0,365.0,358.25,362.0,6650,357.5
2008-03-09,379.0,380.0,368.5,372.25,5700,362.0
2008-03-09,379.0,380.0,368.5,372.25,5700,362.0
2008-03-10,370.0,370.0,360.25,361.5,2650,372.25
2008-03-11,362.0,395.0,362.0,387.25,10850,361.5
2008-03-12,389.0,393.0,380.0,383.0,10400,387.25
2008-03-13,383.75,383.75,370.0,0.0,2400,383.0
2008-03-16,384.0,400.0,383.0,398.0,11850,373.5
2008-03-17,400.0,400.0,385.0,388.0,4350,398.0
2008-03-18,386.0,392.0,382.0,385.25,3900,388.0
2008-03-19,376.0,389.0,376.0,385.25,3850,385.25
2008-03-20,388.0,392.0,382.0,389.5,2800,385.25
2008-03-23,386.5,396.0,381.25,383.5,4100,389.5
2008-03-24,386.25,386.25,382.25,384.5,1750,383.5
2008-03-25,388.0,390.0,380.25,383.0,3900,384.5
2008-03-30,392.0,410.0,385.0,408.5,12600,383.0
2008-03-31,414.0,415.0,396.0,401.25,9350,408.5
2008-04-01,409.0,409.0,399.0,405.0,11800,401.25
2008-04-02,410.0,448.0,408.0,417.75,12100,405.0
2008-04-03,422.0,440.0,415.0,424.5,11900,417.75
2008-04-06,445.0,473.75,434.0,464.0,39600,424.5
2008-04-07,466.0,473.0,442.5,450.0,17150,464.0
2008-04-08,447.0,459.75,435.0,443.5,6000,450.0
2008-04-09,445.0,474.5,441.25,450.75,19650,443.5
2008-04-10,460.0,465.0,440.0,446.5,9950,450.75
2008-04-13,475.0,475.0,443.0,458.0,12250,446.5
2008-04-15,460.0,510.0,460.0,497.75,33700,458.0
2008-04-16,520.0,564.0,500.0,538.75,22300,497.75
2008-04-17,541.0,550.0,513.5,521.5,23500,538.75
2008-04-20,530.0,599.5,525.0,598.5,38650,521.5
2008-04-21,606.0,650.0,600.0,630.75,34250,598.5
2008-04-22,640.0,650.0,601.0,642.0,28750,630.75
2008-04-23,640.0,649.0,600.0,601.5,18800,642.0
2008-04-24,602.0,605.0,584.0,591.0,7100,601.5
2008-04-27,609.0,609.0,554.5,562.25,12550,591.0
2008-04-28,553.0,580.0,540.0,569.5,50800,562.25
2008-04-29,600.0,620.0,570.0,585.25,22100,569.5
2008-04-30,599.75,628.0,599.75,618.75,47350,585.25
2008-05-04,600.0,600.0,575.0,587.0,11050,618.75
2008-05-05,582.0,585.0,565.0,579.75,13300,587.0
2008-05-06,584.0,586.0,572.0,581.5,13350,579.75
2008-05-07,582.0,589.0,560.0,569.5,7400,581.5
2008-05-08,577.0,587.0,577.0,580.75,15900,569.5
2008-05-11,585.0,585.0,565.5,567.5,15750,580.75
2008-05-12,579.0,579.75,548.0,559.25,17400,567.5
2008-05-13,560.0,562.0,537.0,541.25,14700,559.25
2008-05-14,522.0,543.0,522.0,537.25,21600,541.25
2008-05-15,540.0,576.0,540.0,570.25,37000,537.25
2008-05-18,560.0,560.0,538.0,543.25,13050,570.25
2008-05-20,560.0,560.0,537.25,542.5,15700,543.25
2008-05-21,542.0,556.0,535.75,538.75,25750,542.5
2008-05-22,538.75,0.0,0.0,538.75,0,538.75
2008-05-25,535.0,579.0,534.0,570.0,60200,538.75
2008-05-26,585.0,650.0,585.0,640.0,63350,570.0
2008-05-27,675.0,710.0,650.0,673.75,49150,640.0
2008-05-28,694.0,768.0,675.0,734.5,69600,673.75
2008-05-29,738.0,780.0,672.75,689.0,48850,734.5
2008-06-01,696.0,753.0,696.0,716.75,50900,689.0
2008-06-02,740.0,748.0,725.0,741.5,41500,716.75
2008-06-03,730.0,798.0,730.0,739.5,25700,741.5
2008-06-04,765.0,765.0,700.0,710.25,32500,739.5
2008-06-05,711.0,729.0,696.25,701.25,23500,710.25
2008-06-08,710.0,762.0,699.0,719.5,37150,701.25
2008-06-09,720.0,720.0,668.0,682.75,12400,719.5
2008-06-10,680.0,698.0,662.0,667.5,9300,682.75
2008-06-11,672.0,672.0,581.0,623.0,9200,667.5
2008-06-12,670.0,670.0,600.0,628.5,12900,623.0
2008-06-15,649.75,653.5,625.0,627.75,14550,628.5
2008-06-16,613.0,640.0,609.0,0.0,7450,627.75
2008-06-17,640.0,640.0,612.25,615.5,6400,638.25
2008-06-18,634.0,649.75,630.0,0.0,13250,615.5
2008-06-19,640.0,640.0,633.0,637.5,9100,637.0
2008-06-22,620.0,622.25,612.5,0.0,7000,637.5
2008-06-23,610.0,610.0,556.0,0.0,15950,613.5
2008-06-24,580.0,620.0,580.0,615.25,6650,587.0
2008-06-25,616.0,618.0,605.0,607.5,13300,615.25
2008-06-26,606.25,610.0,587.0,596.5,24600,607.5
2008-06-29,600.0,600.0,566.25,576.5,6050,596.5
2008-06-30,573.75,587.0,552.0,564.25,8150,576.5
2008-07-02,576.0,576.0,550.0,558.75,10500,564.25
2008-07-03,551.0,568.0,551.0,559.0,5450,558.75
2008-07-06,574.0,595.0,563.0,578.25,13450,559.0
2008-07-07,560.0,574.0,560.0,564.5,3600,578.25
2008-07-08,559.0,569.25,555.0,556.5,6050,564.5
2008-07-08,559.0,569.25,555.0,556.5,6050,564.5
