date,open,high,low,close,volume,prev_closing_price
2008-03-06,2090.0,2090.0,1920.0,1960.75,14150,1981.0
2008-03-09,2029.0,2030.0,1900.0,1919.75,19550,1960.75
2008-03-09,2029.0,2030.0,1900.0,1919.75,19550,1960.75
2008-03-10,1980.0,2119.75,1940.0,2113.0,27850,1919.75
2008-03-11,2170.0,2200.0,2050.0,2071.5,17850,2113.0
2008-03-12,2075.0,2075.0,1980.25,1995.5,14100,2071.5
2008-03-13,1970.0,1974.0,1889.0,1960.5,9000,1995.5
2008-03-16,1900.0,2053.5,1900.0,2008.5,9000,1960.5
2008-03-17,2040.0,2096.0,1960.25,1971.75,9450,2008.5
2008-03-18,2009.0,2010.0,1925.0,1937.25,4800,1971.75
2008-03-19,2000.0,2000.0,1901.0,0.0,5500,1937.25
2008-03-20,1902.0,1949.0,1855.0,1900.75,7550,1918.0
2008-03-23,1900.0,1900.0,1726.0,1739.25,7600,1900.75
2008-03-24,1702.0,1855.0,1702.0,1780.25,5250,1739.25
2008-03-25,1825.0,1826.0,1770.0,1781.5,2600,1780.25
2008-03-30,1860.0,1980.0,1860.0,1963.5,4900,1781.5
2008-03-31,1980.0,2000.0,1840.0,1846.25,5500,1963.5
2008-04-01,1847.25,1880.0,1802.0,1806.25,3500,1846.25
2008-04-02,1820.0,1821.0,1781.0,1791.75,6200,1806.25
2008-04-03,1790.0,1840.0,1790.0,1828.5,4350,1791.75
2008-04-06,1850.25,1860.0,1754.0,1760.75,6850,1828.5
2008-04-07,1730.0,1790.0,1700.0,1710.75,7450,1760.75
2008-04-08,1750.0,1875.0,1750.0,1838.0,7750,1710.75
2008-04-09,1910.0,1940.0,1830.0,1842.75,7550,1838.0
2008-04-10,1849.0,1890.0,1801.0,1820.0,7700,1842.75
2008-04-13,1849.0,1849.0,1780.0,1789.0,5300,1820.0
2008-04-15,1800.0,1800.0,1725.0,1745.0,7450,1789.0
2008-04-16,1779.0,1790.0,1705.0,1728.0,6550,1745.0
2008-04-17,1720.0,1800.0,1716.25,1766.5,7800,1728.0
2008-04-20,1740.0,1770.0,1700.0,1724.5,3650,1766.5
2008-04-21,1800.0,1800.0,1660.0,1679.0,5600,1724.5
2008-04-22,1749.0,1749.0,1645.25,1675.5,4400,1679.0
2008-04-23,1609.5,1770.0,1609.5,1733.0,5850,1675.5
2008-04-24,1744.0,1744.0,1660.0,1677.25,1350,1733.0
2008-04-27,1690.0,1700.0,1660.0,1667.5,3100,1677.25
2008-04-28,1650.0,1650.0,1603.0,1608.5,4200,1667.5
2008-04-29,1612.0,1650.0,1575.5,1590.5,5150,1608.5
2008-04-30,1590.0,1600.0,1550.0,1562.75,2700,1590.5
