date,open,high,low,close,volume,prev_closing_price
2008-03-06,270.0,275.0,254.0,256.5,27400,260.0
2008-03-09,250.0,255.0,243.5,245.25,9550,256.5
2008-03-09,250.0,255.0,243.5,245.25,9550,256.5
2008-03-10,237.0,255.0,237.0,250.75,15300,245.25
2008-03-11,258.75,259.75,230.5,234.25,16150,250.75
2008-03-12,236.0,240.0,220.0,226.5,11350,234.25
2008-03-13,225.0,235.0,220.0,233.5,10550,226.5
2008-03-16,230.0,235.0,221.0,223.5,3400,233.5
2008-03-17,211.0,226.0,205.0,210.5,25200,223.5
2008-03-18,213.0,223.0,213.0,219.0,4500,210.5
2008-03-19,213.5,213.75,204.25,208.75,7150,219.0
2008-03-20,225.0,225.0,208.0,216.25,8600,208.75
2008-03-23,219.0,223.0,211.5,211.75,10150,216.25
2008-03-24,210.0,210.0,203.5,205.5,2500,211.75
2008-03-25,210.0,219.75,205.25,0.0,8100,205.5
2008-03-30,227.0,239.75,226.0,228.75,11750,212.25
2008-03-31,230.0,230.0,216.5,219.25,3150,228.75
2008-04-01,218.0,220.0,212.75,214.0,5400,219.25
2008-04-02,205.0,214.75,205.0,211.0,4600,214.0
2008-04-03,215.25,222.25,214.0,219.0,5650,211.0
2008-04-06,220.0,220.0,212.0,214.0,4800,219.0
2008-04-07,220.0,225.0,215.0,222.0,6750,214.0
2008-04-08,222.0,240.0,217.0,235.0,28450,222.0
2008-04-09,240.0,249.0,228.0,232.5,23250,235.0
2008-04-10,233.0,240.0,232.0,235.5,12350,232.5
2008-04-13,245.0,259.0,236.0,255.5,28050,235.5
2008-04-15,252.0,259.5,234.0,237.75,14850,255.5
2008-04-16,249.0,249.0,223.0,228.25,7750,237.75
2008-04-17,225.0,228.0,216.5,221.75,10700,228.25
2008-04-20,217.5,222.0,215.0,217.75,8600,221.75
2008-04-21,218.5,229.0,211.0,215.0,6150,217.75
2008-04-22,213.25,225.0,192.5,217.0,9950,215.0
2008-04-23,210.0,227.5,210.0,220.5,11350,217.0
2008-04-24,216.0,216.25,206.25,211.75,2800,220.5
2008-04-27,220.0,220.0,206.0,206.5,10800,211.75
2008-04-28,203.0,209.5,196.0,196.75,7100,206.5
2008-04-29,197.75,204.0,193.0,196.25,4350,196.75
2008-04-30,180.0,182.0,167.0,169.5,12500,196.25
2008-05-04,162.5,172.75,162.5,168.0,4850,169.5
2008-05-05,167.0,172.0,162.0,169.0,3000,168.0
2008-05-06,175.0,189.75,175.0,178.0,4250,169.0
2008-05-07,180.0,180.0,170.0,172.5,3450,178.0
2008-05-08,184.5,187.0,175.0,177.0,1950,172.5
2008-05-11,180.0,181.0,178.5,180.5,6550,177.0
2008-05-12,185.0,185.0,175.0,179.25,8800,180.5
2008-05-13,176.0,177.0,172.25,174.25,1950,179.25
2008-05-14,174.0,174.0,160.0,166.75,3650,174.25
2008-05-15,166.0,169.75,163.5,166.25,6750,166.75
2008-05-18,180.0,182.0,173.25,174.25,4500,166.25
2008-05-20,175.0,195.0,175.0,189.25,17750,174.25
2008-05-21,197.0,223.0,197.0,218.5,44100,189.25
2008-05-22,210.0,220.0,202.0,211.5,14900,218.5
2008-05-25,219.0,242.0,219.0,238.75,46700,211.5
2008-05-26,244.0,248.5,230.0,238.5,43700,238.75
2008-05-27,238.0,238.0,210.25,216.5,12050,238.5
2008-05-28,219.0,235.0,216.0,223.0,14050,216.5
2008-05-29,230.0,233.0,216.0,218.75,16950,223.0
2008-06-01,223.0,229.0,221.0,224.25,9050,218.75
2008-06-02,228.0,263.25,228.0,262.25,44450,224.25
2008-06-03,285.0,304.5,271.0,291.0,63850,262.25
2008-06-04,291.0,0.0,0.0,291.0,0,291.0
2008-06-05,281.5,295.0,260.0,283.5,53900,291.0
2008-06-08,299.0,330.0,299.0,329.5,57400,283.5
2008-06-09,300.0,318.0,288.5,297.5,37450,329.5
2008-06-10,298.75,319.0,298.75,305.5,22950,297.5
2008-06-11,307.0,307.0,263.0,272.25,22900,305.5
2008-06-12,290.0,300.0,249.0,267.5,19200,272.25
2008-06-15,260.0,271.0,230.5,237.25,19400,267.5
2008-06-16,243.0,268.0,225.0,0.0,15600,237.25
2008-06-17,275.0,299.5,261.0,296.0,22750,260.75
2008-06-18,294.0,298.0,284.0,0.0,18050,296.0
2008-06-19,288.25,288.25,272.0,283.75,22800,287.75
2008-06-22,276.0,282.0,263.75,0.0,9750,283.75
2008-06-23,258.0,270.0,253.0,0.0,12500,267.0
2008-06-24,261.0,285.0,261.0,277.75,10350,259.75
2008-06-25,285.0,289.0,274.0,277.25,20500,277.75
2008-06-26,277.25,310.0,277.0,306.5,52300,277.25
2008-06-29,283.0,324.0,283.0,308.75,27700,306.5
2008-06-30,307.0,310.0,285.0,287.75,25100,308.75
2008-07-02,285.5,290.0,276.0,282.75,15450,287.75
2008-07-03,280.0,284.0,270.25,280.0,9750,282.75
2008-07-06,280.0,294.0,278.0,280.75,11050,280.0
2008-07-07,287.0,298.75,282.0,285.25,32150,280.75
2008-07-08,295.75,295.75,275.0,277.0,17400,285.25
2008-07-08,295.75,295.75,275.0,277.0,17400,285.25
2008-07-09,274.0,283.75,274.0,281.75,2300,277.0
2008-07-10,280.0,280.75,271.0,273.25,20300,281.75
2008-07-13,287.25,292.75,277.5,282.75,18800,273.25
2008-07-14,274.25,280.0,274.25,276.25,10650,282.75
2008-07-15,272.25,274.0,265.5,268.75,9500,276.25
2008-07-16,262.5,267.25,258.75,259.5,10800,268.75
2008-07-17,267.0,274.0,252.75,254.0,21750,259.5
2008-07-20,255.5,255.5,230.25,241.25,13550,254.0
2008-07-21,240.0,251.0,224.0,232.0,13300,241.25
2008-07-22,240.0,240.0,220.0,224.75,9250,232.0
2008-07-23,231.0,240.0,228.75,233.25,10100,224.75
2008-07-24,247.0,274.0,241.75,273.5,38050,233.25
2008-07-27,285.0,285.0,265.0,269.25,20950,273.5
2008-07-28,290.0,300.0,263.0,265.25,23150,269.25
2008-07-29,261.0,261.0,240.0,249.75,27000,265.25
2008-07-30,263.0,265.0,248.0,251.25,13900,249.75
2008-07-31,247.5,250.0,240.0,244.75,10350,251.25
2008-08-03,238.0,245.0,232.0,232.5,5950,244.75
2008-08-04,240.0,240.0,230.25,231.75,7800,232.5
2008-08-05,228.25,247.0,225.0,232.75,10200,231.75
2008-08-06,239.75,246.0,239.0,241.25,15200,232.75
2008-08-07,241.75,242.75,234.0,235.0,9950,241.25
2008-08-10,237.0,237.0,223.5,224.75,7850,235.0
2008-08-11,230.0,230.0,216.5,226.5,12600,224.75
2008-08-12,226.75,233.75,221.25,222.5,8150,226.5
2008-08-13,226.75,226.75,211.0,215.0,17400,222.5
2008-08-14,215.0,218.5,212.0,214.75,7550,215.0
2008-08-18,213.25,215.0,202.0,204.25,9550,214.75
2008-08-19,209.25,209.25,186.25,189.5,21550,204.25
2008-08-20,200.0,206.0,198.0,200.0,16000,189.5
2008-08-21,205.0,228.0,205.0,218.25,8600,200.0
2008-08-25,227.0,227.0,214.0,220.0,20250,218.25
2008-08-26,217.25,235.0,217.25,232.75,21350,220.0
2008-08-27,235.25,243.0,231.5,232.75,24000,232.75
2008-08-28,236.0,253.0,232.0,243.0,44400,232.75
2008-08-31,250.0,252.0,244.0,246.0,25150,243.0
2008-09-01,243.75,246.0,235.25,242.75,11500,246.0
2008-09-02,247.0,249.0,240.5,243.25,23400,242.75
2008-09-03,248.0,248.0,236.0,238.0,17950,243.25
2008-09-04,235.5,240.0,232.0,235.25,12600,238.0
2008-09-07,238.0,245.0,236.0,239.25,12350,235.25
2008-09-08,244.5,248.0,239.0,240.75,19800,239.25
2008-09-09,240.0,242.0,234.25,235.75,21650,240.75
2008-09-10,236.0,240.0,228.75,230.75,35350,235.75
2008-09-11,232.5,235.5,226.0,228.5,16750,230.75
2008-09-14,228.0,229.5,223.5,225.25,13150,228.5
2008-09-15,223.5,224.0,220.0,221.5,10600,225.25
2008-09-16,218.0,227.5,218.0,219.75,15200,221.5
2008-09-17,220.25,220.25,213.5,214.25,11850,219.75
2008-09-18,219.75,228.0,219.75,221.75,16350,214.25
2008-09-21,220.0,229.25,216.5,218.0,9050,221.75
2008-09-22,220.0,221.25,217.0,217.75,10200,218.0
2008-09-23,220.0,226.0,220.0,221.0,12050,217.75
2008-09-24,220.0,224.5,218.0,221.5,13600,221.0
2008-09-25,225.0,227.75,219.0,226.0,12950,221.5
2008-10-05,230.0,230.0,221.5,224.25,11550,226.0
2008-10-06,224.75,238.0,219.0,220.25,35950,224.25
2008-10-07,221.0,230.0,218.75,227.75,18150,220.25
2008-10-08,244.0,265.0,240.5,247.25,52600,227.75
2008-10-12,245.0,247.0,222.25,223.5,29950,247.25
2008-10-13,234.0,234.0,222.0,224.0,13650,223.5
2008-10-14,229.5,232.0,225.75,226.75,8100,224.0
2008-10-15,227.0,230.0,223.0,223.75,13650,226.75
2008-10-16,227.0,236.0,223.0,225.5,15900,223.75
2008-10-19,237.0,239.0,228.0,232.0,45400,225.5
2008-10-20,237.0,237.0,227.25,228.0,8200,232.0
2008-10-21,223.5,245.0,223.5,231.25,29550,228.0
2008-10-22,230.25,236.5,230.25,231.75,23050,231.25
