date,open,high,low,close,volume,prev_closing_price
2011-05-22,142.3,145.0,130.5,132.5,1913600,142.8
2011-05-23,132.5,134.9,128.5,128.9,556300,132.5
2011-05-24,131.0,140.5,130.3,136.4,849600,128.9
2011-05-25,135.0,135.8,129.5,131.8,791300,136.4
2011-05-26,131.9,137.4,131.9,136.0,685300,131.8
2011-05-29,137.8,138.9,135.8,137.5,805500,136.0
2011-05-30,135.7,141.3,131.0,139.8,1811500,137.5
2011-05-31,142.0,146.3,140.1,143.4,1677400,139.8
2011-06-01,143.9,145.7,140.5,141.2,827900,143.4
2011-06-02,143.0,144.9,140.2,144.0,892100,141.2
2011-06-05,144.0,153.9,144.0,152.7,1829000,144.0
2011-06-06,153.8,165.0,153.2,164.4,1631600,152.7
2011-06-07,164.4,165.0,157.1,159.7,1514500,164.4
2011-06-08,161.5,161.5,154.8,155.3,1342300,159.7
2011-06-09,155.5,157.0,153.6,155.5,883700,155.3
2011-06-12,154.0,154.9,147.6,148.1,854400,155.5
2011-06-13,146.1,158.0,146.1,156.7,796600,148.1
2011-06-14,158.0,158.9,151.0,151.7,806700,156.7
2011-06-15,151.1,154.2,151.1,153.6,499000,151.7
2011-06-16,154.9,155.0,152.0,152.9,587600,153.6
2011-06-19,154.4,154.4,149.6,149.8,662500,152.9
2011-06-20,149.2,152.5,147.5,151.7,718900,149.8
2011-06-21,153.0,156.0,151.9,152.2,983600,151.7
2011-06-22,153.9,156.8,152.7,155.8,962500,152.2
2011-06-23,157.0,161.4,155.1,159.7,1599800,155.8
2011-06-26,160.9,161.5,158.5,159.7,807700,159.7
2011-06-27,160.9,168.0,160.9,166.4,1462000,159.7
2011-06-28,169.0,171.2,166.0,169.2,1198400,166.4
2011-06-29,173.0,177.0,170.0,175.2,1396000,169.2
2011-06-30,175.5,177.9,172.5,176.8,1434800,175.2
2011-07-03,178.0,182.9,177.6,179.2,1448400,176.8
2011-07-04,180.0,180.2,174.7,175.0,1547800,179.2
2011-07-05,174.0,180.9,174.0,180.0,1255400,175.0
2011-07-06,181.0,188.8,180.3,187.9,1427800,180.0
2011-07-07,189.0,191.7,185.2,188.3,1714000,187.9
2011-07-10,187.0,190.3,185.6,186.1,1507900,188.3
2011-07-11,186.2,191.0,184.0,187.8,1468900,186.1
2011-07-12,189.5,193.0,188.2,190.6,1326700,187.8
2011-07-13,192.0,198.7,190.1,197.5,1569100,190.6
2011-07-14,198.9,202.2,195.1,195.7,2182100,197.5
2011-07-17,194.0,197.3,191.5,196.1,1378400,195.7
2011-07-19,197.9,207.2,197.0,206.6,1546700,196.1
