date,open,high,low,close,volume,prev_closing_price
2008-03-06,136.75,140.0,129.0,130.0,9660,134.5
2008-03-09,134.0,142.0,130.0,133.75,5580,130.0
2008-03-09,134.0,142.0,130.0,133.75,5580,130.0
2008-03-10,130.25,140.0,122.75,138.25,6040,133.75
2008-03-11,129.0,132.0,126.0,129.25,1740,138.25
2008-03-12,127.0,133.0,127.0,129.5,1020,129.25
2008-03-13,129.0,135.0,129.0,134.25,5300,129.5
2008-03-16,135.0,142.0,131.0,141.5,12200,134.25
2008-03-17,140.0,168.0,140.0,153.5,10100,141.5
2008-03-18,165.0,165.0,152.25,157.75,4340,153.5
2008-03-19,164.75,164.75,150.25,156.5,7540,157.75
2008-03-20,168.0,168.0,151.25,161.75,1860,156.5
2008-03-23,161.75,167.0,150.0,159.25,9400,161.75
2008-03-24,167.5,167.5,154.25,158.0,4020,159.25
2008-03-25,164.0,179.5,157.5,0.0,7860,158.0
2008-03-30,184.0,194.75,174.75,178.25,7200,177.25
2008-03-31,172.0,173.5,172.0,172.75,2880,178.25
2008-04-01,165.0,169.75,157.0,158.25,3220,172.75
2008-04-02,161.0,179.75,159.0,174.25,1920,158.25
2008-04-03,171.75,175.0,164.25,168.5,1620,174.25
2008-04-06,173.75,175.0,158.25,166.25,3140,168.5
2008-04-07,160.0,163.0,154.25,157.5,4680,166.25
2008-04-08,160.0,168.75,160.0,161.75,2280,157.5
2008-04-09,165.25,174.5,162.5,168.0,5200,161.75
2008-04-10,161.75,171.0,161.75,169.0,1940,168.0
2008-04-13,171.0,174.0,165.75,169.5,2400,169.0
2008-04-15,175.0,175.0,166.25,172.5,1580,169.5
2008-04-16,166.0,166.0,165.0,165.25,980,172.5
2008-04-17,167.25,175.0,167.0,172.0,2720,165.25
2008-04-20,177.0,177.0,165.0,166.75,1300,172.0
2008-04-21,165.5,174.5,165.5,170.25,2700,166.75
2008-04-22,177.0,204.0,177.0,200.75,10020,170.25
2008-04-23,217.0,218.5,187.0,191.75,1580,200.75
2008-04-24,198.0,199.0,176.25,180.0,2220,191.75
2008-04-27,180.0,199.0,171.5,180.5,4900,180.0
2008-04-28,185.0,210.0,182.0,200.0,16680,180.5
2008-04-29,207.0,218.75,200.5,208.75,9240,200.0
2008-04-30,209.0,210.0,190.0,191.75,5520,208.75
2008-05-04,192.0,201.0,187.25,191.0,5020,191.75
