date,open,high,low,close,volume,prev_closing_price
2011-06-26,140.0,146.9,130.0,145.2,2630800,115.0
2011-06-27,147.0,156.0,146.5,153.8,1200800,145.2
2011-06-28,157.0,157.9,150.0,150.8,696000,153.8
2011-06-29,154.0,161.7,150.5,159.6,1963300,150.8
2011-06-30,161.9,161.9,156.1,158.8,2038600,159.6
2011-07-03,161.0,168.7,160.0,168.1,961000,158.8
2011-07-04,169.5,169.9,162.4,165.7,1155100,168.1
2011-07-05,164.5,165.5,163.1,164.7,819700,165.7
2011-07-06,166.5,167.0,164.0,165.2,1025700,164.7
2011-07-07,165.5,175.7,165.5,174.5,1677900,165.2
2011-07-10,177.6,177.6,171.5,171.8,877900,174.5
2011-07-11,172.0,172.9,168.5,169.8,903300,171.8
2011-07-12,171.0,171.0,167.5,168.1,810000,169.8
2011-07-13,168.0,174.3,167.1,172.4,718700,168.1
2011-07-14,175.0,180.6,170.5,175.9,1611200,172.4
2011-07-17,172.0,181.7,172.0,180.3,2283900,175.9
2011-07-19,182.0,193.5,182.0,190.3,1929100,180.3
2011-07-20,194.9,197.0,189.4,191.4,1534000,190.3
2011-07-21,194.0,195.5,191.0,194.2,1658900,191.4
2011-07-24,195.0,198.6,190.0,192.2,1971400,194.2
2011-07-25,192.5,194.0,186.0,187.6,1411200,192.2
2011-07-26,186.0,191.5,183.0,184.9,1162400,187.6
2011-07-27,187.8,189.5,181.2,187.4,1843000,184.9
2011-07-28,189.9,197.3,188.9,193.9,2634200,187.4
2011-07-31,194.6,196.0,183.3,184.7,998800,193.9
2011-08-01,185.0,188.9,176.3,177.9,1109400,184.7
2011-08-02,180.0,181.0,170.6,171.3,704200,177.9
2011-08-03,174.5,185.9,173.1,182.0,579900,171.3
2011-08-04,181.1,185.0,176.1,177.2,479700,182.0
2011-08-07,174.0,175.0,169.7,171.8,473000,177.2
2011-08-08,171.0,177.7,171.0,173.1,554400,171.8
2011-08-09,174.1,175.0,166.3,167.7,546300,173.1
2011-08-10,169.8,170.0,165.0,167.1,495000,167.7
2011-08-11,167.2,168.3,165.0,166.0,1090600,167.1
2011-08-14,166.0,0.0,0.0,166.0,0,166.0
2011-08-16,150.0,150.0,145.5,147.6,916800,166.0
2011-08-17,145.7,147.5,145.5,146.1,363200,147.6
2011-08-18,148.7,151.1,147.3,149.4,515900,146.1
2011-08-21,150.0,150.0,146.5,147.1,295200,149.4
2011-08-23,145.5,147.5,145.5,146.4,237200,147.1
2011-08-24,147.0,147.8,141.7,143.9,344600,146.4
2011-08-25,142.1,148.0,142.1,145.3,384000,143.9
2011-09-04,146.5,147.5,142.1,142.5,296100,145.3
2011-09-05,144.0,144.0,139.7,139.9,352200,142.5
2011-09-06,140.0,142.0,135.8,136.0,363400,139.9
2011-09-07,136.0,138.0,133.7,137.4,300300,136.0
2011-09-08,137.8,138.9,135.0,135.5,274400,137.4
2011-09-11,137.0,137.0,132.9,133.8,276200,135.5
2011-09-12,134.4,134.4,130.6,131.4,325700,133.8
2011-09-13,133.8,139.9,130.6,139.4,629300,131.4
2011-09-14,141.9,141.9,133.6,135.4,544700,139.4
2011-09-15,135.0,137.8,134.2,136.2,278000,135.4
2011-09-18,135.6,136.0,131.0,131.7,336900,136.2
2011-09-19,131.5,137.8,130.1,136.3,560900,131.7
2011-09-20,138.8,140.3,134.3,134.6,310900,136.3
2011-09-21,134.0,134.9,131.0,131.6,276100,134.6
2011-09-22,133.9,135.9,130.7,132.5,237200,131.6
2011-09-25,134.8,136.0,132.0,135.2,338700,132.5
2011-09-26,136.9,139.8,136.1,139.1,673200,135.2
2011-09-27,141.5,141.8,134.0,135.1,603800,139.1
2011-09-28,137.0,137.8,134.6,135.7,295900,135.1
2011-09-29,136.9,137.9,134.8,136.4,451600,135.7
2011-10-02,136.0,137.9,134.4,134.6,344700,136.4
2011-10-03,134.0,135.0,132.4,133.0,327700,134.6
2011-10-04,132.3,133.1,131.2,131.7,224400,133.0
2011-10-05,133.0,133.1,130.1,131.0,226200,131.7
2011-10-09,130.3,132.5,121.3,123.0,354100,131.0
2011-10-10,123.9,125.5,120.1,123.0,500800,123.0
2011-10-11,122.2,122.5,114.1,114.9,470900,123.0
2011-10-12,114.0,118.0,110.3,117.4,450600,114.9
2011-10-13,121.9,127.0,120.0,121.4,552300,117.4
2011-10-16,124.3,124.3,116.0,116.7,307500,121.4
2011-10-17,117.0,120.0,115.5,117.4,312200,116.7
2011-10-18,119.8,119.9,112.8,113.1,343700,117.4
2011-10-19,111.0,117.6,108.0,113.5,489900,113.1
2011-10-20,116.0,120.4,116.0,119.6,394400,113.5
2011-10-23,121.9,128.0,115.0,118.1,771200,119.6
2011-10-24,118.0,120.0,112.0,112.7,394600,118.1
2011-10-25,112.7,118.2,112.3,117.4,273500,112.7
2011-10-26,117.5,117.5,111.8,112.3,379300,117.4
2011-10-27,112.1,114.0,109.0,110.1,409600,112.3
2011-10-30,112.0,112.0,101.8,104.1,343500,110.1
2011-10-31,102.5,105.2,98.3,99.3,284600,104.1
2011-11-01,103.0,104.5,100.0,103.7,256500,99.3
2011-11-02,104.9,108.3,104.0,104.5,326400,103.7
2011-11-03,103.2,104.7,102.5,103.3,197200,104.5
2011-11-13,102.0,102.0,98.1,98.5,206800,103.3
2011-11-14,98.5,98.5,89.1,90.8,495400,98.5
2011-11-15,91.0,93.0,84.9,85.0,453200,90.8
2011-11-16,86.9,93.5,86.9,93.5,406300,85.0
2011-11-17,95.0,102.8,95.0,101.2,488700,93.5
2011-11-20,105.0,108.0,101.7,107.1,633700,101.2
2011-11-21,108.9,109.0,103.3,106.0,876600,107.1
2011-11-22,108.9,116.5,108.0,115.4,1048300,106.0
2011-11-23,116.5,120.9,104.1,105.9,885600,115.4
2011-11-24,109.9,109.9,100.0,103.8,500500,105.9
2011-11-27,106.0,106.0,95.0,96.0,531700,103.8
2011-11-28,94.2,101.5,89.1,99.2,465500,96.0
2011-11-29,104.0,104.0,95.1,95.7,301900,99.2
2011-11-30,95.1,99.9,95.0,99.0,240700,95.7
2011-12-05,97.2,98.0,94.0,96.2,432500,98.0
2011-12-07,95.2,96.0,92.5,95.1,274700,96.2
2011-12-08,96.4,97.0,92.6,93.2,188400,95.1
