date,open,high,low,close,volume,prev_closing_price
2018-09-17,10.0,31.9,10.0,24.2,6137425,0.0
2018-09-18,24.2,24.5,22.2,22.6,1236195,24.2
2018-09-19,22.5,22.5,20.6,20.8,2860469,22.6
2018-09-20,20.9,22.8,20.9,22.8,1364762,20.8
2018-09-23,23.2,23.5,20.8,20.9,1811094,22.8
2018-09-24,21.0,21.7,20.2,20.4,1265290,20.9
2018-09-25,20.7,20.9,19.2,19.5,1029015,20.4
2018-09-26,19.7,21.1,19.4,19.9,1295655,19.5
2018-09-27,19.9,21.0,19.9,20.6,1209987,19.9
2018-09-30,20.9,22.4,20.9,22.0,2162321,20.6
2018-10-01,22.4,23.0,20.6,20.7,1274841,22.0
2018-10-02,20.7,22.3,20.3,21.8,1564155,20.7
2018-10-03,21.9,23.7,21.7,23.5,2633507,21.8
2018-10-04,23.5,24.5,22.7,24.1,1933369,23.5
2018-10-07,24.3,26.5,23.6,26.5,2943591,24.1
2018-10-08,26.6,27.2,24.2,24.6,2057890,26.5
2018-10-09,24.8,26.2,24.2,26.0,1651384,24.6
2018-10-10,26.3,26.4,24.7,24.9,1250697,26.0
2018-10-11,24.9,25.7,24.5,25.4,885404,24.9
2018-10-14,25.9,26.6,25.2,25.6,1657748,25.4
2018-10-15,25.6,25.9,24.3,24.6,867316,25.6
2018-10-16,24.9,25.6,24.2,25.3,1172223,24.6
2018-10-17,25.6,25.8,24.5,24.6,795663,25.3
2018-10-18,24.7,25.1,24.5,24.9,670388,24.6
2018-10-21,25.0,25.5,24.7,25.1,717391,24.9
2018-10-22,25.1,26.7,25.0,25.3,1099171,25.1
2018-10-23,25.7,27.2,25.3,26.9,1062273,25.3
2018-10-24,27.1,28.4,26.0,27.9,1815997,26.9
2018-10-25,28.2,28.6,27.0,28.0,1265848,27.9
2018-10-28,28.6,28.6,25.6,26.1,2018901,28.0
2018-10-29,26.0,27.7,25.4,27.1,1215890,26.1
2018-10-30,27.7,29.8,27.7,29.8,1855789,27.1
2018-10-31,30.6,32.7,29.8,32.7,1593176,29.8
2018-11-01,33.4,35.2,32.6,33.1,2671050,32.7
2018-11-04,33.3,36.4,33.0,36.2,1231246,33.1
2018-11-05,36.6,36.7,33.5,34.0,1395533,36.2
2018-11-06,34.0,36.7,33.0,36.1,1417136,34.0
2018-11-07,36.1,39.7,36.1,39.7,1402757,36.1
2018-11-08,41.2,43.6,40.8,43.6,1442785,39.7
2018-11-11,44.0,44.7,40.7,41.0,1269771,43.6
2018-11-12,41.0,45.1,41.0,45.1,977287,41.0
2018-11-13,46.0,48.2,41.6,42.0,1257415,45.1
2018-11-14,42.4,46.2,42.3,44.1,1838335,42.0
2018-11-15,44.6,45.5,41.6,42.1,919675,44.1
2018-11-18,42.5,44.5,41.6,43.6,1010809,42.1
2018-11-19,44.0,47.0,43.4,44.8,1484778,43.6
2018-11-20,45.7,46.5,43.1,45.5,2307619,44.8
2018-11-22,0.0,0.0,0.0,45.5,0,45.5
2018-11-25,39.1,40.9,36.8,37.7,1614240,45.5
2018-11-26,38.9,41.4,38.0,41.4,786454,37.7
2018-11-27,43.5,45.5,43.5,45.5,982434,41.4
2018-11-28,49.0,50.0,46.9,50.0,1084602,45.5
2018-11-29,54.8,55.0,52.0,55.0,690087,50.0
2018-12-02,59.8,59.8,52.7,53.9,1262700,55.0
2018-12-03,54.5,56.0,53.4,54.7,1915747,53.9
2018-12-04,55.8,57.8,51.3,52.4,2578707,54.7
2018-12-05,52.5,52.7,47.2,47.2,3300102,52.4
2018-12-06,46.4,47.5,42.5,45.6,3534492,47.2
2018-12-09,45.6,48.0,43.6,44.2,1307050,45.6
2018-12-10,44.2,44.5,39.8,39.8,2330527,44.2
2018-12-11,39.8,41.1,37.6,39.1,1356653,39.8
2018-12-12,39.4,41.9,38.6,39.6,2120060,39.1
2018-12-13,39.7,40.3,35.8,36.2,1505761,39.6
2018-12-17,36.2,36.2,32.6,32.8,1165341,36.2
2018-12-18,32.6,34.4,32.2,34.0,891384,32.8
2018-12-19,34.2,35.4,31.8,32.8,1176152,34.0
2018-12-20,31.7,33.8,31.7,32.8,905283,32.8
2018-12-23,31.0,33.2,30.9,31.2,785083,32.8
2018-12-24,31.0,31.7,30.5,30.7,617001,31.2
2018-12-26,31.0,31.3,29.9,30.3,510370,30.7
2018-12-27,30.4,30.8,28.4,29.7,2075710,30.3
