date,open,high,low,close,volume,prev_closing_price
2008-03-06,275.0,308.0,275.0,300.25,1500,276.5
2008-03-09,299.5,299.5,278.0,291.0,600,300.25
2008-03-09,299.5,299.5,278.0,291.0,600,300.25
2008-03-10,271.0,280.0,270.0,274.25,440,291.0
2008-03-11,280.0,290.0,273.0,277.25,380,274.25
2008-03-12,270.0,270.0,265.0,269.0,60,277.25
2008-03-13,275.0,280.0,270.0,272.25,435,269.0
2008-03-16,288.5,310.0,287.0,304.75,2375,272.25
2008-03-17,300.0,320.0,285.0,309.0,3115,304.75
2008-03-18,315.0,315.0,295.0,0.0,635,309.0
2008-03-19,305.0,349.0,305.0,329.0,3315,300.0
2008-03-20,344.75,352.0,320.0,337.0,1835,329.0
2008-03-23,370.5,370.5,310.0,316.0,1190,337.0
2008-03-24,311.0,320.0,305.0,307.25,1400,316.0
2008-03-25,307.25,350.0,307.25,340.5,4205,307.25
2008-03-30,359.0,365.0,340.0,341.0,2210,340.5
2008-03-31,358.0,400.5,355.0,376.25,5150,341.0
2008-04-01,356.0,394.0,356.0,371.0,2890,376.25
2008-04-02,352.0,380.0,352.0,356.0,2090,371.0
2008-04-03,378.75,379.0,351.0,356.0,2345,356.0
2008-04-06,355.25,360.0,346.0,346.25,1000,356.0
2008-04-07,355.0,355.0,337.0,341.5,1420,346.25
2008-04-08,340.0,355.0,333.0,339.0,2230,341.5
2008-04-09,349.0,378.0,349.0,360.0,3880,339.0
2008-04-10,351.0,380.0,351.0,368.25,1635,360.0
2008-04-13,365.0,375.0,365.0,369.0,2455,368.25
2008-04-15,380.0,380.0,362.0,364.0,795,369.0
2008-04-16,375.0,375.0,356.0,359.25,1720,364.0
2008-04-17,369.0,369.0,353.0,359.75,1215,359.25
2008-04-20,351.5,360.0,341.0,350.75,700,359.75
2008-04-21,377.0,378.0,350.0,354.75,1785,350.75
2008-04-22,362.5,416.5,362.5,411.75,9835,354.75
2008-04-23,432.0,482.5,431.75,474.25,9040,411.75
2008-04-24,450.0,455.0,422.0,436.0,6620,474.25
2008-04-27,420.0,435.0,385.0,393.25,3830,436.0
2008-04-28,400.0,425.0,370.0,377.5,805,393.25
2008-04-29,403.0,403.0,360.0,362.25,1555,377.5
2008-04-30,355.0,383.0,355.0,365.0,2585,362.25
2008-05-04,372.0,372.0,360.25,367.75,835,365.0
2008-05-05,357.0,357.0,343.0,345.25,780,367.75
2008-05-06,342.5,345.25,335.0,336.5,1460,345.25
2008-05-07,337.0,355.0,337.0,349.0,440,336.5
2008-05-08,359.0,359.5,341.0,341.75,1040,349.0
2008-05-11,345.0,348.0,343.0,343.25,1100,341.75
2008-05-12,375.5,375.5,340.0,344.0,595,343.25
2008-05-13,340.0,345.0,339.25,341.25,665,344.0
2008-05-14,336.5,339.75,325.0,327.75,510,341.25
2008-05-15,330.0,352.0,330.0,341.5,1775,327.75
2008-05-18,370.0,370.0,322.0,337.0,940,341.5
2008-05-20,356.0,356.0,335.0,341.25,1770,337.0
2008-05-21,325.0,345.0,325.0,332.0,815,341.25
2008-05-22,338.0,342.0,327.0,332.25,1880,332.0
2008-05-25,322.0,344.0,322.0,334.0,1495,332.25
2008-05-26,334.5,360.0,332.0,353.0,3140,334.0
2008-05-27,342.0,370.0,342.0,358.5,3195,353.0
2008-05-28,370.0,370.0,350.0,352.25,845,358.5
2008-05-29,348.0,353.0,347.0,350.75,1510,352.25
2008-06-01,350.25,370.0,350.0,359.75,3035,350.75
2008-06-02,369.0,375.0,367.0,369.0,2505,359.75
2008-06-03,378.0,420.0,370.0,407.25,6980,369.0
2008-06-04,414.75,436.0,396.75,429.75,7770,407.25
2008-06-05,420.0,465.0,420.0,425.25,6650,429.75
2008-06-08,408.0,430.0,406.0,423.0,2685,425.25
2008-06-09,404.0,428.0,390.0,416.25,2675,423.0
2008-06-10,406.0,415.0,384.0,404.75,820,416.25
2008-06-11,402.0,408.0,384.25,388.0,860,404.75
2008-06-12,392.5,415.0,362.0,406.25,1985,388.0
2008-06-15,405.0,405.0,374.25,0.0,1190,406.25
2008-06-16,376.0,389.75,375.25,0.0,570,376.75
2008-06-17,375.0,375.0,375.0,375.0,80,379.75
2008-06-18,392.0,392.0,380.0,0.0,615,375.0
2008-06-19,374.0,380.0,373.0,374.0,570,381.0
2008-06-22,387.75,388.0,360.0,0.0,320,374.0
2008-06-23,351.0,360.0,351.0,0.0,190,378.5
2008-06-24,353.0,370.0,350.0,367.5,2470,355.5
2008-06-25,360.25,369.0,360.0,361.25,80,367.5
2008-06-26,356.25,367.0,356.0,359.0,600,361.25
2008-06-29,358.0,358.0,345.0,347.5,1190,359.0
2008-06-30,343.0,353.0,343.0,346.75,410,347.5
2008-07-02,342.0,350.0,336.0,342.0,795,346.75
2008-07-03,345.0,358.0,345.0,351.25,205,342.0
2008-07-06,336.25,357.0,336.25,341.25,135,351.25
2008-07-07,342.0,350.0,340.25,341.75,215,341.25
2008-07-08,341.0,349.0,338.0,346.5,600,341.75
2008-07-08,341.0,349.0,338.0,346.5,600,341.75
2008-07-09,341.0,349.0,341.0,346.5,55,346.5
2008-07-10,339.0,347.75,338.0,344.5,2050,346.5
2008-07-13,340.0,346.0,339.25,342.25,150,344.5
2008-07-14,312.0,351.5,312.0,336.5,620,342.25
2008-07-15,328.0,349.0,328.0,341.5,465,336.5
2008-07-16,341.0,341.0,325.0,325.75,1245,341.5
2008-07-17,338.0,338.0,325.0,325.0,2020,325.75
2008-07-20,330.0,338.0,325.0,330.0,255,325.0
2008-07-21,321.25,328.75,321.25,327.75,390,330.0
2008-07-22,325.0,325.0,308.0,312.25,185,327.75
2008-07-23,316.0,316.0,304.0,304.75,1345,312.25
2008-07-24,310.0,335.0,309.0,321.75,1780,304.75
2008-07-27,342.0,342.0,325.0,333.5,900,321.75
2008-07-28,336.75,340.0,320.5,324.25,1650,333.5
2008-07-29,323.0,323.0,317.0,317.25,905,324.25
2008-07-30,319.75,328.25,312.25,319.75,970,317.25
2008-07-31,316.0,320.0,312.0,313.5,330,319.75
2008-08-03,300.0,302.0,300.0,300.5,540,313.5
2008-08-04,300.0,300.0,290.25,296.25,225,300.5
2008-08-05,300.0,313.5,300.0,301.5,160,296.25
2008-08-06,311.0,312.0,306.0,309.75,915,301.5
2008-08-07,305.0,305.0,295.0,296.5,525,309.75
2008-08-10,295.25,296.0,291.25,294.25,205,296.5
2008-08-11,290.0,296.0,290.0,290.0,640,294.25
2008-08-12,286.0,295.0,286.0,288.75,160,290.0
2008-08-13,285.25,292.0,283.25,284.25,310,288.75
2008-08-14,281.25,290.0,281.25,285.75,90,284.25
2008-08-18,275.0,279.25,275.0,276.5,360,285.75
2008-08-19,270.0,270.0,266.0,269.0,1170,276.5
2008-08-20,270.0,286.0,270.0,273.0,355,269.0
2008-08-21,270.0,293.75,260.0,281.5,2205,273.0
2008-08-25,281.5,290.0,278.0,289.0,510,281.5
2008-08-26,288.0,300.0,288.0,297.25,1565,289.0
2008-08-27,300.0,310.0,290.0,297.25,1730,297.25
2008-08-28,300.0,300.0,282.0,285.0,360,297.25
2008-08-31,281.25,293.0,281.0,282.25,545,285.0
2008-09-01,299.0,299.0,281.25,283.5,630,282.25
2008-09-02,280.5,290.0,277.0,280.75,1150,283.5
2008-09-03,285.0,290.0,280.0,285.0,580,280.75
2008-09-04,285.0,285.0,277.0,280.5,1000,285.0
2008-09-07,285.0,285.0,277.25,278.75,355,280.5
2008-09-08,275.75,282.0,275.75,278.25,290,278.75
2008-09-09,285.0,298.0,280.25,293.25,1280,278.25
2008-09-10,285.0,285.0,283.25,283.5,160,293.25
2008-09-11,297.0,297.0,282.0,290.5,385,283.5
2008-09-14,299.0,299.0,280.0,281.5,675,290.5
2008-09-15,280.0,280.0,275.0,278.0,155,281.5
2008-09-16,295.0,295.0,272.0,278.5,1080,278.0
2008-09-17,286.5,286.5,278.25,283.5,295,278.5
2008-09-18,277.5,280.0,275.0,276.5,885,283.5
2008-09-21,296.0,296.0,274.0,283.5,1205,276.5
2008-09-22,277.5,284.0,277.5,281.5,175,283.5
2008-09-23,277.5,285.0,277.5,281.25,165,281.5
2008-09-24,283.0,286.75,278.0,281.25,455,281.25
2008-09-25,271.5,283.0,270.0,275.5,1070,281.25
2008-10-05,280.0,286.0,280.0,281.75,640,275.5
2008-10-06,284.0,288.25,280.0,281.0,1965,281.75
2008-10-07,292.0,292.0,276.0,280.0,285,281.0
2008-10-08,282.0,299.0,280.25,289.5,2945,280.0
2008-10-12,290.0,293.5,284.25,284.25,1045,289.5
2008-10-13,300.0,300.0,289.0,294.5,1395,284.25
2008-10-14,298.0,320.0,297.75,306.75,3845,294.5
2008-10-15,307.75,324.75,307.75,318.75,3255,306.75
2008-10-16,325.0,350.0,321.0,328.0,6240,318.75
2008-10-19,322.25,322.25,306.0,310.75,1025,328.0
2008-10-20,312.0,319.0,305.0,309.25,1640,310.75
2008-10-21,338.0,339.0,300.0,304.25,1855,309.25
2008-10-22,306.0,308.0,292.0,300.0,495,304.25
2008-10-23,302.0,307.0,300.25,303.5,1055,300.0
2008-10-26,293.0,305.0,293.0,296.5,270,303.5
2008-10-27,305.0,305.0,290.0,296.75,455,296.5
2008-10-28,291.0,302.0,291.0,293.25,140,296.75
2008-10-29,291.25,292.25,288.25,291.25,850,293.25
2008-10-30,283.75,286.0,280.0,285.5,3020,291.25
2008-11-02,285.5,0.0,0.0,285.5,0,285.5
2008-11-03,260.5,260.5,240.0,247.0,210,285.5
2008-11-04,250.0,260.0,250.0,257.25,1095,247.0
2008-11-05,235.0,270.0,235.0,254.75,435,257.25
2008-11-06,263.25,263.25,260.0,261.25,65,254.75
2008-11-09,250.0,260.0,250.0,254.5,250,261.25
2008-11-10,253.0,253.0,245.0,248.25,120,254.5
2008-11-11,250.0,259.0,250.0,250.5,365,248.25
2008-11-12,255.0,270.0,255.0,258.25,780,250.5
2008-11-13,265.0,275.0,260.0,271.75,1190,258.25
2008-11-16,270.0,286.0,268.0,271.75,340,271.75
2008-11-17,275.0,285.0,270.0,280.0,2090,271.75
2008-11-18,290.0,299.5,272.25,274.75,1750,280.0
2008-11-19,292.0,292.0,252.0,262.75,665,274.75
2008-11-20,278.75,278.75,250.0,261.75,185,262.75
2008-11-23,278.75,278.75,254.5,257.5,295,261.75
2008-11-24,252.0,268.75,250.0,250.0,1475,257.5
2008-11-25,265.0,265.0,245.5,251.0,155,250.0
2008-11-26,242.0,250.0,235.0,242.5,715,251.0
2008-11-27,236.0,236.0,221.0,223.0,370,242.5
2008-11-30,225.0,225.0,221.0,223.25,475,223.0
2008-12-01,228.0,235.0,225.0,230.5,255,223.25
2008-12-02,230.5,0.0,0.0,230.5,0,230.5
2008-12-03,225.0,247.0,225.0,243.0,765,230.5
2008-12-04,234.0,239.75,232.0,233.25,215,243.0
2008-12-14,216.0,230.0,216.0,221.0,265,233.25
2008-12-15,220.0,222.0,220.0,220.25,970,221.0
2008-12-17,221.0,221.0,219.0,219.5,265,220.25
2008-12-18,213.0,228.0,213.0,224.25,265,219.5
2008-12-21,233.5,233.5,230.25,232.75,235,224.25
2008-12-22,232.0,235.0,232.0,233.25,330,232.75
2008-12-23,242.0,242.0,230.0,235.0,130,233.25
2008-12-24,240.75,240.75,231.0,232.75,245,235.0
2008-12-28,238.0,243.5,238.0,242.5,410,232.75
2008-12-30,236.0,240.0,220.75,230.75,950,242.5
2009-01-01,231.0,240.0,230.0,232.25,440,230.75
2009-01-04,235.0,242.0,232.0,238.5,985,232.25
2009-01-05,253.75,265.0,249.0,260.75,2165,238.5
2009-01-06,269.0,269.0,251.5,253.75,895,260.75
2009-01-07,247.0,253.5,244.0,250.25,495,253.75
2009-01-11,247.25,250.0,244.0,247.0,415,250.25
2009-01-12,252.75,260.0,252.0,257.0,1450,247.0
2009-01-13,260.0,263.75,255.0,256.75,1080,257.0
2009-01-14,257.75,257.75,251.0,251.5,755,256.75
2009-01-15,249.0,249.0,249.0,249.0,5,251.5
2009-01-18,252.0,255.0,252.0,254.0,70,249.0
2009-01-19,248.0,248.0,245.0,246.75,385,254.0
2009-01-20,250.0,252.0,246.0,247.5,250,246.75
2009-01-21,245.0,257.25,245.0,255.75,1185,247.5
2009-01-22,252.0,270.0,252.0,265.0,460,255.75
2009-01-25,270.0,275.5,265.0,269.5,960,265.0
2009-01-26,271.0,271.0,261.0,262.75,255,269.5
2009-01-27,265.0,265.0,255.0,259.75,285,262.75
2009-01-28,252.5,262.0,252.5,256.5,190,259.75
2009-01-29,266.0,267.0,261.0,263.25,1160,256.5
2009-02-01,260.0,270.0,260.0,267.0,780,263.25
2009-02-02,262.5,275.0,262.5,270.5,1430,267.0
2009-02-03,263.0,285.0,263.0,280.0,2615,270.5
2009-02-04,289.0,319.0,289.0,299.25,3535,280.0
2009-02-05,290.0,295.0,285.0,287.25,1290,299.25
2009-02-08,282.5,282.5,275.0,279.75,390,287.25
2009-02-09,278.0,278.0,278.0,278.0,10,279.75
2009-02-10,280.0,285.0,271.0,280.75,1295,278.0
2009-02-11,280.0,280.0,265.75,269.0,705,280.75
2009-02-12,262.0,297.75,261.0,290.5,2180,269.0
2009-02-15,290.0,298.0,290.0,295.0,785,290.5
2009-02-16,295.0,329.75,292.0,325.5,5005,295.0
2009-02-17,338.0,382.0,338.0,368.25,12260,325.5
2009-02-18,379.0,379.0,352.0,370.0,7590,368.25
2009-02-19,378.0,434.75,378.0,434.0,14575,370.0
2009-02-22,448.0,470.0,411.0,446.0,8775,434.0
2009-02-23,470.0,470.0,405.0,421.75,6565,446.0
2009-02-24,420.0,439.75,420.0,432.5,8820,421.75
2009-02-25,447.0,494.0,430.0,474.0,12285,432.5
2009-02-26,475.0,493.0,450.0,478.5,6665,474.0
2009-03-01,495.0,498.0,470.0,483.75,4080,478.5
2009-03-02,480.0,485.0,455.25,458.75,4920,483.75
2009-03-03,458.0,475.0,441.0,460.5,7750,458.75
2009-03-04,460.0,498.0,460.0,478.75,5760,460.5
2009-03-05,490.0,516.5,490.0,496.75,14280,478.75
2009-03-08,500.0,569.0,500.0,525.75,12115,496.75
2009-03-09,525.0,600.0,525.0,592.5,11815,525.75
2009-03-11,625.0,681.25,625.0,681.0,24815,592.5
2009-03-12,665.0,688.0,655.0,683.25,9635,681.0
2009-03-15,686.0,686.0,617.5,629.75,8300,683.25
2009-03-16,618.0,618.0,581.0,592.5,10010,629.75
2009-03-17,590.0,590.0,521.0,542.0,6865,592.5
2009-03-18,513.0,590.0,513.0,575.25,3900,542.0
2009-03-19,596.5,615.0,560.0,560.5,7490,575.25
2009-03-22,546.0,570.0,510.0,542.0,2865,560.5
2009-03-23,517.0,530.0,485.0,497.75,3200,542.0
2009-03-24,476.0,509.0,440.0,492.0,5190,497.75
2009-03-25,498.75,498.75,466.0,471.25,620,492.0
2009-03-29,452.25,452.75,400.0,417.5,3120,471.25
2009-03-30,402.0,469.75,402.0,466.75,3350,417.5
2009-03-31,495.0,495.0,430.0,433.5,3420,466.75
2009-04-01,441.0,468.0,440.0,452.25,5335,433.5
2009-04-02,468.0,469.5,440.0,453.0,2415,452.25
2009-04-05,435.0,450.0,421.0,427.5,2605,453.0
2009-04-06,416.0,459.75,400.25,434.0,6310,427.5
2009-04-07,442.0,445.0,435.0,438.25,905,434.0
2009-04-08,423.0,442.0,423.0,432.75,2175,438.25
2009-04-09,425.0,434.5,415.0,423.25,1955,432.75
2009-04-12,425.0,425.0,415.0,418.25,1005,423.25
2009-04-13,402.0,438.0,402.0,405.25,1750,418.25
2009-04-15,380.0,406.0,380.0,400.25,1240,405.25
2009-04-16,396.0,430.25,395.0,426.0,2680,400.25
2009-04-19,442.0,442.0,418.0,420.0,2515,426.0
2009-04-20,428.0,429.0,416.0,420.5,2125,420.0
2009-04-21,410.0,425.0,406.0,411.75,1460,420.5
2009-04-22,410.25,410.25,392.25,396.75,765,411.75
2009-04-23,381.25,395.0,372.0,382.75,3235,396.75
