date,open,high,low,close,volume,prev_closing_price
2008-03-06,425.0,0.0,0.0,425.0,0,425.0
2008-03-09,467.5,467.5,467.5,467.5,5,425.0
2008-03-09,467.5,467.5,467.5,467.5,5,425.0
2008-03-10,480.0,540.0,480.0,521.25,105,467.5
2008-03-11,550.0,599.25,550.0,592.25,290,521.25
2008-03-12,645.0,649.0,540.0,621.0,70,592.25
2008-03-13,560.0,560.0,528.0,534.25,35,621.0
2008-03-16,520.0,520.0,520.0,520.0,75,534.25
2008-03-17,510.0,515.0,510.0,511.5,155,520.0
2008-03-18,520.0,588.0,520.0,0.0,250,511.5
2008-03-19,625.0,662.5,624.0,653.5,325,576.25
2008-03-20,710.0,751.0,700.0,734.75,190,653.5
2008-03-23,795.0,840.0,795.0,830.25,345,734.75
2008-03-24,899.75,900.0,801.0,861.25,135,830.25
2008-03-25,904.0,915.0,850.0,900.0,90,861.25
2008-03-30,850.0,850.25,820.0,839.5,145,900.0
2008-03-31,785.0,800.0,780.0,784.25,70,839.5
2008-04-01,741.0,745.0,741.0,742.25,15,784.25
2008-04-02,707.0,725.0,706.0,712.5,20,742.25
2008-04-03,717.0,765.0,717.0,746.0,75,712.5
2008-04-06,800.0,849.0,800.0,823.75,85,746.0
2008-04-07,830.0,830.0,819.0,822.5,75,823.75
2008-04-08,801.0,801.0,780.0,793.75,55,822.5
2008-04-09,771.0,775.0,771.0,773.0,10,793.75
2008-04-10,773.0,0.0,0.0,773.0,0,773.0
2008-04-13,730.0,730.0,659.0,683.75,190,773.0
2008-04-15,683.75,0.0,0.0,683.75,0,683.75
2008-04-16,682.0,700.0,682.0,691.0,40,683.75
2008-04-17,691.0,0.0,0.0,691.0,0,691.0
2008-04-20,691.0,0.0,0.0,691.0,0,691.0
2008-04-21,651.0,651.0,636.5,646.25,100,691.0
2008-04-22,700.0,700.0,700.0,700.0,5,646.25
2008-04-23,739.0,800.0,739.0,765.75,150,700.0
2008-04-24,750.0,795.0,750.0,759.0,25,765.75
2008-04-27,725.0,725.0,700.0,708.75,85,759.0
2008-04-28,730.0,730.0,701.0,708.5,50,708.75
2008-04-29,660.0,660.0,655.0,656.0,25,708.5
2008-04-30,656.0,0.0,0.0,656.0,0,656.0
2008-05-04,656.0,0.0,0.0,656.0,0,656.0
2008-05-05,610.0,610.0,610.0,610.0,50,656.0
2008-05-06,615.0,615.0,550.0,569.5,90,610.0
2008-05-07,550.0,550.0,501.0,525.5,20,569.5
2008-05-08,525.5,0.0,0.0,525.5,0,525.5
2008-05-11,525.5,0.0,0.0,525.5,0,525.5
2008-05-12,525.5,0.0,0.0,525.5,0,525.5
2008-05-13,525.5,0.0,0.0,525.5,0,525.5
2008-05-14,525.5,0.0,0.0,525.5,0,525.5
2008-05-15,510.0,510.0,510.0,510.0,10,525.5
2008-05-18,510.0,0.0,0.0,510.0,0,510.0
2008-05-20,510.0,0.0,0.0,510.0,0,510.0
2008-05-21,510.0,0.0,0.0,510.0,0,510.0
2008-05-22,510.0,0.0,0.0,510.0,0,510.0
2008-05-25,510.0,0.0,0.0,510.0,0,510.0
2008-05-26,502.0,502.0,502.0,502.0,20,510.0
2008-05-27,502.0,0.0,0.0,502.0,0,502.0
2008-05-28,502.0,0.0,0.0,502.0,0,502.0
2008-05-29,503.0,503.0,503.0,503.0,40,502.0
2008-06-01,506.0,506.0,506.0,506.0,10,503.0
2008-06-02,510.0,510.0,506.0,506.75,50,506.0
2008-06-03,506.0,506.0,506.0,506.0,5,506.75
2008-06-04,506.0,0.0,0.0,506.0,0,506.0
2008-06-05,506.0,0.0,0.0,506.0,0,506.0
2008-06-08,515.5,515.5,515.5,515.5,10,506.0
2008-06-09,515.5,0.0,0.0,515.5,0,515.5
2008-06-10,515.5,0.0,0.0,515.5,0,515.5
2008-06-11,550.0,550.0,550.0,550.0,20,515.5
2008-06-12,580.0,580.0,580.0,580.0,10,550.0
2008-06-15,580.0,0.0,0.0,0.0,0,580.0
2008-06-16,580.0,0.0,0.0,0.0,0,580.0
2008-06-17,580.0,0.0,0.0,580.0,0,580.0
2008-06-18,580.0,0.0,0.0,0.0,0,580.0
2008-06-19,580.0,0.0,0.0,580.0,0,580.0
2008-06-22,580.0,0.0,0.0,0.0,0,580.0
2008-06-23,580.0,0.0,0.0,0.0,0,580.0
2008-06-24,580.0,0.0,0.0,580.0,0,580.0
2008-06-25,580.0,0.0,0.0,580.0,0,580.0
2008-06-26,580.0,0.0,0.0,580.0,0,580.0
2008-06-29,580.0,0.0,0.0,580.0,0,580.0
2008-06-30,580.0,0.0,0.0,580.0,0,580.0
2008-07-02,580.0,0.0,0.0,580.0,0,580.0
2008-07-03,580.0,0.0,0.0,580.0,0,580.0
2008-07-06,580.0,0.0,0.0,580.0,0,580.0
2008-07-07,580.0,0.0,0.0,580.0,0,580.0
2008-07-08,580.0,0.0,0.0,580.0,0,580.0
2008-07-08,580.0,0.0,0.0,580.0,0,580.0
2008-07-09,580.0,0.0,0.0,580.0,0,580.0
2008-07-10,580.0,0.0,0.0,580.0,0,580.0
2008-07-13,560.0,560.0,555.0,557.5,20,580.0
2008-07-14,557.5,0.0,0.0,557.5,0,557.5
2008-07-15,560.0,560.0,560.0,560.0,10,557.5
2008-07-16,560.0,600.0,560.0,584.0,25,560.0
2008-07-17,550.0,600.0,550.0,589.75,100,584.0
2008-07-20,600.0,600.0,600.0,600.0,15,589.75
2008-07-21,600.0,600.0,600.0,600.0,10,600.0
2008-07-22,598.5,600.0,597.0,599.25,150,600.0
2008-07-23,600.0,600.0,600.0,600.0,25,599.25
2008-07-24,610.0,610.0,610.0,610.0,5,600.0
2008-07-27,610.0,0.0,0.0,610.0,0,610.0
2008-07-28,570.0,570.0,570.0,570.0,5,610.0
2008-07-29,570.0,0.0,0.0,570.0,0,570.0
2008-07-30,570.0,0.0,0.0,570.0,0,570.0
2008-07-31,570.0,0.0,0.0,570.0,0,570.0
