date,open,high,low,close,volume,prev_closing_price
2014-03-23,15.3,16.6,15.2,16.0,119500,17.4
2014-03-24,15.8,16.1,15.7,16.0,130500,16.0
2014-03-25,16.0,16.1,15.9,16.0,70000,16.0
2014-03-27,15.9,16.1,15.8,15.9,26000,16.0
2014-03-30,16.1,16.1,16.0,16.0,78000,15.9
2014-03-31,15.9,16.1,15.9,15.9,37000,16.0
2014-04-01,15.9,16.2,15.8,15.8,636000,15.9
2014-04-02,16.0,16.2,15.9,16.1,887500,15.8
2014-04-03,15.8,16.5,15.8,16.3,85500,16.1
2014-04-06,16.9,17.0,16.5,16.9,612500,16.3
2014-04-07,16.3,16.5,16.0,16.2,34500,16.9
2014-04-08,16.3,16.4,15.9,15.9,91000,16.2
2014-04-09,15.8,17.4,15.8,17.0,528000,15.9
2014-04-10,16.9,17.5,16.7,17.3,312000,17.0
2014-04-13,17.0,17.1,16.9,17.0,31500,17.3
2014-04-15,17.0,17.0,16.7,16.9,17000,17.0
2014-04-16,16.9,16.9,16.4,16.5,88500,16.9
2014-04-17,16.4,16.8,16.3,16.4,64500,16.5
2014-04-20,16.7,16.8,16.3,16.7,254000,16.4
2014-04-21,16.5,17.0,16.5,16.9,79500,16.7
2014-04-22,17.4,17.5,16.9,17.1,160500,16.9
2014-04-23,16.9,17.5,16.8,17.3,184000,17.1
2014-04-24,17.4,17.6,17.3,17.4,167000,17.3
2014-04-27,17.0,17.4,17.0,17.1,242000,17.4
2014-04-28,17.0,17.5,17.0,17.2,133500,17.1
2014-04-29,17.2,17.3,17.0,17.0,375500,17.2
2014-04-30,16.9,17.2,16.9,16.9,106500,17.0
2014-05-04,16.9,16.9,15.9,16.3,163500,16.9
2014-05-04,16.9,16.9,15.9,16.3,163500,16.9
2014-05-05,16.9,17.0,16.6,16.7,108500,16.3
2014-05-06,16.7,17.1,16.7,16.9,205500,16.7
2014-05-07,17.0,17.2,16.4,16.5,152500,16.9
2014-05-08,16.7,17.0,16.5,16.9,237000,16.5
2014-05-11,16.6,16.8,16.5,16.6,103500,16.9
