date,open,high,low,close,volume,prev_closing_price
2017-12-24,100.0,120.0,80.0,81.6,4942230,0.0
2017-12-26,81.6,85.0,76.1,81.5,1064767,81.6
2017-12-27,82.5,84.5,76.4,77.4,1571605,81.5
2017-12-28,78.0,78.2,72.9,73.4,1388061,77.4
2018-01-01,73.1,76.4,72.8,73.1,818631,73.4
2018-01-02,73.3,74.7,70.8,71.2,1018045,73.1
2018-01-03,71.8,73.9,71.6,73.4,764357,71.2
2018-01-04,73.6,74.9,72.6,73.0,896749,73.4
2018-01-07,73.4,74.0,71.2,71.5,608557,73.0
2018-01-08,72.0,72.0,68.6,69.1,849647,71.5
2018-01-09,69.5,70.4,67.6,67.9,660439,69.1
2018-01-10,68.0,68.7,65.7,65.9,719334,67.9
2018-01-11,66.2,67.4,65.4,65.9,759291,65.9
2018-01-14,66.0,66.3,63.6,63.9,732858,65.9
2018-01-15,63.9,66.5,63.9,64.9,833330,63.9
2018-01-16,65.2,66.2,64.1,64.5,521819,64.9
2018-01-17,64.5,64.8,62.0,62.5,555851,64.5
2018-01-18,62.6,62.7,59.2,60.0,730957,62.5
2018-01-21,60.2,61.8,59.6,60.0,393792,60.0
2018-01-22,60.0,63.5,60.0,62.9,1077730,60.0
2018-01-23,63.4,63.7,60.9,61.3,914420,62.9
2018-01-24,61.4,62.2,60.4,60.5,460184,61.3
2018-01-25,60.6,61.7,60.0,60.4,520989,60.5
2018-01-28,60.4,60.9,58.1,58.5,385297,60.4
2018-01-29,58.5,64.3,58.5,64.3,1744012,58.5
2018-01-30,65.2,65.2,61.1,61.7,1360653,64.3
2018-01-31,61.5,61.7,59.1,59.6,582268,61.7
2018-02-01,60.0,61.8,59.7,60.0,412818,59.6
2018-02-04,60.4,60.5,57.7,58.0,327374,60.0
2018-02-05,58.4,59.6,57.3,58.0,423807,58.0
2018-02-06,58.8,59.5,58.0,58.6,254846,58.0
2018-02-07,58.6,58.7,56.4,56.7,395566,58.6
2018-02-08,56.7,57.3,54.3,54.6,404076,56.7
2018-02-11,55.3,57.1,54.9,56.2,451965,54.6
2018-02-12,56.7,57.7,55.7,56.2,449490,56.2
2018-02-13,56.2,56.7,54.8,55.1,500773,56.2
2018-02-14,55.2,56.3,54.9,55.2,453501,55.1
2018-02-15,55.9,56.2,54.8,55.0,338297,55.2
2018-02-18,55.2,55.3,52.5,52.9,374473,55.0
2018-02-19,53.5,53.9,51.2,51.5,296553,52.9
2018-02-20,52.1,53.0,50.1,50.5,306298,51.5
