date,open,high,low,close,volume,prev_closing_price
2008-03-06,4099.0,4215.0,3950.0,4018.0,4425,4045.25
2008-03-09,4149.75,4300.0,4065.0,4199.75,7195,4018.0
2008-03-09,4149.75,4300.0,4065.0,4199.75,7195,4018.0
2008-03-10,4370.0,4574.75,4221.5,4572.25,6805,4199.75
2008-03-11,4350.0,4697.0,4290.0,4414.25,8230,4572.25
2008-03-12,4375.0,4455.0,4150.0,4220.0,5595,4414.25
2008-03-13,4221.0,4300.0,4181.0,4279.0,4245,4220.0
2008-03-16,4360.0,4500.0,4350.0,4464.75,5745,4279.0
2008-03-17,4523.75,4650.0,4475.0,4508.25,6795,4464.75
2008-03-18,4500.0,4518.0,4400.0,4412.25,2855,4508.25
2008-03-19,4352.0,4379.0,4310.0,4324.0,3385,4412.25
2008-03-20,4370.0,4370.0,4200.0,4242.25,2990,4324.0
2008-03-23,4180.0,4250.0,3900.0,3959.75,4440,4242.25
2008-03-24,4000.0,4180.0,3999.0,4018.0,3385,3959.75
2008-03-25,4130.0,4168.0,4050.0,4099.5,1845,4018.0
2008-03-30,4200.0,4470.0,4200.0,4413.5,4335,4099.5
2008-03-31,4499.0,4699.0,4420.0,4559.75,7180,4413.5
2008-04-01,4648.75,4690.0,4530.25,4614.25,6875,4559.75
2008-04-02,4645.0,4649.0,4509.0,4518.75,5410,4614.25
2008-04-03,4550.0,4600.0,4526.0,4582.0,4000,4518.75
2008-04-06,4600.0,4675.0,4581.0,4623.25,2655,4582.0
2008-04-07,4650.0,4650.0,4550.0,4571.5,2115,4623.25
2008-04-08,4619.0,4925.0,4600.0,4852.75,5685,4571.5
2008-04-09,4999.0,5227.75,4899.0,5225.5,8670,4852.75
2008-04-10,5350.0,5399.0,5100.0,5175.25,4870,5225.5
2008-04-13,5061.0,5298.0,4967.0,5120.25,2925,5175.25
2008-04-15,5299.0,5299.0,4950.0,4997.25,3750,5120.25
2008-04-16,4960.0,5079.0,4914.0,4945.5,2920,4997.25
2008-04-17,5000.0,5016.75,4745.0,4801.25,2805,4945.5
2008-04-20,4801.0,5098.0,4800.0,4946.75,1940,4801.25
2008-04-21,5100.0,5100.0,4811.0,4907.0,3540,4946.75
2008-04-22,4799.0,5000.0,4795.0,4942.75,2295,4907.0
2008-04-23,4905.0,5180.0,4830.0,4992.75,2835,4942.75
2008-04-24,4981.0,5120.0,4981.0,5100.0,2690,4992.75
2008-04-27,5199.0,5199.0,5010.0,5101.25,4565,5100.0
2008-04-28,5010.0,5150.0,4885.0,4901.75,2210,5101.25
2008-04-29,4995.0,4995.0,4800.0,4856.75,2305,4901.75
2008-04-30,4840.0,4888.0,4761.0,4796.75,2170,4856.75
2008-05-04,4785.0,4860.0,4783.0,4799.25,1605,4796.75
2008-05-05,4830.0,4999.0,4826.0,4974.5,2945,4799.25
2008-05-06,5099.0,5140.0,4972.0,4995.5,4320,4974.5
2008-05-07,5000.0,5000.0,4830.25,4904.5,2745,4995.5
2008-05-08,4907.0,5044.0,4907.0,4930.25,2030,4904.5
2008-05-11,4931.0,5149.0,4930.0,5040.25,4080,4930.25
2008-05-12,5099.0,5395.0,5099.0,5278.75,8815,5040.25
2008-05-13,5300.0,5339.0,5050.0,5179.0,5620,5278.75
2008-05-14,5198.0,5519.75,5045.0,5417.75,11655,5179.0
2008-05-15,5550.0,5800.0,5450.0,5756.0,6425,5417.75
2008-05-18,5985.0,5985.0,5670.0,5726.5,5095,5756.0
2008-05-20,5501.0,5960.0,5501.0,5904.25,10660,5726.5
2008-05-21,5980.0,6000.0,5760.0,5841.75,5000,5904.25
2008-05-22,5715.0,5850.0,5667.0,5726.0,6250,5841.75
2008-05-25,5745.0,5820.0,5530.0,5606.0,5050,5726.0
2008-05-26,5625.0,5820.0,5620.0,5691.5,2915,5606.0
2008-05-27,5716.0,5744.5,5510.0,5532.5,2420,5691.5
2008-05-28,5504.0,5598.0,5410.0,5448.25,2735,5532.5
2008-05-29,5595.0,5595.0,5345.0,5396.75,5200,5448.25
2008-06-01,5501.0,5801.5,5500.0,5790.75,10015,5396.75
2008-06-02,5790.0,5790.0,5675.0,5690.25,4455,5790.75
2008-06-03,5665.0,5750.0,5540.0,5549.75,9440,5690.25
2008-06-04,5689.0,5689.0,5510.0,5623.75,10975,5549.75
2008-06-05,5481.0,5830.0,5481.0,5793.25,2825,5623.75
2008-06-08,5845.0,5998.75,5700.0,5778.75,3720,5793.25
2008-06-09,5665.0,5701.0,5560.0,5637.5,1590,5778.75
2008-06-10,5650.0,5650.0,5511.0,5607.75,1450,5637.5
2008-06-11,5535.0,5629.75,5300.0,5323.5,1990,5607.75
2008-06-12,5411.0,5550.0,5400.0,5430.0,785,5323.5
2008-06-15,5515.0,5695.0,5510.0,5556.5,1400,5430.0
2008-06-16,5510.0,5589.0,5279.0,0.0,2405,5556.5
2008-06-17,5450.0,5529.0,5430.0,5515.5,1660,5398.75
2008-06-18,5588.0,5589.0,5520.0,0.0,1150,5515.5
2008-06-19,5401.0,5596.0,5401.0,5527.75,2025,5569.75
2008-06-22,5567.0,5567.0,5405.0,0.0,1115,5527.75
2008-06-23,5400.0,5400.0,5321.5,0.0,2070,5413.5
2008-06-24,5230.0,5450.0,5230.0,5421.25,700,5325.0
2008-06-25,5490.0,5518.0,5480.5,5506.75,1155,5421.25
2008-06-26,5540.0,5547.0,5445.0,5513.25,735,5506.75
2008-06-29,5535.0,5926.5,5535.0,5926.5,3715,5513.25
2008-06-30,6150.0,6150.0,5750.0,5802.0,1880,5926.5
2008-07-02,5800.0,5800.0,5503.0,5584.5,1585,5802.0
2008-07-03,5530.0,5530.0,5400.0,5485.75,1305,5584.5
2008-07-06,5550.0,5750.0,5535.0,5682.0,2155,5485.75
2008-07-07,5660.0,5700.0,5652.0,5694.0,1345,5682.0
2008-07-08,5749.0,6000.0,5749.0,5951.25,3770,5694.0
2008-07-08,5749.0,6000.0,5749.0,5951.25,3770,5694.0
2008-07-09,5951.25,0.0,0.0,5951.25,0,5951.25
2008-07-10,5951.25,0.0,0.0,5951.25,0,5951.25
2008-07-13,4950.0,4999.0,4799.0,4816.0,2515,5951.25
2008-07-14,4731.25,4750.0,4682.0,4704.25,560,4816.0
2008-07-15,4620.0,4700.0,4560.0,4669.0,1060,4704.25
