date,open,high,low,close,volume,prev_closing_price
2009-08-30,181.0,270.0,181.0,193.9,1657800,10.0
2009-08-31,193.9,0.0,0.0,193.9,0,193.9
2009-09-01,210.0,226.5,199.0,220.6,5765200,193.9
2009-09-02,220.0,221.0,209.9,210.2,1150300,220.6
2009-09-03,210.0,216.8,206.6,209.1,440400,210.2
2009-09-06,206.0,209.8,199.8,204.0,6104800,209.1
2009-09-07,208.0,219.9,208.0,214.4,5309100,204.0
2009-09-08,215.0,215.0,207.0,208.4,974100,214.4
2009-09-09,208.0,208.0,202.5,203.6,1518900,208.4
2009-09-10,201.3,201.3,188.3,193.9,2138200,203.6
2009-09-13,196.0,207.0,195.9,205.5,1168200,193.9
2009-09-14,207.8,207.8,200.0,201.1,786800,205.5
2009-09-15,200.5,202.5,196.5,198.5,882000,201.1
2009-09-16,199.8,201.0,196.6,197.0,660700,198.5
2009-09-17,199.9,201.8,197.0,197.3,699600,197.0
2009-09-27,200.0,200.0,192.8,193.5,632300,197.3
2009-09-29,194.0,195.4,189.1,189.9,825800,193.5
2009-09-30,192.0,197.4,190.1,195.9,828400,189.9
2009-10-01,197.5,205.0,197.5,202.2,1590300,195.9
2009-10-04,203.0,204.0,195.0,196.2,1595400,202.2
2009-10-05,195.0,197.0,192.2,194.0,978500,196.2
2009-10-06,195.0,197.8,193.6,195.0,598800,194.0
2009-10-07,195.6,198.0,192.9,193.2,748600,195.0
2009-10-08,196.0,204.0,194.1,202.8,1077300,193.2
2009-10-11,204.9,211.9,204.5,205.4,1191300,202.8
2009-10-12,205.0,210.7,203.5,209.7,1126400,205.4
2009-10-13,211.0,226.5,211.0,224.9,1932300,209.7
2009-10-14,229.0,234.0,225.6,231.7,1280600,224.9
2009-10-18,223.9,227.0,216.2,220.3,1453900,223.3
2009-10-18,223.9,227.0,216.2,220.3,1453900,223.3
2009-10-19,225.7,230.0,220.8,221.7,1760400,220.3
2009-10-20,225.8,236.5,223.9,232.3,1819800,221.7
2009-10-21,237.0,244.0,230.0,233.8,1753200,232.3
2009-10-22,233.2,237.0,226.1,230.1,1079500,233.8
2009-10-25,234.0,234.5,228.0,233.0,1136300,230.1
2009-10-26,235.0,245.0,228.7,230.2,1634200,233.0
2009-10-27,233.5,233.5,224.5,225.4,949700,230.2
2009-10-28,227.0,227.9,224.0,225.3,580700,225.4
2009-10-29,226.9,227.9,223.1,224.0,788500,225.3
2009-11-01,226.0,227.0,223.0,225.0,948700,224.0
2009-11-02,226.0,231.7,226.0,226.8,905900,225.0
2009-11-03,229.0,230.2,226.0,226.2,523700,226.8
2009-11-04,228.9,228.9,222.4,223.0,668700,226.2
2009-11-05,224.8,224.8,218.0,218.8,699600,223.0
2009-11-08,222.0,223.0,210.5,211.6,757200,218.8
2009-11-09,210.0,218.0,205.8,215.5,635600,211.6
2009-11-10,219.0,220.0,210.6,213.0,574200,215.5
