date,open,high,low,close,volume,prev_closing_price
2009-01-01,999.0,1050.0,902.0,929.0,87400,100.0
2009-01-04,907.0,950.0,871.0,878.25,43500,929.0
2009-01-05,861.0,879.0,850.0,854.75,25750,878.25
2009-01-06,845.5,852.0,805.0,808.0,26200,854.75
2009-01-07,809.0,860.0,800.0,844.25,26300,808.0
2009-01-11,850.5,862.75,821.0,823.25,20950,844.25
2009-01-12,827.0,827.0,803.0,804.25,17850,823.25
2009-01-13,806.5,823.75,782.5,789.25,21950,804.25
2009-01-14,781.0,800.0,765.5,773.0,15150,789.25
2009-01-15,763.25,789.0,752.0,762.0,10600,773.0
2009-01-18,760.0,770.0,716.0,721.75,13100,762.0
2009-01-19,725.0,728.0,691.0,695.75,17600,721.75
2009-01-20,717.0,722.0,710.0,715.75,9800,695.75
2009-01-21,717.0,725.0,689.0,692.5,11850,715.75
2009-01-22,699.0,706.75,686.0,688.5,7350,692.5
2009-01-25,704.5,706.0,691.0,694.0,8550,688.5
2009-01-26,696.0,700.0,687.0,690.25,5150,694.0
2009-01-27,698.0,767.0,698.0,747.25,32150,690.25
2009-01-28,760.0,760.0,722.5,729.5,11000,747.25
2009-01-29,730.0,734.75,716.5,720.0,8700,729.5
2009-02-01,729.0,730.0,708.0,712.0,12850,720.0
2009-02-02,715.0,719.75,695.5,699.25,6450,712.0
2009-02-03,693.0,700.0,681.5,691.75,7000,699.25
2009-02-04,687.0,697.75,677.0,677.75,6750,691.75
2009-02-05,671.25,715.0,671.0,681.75,8650,677.75
2009-02-08,700.0,700.0,657.0,662.25,6000,681.75
2009-02-09,660.0,663.0,640.25,644.0,4950,662.25
2009-02-10,632.25,642.0,620.0,629.5,4700,644.0
2009-02-11,631.25,631.5,554.25,579.0,7550,629.5
2009-02-12,601.0,630.0,601.0,621.5,6250,579.0
2009-02-15,646.0,670.0,640.0,648.25,7900,621.5
2009-02-16,645.5,665.0,635.0,658.0,8250,648.25
2009-02-17,672.0,690.0,656.5,669.75,11200,658.0
2009-02-18,688.0,735.0,680.0,725.5,22350,669.75
2009-02-19,747.75,747.75,704.0,706.5,11100,725.5
2009-02-22,715.0,715.0,683.0,697.0,8800,706.5
2009-02-23,709.0,712.0,681.0,685.5,8800,697.0
2009-02-24,682.0,688.0,675.5,677.25,7500,685.5
2009-02-25,677.0,699.0,652.75,662.25,7150,677.25
2009-02-26,685.0,685.0,642.0,649.75,7800,662.25
2009-03-01,663.0,677.0,661.0,671.25,7300,649.75
2009-03-02,690.0,698.0,670.0,676.25,12800,671.25
2009-03-03,661.25,680.0,660.0,665.0,7800,676.25
2009-03-04,665.0,674.0,654.0,655.75,7650,665.0
2009-03-05,662.0,662.0,645.0,649.75,12950,655.75
2009-03-08,655.0,719.0,655.0,708.75,25900,649.75
2009-03-09,716.0,815.0,716.0,802.75,60400,708.75
2009-03-11,829.0,889.0,802.0,859.0,40150,802.75
2009-03-12,840.0,869.0,800.0,816.75,31950,859.0
2009-03-15,810.0,820.0,751.0,765.25,30700,816.75
2009-03-16,750.0,809.25,750.0,785.0,20250,765.25
2009-03-17,825.0,825.0,782.0,796.5,17400,785.0
2009-03-18,815.0,845.0,800.0,817.25,28500,796.5
2009-03-19,829.0,843.0,815.0,823.0,19650,817.25
2009-03-22,824.0,828.0,796.25,801.75,23700,823.0
2009-03-23,810.0,815.25,790.0,806.5,17800,801.75
2009-03-24,820.0,820.0,801.25,811.75,14800,806.5
2009-03-25,796.0,830.0,796.0,819.5,21750,811.75
2009-03-29,820.0,883.5,817.0,876.25,44100,819.5
2009-03-30,880.0,894.0,831.0,880.0,34600,876.25
2009-03-31,890.0,890.0,860.0,874.5,32200,880.0
2009-04-01,870.0,933.0,870.0,907.0,70450,874.5
2009-04-02,932.0,984.75,916.0,975.25,68150,907.0
2009-04-05,997.0,1040.0,935.0,943.0,36400,975.25
2009-04-06,922.0,945.0,860.0,865.5,40850,943.0
2009-04-07,875.0,897.0,857.25,875.0,16900,865.5
2009-04-08,898.0,899.0,870.0,874.5,18650,875.0
2009-04-09,862.25,883.0,827.0,835.5,13800,874.5
2009-04-12,855.0,855.0,790.0,802.75,15600,835.5
2009-04-13,788.0,808.75,760.0,767.5,10600,802.75
2009-04-15,755.0,819.0,744.5,800.5,8650,767.5
2009-04-16,839.0,845.0,800.0,809.25,10250,800.5
2009-04-19,802.0,802.0,757.0,768.75,14150,809.25
2009-04-20,760.0,779.75,758.0,763.5,17050,768.75
2009-04-21,755.0,783.75,755.0,763.75,7100,763.5
2009-04-22,767.0,780.0,752.0,757.75,10500,763.75
2009-04-23,760.0,764.0,710.0,720.0,20600,757.75
2009-04-26,790.0,790.0,725.0,730.75,11450,720.0
2009-04-27,739.0,749.0,716.25,738.5,7550,730.75
2009-04-28,717.0,717.0,600.0,645.0,25300,738.5
2009-04-29,640.0,680.0,623.25,632.25,11550,645.0
2009-04-30,630.25,639.5,629.5,632.25,6000,632.25
2009-05-03,625.0,640.0,610.0,626.75,11850,632.25
2009-05-04,625.0,641.75,620.0,623.25,14100,626.75
2009-05-05,622.0,633.75,620.0,622.5,9000,623.25
2009-05-06,625.0,625.0,611.5,615.25,4800,622.5
2009-05-07,613.0,698.0,613.0,688.5,23150,615.25
2009-05-10,679.0,740.0,656.0,713.25,26700,688.5
2009-05-11,706.0,820.0,702.25,809.75,45800,713.25
2009-05-12,790.0,900.0,775.0,881.0,66600,809.75
2009-05-13,860.0,900.0,790.0,872.75,68600,881.0
2009-05-14,872.75,0.0,0.0,872.75,0,872.75
2009-05-17,841.0,913.75,841.0,893.0,15350,872.75
2009-05-18,892.0,995.0,862.5,984.25,39750,893.0
2009-05-19,990.0,990.0,930.0,984.0,22450,984.25
2009-05-20,943.0,960.0,906.0,923.75,8150,984.0
2009-05-21,900.0,940.0,900.0,921.0,8000,923.75
2009-05-24,921.0,1029.0,920.0,1016.25,28400,921.0
2009-05-25,1045.0,1130.0,990.0,1097.0,33450,1016.25
2009-05-26,1075.0,1115.0,1028.0,1057.5,7000,1097.0
2009-05-27,1086.0,1172.0,1045.0,1089.25,49550,1057.5
2009-05-28,1085.0,1148.0,1070.0,1129.5,14150,1089.25
2009-05-31,1140.0,1149.75,1116.0,1131.25,11800,1129.5
2009-06-01,1110.0,1272.0,1102.0,1272.0,21000,1131.25
2009-06-02,1272.0,1337.75,1272.0,1320.5,14150,1272.0
2009-06-03,1355.0,1420.0,1320.0,1398.0,12000,1320.5
2009-06-04,1400.0,1420.0,1370.0,1383.75,34100,1398.0
2009-06-07,1370.0,1380.0,1330.25,1359.5,12350,1383.75
2009-06-08,1325.0,1379.0,1325.0,1348.75,29550,1359.5
2009-06-09,1323.0,1385.0,1323.0,1379.25,8950,1348.75
2009-06-10,1376.0,1428.0,1370.0,1395.0,13350,1379.25
2009-06-11,1375.0,1446.25,1372.0,1411.25,22100,1395.0
2009-06-14,1448.0,1448.0,1390.0,1402.25,14400,1411.25
2009-06-15,1413.0,1413.0,1305.0,1343.5,3000,1402.25
2009-06-16,1400.0,1400.0,1296.25,1302.25,3200,1343.5
2009-06-17,1320.0,1355.0,1305.0,1322.5,3850,1302.25
2009-06-18,1355.0,1355.0,1259.0,1268.75,5500,1322.5
2009-06-21,1337.0,1337.0,1115.0,1163.75,2750,1268.75
2009-06-22,1195.0,1195.0,1018.5,1029.75,14850,1163.75
2009-06-23,1030.0,1088.0,950.0,972.75,10650,1029.75
2009-06-24,1040.0,1096.5,1021.0,1069.5,3750,972.75
2009-06-25,1060.0,1080.0,1018.0,1025.75,2950,1069.5
2009-06-28,1049.0,1049.0,1003.0,1011.75,2350,1025.75
2009-06-29,1017.0,1048.75,1011.0,1025.25,1250,1011.75
2009-06-30,1057.0,1120.0,1057.0,1095.75,6550,1025.25
2009-07-02,1099.75,1147.0,1080.0,1107.5,13100,1095.75
2009-07-05,1115.0,1117.0,1045.0,1062.75,1800,1107.5
2009-07-06,1015.0,1051.0,1010.0,1027.25,2900,1062.75
2009-07-07,1035.0,1059.0,1010.0,1046.0,3600,1027.25
2009-07-08,1050.0,1050.0,986.0,1005.75,2900,1046.0
2009-07-09,1040.0,1040.0,1000.0,1020.0,3050,1005.75
2009-07-12,1050.0,1050.0,990.0,1007.75,3950,1020.0
2009-07-13,1000.0,1030.0,1000.0,1011.0,6300,1007.75
2009-07-14,1002.25,1015.0,999.0,1002.25,1300,1011.0
2009-07-15,1010.0,1034.0,1005.0,1024.25,8500,1002.25
2009-07-16,1040.0,1044.0,1000.0,1013.25,9950,1024.25
2009-07-19,1020.0,1035.0,1000.25,1008.0,22000,1013.25
2009-07-20,1012.0,1097.0,1008.5,1037.5,12150,1008.0
2009-07-21,1035.0,1052.0,1020.0,1033.75,7250,1037.5
2009-07-22,1089.0,1089.0,1010.0,1022.5,11650,1033.75
2009-07-23,1074.0,1074.0,1019.25,1025.75,5650,1022.5
2009-07-26,1065.0,1071.0,1026.0,1040.0,13050,1025.75
2009-07-27,1053.75,1053.75,1022.25,1044.0,5250,1040.0
2009-07-28,1050.0,1059.75,1010.0,1017.0,9050,1044.0
2009-07-29,1043.75,1043.75,1008.0,1025.0,11200,1017.0
2009-07-30,1042.0,1045.0,1005.0,1033.25,30550,1025.0
2009-08-02,1044.75,1044.75,1005.0,1008.0,33600,1033.25
2009-08-03,1026.75,1027.75,1000.0,1003.25,16500,1008.0
2009-08-04,1001.0,1019.75,974.0,981.5,8150,1003.25
2009-08-05,1009.75,1013.0,974.0,981.5,6750,981.5
2009-08-06,1005.0,1049.75,990.0,1002.75,17200,981.5
2009-08-09,1016.0,1016.0,975.0,989.25,12550,1002.75
2009-08-10,992.0,1018.0,971.0,983.25,19250,989.25
2009-08-11,1012.5,1012.5,970.0,1001.5,20400,983.25
2009-08-12,1024.0,1024.0,975.0,977.0,20350,1001.5
2009-08-16,1003.0,1003.0,970.0,972.75,15500,977.0
2009-08-17,993.0,993.0,962.0,965.75,19150,972.75
2009-08-18,989.0,999.0,971.0,987.0,25450,965.75
2009-08-19,996.0,1045.0,996.0,1022.75,32000,987.0
2009-08-20,1011.0,1040.0,990.0,1007.0,13600,1022.75
2009-08-23,1038.0,1038.0,971.25,979.25,7200,1007.0
2009-08-24,999.75,999.75,966.75,971.75,9800,979.25
2009-08-25,990.0,997.0,965.0,972.75,13450,971.75
2009-08-26,997.75,1019.0,990.0,991.5,26750,972.75
2009-08-27,1014.0,1014.0,971.0,976.0,11300,991.5
2009-08-30,1009.0,1009.0,965.5,970.25,6050,976.0
2009-08-31,997.0,997.0,935.0,942.25,9250,970.25
2009-09-01,960.0,960.0,935.0,939.75,3700,942.25
2009-09-02,959.0,969.0,940.0,951.0,12350,939.75
2009-09-03,969.0,975.0,957.0,964.75,8000,951.0
2009-09-06,980.0,980.0,950.0,953.25,9400,964.75
2009-09-07,948.0,956.0,940.25,944.0,4800,953.25
