date,open,high,low,close,volume,prev_closing_price
2008-11-25,120.0,175.0,120.0,162.0,81150,100.0
2008-11-26,148.0,158.0,145.25,146.5,22600,162.0
2008-11-27,142.0,153.0,140.25,146.75,9000,146.5
2008-11-30,136.0,142.25,134.0,138.25,14150,146.75
2008-12-01,130.5,150.0,130.5,148.25,15200,138.25
2008-12-02,140.75,150.0,140.75,147.75,10400,148.25
2008-12-03,145.0,147.75,144.75,145.75,6700,147.75
2008-12-04,145.0,159.0,143.25,153.75,20200,145.75
2008-12-14,148.0,152.75,148.0,151.75,6150,153.75
2008-12-15,148.5,152.5,147.5,150.75,6750,151.75
2008-12-17,147.25,151.5,147.25,150.0,3000,150.75
2008-12-18,148.0,151.5,148.0,150.5,4350,150.0
2008-12-21,150.0,158.5,148.5,156.75,8650,150.5
2008-12-22,149.0,157.0,149.0,153.25,5300,156.75
2008-12-23,150.5,156.0,150.5,154.75,4150,153.25
2008-12-24,150.25,162.0,150.25,156.5,7850,154.75
2008-12-28,161.75,170.5,154.0,166.25,19050,156.5
2008-12-30,170.0,170.0,165.0,167.25,14200,166.25
2009-01-01,165.5,169.0,165.25,166.5,19050,167.25
2009-01-04,165.0,176.0,165.0,173.0,29350,166.5
2009-01-05,173.25,186.5,170.5,175.5,23000,173.0
2009-01-06,173.0,195.0,173.0,189.75,42700,175.5
2009-01-07,180.0,200.0,180.0,190.5,33900,189.75
2009-01-11,175.0,190.0,175.0,184.5,17550,190.5
2009-01-12,175.0,183.0,175.0,179.5,17650,184.5
2009-01-13,179.75,190.0,179.75,187.5,18750,179.5
2009-01-14,182.0,209.0,182.0,198.75,72100,187.5
2009-01-15,195.0,200.0,191.0,198.75,23000,198.75
2009-01-18,194.0,195.0,181.5,187.25,18650,198.75
2009-01-19,184.0,184.0,175.0,178.5,22650,187.25
2009-01-20,188.0,189.5,182.0,185.25,8000,178.5
2009-01-21,184.0,192.0,183.0,188.75,18600,185.25
2009-01-22,182.5,195.0,182.5,191.5,21500,188.75
2009-01-25,194.75,201.0,190.0,198.0,31350,191.5
2009-01-26,200.0,200.0,188.0,189.25,24850,198.0
2009-01-27,185.0,191.5,185.0,188.0,16450,189.25
2009-01-28,187.5,196.75,187.5,190.5,25450,188.0
2009-01-29,199.5,199.5,188.5,193.0,14100,190.5
2009-02-01,190.5,201.5,190.5,199.5,45800,193.0
2009-02-02,200.0,202.0,193.0,194.25,40900,199.5
2009-02-03,192.0,194.75,190.0,193.75,19800,194.25
2009-02-04,197.0,201.0,193.5,198.25,32300,193.75
2009-02-05,196.5,217.0,196.5,214.75,128100,198.25
2009-02-08,215.0,217.0,206.0,210.75,56000,214.75
2009-02-09,203.0,213.0,203.0,205.25,34950,210.75
2009-02-10,206.0,210.0,197.0,199.25,37350,205.25
2009-02-11,203.0,206.5,198.0,201.0,30150,199.25
2009-02-12,205.0,220.0,205.0,218.5,76750,201.0
2009-02-15,223.0,234.0,220.0,227.75,89900,218.5
2009-02-16,220.0,232.0,210.0,228.5,80500,227.75
