date,open,high,low,close,volume,prev_closing_price
2008-03-06,948.0,975.0,900.0,955.25,4170,931.75
2008-03-09,919.0,919.0,850.0,859.0,3410,955.25
2008-03-09,919.0,919.0,850.0,859.0,3410,955.25
2008-03-10,845.0,893.0,820.0,871.0,3260,859.0
2008-03-11,842.0,908.0,842.0,893.75,2650,871.0
2008-03-12,885.0,975.0,885.0,958.0,5120,893.75
2008-03-13,970.0,1018.0,960.0,995.0,4530,958.0
2008-03-16,1039.0,1119.75,1039.0,1119.0,2580,995.0
2008-03-17,1200.0,1258.75,1170.0,1255.0,7050,1119.0
2008-03-18,1220.0,1231.0,1138.0,1202.75,5350,1255.0
2008-03-19,1204.0,1260.0,1180.0,1246.5,3290,1202.75
2008-03-20,1193.0,1300.0,1193.0,1248.5,2700,1246.5
2008-03-23,1208.0,1210.0,1176.0,1192.25,3330,1248.5
2008-03-24,1192.25,0.0,0.0,1192.25,0,1192.25
2008-03-25,1192.25,0.0,0.0,1192.25,0,1192.25
2008-03-30,1281.5,1341.25,1281.5,1341.0,3270,1192.25
2008-03-31,1430.0,1505.0,1390.0,1412.5,2270,1341.0
2008-04-01,1400.0,1589.0,1400.0,1572.75,1910,1412.5
2008-04-02,1585.0,1769.25,1570.0,1757.75,2580,1572.75
2008-04-03,1700.0,1718.0,1560.0,1617.0,1210,1757.75
2008-04-06,1550.0,1699.0,1540.0,1610.0,2500,1617.0
2008-04-07,1565.0,1690.0,1561.0,1666.25,3110,1610.0
2008-04-08,1660.0,1660.0,1570.0,1598.75,980,1666.25
2008-04-09,1640.0,1719.0,1560.0,1678.75,4700,1598.75
2008-04-10,1750.0,1799.0,1706.0,1721.25,4020,1678.75
2008-04-13,1670.0,1780.0,1661.0,1676.0,1000,1721.25
2008-04-15,1780.0,1780.0,1600.0,1649.75,710,1676.0
2008-04-16,1738.0,1738.0,1650.0,1687.75,8360,1649.75
2008-04-17,1695.0,1887.5,1695.0,1872.5,5350,1687.75
2008-04-20,1950.0,2072.25,1950.0,2072.25,1380,1872.5
2008-04-21,2200.0,2279.25,2150.0,2277.75,5830,2072.25
2008-04-22,2201.0,2499.0,2150.0,2246.5,10490,2277.75
2008-04-23,2150.0,2345.0,2030.0,2055.5,9150,2246.5
2008-04-24,2160.0,2260.0,2090.0,2260.0,3680,2055.5
2008-04-27,2399.0,2420.0,2201.0,2280.5,3770,2260.0
2008-04-28,2324.0,2324.0,2052.5,2056.5,3650,2280.5
2008-04-29,2146.0,2195.0,1890.0,1915.75,3250,2056.5
2008-04-30,1903.0,2025.0,1860.0,1882.0,1540,1915.75
2008-05-04,1828.0,1890.0,1779.0,1809.5,1720,1882.0
2008-05-05,1800.0,1800.0,1610.0,1699.5,2910,1809.5
2008-05-06,1655.0,1898.75,1655.0,1826.75,1740,1699.5
2008-05-07,1872.0,1990.0,1870.0,1887.75,1390,1826.75
2008-05-08,1989.75,1989.75,1865.0,1874.25,1650,1887.75
2008-05-11,1930.0,1930.0,1850.0,1894.0,1790,1874.25
2008-05-12,1915.0,1915.0,1880.0,1884.0,1260,1894.0
2008-05-13,1890.0,1890.0,1820.0,1836.5,920,1884.0
2008-05-14,1797.0,1819.0,1730.0,1756.25,1020,1836.5
2008-05-15,1745.0,1780.0,1745.0,1760.0,980,1756.25
2008-05-18,1770.0,1830.0,1765.0,1809.5,3490,1760.0
2008-05-20,1850.0,2009.25,1850.0,2009.0,4960,1809.5
2008-05-21,2149.0,2209.5,1950.0,2029.5,5560,2009.0
2008-05-22,2120.0,2160.0,2032.0,2049.25,2780,2029.5
2008-05-25,2140.0,2600.0,2140.0,2293.75,16450,2049.25
2008-05-26,2360.0,2360.0,2151.0,2166.0,5720,2293.75
2008-05-27,2150.0,2168.0,2000.0,2038.5,3710,2166.0
2008-05-28,1981.0,2094.0,1970.0,2021.0,5090,2038.5
2008-05-29,2014.0,2021.0,1951.0,1979.5,2460,2021.0
2008-06-01,1900.0,2171.0,1900.0,2075.5,2760,1979.5
2008-06-02,2100.0,2100.0,2030.0,2047.25,2720,2075.5
2008-06-03,2041.0,2090.0,2001.0,2016.25,2110,2047.25
2008-06-04,2030.0,2076.0,2001.0,2010.75,3040,2016.25
2008-06-05,2002.0,2037.0,2000.0,2012.0,2410,2010.75
2008-06-08,2015.0,2140.0,2000.0,2011.75,2790,2012.0
2008-06-09,2013.0,2013.0,1962.0,1985.75,1680,2011.75
2008-06-10,1947.0,1999.0,1947.0,1984.75,1130,1985.75
2008-06-11,1947.0,2000.0,1912.0,1929.25,1650,1984.75
2008-06-12,1920.0,1970.0,1895.25,1957.5,810,1929.25
2008-06-15,1960.0,1980.0,1870.0,1917.25,1810,1957.5
2008-06-16,1930.0,1930.0,1855.0,0.0,750,1917.25
2008-06-17,1890.0,1890.0,1800.0,1814.25,1620,1914.0
2008-06-18,1880.0,1880.0,1800.0,0.0,2840,1814.25
2008-06-19,1822.5,0.0,0.0,1822.5,0,1822.5
2008-06-22,1700.0,1780.0,1650.0,0.0,10940,1822.5
2008-06-23,1656.0,1665.0,1650.25,0.0,2220,1673.25
2008-06-24,1660.0,1745.0,1660.0,1686.0,970,1658.5
2008-06-25,1690.0,1710.0,1681.0,1686.0,1300,1686.0
2008-06-26,1700.0,1700.0,1652.0,1658.25,1510,1686.0
2008-06-29,1651.0,1651.0,1615.0,1619.25,1380,1658.25
2008-06-30,1635.0,1635.0,1585.0,1598.75,1110,1619.25
2008-07-02,1551.0,1565.0,1521.0,1559.5,1230,1598.75
2008-07-03,1510.25,1650.0,1510.25,1639.0,1020,1559.5
