date,open,high,low,close,volume,prev_closing_price
2008-03-06,1525.0,1570.0,1470.0,1495.75,1275,1494.0
2008-03-09,1520.0,1520.0,1465.0,1481.0,580,1495.75
2008-03-09,1520.0,1520.0,1465.0,1481.0,580,1495.75
2008-03-10,1450.0,1480.0,1440.0,1448.0,1665,1481.0
2008-03-11,1430.0,1499.0,1430.0,1465.25,280,1448.0
2008-03-12,1500.0,1600.0,1405.0,1473.25,1535,1465.25
2008-03-13,1493.0,1500.0,1460.0,1461.0,900,1473.25
2008-03-16,1500.0,1642.0,1499.0,1623.5,3275,1461.0
2008-03-17,1651.0,1651.0,1550.0,1582.5,920,1623.5
2008-03-18,1580.0,1586.0,1556.0,1565.25,135,1582.5
2008-03-19,1639.0,1720.0,1603.0,1677.0,2015,1565.25
2008-03-20,1620.0,1689.0,1601.0,1618.25,605,1677.0
2008-03-23,1650.0,1650.0,1535.0,1548.5,530,1618.25
2008-03-24,1530.0,1530.0,1500.0,1517.25,330,1548.5
2008-03-25,1578.0,1578.0,1501.0,1527.25,445,1517.25
2008-03-30,1550.0,1550.0,1490.0,1512.0,510,1527.25
2008-03-31,1500.0,1500.0,1480.0,1496.5,180,1512.0
2008-04-01,1480.25,1490.0,1450.25,1466.5,320,1496.5
2008-04-02,1470.0,1477.0,1385.0,1400.0,1335,1466.5
2008-04-03,1450.0,1483.0,1410.0,1429.0,375,1400.0
2008-04-06,1429.0,0.0,0.0,1429.0,0,1429.0
2008-04-07,1429.0,1480.0,1390.0,1392.0,910,1429.0
2008-04-08,1400.0,1425.0,1381.0,1398.25,160,1392.0
2008-04-09,1398.0,1400.0,1370.0,1373.25,230,1398.25
2008-04-10,1362.0,1419.0,1361.0,1363.0,435,1373.25
2008-04-13,1400.0,1422.0,1390.0,1407.0,130,1363.0
2008-04-15,1440.0,1570.0,1440.0,1513.25,725,1407.0
2008-04-16,1488.0,1598.0,1470.0,1552.25,860,1513.25
2008-04-17,1600.0,1698.0,1571.0,1654.5,2775,1552.25
2008-04-20,1610.0,1770.0,1598.0,1697.75,1855,1654.5
2008-04-21,1799.0,1820.0,1721.0,1738.5,1175,1697.75
2008-04-22,1730.0,1833.0,1700.0,1784.75,3380,1738.5
2008-04-23,1740.0,1787.0,1692.0,1699.75,1415,1784.75
2008-04-24,1700.0,1744.0,1699.0,1731.25,1340,1699.75
2008-04-27,1783.0,1799.0,1700.0,1701.25,1260,1731.25
2008-04-28,1710.0,1710.0,1650.0,1655.75,865,1701.25
2008-04-29,1639.0,1660.0,1600.0,1614.25,495,1655.75
2008-04-30,1600.0,1610.0,1585.0,1605.5,380,1614.25
2008-05-04,1490.0,1510.0,1400.0,1500.25,1200,1605.5
2008-05-05,1410.0,1590.0,1410.0,1550.5,1680,1500.25
2008-05-06,1505.0,1529.0,1501.0,1517.25,720,1550.5
2008-05-07,1520.0,1570.0,1520.0,1532.5,770,1517.25
2008-05-08,1541.0,1560.0,1535.0,1541.5,565,1532.5
2008-05-11,1577.0,1580.0,1555.0,1567.75,240,1541.5
2008-05-12,1541.0,1550.0,1525.0,1533.25,350,1567.75
2008-05-13,1550.0,1550.0,1510.0,1529.25,175,1533.25
2008-05-14,1530.0,1540.0,1511.0,1527.75,345,1529.25
2008-05-15,1530.0,1540.0,1500.0,1518.0,595,1527.75
2008-05-18,1530.0,1530.0,1498.0,1502.25,700,1518.0
2008-05-20,1515.0,1539.0,1490.0,1520.75,640,1502.25
2008-05-21,1548.75,1560.0,1505.0,1515.75,995,1520.75
2008-05-22,1525.0,1540.0,1500.0,1513.5,3920,1515.75
2008-05-25,1515.0,1547.0,1515.0,1535.5,175,1513.5
2008-05-26,1520.0,1595.0,1510.0,1586.5,695,1535.5
2008-05-27,1561.0,1699.0,1560.0,1677.75,700,1586.5
2008-05-28,1650.0,1680.0,1615.0,1625.75,750,1677.75
2008-05-29,1585.0,1600.0,1581.0,1589.5,280,1625.75
2008-06-01,1551.0,1589.0,1550.0,1569.75,465,1589.5
2008-06-02,1550.0,1550.0,1525.0,1532.75,90,1569.75
2008-06-03,1510.0,1549.75,1510.0,1526.5,265,1532.75
2008-06-04,1520.0,1550.0,1515.0,1523.75,155,1526.5
2008-06-05,1565.0,1570.0,1540.0,1550.0,400,1523.75
