date,open,high,low,close,volume,prev_closing_price
2017-06-01,25.0,27.0,20.4,20.8,14257282,0.0
2017-06-04,20.5,20.9,19.5,19.7,2803358,20.8
2017-06-05,19.6,19.9,18.8,19.0,4040318,19.7
2017-06-06,19.0,20.5,18.8,20.2,3889532,19.0
2017-06-07,20.3,20.3,19.6,19.7,3747891,20.2
2017-06-08,19.8,19.8,19.1,19.3,2767133,19.7
2017-06-11,19.3,19.6,18.9,19.3,2761356,19.3
2017-06-12,19.4,20.1,19.3,19.7,3076307,19.3
2017-06-13,19.8,19.8,19.2,19.4,2117527,19.7
2017-06-14,19.6,19.6,19.2,19.5,3504915,19.4
2017-06-15,19.5,20.7,19.5,20.6,5837845,19.5
2017-06-18,20.7,22.0,20.6,21.2,7229243,20.6
2017-06-19,21.2,23.0,21.0,22.6,8026543,21.2
2017-06-20,22.6,23.2,22.4,23.0,6277740,22.6
2017-06-21,23.1,23.6,22.7,23.0,5077846,23.0
2017-06-22,23.1,23.9,23.0,23.4,3916343,23.0
2017-06-28,23.6,23.7,22.4,22.6,3172763,23.4
2017-06-29,23.5,23.5,21.9,22.2,3588505,22.6
2017-07-02,22.1,23.0,22.1,22.6,2304611,22.2
2017-07-03,22.7,24.8,22.7,24.5,8105765,22.6
2017-07-04,24.6,25.5,24.3,25.0,5023937,24.5
2017-07-05,25.2,25.3,24.5,24.8,4427637,25.0
2017-07-06,24.9,26.0,24.9,25.6,3914151,24.8
2017-07-09,25.8,27.1,25.6,25.8,5023698,25.6
2017-07-10,25.8,26.2,25.3,25.8,3048392,25.8
2017-07-11,26.0,27.1,26.0,26.9,4832352,25.8
2017-07-12,27.0,27.7,26.8,27.0,6323205,26.9
2017-07-13,27.2,27.2,26.3,26.6,3602140,27.0
2017-07-16,26.6,26.8,25.0,25.2,4473467,26.6
2017-07-17,25.3,25.4,24.0,24.2,3472921,25.2
2017-07-18,24.5,25.2,24.2,24.5,2374016,24.2
2017-07-19,24.7,24.7,23.1,23.4,2086604,24.5
2017-07-20,23.6,24.3,23.4,23.6,1515333,23.4
2017-07-23,23.9,23.9,22.9,23.1,1167751,23.6
2017-07-24,23.0,24.0,22.8,23.6,1862979,23.1
2017-07-25,23.8,24.2,23.8,23.9,1435795,23.6
2017-07-26,24.0,24.5,23.8,24.2,1172228,23.9
2017-07-27,24.3,24.6,23.7,23.8,1164807,24.2
2017-07-30,23.8,23.9,23.1,23.2,1140246,23.8
2017-07-31,23.5,23.6,23.0,23.2,2137751,23.2
2017-08-01,23.2,24.2,23.2,23.6,1637114,23.2
2017-08-02,24.0,24.0,23.1,23.3,1785183,23.6
2017-08-03,23.3,23.6,23.2,23.4,1165855,23.3
2017-08-06,23.6,23.7,23.2,23.3,1254765,23.4
2017-08-07,23.5,24.5,23.4,24.3,3055329,23.3
2017-08-08,24.4,25.3,24.4,25.2,4812976,24.3
2017-08-09,25.3,25.4,24.4,24.5,2867080,25.2
