date,open,high,low,close,volume,prev_closing_price
2017-11-06,82.0,120.0,79.0,114.2,6120424,0.0
2017-11-07,115.2,117.0,110.0,111.5,883361,114.2
2017-11-08,110.5,114.9,105.5,106.2,2250504,111.5
2017-11-09,106.3,109.6,96.8,98.1,1661262,106.2
2017-11-12,100.5,100.5,89.8,91.0,1659430,98.1
2017-11-13,91.0,94.9,87.8,91.2,1102323,91.0
2017-11-14,92.8,94.9,85.0,86.5,1191464,91.2
2017-11-15,86.2,87.0,80.5,81.5,1383878,86.5
2017-11-16,84.5,84.8,81.7,83.8,652590,81.5
2017-11-19,84.8,89.8,84.3,89.0,1206661,83.8
2017-11-20,89.3,91.6,83.3,84.1,1122382,89.0
2017-11-21,84.0,84.9,79.6,80.1,1056016,84.1
2017-11-22,80.6,81.5,75.3,75.7,738209,80.1
2017-11-23,76.9,76.9,73.0,73.9,800038,75.7
2017-11-26,0.0,0.0,0.0,73.9,0,73.9
2017-11-27,68.2,73.7,68.2,69.7,912560,73.9
2017-11-28,70.2,70.9,67.7,68.0,487330,69.7
2017-11-29,68.1,68.6,65.2,65.5,507501,68.0
2017-11-30,66.0,70.8,66.0,69.7,740635,65.5
2017-12-03,70.3,70.7,67.3,67.5,380980,69.7
2017-12-04,68.0,68.0,66.4,66.6,338112,67.5
2017-12-05,67.0,68.1,66.3,66.5,291393,66.6
2017-12-06,67.4,67.4,64.9,65.0,406304,66.5
2017-12-07,65.2,67.0,65.2,65.4,332868,65.0
2017-12-10,65.8,65.9,64.0,64.1,263560,65.4
2017-12-11,64.5,66.8,64.5,66.3,522017,64.1
2017-12-12,67.0,69.5,66.6,67.6,684955,66.3
2017-12-13,67.7,71.4,67.6,70.3,959804,67.6
2017-12-14,70.3,72.7,70.3,70.9,627298,70.3
2017-12-17,70.9,71.9,69.1,69.7,460599,70.9
2017-12-18,70.5,71.8,68.3,68.8,640615,69.7
2017-12-19,67.0,72.0,67.0,71.3,771837,68.8
2017-12-20,71.5,73.0,70.4,70.8,509593,71.3
2017-12-21,70.2,70.8,68.5,68.8,287526,70.8
2017-12-24,69.8,69.9,65.1,65.5,368705,68.8
2017-12-26,65.5,66.2,64.7,65.6,266769,65.5
2017-12-27,64.7,66.5,64.7,65.1,236076,65.6
2017-12-28,65.0,65.8,64.7,65.2,248884,65.1
2018-01-01,65.3,66.4,64.9,65.1,126583,65.2
2018-01-02,65.2,65.4,63.5,63.7,273958,65.1
2018-01-03,63.7,65.4,63.7,64.8,196542,63.7
2018-01-04,65.1,66.7,65.1,66.2,366576,64.8
2018-01-07,66.2,67.9,66.2,66.6,223975,66.2
2018-01-08,66.2,67.0,65.2,65.5,131882,66.6
2018-01-09,65.2,66.2,64.5,64.7,145988,65.5
2018-01-10,64.7,65.5,63.6,63.9,161906,64.7
2018-01-11,63.9,64.5,63.4,63.7,182512,63.9
2018-01-14,63.0,64.2,62.9,63.1,142596,63.7
2018-01-15,63.3,64.1,62.9,63.5,186467,63.1
2018-01-16,63.6,63.8,61.5,62.5,550705,63.5
2018-01-17,62.0,62.0,60.0,60.6,719301,62.5
2018-01-18,61.9,61.9,57.2,57.9,429309,60.6
2018-01-21,57.9,58.0,54.9,55.5,417554,57.9
2018-01-22,55.5,57.9,55.1,57.4,430298,55.5
2018-01-23,57.6,58.4,55.5,55.9,308602,57.4
2018-01-24,55.5,56.1,53.7,54.2,341930,55.9
2018-01-25,54.3,54.4,53.1,53.3,232915,54.2
2018-01-28,53.2,53.3,51.8,52.0,269334,53.3
2018-01-29,52.0,56.0,51.7,54.9,369842,52.0
2018-01-30,55.0,55.0,51.3,51.6,388715,54.9
2018-01-31,51.3,51.3,49.0,49.5,379088,51.6
2018-02-01,50.0,50.8,49.0,49.3,273031,49.5
2018-02-04,49.3,49.3,46.3,46.5,268397,49.3
2018-02-05,47.0,48.5,45.5,46.1,296281,46.5
2018-02-06,46.1,47.3,46.1,46.4,171686,46.1
2018-02-07,46.4,46.4,43.5,43.7,774392,46.4
2018-02-08,44.0,44.0,42.7,43.5,340067,43.7
2018-02-11,43.5,46.2,43.5,45.4,472819,43.5
2018-02-12,45.5,46.0,44.3,44.5,435207,45.4
2018-02-13,44.0,44.7,43.7,43.9,289606,44.5
2018-02-14,44.5,45.4,44.2,44.4,346421,43.9
2018-02-15,44.5,46.0,44.2,44.9,403437,44.4
2018-02-18,44.9,45.8,44.3,44.4,314875,44.9
2018-02-19,45.0,45.3,43.5,43.7,291509,44.4
2018-02-20,43.7,44.9,42.2,42.6,278107,43.7
2018-02-22,42.8,43.6,40.9,41.5,340347,42.6
2018-02-25,41.5,42.1,40.2,40.3,274187,41.5
2018-02-26,40.6,40.9,39.3,39.6,322144,40.3
2018-02-27,40.4,40.9,39.7,40.0,354093,39.6
2018-02-28,40.2,43.8,40.0,42.6,902813,40.0
2018-03-01,42.8,43.3,42.0,42.4,400718,42.6
2018-03-04,43.0,44.5,42.7,44.0,609350,42.4
2018-03-05,44.3,46.2,44.3,45.7,907105,44.0
2018-03-06,45.7,48.1,45.1,47.6,964669,45.7
2018-03-07,47.6,49.6,47.4,48.1,856155,47.6
2018-03-08,48.1,48.2,47.1,47.5,438659,48.1
2018-03-11,47.5,47.7,45.0,45.3,346367,47.5
2018-03-12,45.5,45.5,43.5,44.1,291830,45.3
2018-03-13,44.4,44.7,41.5,42.4,329288,44.1
2018-03-14,42.8,44.0,42.3,43.6,406063,42.4
2018-03-15,43.5,44.3,43.0,43.9,271056,43.6
2018-03-18,44.1,44.9,43.3,44.4,409414,43.9
2018-03-19,44.6,45.2,43.5,43.7,329569,44.4
2018-03-20,43.5,43.8,42.5,42.7,250776,43.7
2018-03-21,42.7,43.0,41.1,41.4,241365,42.7
2018-03-22,41.6,42.3,40.5,41.4,238742,41.4
2018-03-25,42.1,42.3,40.4,40.8,204299,41.4
2018-03-27,40.8,40.8,39.1,39.3,323739,40.8
2018-03-28,39.6,40.6,39.3,39.8,190357,39.3
2018-03-29,40.4,42.5,40.2,42.1,367450,39.8
2018-04-01,42.8,43.4,42.5,42.9,249596,42.1
2018-04-02,43.3,43.8,42.3,43.0,385043,42.9
2018-04-03,43.3,43.8,42.6,42.9,348553,43.0
2018-04-04,43.1,43.9,42.8,43.4,452376,42.9
2018-04-05,0.0,0.0,0.0,43.4,0,43.4
2018-04-08,43.9,46.5,43.8,46.0,757404,43.4
2018-04-09,46.2,47.3,45.8,45.9,567926,46.0
2018-04-10,45.9,45.9,44.0,44.3,441365,45.9
2018-04-11,44.3,44.6,42.7,43.0,264454,44.3
2018-04-12,43.0,44.8,42.2,43.9,393137,43.0
2018-04-15,44.2,44.8,42.9,43.1,154509,43.9
2018-04-16,43.1,43.4,42.2,43.0,200319,43.1
2018-04-17,43.2,43.7,42.5,42.8,300011,43.0
2018-04-18,42.7,43.5,42.2,42.4,191422,42.8
2018-04-19,42.4,43.4,42.0,42.6,168210,42.4
2018-04-22,42.4,42.7,41.7,42.0,109477,42.6
2018-04-23,42.3,42.3,40.8,41.4,159734,42.0
2018-04-24,41.6,41.6,40.7,41.1,82370,41.4
2018-04-25,41.0,42.0,40.8,41.3,265712,41.1
2018-04-26,41.8,42.6,41.0,42.2,263831,41.3
2018-04-30,41.5,41.5,40.4,40.8,223568,42.2
2018-05-03,40.9,42.9,40.5,42.6,361838,40.8
2018-05-06,42.8,45.9,42.8,45.7,842982,42.6
2018-05-07,46.2,46.2,43.3,43.5,954939,45.7
2018-05-08,43.5,43.6,42.1,42.4,557967,43.5
2018-05-09,42.6,43.6,42.4,42.6,188756,42.4
2018-05-10,43.0,43.7,42.8,42.9,327649,42.6
2018-05-13,43.5,43.5,41.8,42.0,222888,42.9
2018-05-14,41.6,42.5,41.5,42.2,224699,42.0
2018-05-15,42.3,42.8,41.8,42.1,290918,42.2
2018-05-16,41.8,43.0,41.7,41.9,338075,42.1
2018-05-17,41.5,41.8,40.7,40.9,307640,41.9
2018-05-20,40.9,41.2,40.1,40.4,167056,40.9
2018-05-21,40.3,42.3,40.3,41.8,407136,40.4
2018-05-22,41.3,42.7,41.1,42.1,560589,41.8
2018-05-23,42.2,44.0,42.2,43.8,876907,42.1
2018-05-24,44.1,46.8,43.8,45.8,1181790,43.8
2018-05-27,44.2,46.2,44.2,45.7,822373,45.8
2018-05-28,45.5,45.5,43.7,44.0,351890,45.7
2018-05-29,44.0,47.1,43.4,46.0,1853706,44.0
2018-05-30,45.3,46.6,44.0,44.3,447054,46.0
2018-05-31,44.2,44.8,42.4,42.8,481959,44.3
2018-06-03,43.0,44.2,42.6,43.2,737481,42.8
2018-06-04,43.6,44.4,42.7,42.9,312198,43.2
2018-06-05,42.8,43.5,42.6,42.8,337554,42.9
2018-06-06,42.8,43.3,41.4,41.6,255647,42.8
2018-06-07,40.6,42.8,40.6,41.7,125522,41.6
2018-06-10,41.4,41.8,40.7,40.9,317858,41.7
2018-06-11,40.6,41.6,40.6,40.9,186389,40.9
2018-06-12,41.4,41.9,40.6,41.5,175456,40.9
2018-06-18,41.5,42.0,41.1,41.4,118098,41.5
2018-06-19,41.2,42.3,41.2,41.9,260200,41.4
2018-06-20,41.8,42.5,41.2,41.6,305332,41.9
2018-06-21,41.0,42.3,41.0,41.3,523979,41.6
2018-06-24,41.3,41.8,40.7,41.0,294775,41.3
2018-06-25,40.8,41.8,40.6,40.7,305245,41.0
2018-06-26,40.7,41.4,40.3,40.4,215606,40.7
2018-06-27,40.0,41.6,40.0,40.8,222837,40.4
2018-06-28,40.5,41.1,39.8,40.0,271783,40.8
2018-07-02,40.2,42.1,40.1,40.6,815101,40.0
2018-07-03,41.0,41.7,39.9,40.3,266046,40.6
2018-07-04,40.1,41.0,40.0,40.5,467869,40.3
2018-07-05,40.8,42.4,40.8,42.0,954460,40.5
2018-07-08,42.0,44.0,41.7,42.1,555351,42.0
2018-07-09,42.1,43.0,41.5,42.3,565390,42.1
2018-07-10,41.9,44.9,41.9,43.6,1036682,42.3
2018-07-11,44.0,45.6,42.0,42.6,863086,43.6
2018-07-12,41.0,43.3,40.9,41.6,400198,42.6
2018-07-15,41.2,42.5,41.0,41.2,412705,41.6
2018-07-16,41.2,42.2,41.1,41.3,256737,41.2
2018-07-17,41.3,41.8,40.2,40.4,436333,41.3
