date,open,high,low,close,volume,prev_closing_price
2008-03-06,274.5,308.0,270.75,305.25,105750,270.75
2008-03-09,310.0,321.0,306.25,318.25,53750,305.25
2008-03-09,310.0,321.0,306.25,318.25,53750,305.25
2008-03-10,305.0,309.0,296.0,302.0,37600,318.25
2008-03-11,300.0,318.0,295.0,313.0,42950,302.0
2008-03-12,319.0,329.25,312.0,315.0,47400,313.0
2008-03-13,314.25,328.5,312.5,317.5,18950,315.0
2008-03-16,315.0,340.0,315.0,338.0,46700,317.5
2008-03-17,344.0,348.0,330.0,332.75,32800,338.0
2008-03-18,330.0,333.0,320.0,322.0,19100,332.75
2008-03-19,320.0,340.0,320.0,326.75,25850,322.0
2008-03-20,327.25,345.0,326.0,339.0,38700,326.75
2008-03-23,345.0,370.0,345.0,349.0,68100,339.0
2008-03-24,350.25,354.0,340.0,343.75,21050,349.0
2008-03-25,317.0,365.0,317.0,359.5,46550,343.75
2008-03-30,360.0,382.0,351.0,358.0,40800,359.5
2008-03-31,360.0,363.5,345.0,346.0,27000,358.0
2008-04-01,355.0,355.0,340.0,341.75,28900,346.0
2008-04-02,349.0,350.0,336.0,337.5,26750,341.75
2008-04-03,340.25,344.0,332.25,334.0,21600,337.5
2008-04-06,336.0,340.0,330.0,333.5,14800,334.0
2008-04-07,337.75,344.0,333.5,334.0,17750,333.5
2008-04-08,336.0,352.5,334.0,347.5,37550,334.0
2008-04-09,356.0,390.0,356.0,375.25,125500,347.5
2008-04-10,380.0,399.75,379.0,394.25,94400,375.25
2008-04-13,395.0,404.75,385.0,389.5,31650,394.25
2008-04-15,390.0,392.0,375.0,378.25,28900,389.5
2008-04-16,373.0,395.0,373.0,384.5,52150,378.25
2008-04-17,390.0,405.0,380.0,382.0,45300,384.5
2008-04-20,386.0,388.5,376.25,379.75,27350,382.0
2008-04-21,382.25,397.0,377.0,380.0,35250,379.75
2008-04-22,381.0,440.0,381.0,426.0,131600,380.0
2008-04-23,421.0,426.75,398.0,406.0,33650,426.0
2008-04-24,403.75,404.5,390.0,393.25,12950,406.0
2008-04-27,399.0,399.0,376.0,378.0,33600,393.25
2008-04-28,394.0,394.0,360.25,362.75,32750,378.0
2008-04-29,368.5,377.0,351.0,357.75,12850,362.75
2008-04-30,360.0,368.5,340.0,342.5,19850,357.75
2008-05-04,341.0,365.0,338.0,342.5,14800,342.5
2008-05-05,342.0,350.0,322.0,327.25,18850,342.5
2008-05-06,325.0,343.0,325.0,331.75,13800,327.25
2008-05-07,341.0,347.5,337.0,339.75,16200,331.75
2008-05-08,340.0,343.5,333.25,339.0,9250,339.75
2008-05-11,344.75,348.0,338.25,339.75,17250,339.0
2008-05-12,340.0,345.0,335.0,335.25,12500,339.75
2008-05-13,335.0,340.0,332.0,332.75,11200,335.25
2008-05-14,338.0,338.0,324.0,325.75,12250,332.75
2008-05-15,326.0,339.0,325.75,331.0,8850,325.75
2008-05-18,336.0,340.0,330.0,335.25,20000,331.0
2008-05-20,349.0,368.5,340.0,363.5,38600,335.25
2008-05-21,370.0,370.0,346.0,351.25,16100,363.5
2008-05-22,345.0,375.0,342.0,368.25,33850,351.25
2008-05-25,374.0,376.0,365.5,366.75,22650,368.25
2008-05-26,372.0,396.0,372.0,394.5,70950,366.75
2008-05-27,400.0,435.0,400.0,425.75,129150,394.5
2008-05-28,437.0,471.0,428.25,466.0,79550,425.75
2008-05-29,450.0,474.0,435.25,444.25,56450,466.0
2008-06-01,445.0,456.0,440.5,444.5,43750,444.25
2008-06-02,445.0,468.0,445.0,455.25,18300,444.5
2008-06-03,455.25,468.75,452.0,458.5,27350,455.25
2008-06-04,460.0,480.0,460.0,477.25,47650,458.5
2008-06-05,480.0,489.0,470.0,472.75,22400,477.25
2008-06-08,472.0,485.0,465.25,472.0,23300,472.75
2008-06-09,435.0,477.0,435.0,448.25,24100,472.0
2008-06-10,455.0,455.0,444.0,448.75,10850,448.25
